"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"COL","2017-10-05","2017020007","20172018","NYR","0",41.43,100,48.65,47.17,44.44,55.77,2,0,18,19,25,28,32,40,2.24,1.78,2,-1,-3,-8,0.46
"COL","2017-10-07","2017020019","20172018","N.J","0",39.92,0,51.79,50.68,51.19,44.77,0,0,29,27,37,36,43,41,2.06,2.55,0,2,1,2,-0.48
"COL","2017-10-09","2017020032","20172018","BOS","0",49.7,100,45.45,43.28,42.35,47.1,2,0,20,24,29,38,36,49,2.16,2.42,2,-4,-9,-13,-0.27
"COL","2017-10-11","2017020048","20172018","BOS","1",43.63,60,61.54,53.7,50.63,61.32,3,2,24,15,29,25,40,39,1.89,1.19,1,9,4,1,0.7
"COL","2017-10-13","2017020060","20172018","ANA","1",40.82,0,65.79,62.07,66.27,65.47,0,0,25,13,36,22,55,28,1.53,0.81,0,12,14,27,0.72
"COL","2017-10-14","2017020069","20172018","DAL","0",41.07,50,44.19,42.37,43.42,37.25,1,1,19,24,25,34,33,43,1.05,1.78,0,-5,-9,-10,-0.72
"COL","2017-10-17","2017020086","20172018","NSH","0",44.72,0,43.75,40.74,43.66,34.27,0,3,14,18,22,32,31,40,0.97,1.87,-3,-4,-10,-9,-0.89
"COL","2017-10-19","2017020101","20172018","STL","1",50.97,33.33,50,45.59,45.88,36.82,2,4,24,24,31,37,39,46,1.31,2.24,-2,0,-6,-7,-0.94
"COL","2017-10-24","2017020134","20172018","DAL","1",50.13,57.14,42.11,40.79,41,44.4,4,3,24,33,31,45,41,59,2.36,2.96,1,-9,-14,-18,-0.6
"COL","2017-10-27","2017020149","20172018","VGK","0",45.62,0,61.36,50.79,51.16,37.08,0,6,27,17,32,31,44,42,1.28,2.18,-6,10,1,2,-0.89
"COL","2017-10-28","2017020165","20172018","CHI","1",39.18,57.14,44.9,40.28,39.77,39.37,4,3,22,27,29,43,35,53,1.56,2.4,1,-5,-14,-18,-0.84
"COL","2017-11-02","2017020194","20172018","CAR","1",51.2,50,30,28.12,31.09,31.86,3,3,24,56,27,69,37,82,1.46,3.11,0,-32,-42,-45,-1.66
"COL","2017-11-04","2017020204","20172018","PHI","0",51.25,25,42.86,43.59,43.56,41.1,1,3,21,28,34,44,44,57,1.69,2.43,-2,-7,-10,-13,-0.73
"COL","2017-11-05","2017020214","20172018","NYI","0",51.37,50,53.7,51.32,50.94,55.08,4,4,29,25,39,37,54,52,2.18,1.78,0,4,2,2,0.4
"COL","2017-11-10","2017020247","20172018","OTT","1",53.07,33.33,32.61,37.66,40.78,34.87,2,4,15,31,29,48,42,61,1.35,2.52,-2,-16,-19,-19,-1.17
"COL","2017-11-11","2017020252","20172018","OTT","0",43.22,33.33,30.56,34.78,38.03,25.37,1,2,11,25,16,30,27,44,0.46,1.36,-1,-14,-14,-17,-0.89
"COL","2017-11-16","2017020285","20172018","WSH","1",42.03,75,44.74,50,49.28,50.97,3,1,17,21,22,22,34,35,1.58,1.52,2,-4,0,-1,0.06
"COL","2017-11-18","2017020302","20172018","NSH","0",36.13,50,61.29,57.14,57.35,53.75,2,2,19,12,24,18,39,29,1.16,1,0,7,6,10,0.16
"COL","2017-11-19","2017020306","20172018","DET","0",46.65,50,67.44,60.38,59.7,63.64,2,2,29,14,32,21,40,27,1.34,0.77,0,15,11,13,0.58
"COL","2017-11-22","2017020330","20172018","DAL","1",50.27,100,51.06,47.37,47.3,56.41,3,0,24,23,27,30,35,39,1.26,0.98,3,1,-3,-4,0.29
"COL","2017-11-24","2017020336","20172018","MIN","0",55.55,50,44.19,55.17,53.09,43.03,1,1,19,24,32,26,43,38,1.33,1.76,0,-5,6,5,-0.43
"COL","2017-11-25","2017020356","20172018","CGY","1",45.53,33.33,43.59,44.62,47.37,31.32,1,2,17,22,29,36,45,50,0.95,2.08,-1,-5,-7,-5,-1.13
"COL","2017-11-29","2017020380","20172018","WPG","1",45.95,33.33,40.43,43.75,43.53,45.83,1,2,19,28,28,36,37,48,1.22,1.44,-1,-9,-8,-11,-0.22
"COL","2017-12-01","2017020395","20172018","N.J","1",42,0,54.84,60.47,60,63.34,0,1,17,14,26,17,45,30,1.23,0.71,-1,3,9,15,0.52
"COL","2017-12-03","2017020410","20172018","DAL","1",45.6,25,51.22,56.6,59.49,34.93,2,6,21,20,30,23,47,32,0.96,1.79,-4,1,7,15,-0.83
"COL","2017-12-05","2017020422","20172018","BUF","1",40.7,0,47.83,45.45,48.31,34.68,0,2,22,24,30,36,43,46,1.22,2.3,-2,-2,-6,-3,-1.08
"COL","2017-12-07","2017020433","20172018","T.B","0",44.67,40,46.94,46.03,42.86,39.88,2,3,23,26,29,34,36,48,1.41,2.12,-1,-3,-5,-12,-0.72
"COL","2017-12-09","2017020448","20172018","FLA","0",42.6,71.43,44.68,46.43,48.05,47.51,5,2,21,26,26,30,37,40,1.06,1.17,3,-5,-4,-3,-0.11
"COL","2017-12-11","2017020462","20172018","PIT","0",48.63,100,34.55,37.18,38.95,49.19,1,0,19,36,29,49,37,58,2.19,2.26,1,-17,-20,-21,-0.07
"COL","2017-12-12","2017020469","20172018","WSH","0",52.58,40,50,47.06,51.96,43.99,2,3,23,23,32,36,53,49,2.02,2.57,-1,0,-4,4,-0.55
"COL","2017-12-14","2017020486","20172018","FLA","1",50.37,100,40.74,43.28,46.39,40.25,2,0,22,32,29,38,45,52,1.32,1.95,2,-10,-9,-7,-0.64
"COL","2017-12-16","2017020505","20172018","T.B","1",44.65,33.33,48.21,45.59,49.44,33.13,3,6,27,29,31,37,44,45,1.24,2.5,-3,-2,-6,-1,-1.26
"COL","2017-12-18","2017020514","20172018","PIT","1",51.53,50,51.72,52.7,54.46,55.85,2,2,30,28,39,35,55,46,2.43,1.92,0,2,4,9,0.51
"COL","2017-12-21","2017020537","20172018","L.A","0",50.73,33.33,54.17,53.62,50,47.91,1,2,26,22,37,32,49,49,1.42,1.55,-1,4,5,0,-0.12
"COL","2017-12-23","2017020554","20172018","ARI","0",43.75,100,51.02,56.41,51.96,66.17,3,0,25,24,44,34,53,49,2.55,1.3,3,1,10,4,1.25
"COL","2017-12-27","2017020567","20172018","ARI","1",47.63,25,46.34,52.54,51.25,43.37,1,3,19,22,31,28,41,39,1.01,1.32,-2,-3,3,2,-0.31
"COL","2017-12-29","2017020584","20172018","TOR","1",50.72,60,46.67,53.12,50,42.71,3,2,21,24,34,30,44,44,1.4,1.88,1,-3,4,0,-0.48
"COL","2017-12-31","2017020597","20172018","NYI","1",47.05,80,64.52,63.29,56.14,74.39,4,1,40,22,50,29,64,50,3.06,1.05,3,18,21,14,2.01
"COL","2018-01-02","2017020610","20172018","WPG","1",52.5,100,39.66,44.74,43.36,56.31,3,0,23,35,34,42,49,64,2.43,1.89,3,-12,-8,-15,0.54
"COL","2018-01-04","2017020624","20172018","CBJ","1",48.92,100,45.1,43.94,46.15,40.21,1,0,23,28,29,37,42,49,1.36,2.02,1,-5,-8,-7,-0.66
"COL","2018-01-06","2017020635","20172018","MIN","1",51.75,80,51.61,52.86,46.74,65.01,4,1,32,30,37,33,43,49,2.56,1.38,3,2,4,-6,1.18
"COL","2018-01-13","2017020675","20172018","DAL","0",50.55,75,54.05,48.39,49.44,41.68,3,1,20,17,30,32,44,45,1.93,2.7,2,3,-2,-1,-0.77
"COL","2018-01-15","2017020684","20172018","ANA","1",42.47,66.67,38.78,40.32,46.99,36.1,2,1,19,30,25,37,39,44,1.19,2.11,1,-11,-12,-5,-0.92
"COL","2018-01-18","2017020703","20172018","S.J","1",37.72,66.67,48.48,54.35,51.43,67.1,4,2,16,17,25,21,36,34,1.84,0.9,2,-1,4,2,0.94
"COL","2018-01-20","2017020710","20172018","NYR","1",55.45,100,60,60,60.75,53.4,2,0,36,24,45,30,65,42,1.62,1.41,2,12,15,23,0.21
"COL","2018-01-22","2017020726","20172018","TOR","0",53.17,60,49.02,50,45.26,52.16,3,2,25,26,39,39,43,52,2.46,2.26,1,-1,0,-9,0.2
"COL","2018-01-23","2017020734","20172018","MTL","0",43.97,50,41.03,40.82,43.66,36.48,2,2,16,23,20,29,31,40,0.9,1.57,0,-7,-9,-9,-0.67
"COL","2018-01-25","2017020753","20172018","STL","0",49.87,50,56.67,54.67,51.46,56.38,1,1,34,26,41,34,53,50,2.27,1.76,0,8,7,3,0.51
"COL","2018-01-30","2017020772","20172018","VAN","0",48.28,40,55.81,53.12,50.6,61.84,2,3,24,19,34,30,42,41,2.24,1.38,-1,5,4,1,0.86
"COL","2018-02-01","2017020785","20172018","EDM","0",53.68,50,47.27,47.14,51.49,44.13,2,2,26,29,33,37,52,49,1.78,2.25,0,-3,-4,3,-0.47
"COL","2018-02-03","2017020799","20172018","WPG","0",53.38,0,46,43.48,42.53,33.72,0,1,23,27,30,39,37,50,1.14,2.24,-1,-4,-9,-13,-1.1
"COL","2018-02-06","2017020822","20172018","S.J","1",51.87,66.67,37.5,42.65,43.01,52.1,2,1,18,30,29,39,40,53,1.46,1.34,1,-12,-10,-13,0.12
"COL","2018-02-08","2017020831","20172018","STL","0",49.82,16.67,44,42.25,47.42,35.16,1,5,22,28,30,41,46,51,1.32,2.43,-4,-6,-11,-5,-1.11
"COL","2018-02-10","2017020847","20172018","CAR","0",46.08,25,41.18,39.44,40.91,31.61,1,3,21,30,28,43,36,52,1.68,3.63,-2,-9,-15,-16,-1.95
"COL","2018-02-11","2017020856","20172018","BUF","0",38.28,100,41.67,42.86,42.42,46,3,0,15,21,24,32,28,38,1.05,1.23,3,-6,-8,-10,-0.18
"COL","2018-02-14","2017020877","20172018","MTL","1",46,100,38.98,38.27,42.57,37.45,2,0,23,36,31,50,43,58,1.44,2.41,2,-13,-19,-15,-0.97
"COL","2018-02-16","2017020892","20172018","WPG","0",43.48,25,51.28,49.12,46.05,39.91,1,3,20,19,28,29,35,41,0.99,1.49,-2,1,-1,-6,-0.5
"COL","2018-02-18","2017020906","20172018","EDM","1",50.38,40,41.38,43.9,45.92,42.4,2,3,24,34,36,46,45,53,1.72,2.34,-1,-10,-10,-8,-0.62
"COL","2018-02-20","2017020926","20172018","VAN","0",53.47,0,54,49.3,47.25,44.22,0,3,27,23,35,36,43,48,1.76,2.21,-3,4,-1,-5,-0.46
"COL","2018-02-22","2017020938","20172018","EDM","0",56.32,40,39.44,41.24,43.61,33.18,2,3,28,43,40,57,58,75,1.93,3.88,-1,-15,-17,-17,-1.96
"COL","2018-02-24","2017020947","20172018","CGY","0",52.88,25,52.08,44.16,43.56,45.27,1,3,25,23,34,43,44,57,1.44,1.74,-2,2,-9,-13,-0.3
"COL","2018-02-26","2017020967","20172018","VAN","1",44.92,100,46.34,54.29,53,61.5,1,0,19,22,38,32,53,47,2.53,1.58,1,-3,6,6,0.94
"COL","2018-02-28","2017020981","20172018","CGY","1",39.82,75,51.06,46.67,38.55,48.52,3,1,24,23,28,32,32,51,1.21,1.28,2,1,-4,-19,-0.07
"COL","2018-03-02","2017020995","20172018","MIN","1",51.52,100,44,43.84,46.08,55.51,6,0,22,28,32,41,47,55,1.53,1.23,6,-6,-9,-8,0.3
"COL","2018-03-04","2017021009","20172018","NSH","1",48.45,50,47.73,47.06,48,47.72,2,2,21,23,32,36,48,52,1.47,1.61,0,-2,-4,-4,-0.14
"COL","2018-03-06","2017021027","20172018","CHI","0",51.38,0,51.85,48.61,50.52,51.35,0,2,28,26,35,37,49,48,2.43,2.3,-2,2,-2,1,0.13
"COL","2018-03-08","2017021034","20172018","CBJ","0",45.3,42.86,36.67,35.62,42.22,40.38,3,4,22,38,26,47,38,52,2.15,3.17,-1,-16,-21,-14,-1.02
"COL","2018-03-10","2017021052","20172018","ARI","1",46.75,66.67,52.08,48.48,51.14,39.28,4,2,25,23,32,34,45,43,1.14,1.76,2,2,-2,2,-0.62
"COL","2018-03-13","2017021075","20172018","MIN","0",47.83,75,38.64,41.79,46.15,49.4,3,1,17,27,28,39,42,49,1.33,1.36,2,-10,-11,-7,-0.03
"COL","2018-03-15","2017021088","20172018","STL","0",51.57,75,35.59,32.53,35.29,30.27,3,1,21,38,27,56,36,66,1.16,2.67,2,-17,-29,-30,-1.51
"COL","2018-03-16","2017021094","20172018","NSH","1",43.97,40,61.7,61.67,55.26,58.85,2,3,29,18,37,23,42,34,2.3,1.61,-1,11,14,8,0.69
"COL","2018-03-18","2017021108","20172018","DET","1",49.9,80,47.17,47.83,46.88,48.84,4,1,25,28,33,36,45,51,1.69,1.77,3,-3,-3,-6,-0.08
