"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"COL","2015-10-08","2015020011","20152016","MIN","1",1.12,100,100,100,100,100,2,0,2,0,2,0,2,0,0.12,0,2,2,2,2,0.12
"COL","2015-10-10","2015020027","20152016","DAL","1",6.25,100,83.33,88.89,92.31,99.26,2,0,5,1,8,1,12,1,0.53,0,2,4,7,11,0.52
"COL","2015-10-14","2015020048","20152016","BOS","1",6.35,100,100,100,100,100,1,0,4,0,7,0,9,0,0.33,0,1,4,7,9,0.33
"COL","2015-10-16","2015020063","20152016","ANA","0",2.83,0,100,100,100,100,0,0,2,0,2,0,4,0,0.16,0,0,2,2,4,0.16
"COL","2015-10-18","2015020079","20152016","L.A","0",9.25,100,100,100,100,100,1,0,7,0,9,0,14,0,0.81,0,1,7,9,14,0.81
"COL","2015-10-21","2015020091","20152016","CAR","1",6.53,0,83.33,85.71,85.71,78.54,0,0,5,1,6,1,6,1,0.44,0.12,0,4,5,5,0.32
"COL","2015-10-24","2015020115","20152016","CBJ","1",7.75,100,100,100,100,100,1,0,5,0,14,0,17,0,0.96,0,1,5,14,17,0.96
"COL","2015-10-27","2015020128","20152016","FLA","0",9.13,0,91.67,92.31,94.44,94.68,0,1,11,1,12,1,17,1,1.02,0.06,-1,10,11,16,0.97
"COL","2015-10-29","2015020140","20152016","T.B","0",11.73,0,64.29,70.59,68.42,59.8,0,0,9,5,12,5,13,6,0.58,0.39,0,4,7,7,0.19
"COL","2015-10-30","2015020148","20152016","CAR","0",5.5,0,100,100,100,100,0,0,7,0,8,0,9,0,0.84,0,0,7,8,9,0.84
"COL","2015-11-01","2015020164","20152016","S.J","1",4.93,66.67,75,75,77.78,86.98,2,1,6,2,6,2,7,2,0.61,0.09,1,4,4,5,0.52
"COL","2015-11-03","2015020178","20152016","CGY","1",4.77,100,100,100,100,100,1,0,7,0,7,0,7,0,0.46,0,1,7,7,7,0.46
"COL","2015-11-05","2015020191","20152016","ARI","0",8.77,0,75,83.33,90.91,56.38,0,0,3,1,5,1,10,1,0.48,0.37,0,2,4,9,0.11
"COL","2015-11-06","2015020197","20152016","NYR","1",8.48,100,85.71,87.5,90.91,99.3,1,0,6,1,7,1,10,1,0.48,0,1,5,6,9,0.48
"COL","2015-11-10","2015020218","20152016","PHI","0",3.23,100,100,100,100,100,1,0,4,0,4,0,7,0,0.68,0,1,4,4,7,0.68
"COL","2015-11-12","2015020230","20152016","BOS","0",5.98,0,100,100,100,100,0,0,1,0,1,0,3,0,0.03,0,0,1,1,3,0.03
"COL","2015-11-14","2015020250","20152016","MTL","0",2.88,100,100,100,100,100,1,0,6,0,9,0,9,0,1.06,0,1,6,9,9,1.06
"COL","2015-11-17","2015020272","20152016","TOR","0",6.77,0,60,66.67,72.73,83.85,0,1,3,2,6,3,8,3,0.41,0.08,-1,1,3,5,0.33
"COL","2015-11-19","2015020280","20152016","PIT","0",6.7,100,88.89,90,90.91,97.3,1,0,8,1,9,1,10,1,0.97,0.03,1,7,8,9,0.94
"COL","2015-11-21","2015020298","20152016","WSH","0",1.38,100,100,100,100,100,1,0,2,0,2,0,2,0,0.38,0,1,2,2,2,0.38
"COL","2015-11-23","2015020314","20152016","WPG","0",5.32,100,83.33,83.33,88.89,99.06,1,0,5,1,5,1,8,1,0.58,0.01,1,4,4,7,0.57
"COL","2015-11-25","2015020328","20152016","OTT","1",8.12,0,77.78,84.62,88.89,77.41,0,0,7,2,11,2,16,2,0.8,0.23,0,5,9,14,0.57
"COL","2015-11-28","2015020350","20152016","WPG","1",4.12,0,80,87.5,90,81.88,0,1,4,1,7,1,9,1,0.56,0.12,-1,3,6,8,0.43
