"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"COL","2017-10-05","2017020007","20172018","NYR","0",9.88,0,0,0,0,0,0,2,0,15,0,18,0,21,0,1.73,-2,-15,-18,-21,-1.73
"COL","2017-10-07","2017020019","20172018","N.J","0",7.5,0,10,7.14,5.56,4.19,0,3,1,9,1,13,1,17,0.07,1.63,-3,-8,-12,-16,-1.56
"COL","2017-10-09","2017020032","20172018","BOS","0",8,100,20,25,25,30.03,1,0,1,4,2,6,3,9,0.26,0.6,1,-3,-4,-6,-0.34
"COL","2017-10-11","2017020048","20172018","BOS","1",6.97,0,12.5,10,7.69,0.42,0,1,1,7,1,9,1,12,0,0.95,-1,-6,-8,-11,-0.95
"COL","2017-10-13","2017020060","20172018","ANA","1",4,0,0,0,0,0,0,0,0,3,0,5,0,8,0,0.38,0,-3,-5,-8,-0.38
"COL","2017-10-14","2017020069","20172018","DAL","0",9.55,0,11.11,5.88,4.55,0.92,0,1,1,8,1,16,1,21,0.02,1.93,-1,-7,-15,-20,-1.91
"COL","2017-10-17","2017020086","20172018","NSH","0",7.63,0,6.67,11.76,11.11,2.02,0,1,1,14,2,15,2,16,0.04,1.93,-1,-13,-13,-14,-1.89
"COL","2017-10-19","2017020101","20172018","STL","1",3.97,0,40,28.57,22.22,4.79,0,0,2,3,2,5,2,7,0.01,0.19,0,-1,-3,-5,-0.18
"COL","2017-10-24","2017020134","20172018","DAL","1",4.57,0,50,33.33,28.57,7.65,0,0,2,2,2,4,2,5,0.03,0.38,0,0,-2,-3,-0.35
"COL","2017-10-27","2017020149","20172018","VGK","0",8.22,0,20,12.5,10,1.02,0,1,1,4,1,7,1,9,0,0.34,-1,-3,-6,-8,-0.34
"COL","2017-10-28","2017020165","20172018","CHI","1",10,0,0,0,0,0,0,0,0,8,0,11,0,17,0,0.59,0,-8,-11,-17,-0.59
"COL","2017-11-02","2017020194","20172018","CAR","1",4,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0.05,0,-1,-1,-4,-0.05
"COL","2017-11-04","2017020204","20172018","PHI","0",10.62,50,18.18,12.5,8.33,3.42,1,1,2,9,2,14,2,22,0.05,1.32,0,-7,-12,-20,-1.28
"COL","2017-11-05","2017020214","20172018","NYI","0",0.63,0,0,0,0,0,0,2,0,2,0,2,0,3,0,0.17,-2,-2,-2,-3,-0.17
"COL","2017-11-10","2017020247","20172018","OTT","1",4,0,0,25,14.29,40.64,0,0,0,1,1,3,1,6,0.14,0.2,0,-1,-2,-5,-0.06
"COL","2017-11-11","2017020252","20172018","OTT","0",9.52,33.33,6.25,4.55,3.7,3.44,1,2,1,15,1,21,1,26,0.08,2.12,-1,-14,-20,-25,-2.05
"COL","2017-11-16","2017020285","20172018","WSH","1",8.82,0,18.18,13.33,9.52,28.69,0,1,2,9,2,13,2,19,0.34,0.84,-1,-7,-11,-17,-0.5
"COL","2017-11-18","2017020302","20172018","NSH","0",6.92,0,11.11,11.11,11.11,17.91,0,2,1,8,1,8,1,8,0.12,0.56,-2,-7,-7,-7,-0.44
"COL","2017-11-19","2017020306","20172018","DET","0",5.82,0,0,8.33,5.88,0.85,0,1,0,8,1,11,1,16,0.01,0.82,-1,-8,-10,-15,-0.81
"COL","2017-11-22","2017020330","20172018","DAL","1",3.53,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0.4,0,-4,-4,-5,-0.4
"COL","2017-11-24","2017020336","20172018","MIN","0",2.83,50,80,80,66.67,64.56,1,1,4,1,4,1,4,2,0.15,0.08,0,3,3,2,0.07
"COL","2017-11-25","2017020356","20172018","CGY","1",7.27,0,0,11.11,7.14,7.04,0,1,0,5,1,8,1,13,0.06,0.82,-1,-5,-7,-12,-0.76
"COL","2017-11-29","2017020380","20172018","WPG","1",7.18,0,42.86,33.33,30.77,12.44,0,0,3,4,3,6,4,9,0.08,0.58,0,-1,-3,-5,-0.5
"COL","2017-12-01","2017020395","20172018","N.J","1",8.72,0,0,0,7.14,0,0,1,0,6,0,10,1,13,0,0.74,-1,-6,-10,-12,-0.74
"COL","2017-12-03","2017020410","20172018","DAL","1",7.93,0,12.5,11.11,10,1.35,0,0,1,7,1,8,1,9,0,0.29,0,-6,-7,-8,-0.28
"COL","2017-12-05","2017020422","20172018","BUF","1",6,0,18.18,16.67,12.5,2.64,0,0,2,9,2,10,2,14,0.02,0.56,0,-7,-8,-12,-0.54
"COL","2017-12-07","2017020433","20172018","T.B","0",9.33,0,16.67,15.38,15.79,43.8,0,1,1,5,2,11,3,16,0.59,0.76,-1,-4,-9,-13,-0.17
"COL","2017-12-09","2017020448","20172018","FLA","0",8.05,0,0,0,5.88,0,0,0,0,8,0,11,1,16,0,0.81,0,-8,-11,-15,-0.81
"COL","2017-12-11","2017020462","20172018","PIT","0",4.07,0,33.33,25,16.67,17.64,0,0,1,2,1,3,1,5,0.08,0.35,0,-1,-2,-4,-0.28
"COL","2017-12-12","2017020469","20172018","WSH","0",0.42,0,100,100,100,100,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0
"COL","2017-12-14","2017020486","20172018","FLA","1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL","2017-12-16","2017020505","20172018","T.B","1",5.13,0,0,0,16.67,0,0,0,0,2,0,4,1,5,0,0.28,0,-2,-4,-4,-0.28
"COL","2017-12-18","2017020514","20172018","PIT","1",2.92,0,33.33,25,16.67,49.25,0,0,1,2,1,3,1,5,0.13,0.13,0,-1,-2,-4,0
"COL","2017-12-21","2017020537","20172018","L.A","0",6,0,0,0,0,0,0,0,0,4,0,7,0,11,0,1.3,0,-4,-7,-11,-1.3
"COL","2017-12-23","2017020554","20172018","ARI","0",8,0,0,0,0,0,0,0,0,7,0,10,0,19,0,0.59,0,-7,-10,-19,-0.59
"COL","2017-12-27","2017020567","20172018","ARI","1",6.23,0,0,0,0,0,0,0,0,5,0,5,0,10,0,0.81,0,-5,-5,-10,-0.81
"COL","2017-12-29","2017020584","20172018","TOR","1",4,0,0,0,0,0,0,0,0,7,0,8,0,10,0,0.35,0,-7,-8,-10,-0.35
"COL","2017-12-31","2017020597","20172018","NYI","1",6,0,37.5,33.33,36.36,12.46,0,0,3,5,3,6,4,7,0.05,0.37,0,-2,-3,-3,-0.32
"COL","2018-01-02","2017020610","20172018","WPG","1",7.72,0,0,0,0,0,0,1,0,8,0,12,0,19,0,1.13,-1,-8,-12,-19,-1.13
"COL","2018-01-04","2017020624","20172018","CBJ","1",6,0,0,0,0,0,0,0,0,6,0,9,0,10,0,0.56,0,-6,-9,-10,-0.56
"COL","2018-01-06","2017020635","20172018","MIN","1",5.72,0,0,10,9.09,0.55,0,1,0,6,1,9,1,10,0,0.65,-1,-6,-8,-9,-0.65
"COL","2018-01-13","2017020675","20172018","DAL","0",6.28,0,12.5,7.69,7.14,0.32,0,0,1,7,1,12,1,13,0,1.5,0,-6,-11,-12,-1.49
"COL","2018-01-15","2017020684","20172018","ANA","1",4,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0.06,0,-2,-2,-3,-0.06
"COL","2018-01-18","2017020703","20172018","S.J","1",12,0,4,3.7,3.03,0.28,0,1,1,24,1,26,1,32,0.01,1.97,-1,-23,-25,-31,-1.97
"COL","2018-01-20","2017020710","20172018","NYR","1",1.47,0,0,0,0,0,0,1,0,3,0,5,0,7,0,0.54,-1,-3,-5,-7,-0.54
"COL","2018-01-22","2017020726","20172018","TOR","0",4.82,0,25,14.29,12.5,3.16,0,0,1,3,1,6,1,7,0.02,0.64,0,-2,-5,-6,-0.62
"COL","2018-01-23","2017020734","20172018","MTL","0",7.65,0,21.05,16.67,14.81,8.7,0,1,4,15,4,20,4,23,0.19,2,-1,-11,-16,-19,-1.81
"COL","2018-01-25","2017020753","20172018","STL","0",4.88,0,0,0,9.09,0,0,2,0,6,0,8,1,10,0,0.74,-2,-6,-8,-9,-0.74
"COL","2018-01-30","2017020772","20172018","VAN","0",6,0,12.5,9.09,7.69,3.82,0,1,1,7,1,10,1,12,0.04,1.08,-1,-6,-9,-11,-1.03
"COL","2018-02-01","2017020785","20172018","EDM","0",6,100,33.33,14.29,8.33,31.08,1,0,1,2,1,6,1,11,0.19,0.42,1,-1,-5,-10,-0.23
"COL","2018-02-03","2017020799","20172018","WPG","0",3.07,0,0,16.67,11.11,17.63,0,1,0,4,1,5,1,8,0.11,0.5,-1,-4,-4,-7,-0.39
"COL","2018-02-06","2017020822","20172018","S.J","1",3.33,0,0,0,0,0,0,0,0,6,0,8,0,13,0,0.61,0,-6,-8,-13,-0.61
"COL","2018-02-08","2017020831","20172018","STL","0",1.1,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.38,-1,-2,-2,-2,-0.38
"COL","2018-02-10","2017020847","20172018","CAR","0",4.75,0,25,8.33,7.69,26.8,0,0,1,3,1,11,1,12,0.25,0.69,0,-2,-10,-11,-0.44
"COL","2018-02-11","2017020856","20172018","BUF","0",9.37,50,37.5,30,30,46.24,1,1,3,5,3,7,3,7,0.41,0.48,0,-2,-4,-4,-0.07
"COL","2018-02-14","2017020877","20172018","MTL","1",7.33,0,0,0,0,0,0,0,0,5,0,7,0,14,0,0.39,0,-5,-7,-14,-0.39
"COL","2018-02-16","2017020892","20172018","WPG","0",7.12,0,12.5,10,23.08,5.14,0,2,1,7,1,9,3,10,0.06,1.12,-2,-6,-8,-7,-1.06
"COL","2018-02-18","2017020906","20172018","EDM","1",2,0,0,0,0,0,0,0,0,4,0,5,0,6,0,0.51,0,-4,-5,-6,-0.51
"COL","2018-02-20","2017020926","20172018","VAN","0",5.02,0,25,25,16.67,11.18,0,1,1,3,2,6,2,10,0.06,0.51,-1,-2,-4,-8,-0.45
"COL","2018-02-22","2017020938","20172018","EDM","0",4,0,0,0,0,0,0,0,0,3,0,6,0,6,0,0.38,0,-3,-6,-6,-0.38
"COL","2018-02-24","2017020947","20172018","CGY","0",4.83,0,0,12.5,6.67,6.09,0,2,0,6,1,7,1,14,0.04,0.61,-2,-6,-6,-13,-0.57
"COL","2018-02-26","2017020967","20172018","VAN","1",4,0,20,28.57,18.18,4.64,0,0,1,4,2,5,2,9,0.05,0.99,0,-3,-3,-7,-0.94
"COL","2018-02-28","2017020981","20172018","CGY","1",7.27,0,25,20,14.29,14.78,0,0,2,6,2,8,2,12,0.12,0.72,0,-4,-6,-10,-0.59
"COL","2018-03-02","2017020995","20172018","MIN","1",4.18,0,0,0,0,0,0,0,0,2,0,3,0,4,0,0.19,0,-2,-3,-4,-0.19
"COL","2018-03-04","2017021009","20172018","NSH","1",4.52,0,0,0,0,0,0,1,0,4,0,6,0,8,0,0.31,-1,-4,-6,-8,-0.31
"COL","2018-03-06","2017021027","20172018","CHI","0",4,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0.07,0,-1,-2,-6,-0.07
"COL","2018-03-08","2017021034","20172018","CBJ","0",8.88,0,0,0,0,0,0,1,0,6,0,10,0,13,0,0.59,-1,-6,-10,-13,-0.59
"COL","2018-03-10","2017021052","20172018","ARI","1",6,0,20,10,8.33,20.95,0,0,1,4,1,9,1,11,0.24,0.89,0,-3,-8,-10,-0.65
"COL","2018-03-13","2017021075","20172018","MIN","0",7.72,0,14.29,8.33,7.14,10.67,0,0,1,6,1,11,1,13,0.09,0.75,0,-5,-10,-12,-0.66
"COL","2018-03-15","2017021088","20172018","STL","0",4,0,25,14.29,20,10.41,0,0,1,3,1,6,2,8,0.06,0.47,0,-2,-5,-6,-0.42
"COL","2018-03-16","2017021094","20172018","NSH","1",6.72,0,0,7.69,6.25,2.34,0,0,0,9,1,12,1,15,0.02,0.89,0,-9,-11,-14,-0.87
"COL","2018-03-18","2017021108","20172018","DET","1",4.13,0,0,0,0,0,0,0,0,6,0,7,0,8,0,0.46,0,-6,-7,-8,-0.46
"COL","2018-03-20","2017021129","20172018","CHI","0",4.57,0,11.11,9.09,8.33,1.1,0,1,1,8,1,10,1,11,0.01,0.57,-1,-7,-9,-10,-0.57
"COL","2018-03-22","2017021144","20172018","L.A","1",1.9,0,40,40,33.33,67.01,0,1,2,3,2,3,2,4,0.39,0.19,-1,-1,-1,-2,0.2
"COL","2018-03-24","2017021151","20172018","VGK","1",2,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0.12,0,-3,-3,-3,-0.12
"COL","2018-03-26","2017021175","20172018","VGK","0",4.68,0,0,0,0,0,0,2,0,8,0,9,0,9,0,1.45,-2,-8,-9,-9,-1.45
"COL","2018-03-28","2017021188","20172018","PHI","1",4,0,0,0,0,0,0,0,0,5,0,5,0,6,0,0.71,0,-5,-5,-6,-0.71
"COL","2018-03-30","2017021203","20172018","CHI","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL","2018-04-01","2017021222","20172018","ANA","0",4,0,0,0,0,0,0,0,0,8,0,9,0,9,0,0.86,0,-8,-9,-9,-0.86
"COL","2018-04-02","2017021228","20172018","L.A","0",2.42,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0.16,0,-3,-3,-4,-0.16
"COL","2018-04-05","2017021252","20172018","S.J","0",2.53,0,16.67,11.11,8.33,0.62,0,1,1,5,1,8,1,11,0,0.7,-1,-4,-7,-10,-0.69
"COL","2018-04-07","2017021266","20172018","STL","1",3.48,0,0,0,0,0,0,1,0,4,0,6,0,9,0,0.36,-1,-4,-6,-9,-0.36
"COL","Total","-","20172018","-","-",5.51,11.54,11.46,10,8.73,7.88,6,46,58,448,70,630,81,847,4.69,54.9,-40,-390,-560,-766,-50.2
