"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"COL","2017-10-05","2017020007","20172018","NYR","0",41.43,5,4,16,18,6,5,0,0,-1,15,22,-7
"COL","2017-10-07","2017020019","20172018","N.J","0",39.92,4,6,19,24,4,5,0,0,1,19,15,4
"COL","2017-10-09","2017020032","20172018","BOS","0",49.7,5,15,17,20,3,1,0,0,-2,9,33,-24
"COL","2017-10-11","2017020048","20172018","BOS","1",43.63,5,10,14,14,3,5,2,2,2,22,27,-5
"COL","2017-10-13","2017020060","20172018","ANA","1",40.82,3,3,7,17,2,5,0,0,3,27,18,9
"COL","2017-10-14","2017020069","20172018","DAL","0",41.07,7,4,14,21,4,4,1,1,0,27,21,6
"COL","2017-10-17","2017020086","20172018","NSH","0",44.72,4,6,9,20,4,5,0,0,1,14,25,-11
"COL","2017-10-19","2017020101","20172018","STL","1",50.97,9,10,19,9,1,2,0,0,1,21,25,-4
"COL","2017-10-24","2017020134","20172018","DAL","1",50.13,6,11,17,15,3,1,0,0,-2,29,27,2
"COL","2017-10-27","2017020149","20172018","VGK","0",45.62,3,5,17,11,5,3,1,1,-2,20,26,-6
"COL","2017-10-28","2017020165","20172018","CHI","1",39.18,4,8,15,9,5,6,0,0,1,17,29,-12
"COL","2017-11-02","2017020194","20172018","CAR","1",51.2,7,7,20,13,2,2,0,0,0,29,34,-5
"COL","2017-11-04","2017020204","20172018","PHI","0",51.25,5,7,27,21,6,3,0,0,-3,17,30,-13
"COL","2017-11-05","2017020214","20172018","NYI","0",51.37,8,4,22,18,2,4,1,1,2,24,36,-12
"COL","2017-11-10","2017020247","20172018","OTT","1",53.07,9,5,24,18,1,2,0,0,1,18,27,-9
"COL","2017-11-11","2017020252","20172018","OTT","0",43.22,10,7,18,20,5,3,0,0,-2,15,31,-16
"COL","2017-11-16","2017020285","20172018","WSH","1",42.03,5,8,16,26,8,10,0,0,2,18,37,-19
"COL","2017-11-18","2017020302","20172018","NSH","0",36.13,7,4,7,8,4,3,0,1,0,19,19,0
"COL","2017-11-19","2017020306","20172018","DET","0",46.65,7,3,20,17,3,5,0,0,2,19,28,-9
"COL","2017-11-22","2017020330","20172018","DAL","1",50.27,5,9,14,14,2,1,0,0,-1,31,22,9
"COL","2017-11-24","2017020336","20172018","MIN","0",55.55,0,5,17,16,1,3,0,0,2,17,25,-8
"COL","2017-11-25","2017020356","20172018","CGY","1",45.53,11,7,8,12,1,3,0,0,2,16,24,-8
"COL","2017-11-29","2017020380","20172018","WPG","1",45.95,3,12,17,28,5,4,0,0,-1,16,25,-9
"COL","2017-12-01","2017020395","20172018","N.J","1",42,2,7,24,11,4,2,0,0,-2,19,24,-5
"COL","2017-12-03","2017020410","20172018","DAL","1",45.6,4,2,15,10,3,2,0,0,-1,26,25,1
"COL","2017-12-05","2017020422","20172018","BUF","1",40.7,4,3,18,15,4,7,0,0,3,20,22,-2
"COL","2017-12-07","2017020433","20172018","T.B","0",44.67,1,3,15,13,5,3,0,0,-2,18,30,-12
"COL","2017-12-09","2017020448","20172018","FLA","0",42.6,7,6,13,25,5,3,0,0,-2,21,23,-2
"COL","2017-12-11","2017020462","20172018","PIT","0",48.63,3,6,17,22,2,3,0,0,1,21,18,3
"COL","2017-12-12","2017020469","20172018","WSH","0",52.58,6,9,20,23,0,4,0,0,4,18,25,-7
"COL","2017-12-14","2017020486","20172018","FLA","1",50.37,4,9,8,12,1,1,0,0,0,18,21,-3
"COL","2017-12-16","2017020505","20172018","T.B","1",44.65,2,2,14,12,3,5,1,0,1,26,22,4
"COL","2017-12-18","2017020514","20172018","PIT","1",51.53,1,3,10,11,2,3,0,0,1,23,20,3
"COL","2017-12-21","2017020537","20172018","L.A","0",50.73,10,2,16,24,3,3,0,0,0,23,21,2
"COL","2017-12-23","2017020554","20172018","ARI","0",43.75,4,5,13,18,6,5,2,2,-1,14,22,-8
"COL","2017-12-27","2017020567","20172018","ARI","1",47.63,4,7,13,11,2,2,0,0,0,26,20,6
"COL","2017-12-29","2017020584","20172018","TOR","1",50.72,3,7,17,18,2,3,0,0,1,22,38,-16
"COL","2017-12-31","2017020597","20172018","NYI","1",47.05,3,8,24,16,2,2,0,0,0,26,29,-3
"COL","2018-01-02","2017020610","20172018","WPG","1",52.5,4,8,19,18,3,2,0,0,-1,29,26,3
"COL","2018-01-04","2017020624","20172018","CBJ","1",48.92,3,4,19,11,3,3,0,0,0,23,32,-9
"COL","2018-01-06","2017020635","20172018","MIN","1",51.75,4,9,27,13,8,7,0,0,-1,26,31,-5
"COL","2018-01-13","2017020675","20172018","DAL","0",50.55,5,0,25,15,3,1,0,0,-2,18,29,-11
"COL","2018-01-15","2017020684","20172018","ANA","1",42.47,5,4,14,24,2,6,0,0,4,17,17,0
"COL","2018-01-18","2017020703","20172018","S.J","1",37.72,2,9,9,5,4,4,0,0,0,12,20,-8
"COL","2018-01-20","2017020710","20172018","NYR","1",55.45,2,9,29,24,0,1,0,0,1,17,30,-13
"COL","2018-01-22","2017020726","20172018","TOR","0",53.17,9,5,23,26,1,0,0,0,-1,19,35,-16
"COL","2018-01-23","2017020734","20172018","MTL","0",43.97,7,7,21,43,3,4,0,0,1,14,24,-10
"COL","2018-01-25","2017020753","20172018","STL","0",49.87,4,4,31,24,3,2,0,0,-1,21,25,-4
"COL","2018-01-30","2017020772","20172018","VAN","0",48.28,1,2,26,13,4,4,0,0,0,14,23,-9
"COL","2018-02-01","2017020785","20172018","EDM","0",53.68,8,5,25,29,2,0,0,0,-2,21,19,2
"COL","2018-02-03","2017020799","20172018","WPG","0",53.38,12,4,25,23,1,1,0,0,0,27,25,2
"COL","2018-02-06","2017020822","20172018","S.J","1",51.87,4,7,22,6,2,1,0,0,-1,19,24,-5
"COL","2018-02-08","2017020831","20172018","STL","0",49.82,5,3,24,17,1,4,1,1,3,16,34,-18
"COL","2018-02-10","2017020847","20172018","CAR","0",46.08,6,7,28,26,2,3,0,0,1,13,22,-9
"COL","2018-02-11","2017020856","20172018","BUF","0",38.28,2,4,8,5,2,3,0,0,1,11,21,-10
"COL","2018-02-14","2017020877","20172018","MTL","1",46,3,4,17,14,2,2,0,0,0,14,23,-9
"COL","2018-02-16","2017020892","20172018","WPG","0",43.48,15,0,14,22,4,4,1,1,0,11,23,-12
"COL","2018-02-18","2017020906","20172018","EDM","1",50.38,3,9,8,17,0,3,0,0,3,23,24,-1
"COL","2018-02-20","2017020926","20172018","VAN","0",53.47,3,5,26,29,3,6,0,0,3,23,32,-9
"COL","2018-02-22","2017020938","20172018","EDM","0",56.32,10,4,31,41,2,1,0,0,-1,21,20,1
"COL","2018-02-24","2017020947","20172018","CGY","0",52.88,11,3,15,15,5,2,0,0,-3,22,23,-1
"COL","2018-02-26","2017020967","20172018","VAN","1",44.92,2,2,11,16,2,3,0,0,1,17,27,-10
"COL","2018-02-28","2017020981","20172018","CGY","1",39.82,4,5,13,14,4,6,1,1,2,14,19,-5
"COL","2018-03-02","2017020995","20172018","MIN","1",51.52,0,3,23,16,2,2,0,0,0,24,27,-3
"COL","2018-03-04","2017021009","20172018","NSH","1",48.45,4,4,16,24,4,3,0,0,-1,20,26,-6
"COL","2018-03-06","2017021027","20172018","CHI","0",51.38,7,8,34,19,2,3,0,0,1,19,26,-7
"COL","2018-03-08","2017021034","20172018","CBJ","0",45.3,1,2,10,10,3,3,0,0,0,15,24,-9
"COL","2018-03-10","2017021052","20172018","ARI","1",46.75,6,5,15,15,5,5,1,1,0,22,23,-1
"COL","2018-03-13","2017021075","20172018","MIN","0",47.83,2,3,13,18,5,4,0,0,-1,17,27,-10
"COL","2018-03-15","2017021088","20172018","STL","0",51.57,2,6,16,26,1,1,0,0,0,15,17,-2
"COL","2018-03-16","2017021094","20172018","NSH","1",43.97,1,7,17,14,3,4,0,0,1,16,19,-3
"COL","2018-03-18","2017021108","20172018","DET","1",49.9,7,6,19,19,3,3,0,0,0,17,33,-16
"COL","2018-03-20","2017021129","20172018","CHI","0",49.27,10,8,25,28,4,3,0,0,-1,29,28,1
"COL","2018-03-22","2017021144","20172018","L.A","1",52.7,8,1,29,24,2,2,0,0,0,27,25,2
"COL","2018-03-24","2017021151","20172018","VGK","1",55.48,4,9,18,28,1,4,0,0,3,20,22,-2
"COL","2018-03-26","2017021175","20172018","VGK","0",46.87,5,0,30,26,3,3,0,0,0,18,22,-4
"COL","2018-03-28","2017021188","20172018","PHI","1",48,5,7,21,14,1,3,0,0,2,10,17,-7
"COL","2018-03-30","2017021203","20172018","CHI","1",56.33,5,5,27,20,1,3,0,0,2,23,26,-3
"COL","2018-04-01","2017021222","20172018","ANA","0",50.38,8,3,19,27,3,6,0,0,3,23,36,-13
"COL","2018-04-02","2017021228","20172018","L.A","0",49.38,9,1,20,40,1,3,1,1,2,22,26,-4
"COL","2018-04-05","2017021252","20172018","S.J","0",55.07,5,4,23,18,1,1,0,0,0,26,28,-2
"COL","2018-04-07","2017021266","20172018","STL","1",46.8,4,10,27,27,3,2,0,0,-1,38,24,14
"COL","Total","-","20172018","-","-",47.86,417,454,1523,1533,238,264,13,13,26,1643,2070,-427
