"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"COL","2017-10-05","2017020007","20172018","NYR","0",41.43,6,14,10,105,7,17,13,3,2
"COL","2017-10-07","2017020019","20172018","N.J","0",39.92,8,9,11,82,10,11,13,0,0
"COL","2017-10-09","2017020032","20172018","BOS","0",49.7,8,16,8,107,8,18,16,4,0
"COL","2017-10-11","2017020048","20172018","BOS","1",43.63,10,18,6,74,12,24,13,6,4
"COL","2017-10-13","2017020060","20172018","ANA","1",40.82,10,14,9,74,14,19,12,1,2
"COL","2017-10-14","2017020069","20172018","DAL","0",41.07,14,10,13,60,16,13,19,4,5
"COL","2017-10-17","2017020086","20172018","NSH","0",44.72,12,9,8,78,16,15,8,0,6
"COL","2017-10-19","2017020101","20172018","STL","1",50.97,11,15,9,108,13,18,15,3,4
"COL","2017-10-24","2017020134","20172018","DAL","1",50.13,18,16,4,102,22,18,16,9,5
"COL","2017-10-27","2017020149","20172018","VGK","0",45.62,10,18,6,72,11,21,14,6,4
"COL","2017-10-28","2017020165","20172018","CHI","1",39.18,8,16,10,64,8,21,17,6,3
"COL","2017-11-02","2017020194","20172018","CAR","1",51.2,12,17,16,103,15,22,26,7,3
"COL","2017-11-04","2017020204","20172018","PHI","0",51.25,13,15,11,92,16,16,15,4,3
"COL","2017-11-05","2017020214","20172018","NYI","0",51.37,11,17,18,88,13,21,26,6,3
"COL","2017-11-10","2017020247","20172018","OTT","1",53.07,7,18,11,103,8,21,16,2,2
"COL","2017-11-11","2017020252","20172018","OTT","0",43.22,9,18,9,75,12,19,15,3,3
"COL","2017-11-16","2017020285","20172018","WSH","1",42.03,11,17,8,78,15,27,13,2,5
"COL","2017-11-18","2017020302","20172018","NSH","0",36.13,11,14,3,57,16,18,4,0,2
"COL","2017-11-19","2017020306","20172018","DET","0",46.65,14,16,5,78,17,20,10,2,5
"COL","2017-11-22","2017020330","20172018","DAL","1",50.27,12,11,13,86,15,14,24,7,5
"COL","2017-11-24","2017020336","20172018","MIN","0",55.55,10,15,8,150,13,17,12,4,1
"COL","2017-11-25","2017020356","20172018","CGY","1",45.53,11,10,8,80,14,14,12,1,3
"COL","2017-11-29","2017020380","20172018","WPG","1",45.95,7,15,10,83,10,17,14,3,2
"COL","2017-12-01","2017020395","20172018","N.J","1",42,15,8,7,73,19,10,14,6,4
"COL","2017-12-03","2017020410","20172018","DAL","1",45.6,12,27,4,72,12,30,9,3,7
"COL","2017-12-05","2017020422","20172018","BUF","1",40.7,13,16,5,78,16,17,9,1,5
"COL","2017-12-07","2017020433","20172018","T.B","0",44.67,10,16,10,51,15,16,17,6,5
"COL","2017-12-09","2017020448","20172018","FLA","0",42.6,6,19,8,76,10,22,12,3,6
"COL","2017-12-11","2017020462","20172018","PIT","0",48.63,11,8,10,108,11,12,16,3,1
"COL","2017-12-12","2017020469","20172018","WSH","0",52.58,8,18,10,78,9,21,13,3,4
"COL","2017-12-14","2017020486","20172018","FLA","1",50.37,12,14,6,110,12,17,10,4,2
"COL","2017-12-16","2017020505","20172018","T.B","1",44.65,13,17,11,76,14,18,16,3,4
"COL","2017-12-18","2017020514","20172018","PIT","1",51.53,12,14,6,105,13,18,12,5,4
"COL","2017-12-21","2017020537","20172018","L.A","0",50.73,8,11,11,108,12,12,20,8,1
"COL","2017-12-23","2017020554","20172018","ARI","0",43.75,14,10,7,110,14,10,12,4,7
"COL","2017-12-27","2017020567","20172018","ARI","1",47.63,11,12,7,100,13,13,20,10,5
"COL","2017-12-29","2017020584","20172018","TOR","1",50.72,14,19,13,100,19,23,18,3,10
"COL","2017-12-31","2017020597","20172018","NYI","1",47.05,17,10,15,85,22,12,21,3,2
"COL","2018-01-02","2017020610","20172018","WPG","1",52.5,14,12,12,100,18,16,21,9,4
"COL","2018-01-04","2017020624","20172018","CBJ","1",48.92,13,9,15,93,19,11,25,8,4
"COL","2018-01-06","2017020635","20172018","MIN","1",51.75,8,19,12,106,8,23,26,9,1
"COL","2018-01-13","2017020675","20172018","DAL","0",50.55,13,17,7,93,16,19,12,2,5
"COL","2018-01-15","2017020684","20172018","ANA","1",42.47,5,10,7,106,6,16,12,4,2
"COL","2018-01-18","2017020703","20172018","S.J","1",37.72,7,13,5,84,10,16,6,1,3
"COL","2018-01-20","2017020710","20172018","NYR","1",55.45,15,12,10,107,19,13,15,3,5
"COL","2018-01-22","2017020726","20172018","TOR","0",53.17,14,14,8,102,19,17,18,11,6
"COL","2018-01-23","2017020734","20172018","MTL","0",43.97,6,11,11,113,10,13,15,3,5
"COL","2018-01-25","2017020753","20172018","STL","0",49.87,16,11,10,109,18,12,16,2,2
"COL","2018-01-30","2017020772","20172018","VAN","0",48.28,9,15,5,149,10,17,10,3,3
"COL","2018-02-01","2017020785","20172018","EDM","0",53.68,7,13,11,98,11,16,13,1,2
"COL","2018-02-03","2017020799","20172018","WPG","0",53.38,16,15,9,84,17,19,16,5,3
"COL","2018-02-06","2017020822","20172018","S.J","1",51.87,8,12,13,103,9,15,19,4,2
"COL","2018-02-08","2017020831","20172018","STL","0",49.82,13,16,10,87,19,21,10,0,9
"COL","2018-02-10","2017020847","20172018","CAR","0",46.08,11,12,2,98,16,14,5,1,2
"COL","2018-02-11","2017020856","20172018","BUF","0",38.28,5,10,6,86,7,13,12,3,3
"COL","2018-02-14","2017020877","20172018","MTL","1",46,9,9,10,82,12,9,16,3,4
"COL","2018-02-16","2017020892","20172018","WPG","0",43.48,10,10,7,94,11,13,10,2,3
"COL","2018-02-18","2017020906","20172018","EDM","1",50.38,10,14,10,108,13,17,17,5,6
"COL","2018-02-20","2017020926","20172018","VAN","0",53.47,13,20,9,147,19,22,14,5,7
"COL","2018-02-22","2017020938","20172018","EDM","0",56.32,7,11,13,110,11,13,17,3,0
"COL","2018-02-24","2017020947","20172018","CGY","0",52.88,12,16,5,110,15,16,14,7,6
"COL","2018-02-26","2017020967","20172018","VAN","1",44.92,18,13,4,81,22,15,7,2,11
"COL","2018-02-28","2017020981","20172018","CGY","1",39.82,6,12,5,78,8,13,12,5,1
"COL","2018-03-02","2017020995","20172018","MIN","1",51.52,8,20,12,85,10,22,19,6,5
"COL","2018-03-04","2017021009","20172018","NSH","1",48.45,12,12,9,108,17,14,15,4,2
"COL","2018-03-06","2017021027","20172018","CHI","0",51.38,13,15,8,107,18,17,10,3,9
"COL","2018-03-08","2017021034","20172018","CBJ","0",45.3,11,9,8,67,12,15,12,3,2
"COL","2018-03-10","2017021052","20172018","ARI","1",46.75,15,13,13,76,16,14,15,2,6
"COL","2018-03-13","2017021075","20172018","MIN","0",47.83,8,15,5,100,11,21,12,1,4
"COL","2018-03-15","2017021088","20172018","STL","0",51.57,9,11,5,119,9,11,12,5,0
"COL","2018-03-16","2017021094","20172018","NSH","1",43.97,11,10,7,85,13,12,10,2,3
"COL","2018-03-18","2017021108","20172018","DET","1",49.9,16,11,8,105,23,12,15,3,5
"COL","2018-03-20","2017021129","20172018","CHI","0",49.27,14,13,12,74,18,15,24,13,4
"COL","2018-03-22","2017021144","20172018","L.A","1",52.7,13,20,10,129,17,21,14,4,6
"COL","2018-03-24","2017021151","20172018","VGK","1",55.48,12,10,7,136,14,11,17,6,7
"COL","2018-03-26","2017021175","20172018","VGK","0",46.87,8,14,10,115,12,15,13,3,3
"COL","2018-03-28","2017021188","20172018","PHI","1",48,10,7,5,117,11,8,8,3,2
"COL","2018-03-30","2017021203","20172018","CHI","1",56.33,12,12,12,104,15,14,20,6,3
"COL","2018-04-01","2017021222","20172018","ANA","0",50.38,10,9,18,60,14,14,31,9,1
"COL","2018-04-02","2017021228","20172018","L.A","0",49.38,16,16,7,73,16,19,13,3,2
"COL","2018-04-05","2017021252","20172018","S.J","0",55.07,10,14,14,108,14,18,22,4,7
"COL","2018-04-07","2017021266","20172018","STL","1",46.8,16,13,13,88,22,19,21,6,6
"COL","Total","-","20172018","-","-",47.86,908,1127,743,7713,1137,1353,1223,335,315
