"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"COL","2017-10-05","2017020007","20172018","NYR","0",6.97,5,0,0,6,6,0,0,0,0
"COL","2017-10-07","2017020019","20172018","N.J","0",11.85,7,3,1,10,7,3,1,0,0
"COL","2017-10-09","2017020032","20172018","BOS","0",2,1,0,0,0,1,0,0,0,0
"COL","2017-10-11","2017020048","20172018","BOS","1",8.73,9,1,0,5,11,1,0,0,0
"COL","2017-10-13","2017020060","20172018","ANA","1",14.03,9,2,2,6,10,4,3,0,0
"COL","2017-10-14","2017020069","20172018","DAL","0",8,5,3,0,8,5,3,0,0,0
"COL","2017-10-17","2017020086","20172018","NSH","0",7.25,4,1,0,10,4,1,1,0,0
"COL","2017-10-19","2017020101","20172018","STL","1",3.25,2,0,0,3,2,0,0,0,0
"COL","2017-10-24","2017020134","20172018","DAL","1",4.57,4,2,0,4,5,2,0,0,0
"COL","2017-10-27","2017020149","20172018","VGK","0",6.02,4,1,0,3,4,1,0,0,0
"COL","2017-10-28","2017020165","20172018","CHI","1",7.5,5,3,0,7,5,3,1,0,0
"COL","2017-11-02","2017020194","20172018","CAR","1",2.92,1,1,0,4,1,1,0,0,0
"COL","2017-11-04","2017020204","20172018","PHI","0",3.13,4,1,0,2,4,2,0,0,0
"COL","2017-11-05","2017020214","20172018","NYI","0",8,7,1,0,7,9,2,0,0,0
"COL","2017-11-10","2017020247","20172018","OTT","1",3.5,4,0,0,4,4,0,0,0,0
"COL","2017-11-11","2017020252","20172018","OTT","0",5.67,4,1,0,1,7,1,0,0,0
"COL","2017-11-16","2017020285","20172018","WSH","1",9,6,0,0,13,6,0,0,0,0
"COL","2017-11-18","2017020302","20172018","NSH","0",16.9,10,4,0,18,12,6,0,0,0
"COL","2017-11-19","2017020306","20172018","DET","0",9.45,6,0,0,10,7,2,0,0,0
"COL","2017-11-22","2017020330","20172018","DAL","1",6,4,1,0,4,4,2,0,0,0
"COL","2017-11-24","2017020336","20172018","MIN","0",6,3,1,0,4,4,1,0,0,0
"COL","2017-11-25","2017020356","20172018","CGY","1",5.02,5,0,0,4,6,0,0,0,0
"COL","2017-11-29","2017020380","20172018","WPG","1",7.42,3,1,0,5,4,2,0,0,0
