"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"COL","2018-10-04","2018020013","20182019","MIN","1",5.97,0,0,5,6,0,0,5,0,0
"COL","2018-10-06","2018020026","20182019","PHI","1",5.95,0,0,4,8,0,0,4,0,0
"COL","2018-10-09","2018020038","20182019","CBJ","0",10.13,1,2,9,13,1,3,9,0,0
"COL","2018-10-11","2018020046","20182019","BUF","0",12.95,1,4,8,19,1,5,8,0,1
"COL","2018-10-13","2018020070","20182019","CGY","1",8,0,0,5,9,0,0,7,0,0
"COL","2018-10-16","2018020079","20182019","NYR","0",11.3,0,3,8,11,0,3,9,0,0
"COL","2018-10-18","2018020091","20182019","N.J","0",4.93,0,1,8,4,0,1,8,0,0
"COL","2018-10-20","2018020103","20182019","CAR","0",7.33,0,1,5,6,0,2,6,0,0
"COL","2018-10-22","2018020118","20182019","PHI","0",6,0,1,7,6,0,1,8,0,0
"COL","2018-10-24","2018020132","20182019","T.B","1",5.82,0,0,6,9,0,0,6,0,0
"COL","2018-10-26","2018020147","20182019","OTT","1",4,0,0,2,9,0,0,2,0,0
"COL","2018-10-27","2018020156","20182019","MIN","0",9.2,1,1,7,13,1,1,10,0,0
"COL","2018-11-01","2018020187","20182019","CGY","0",7,0,3,4,10,0,3,4,0,0
"COL","2018-11-02","2018020193","20182019","VAN","0",6.67,0,0,5,9,0,0,5,0,0
"COL","2018-11-07","2018020225","20182019","NSH","1",4.57,0,0,6,7,0,0,6,0,0
"COL","2018-11-09","2018020240","20182019","WPG","0",4.25,1,0,4,7,2,0,4,0,1
"COL","2018-11-11","2018020259","20182019","EDM","0",6,1,0,3,9,1,0,3,0,0
"COL","2018-11-14","2018020275","20182019","BOS","1",5.68,0,0,4,10,0,0,4,0,0
"COL","2018-11-16","2018020289","20182019","WSH","1",5.52,0,1,4,5,0,1,6,0,0
"COL","2018-11-18","2018020307","20182019","ANA","0",4.42,0,1,5,5,0,1,7,0,0
"COL","2018-11-21","2018020331","20182019","L.A","0",6,0,1,3,5,0,1,4,0,0
"COL","2018-11-23","2018020345","20182019","ARI","0",5.53,0,2,3,5,0,3,3,0,0
"COL","2018-11-24","2018020355","20182019","DAL","1",2.2,0,0,1,2,0,0,1,0,0
"COL","2018-11-27","2018020371","20182019","NSH","0",6,0,2,3,10,0,2,3,0,0
"COL","2018-11-28","2018020381","20182019","PIT","1",4.4,0,0,3,5,0,1,3,0,0
"COL","2018-11-30","2018020393","20182019","STL","1",6.82,0,1,3,9,0,1,4,0,0
"COL","2018-12-02","2018020410","20182019","DET","0",4,0,0,4,6,0,0,4,0,0
"COL","2018-12-04","2018020419","20182019","PIT","0",2.73,0,0,3,1,0,1,3,0,0
"COL","2018-12-06","2018020430","20182019","FLA","0",9.32,0,2,5,10,0,2,5,0,0
"COL","2018-12-08","2018020449","20182019","T.B","0",3.42,1,0,3,2,1,0,4,0,0
"COL","2018-12-11","2018020474","20182019","EDM","1",4.65,0,1,3,6,0,1,3,0,0
"COL","2018-12-14","2018020492","20182019","STL","0",6,0,2,5,8,0,2,5,0,0
"COL","2018-12-15","2018020503","20182019","DAL","1",5.9,1,1,4,8,1,1,4,0,0
"COL","2018-12-17","2018020516","20182019","NYI","1",6.33,0,1,4,11,0,2,4,0,0
"COL","2018-12-19","2018020529","20182019","MTL","1",6.93,1,1,4,9,1,1,4,0,1
"COL","2018-12-21","2018020544","20182019","CHI","1",6,0,2,5,3,0,3,5,0,0
"COL","2018-12-22","2018020555","20182019","ARI","0",4,0,1,3,6,0,1,3,0,0
"COL","2018-12-27","2018020577","20182019","VGK","0",7.48,0,1,7,8,0,3,8,0,0
"COL","2018-12-29","2018020595","20182019","CHI","1",5.23,0,2,4,2,0,2,5,0,0
"COL","2018-12-31","2018020607","20182019","L.A","1",4.43,0,1,3,6,1,1,3,0,0
"COL","2019-01-02","2018020619","20182019","S.J","1",3.82,0,2,4,3,0,2,5,0,0
"COL","2019-01-04","2018020633","20182019","NYR","1",4.15,0,1,3,5,0,1,3,0,0
"COL","2019-01-08","2018020665","20182019","WPG","0",5.92,0,0,6,8,0,0,6,0,0
"COL","2019-01-09","2018020669","20182019","CGY","0",2.17,1,0,2,2,1,0,2,0,0
"COL","2019-01-12","2018020691","20182019","MTL","0",5.47,0,1,3,9,0,1,4,0,0
"COL","2019-01-14","2018020706","20182019","TOR","0",4,0,1,3,7,0,1,3,0,0
"COL","2019-01-16","2018020721","20182019","OTT","0",6,0,3,3,7,0,3,3,0,0
"COL","2019-01-19","2018020741","20182019","L.A","1",7.07,1,2,3,7,1,3,3,0,0
"COL","2019-01-21","2018020756","20182019","NSH","1",6,1,2,4,4,1,3,4,0,0
"COL","2019-01-23","2018020767","20182019","MIN","1",10.3,0,3,8,8,0,3,9,0,0
"COL","2019-02-02","2018020800","20182019","VAN","1",3.72,0,0,3,6,0,0,3,0,0
"COL","2019-02-05","2018020819","20182019","CBJ","1",3.7,0,2,4,5,0,2,4,0,0
"COL","2019-02-07","2018020827","20182019","WSH","0",12.53,1,0,12,15,1,1,12,0,0
"COL","2019-02-09","2018020841","20182019","NYI","0",3.3,0,0,2,8,0,0,2,0,0
"COL","2019-02-10","2018020853","20182019","BOS","0",6.83,0,0,5,9,0,0,5,0,0
"COL","2019-02-12","2018020873","20182019","TOR","1",5.95,0,1,7,6,0,1,8,0,0
"COL","2019-02-14","2018020882","20182019","WPG","0",5.1,0,1,3,6,0,1,4,0,0
"COL","2019-02-16","2018020894","20182019","STL","1",5.92,0,1,4,6,0,1,4,0,0
"COL","2019-02-18","2018020913","20182019","VGK","1",8,0,1,6,12,0,1,6,0,0
"COL","2019-02-20","2018020926","20182019","WPG","1",6.52,0,0,4,13,0,1,4,0,0
"COL","2019-02-22","2018020942","20182019","CHI","0",4.07,1,1,4,3,1,1,4,0,1
"COL","2019-02-23","2018020951","20182019","NSH","0",8.35,0,0,9,2,0,0,9,0,0
"COL","2019-02-25","2018020966","20182019","FLA","1",3.03,0,0,3,4,0,0,4,0,0
"COL","2019-02-27","2018020982","20182019","VAN","1",10,0,0,8,13,0,1,8,0,0
"COL","2019-03-01","2018020998","20182019","S.J","0",5.23,0,0,7,4,0,0,7,0,0
"COL","2019-03-03","2018021012","20182019","ANA","0",6.05,0,2,3,8,1,2,3,0,0
"COL","2019-03-05","2018021026","20182019","DET","1",5.42,0,0,5,7,1,0,5,0,1
"COL","2019-03-07","2018021039","20182019","DAL","0",2,1,1,1,3,1,2,1,0,0
"COL","2019-03-09","2018021048","20182019","BUF","1",2,0,1,0,4,0,1,0,0,0
"COL","2019-03-11","2018021070","20182019","CAR","1",2,0,0,3,1,0,0,3,0,0
"COL","2019-03-15","2018021096","20182019","ANA","1",3.4,0,1,3,3,0,1,3,0,0
"COL","2019-03-17","2018021111","20182019","N.J","1",8,2,1,7,10,2,1,7,0,0
"COL","2019-03-19","2018021129","20182019","MIN","0",4.75,0,2,5,2,0,2,5,0,0
"COL","2019-03-21","2018021143","20182019","DAL","0",4,0,0,4,6,0,0,4,0,0
"COL","2019-03-23","2018021152","20182019","CHI","1",6.07,0,0,4,8,0,1,4,0,0
"COL","2019-03-24","2018021167","20182019","CHI","0",3.98,0,1,4,3,0,2,4,0,0
"COL","2019-03-27","2018021188","20182019","VGK","1",4.22,1,1,3,8,1,1,3,0,0
"COL","2019-03-29","2018021200","20182019","ARI","1",4.92,1,1,3,4,1,2,3,0,0
"COL","2019-04-01","2018021225","20182019","STL","0",2,0,0,1,3,0,0,1,0,0
"COL","2019-04-02","2018021236","20182019","EDM","1",2,0,0,5,2,0,0,5,0,0
"COL","2019-04-04","2018021251","20182019","WPG","1",6,0,1,3,7,0,1,3,0,0
"COL","2019-04-06","2018021271","20182019","S.J","0",4,0,1,3,6,0,1,3,0,0
"COL","Total","-","20182019","-","-",5.62,18,74,359,554,22,93,382,0,5
