"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"DAL","2015-10-08","2015020010","20152016","PIT","1",47.6,100,40.48,52.17,53.68,61.48,1,0,17,25,36,33,51,44,2.59,1.62,1,-8,3,7,0.97
"DAL","2015-10-10","2015020027","20152016","COL","0",46.5,33.33,55.56,53.23,55.79,50.54,2,4,25,20,33,29,53,42,1.42,1.39,-2,5,4,11,0.03
"DAL","2015-10-13","2015020043","20152016","EDM","1",48.73,60,63.49,61.04,63.16,66.17,3,2,40,23,47,30,72,42,3.55,1.81,1,17,17,30,1.73
"DAL","2015-10-15","2015020054","20152016","T.B","0",47.6,50,34.69,28.38,29.21,25.36,3,3,17,32,21,53,26,63,0.77,2.26,0,-15,-32,-37,-1.49
"DAL","2015-10-17","2015020068","20152016","FLA","0",53.77,50,58.62,54.67,54.74,57.73,2,2,34,24,41,34,52,43,2.55,1.87,0,10,7,9,0.68
"DAL","2015-10-20","2015020082","20152016","PHI","0",47.87,66.67,54.9,54.93,56.84,61.13,2,1,28,23,39,32,54,41,2.66,1.69,1,5,7,13,0.97
"DAL","2015-10-22","2015020093","20152016","PIT","0",49.35,75,42.22,49.18,49.41,43.56,3,1,19,26,30,31,42,43,1.65,2.14,2,-7,-1,-1,-0.49
"DAL","2015-10-24","2015020113","20152016","FLA","1",53.4,14.29,54.24,47.67,50.85,50.66,1,6,32,27,41,45,60,58,2.82,2.74,-5,5,-4,2,0.07
"DAL","2015-10-27","2015020132","20152016","ANA","1",46.05,50,63.16,64.91,57.14,73.23,2,2,24,14,37,20,44,33,3.3,1.2,0,10,17,11,2.09
"DAL","2015-10-29","2015020143","20152016","VAN","1",53.2,80,43.14,44.59,52.99,41.88,4,1,22,29,33,41,62,55,2.04,2.82,3,-7,-8,7,-0.79
"DAL","2015-10-31","2015020155","20152016","S.J","1",45.87,100,50,55.93,58.67,62.19,3,0,20,20,33,26,44,31,2.14,1.3,3,0,7,13,0.84
"DAL","2015-11-02","2015020169","20152016","TOR","0",46.62,33.33,65.52,60.24,62.75,49.51,1,2,38,20,50,33,64,38,2.34,2.38,-1,18,17,26,-0.05
"DAL","2015-11-03","2015020172","20152016","BOS","0",48.32,50,30.23,38.24,38.54,42.07,2,2,13,30,26,42,37,59,1,1.38,0,-17,-16,-22,-0.38
"DAL","2015-11-06","2015020196","20152016","CAR","0",56.12,75,47.27,51.11,53.15,55.76,3,1,26,29,46,44,59,52,4.04,3.21,2,-3,2,7,0.84
"DAL","2015-11-08","2015020211","20152016","DET","0",46.25,100,57.14,50,45.45,52.27,1,0,20,15,26,26,30,36,1.46,1.34,1,5,0,-6,0.13
"DAL","2015-11-10","2015020225","20152016","TOR","1",55.13,50,54.69,51.11,54.05,47.24,2,2,35,29,46,44,60,51,2.03,2.26,0,6,2,9,-0.24
