"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"DAL","2019-10-03","2019020010","20192020","BOS","1",3.2,0,100,100,100,100,0,0,5,0,6,0,8,0,0.6,0,0,5,6,8,0.6
"DAL","2019-10-05","2019020024","20192020","STL","0",4,0,85.71,87.5,90,99.63,0,0,6,1,7,1,9,1,0.83,0,0,5,6,8,0.83
"DAL","2019-10-06","2019020032","20192020","DET","0",4,0,100,100,100,100,0,0,3,0,5,0,8,0,0.58,0,0,3,5,8,0.58
"DAL","2019-10-08","2019020039","20192020","WSH","0",6.27,0,100,100,100,100,0,0,3,0,3,0,7,0,0.17,0,0,3,3,7,0.17
"DAL","2019-10-10","2019020055","20192020","CGY","1",7.5,100,100,100,100,100,1,0,8,0,14,0,19,0,1.1,0,1,8,14,19,1.1
"DAL","2019-10-12","2019020070","20192020","WSH","1",12,0,83.33,76.92,87.5,94.11,0,0,5,1,10,3,21,3,0.59,0.04,0,4,7,18,0.55
"DAL","2019-10-14","2019020082","20192020","BUF","0",4,0,100,100,100,100,0,0,1,0,5,0,5,0,0.3,0,0,1,5,5,0.3
"DAL","2019-10-16","2019020094","20192020","CBJ","0",3.97,0,100,100,100,100,0,0,2,0,3,0,3,0,0.36,0,0,2,3,3,0.36
"DAL","2019-10-18","2019020108","20192020","PIT","0",2,0,0,100,100,100,0,0,0,0,1,0,1,0,0.04,0,0,0,1,1,0.04
"DAL","2019-10-19","2019020117","20192020","PHI","0",1.72,100,50,50,50,65.52,1,0,1,1,2,2,2,2,0.16,0.08,1,0,0,0,0.07
"DAL","2019-10-21","2019020132","20192020","OTT","1",8.02,100,100,100,100,100,1,0,11,0,20,0,22,0,1.73,0,1,11,20,22,1.73
"DAL","2019-10-24","2019020152","20192020","ANA","1",2.78,0,100,100,100,100,0,0,5,0,6,0,7,0,0.75,0,0,5,6,7,0.75
"DAL","2019-10-26","2019020166","20192020","PIT","1",4.02,0,100,100,100,100,0,0,2,0,4,0,5,0,0.16,0,0,2,4,5,0.16
"DAL","2019-10-29","2019020186","20192020","MIN","1",5.43,100,100,100,100,100,1,0,9,0,10,0,11,0,1.11,0,1,9,10,11,1.11
"DAL","2019-11-01","2019020201","20192020","COL","0",4,0,100,90.91,92.86,99.43,0,0,5,0,10,1,13,1,0.75,0,0,5,9,12,0.75
"DAL","2019-11-02","2019020212","20192020","MTL","1",4.07,100,100,80,71.43,97.35,2,0,4,0,4,1,5,2,0.43,0.01,2,4,3,3,0.42
"DAL","2019-11-05","2019020230","20192020","COL","1",11.68,100,100,100,100,100,1,0,11,0,17,0,28,0,1.53,0,1,11,17,28,1.53
"DAL","2019-11-10","2019020264","20192020","WPG","0",2.02,0,0,25,25,51,0,0,0,3,1,3,1,3,0.09,0.09,0,-3,-2,-2,0
"DAL","2019-11-13","2019020284","20192020","CGY","0",5.92,100,90,84.62,85.71,95.8,1,0,9,1,11,2,12,2,1.1,0.05,1,8,9,10,1.05
"DAL","2019-11-14","2019020291","20192020","VAN","0",4,0,57.14,62.5,70,85.68,0,0,4,3,5,3,7,3,0.53,0.09,0,1,2,4,0.44
"DAL","2019-11-16","2019020301","20192020","EDM","0",3.83,0,100,100,100,100,0,0,4,0,5,0,9,0,0.43,0,0,4,5,9,0.43
"DAL","2019-11-19","2019020327","20192020","VAN","1",4.38,100,100,100,100,100,1,0,3,0,4,0,9,0,0.37,0,1,3,4,9,0.37
"DAL","2019-11-21","2019020342","20192020","WPG","1",4,0,50,50,80,96.35,0,0,1,1,1,1,4,1,0.11,0,0,0,0,3,0.11
"DAL","2019-11-23","2019020359","20192020","CHI","1",6.1,0,100,100,100,100,0,0,9,0,10,0,13,0,1.17,0,0,9,10,13,1.17
"DAL","2019-11-25","2019020371","20192020","VGK","1",4.02,100,88.89,90,86.67,94.5,2,0,8,1,9,1,13,2,1.02,0.06,2,7,8,11,0.96
"DAL","2019-11-26","2019020376","20192020","CHI","0",4,0,100,100,100,100,0,0,4,0,5,0,7,0,0.7,0,0,4,5,7,0.7
"DAL","2019-11-29","2019020402","20192020","STL","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAL","2019-12-01","2019020416","20192020","MIN","0",5.92,100,100,100,100,100,1,0,6,0,7,0,9,0,0.46,0,1,6,7,9,0.46
"DAL","2019-12-03","2019020431","20192020","WPG","0",3.17,0,100,100,80,100,0,0,3,0,3,0,4,1,0.23,0,0,3,3,3,0.23
"DAL","2019-12-05","2019020445","20192020","WPG","1",6.88,100,72.73,78.57,76.47,77.52,2,0,8,3,11,3,13,4,1.38,0.4,2,5,8,9,0.98
"DAL","2019-12-07","2019020461","20192020","NYI","1",2.93,100,60,71.43,66.67,86.63,2,0,3,2,5,2,6,3,0.61,0.09,2,1,3,3,0.52
"DAL","2019-12-10","2019020478","20192020","N.J","1",9.23,0,45.45,53.85,70,74.99,0,0,5,6,7,6,14,6,0.59,0.2,0,-1,1,8,0.39
"DAL","2019-12-13","2019020499","20192020","VGK","1",4,0,85.71,90,91.67,99.62,0,0,6,1,9,1,11,1,1.2,0,0,5,8,10,1.19
"DAL","2019-12-14","2019020505","20192020","NSH","0",4,0,100,100,100,100,0,0,6,0,6,0,7,0,0.33,0,0,6,6,7,0.33
"DAL","2019-12-16","2019020523","20192020","EDM","1",4.75,0,83.33,87.5,90,88.18,0,0,5,1,7,1,9,1,0.43,0.06,0,4,6,8,0.37
"DAL","2019-12-19","2019020539","20192020","T.B","0",0.87,100,100,100,100,100,1,0,2,0,3,0,3,0,0.3,0,1,2,3,3,0.3
"DAL","2019-12-20","2019020548","20192020","FLA","0",3.38,100,83.33,85.71,88.89,99.38,1,0,5,1,6,1,8,1,0.67,0,1,4,5,7,0.66
"DAL","2019-12-22","2019020567","20192020","CGY","1",3.77,0,100,100,100,100,0,0,4,0,5,0,9,0,0.4,0,0,4,5,9,0.4
"DAL","2019-12-28","2019020598","20192020","COL","1",8.82,100,82.35,86.36,88.89,92.34,1,0,14,3,19,3,24,3,2.47,0.2,1,11,16,21,2.26
"DAL","2019-12-29","2019020609","20192020","ARI","0",6,0,60,75,83.33,76.41,0,0,3,2,6,2,10,2,0.42,0.13,0,1,4,8,0.29
"DAL","2020-01-01","2019020626","20192020","NSH","1",5.13,100,85.71,90,90.91,73.44,2,0,6,1,9,1,10,1,0.62,0.23,2,5,8,9,0.4
"DAL","2020-01-03","2019020640","20192020","DET","1",6.37,100,100,100,100,100,1,0,6,0,10,0,12,0,1.17,0,1,6,10,12,1.17
"DAL","2020-01-08","2019020677","20192020","L.A","0",3.63,100,100,100,100,100,1,0,4,0,4,0,6,0,0.44,0,1,4,4,6,0.44
"DAL","2020-01-09","2019020687","20192020","ANA","0",4.02,100,83.33,75,81.82,91.53,2,0,5,1,6,2,9,2,0.7,0.06,2,4,4,7,0.63
"DAL","2020-01-11","2019020702","20192020","S.J","0",2.67,100,100,100,100,100,1,0,3,0,3,0,4,0,0.3,0,1,3,3,4,0.3
"DAL","2020-01-14","2019020722","20192020","COL","0",3.7,100,75,80,75,85.89,1,0,3,1,4,1,6,2,0.44,0.07,1,2,3,4,0.37
"DAL","2020-01-16","2019020737","20192020","BUF","1",6.32,0,25,57.14,55.56,80.22,0,0,1,3,4,3,5,4,0.2,0.05,0,-2,1,1,0.15
"DAL","2020-01-18","2019020753","20192020","MIN","0",2,0,100,100,100,100,0,0,4,0,4,0,5,0,0.3,0,0,4,4,5,0.3
"DAL","2020-01-27","2019020771","20192020","T.B","1",6.62,0,66.67,75,87.5,97.73,0,0,2,1,3,1,7,1,0.2,0,0,1,2,6,0.19
"DAL","2020-01-29","2019020777","20192020","TOR","1",4.38,0,66.67,80,83.33,80.86,0,0,2,1,4,1,5,1,0.36,0.09,0,1,3,4,0.28
"DAL","2020-02-01","2019020797","20192020","N.J","0",4,0,66.67,66.67,75,85.63,0,1,2,1,2,1,3,1,0.18,0.03,-1,1,1,2,0.15
