"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"DAL","2018-10-04","2018020012","20182019","ARI","1",2.73,0,25,16.67,16.67,6.01,0,0,1,3,1,5,1,5,0.01,0.23,0,-2,-4,-4,-0.22
"DAL","2018-10-06","2018020023","20182019","WPG","1",6,0,28.57,25,20,21.16,0,0,2,5,2,6,2,8,0.1,0.37,0,-3,-4,-6,-0.27
"DAL","2018-10-09","2018020041","20182019","TOR","1",3.07,0,0,0,0,0,0,2,0,3,0,6,0,6,0,0.49,-2,-3,-6,-6,-0.49
"DAL","2018-10-13","2018020067","20182019","ANA","1",3.73,0,0,0,0,0,0,1,0,3,0,4,0,6,0,0.34,-1,-3,-4,-6,-0.34
"DAL","2018-10-15","2018020076","20182019","OTT","0",4,0,25,16.67,14.29,18.92,0,0,1,3,1,5,1,6,0.1,0.44,0,-2,-4,-5,-0.34
"DAL","2018-10-16","2018020078","20182019","N.J","0",10.7,0,35.71,27.78,21.74,23.09,0,1,5,9,5,13,5,18,0.34,1.12,-1,-4,-8,-13,-0.78
"DAL","2018-10-19","2018020100","20182019","MIN","1",2.52,0,33.33,25,20,53.97,0,0,1,2,1,3,1,4,0.29,0.25,0,-1,-2,-3,0.04
"DAL","2018-10-23","2018020128","20182019","L.A","1",4,0,0,0,16.67,0,0,0,0,3,0,4,1,5,0,0.24,0,-3,-4,-4,-0.24
"DAL","2018-10-25","2018020140","20182019","ANA","1",4.22,0,0,0,0,0,0,0,0,4,0,7,0,8,0,0.51,0,-4,-7,-8,-0.51
"DAL","2018-10-28","2018020160","20182019","DET","0",4.7,0,0,12.5,11.11,17.82,0,0,0,3,1,7,1,8,0.17,0.78,0,-3,-6,-7,-0.61
"DAL","2018-10-30","2018020171","20182019","MTL","0",6.37,100,50,28.57,28.57,49.81,1,0,1,1,2,5,2,5,0.29,0.29,1,0,-3,-3,0
"DAL","2018-11-01","2018020179","20182019","TOR","0",8,0,9.09,5.88,5.88,8.85,0,0,1,10,1,16,1,16,0.15,1.57,0,-9,-15,-15,-1.42
"DAL","2018-11-03","2018020200","20182019","WSH","0",5.3,0,25,14.29,12.5,0.75,0,1,1,3,1,6,1,7,0,0.49,-1,-2,-5,-6,-0.48
"DAL","2018-11-05","2018020210","20182019","BOS","0",2.98,33.33,12.5,9.09,8.33,8.62,1,2,1,7,1,10,1,11,0.1,1.06,-1,-6,-9,-10,-0.96
"DAL","2018-11-06","2018020217","20182019","CBJ","0",5.4,0,0,0,0,0,0,1,0,7,0,7,0,10,0,0.48,-1,-7,-7,-10,-0.48
"DAL","2018-11-08","2018020234","20182019","S.J","1",6,0,25,25,20,19.66,0,0,2,6,2,6,2,8,0.2,0.81,0,-4,-4,-6,-0.61
"DAL","2018-11-10","2018020244","20182019","NSH","1",6.27,0,0,0,0,0,0,0,0,5,0,8,0,9,0,0.69,0,-5,-8,-9,-0.69
"DAL","2018-11-12","2018020262","20182019","CBJ","1",4.42,0,0,0,0,0,0,1,0,1,0,4,0,6,0,0.26,-1,-1,-4,-6,-0.26
"DAL","2018-11-16","2018020286","20182019","BOS","1",3.67,0,75,50,33.33,66.32,0,0,3,1,3,3,3,6,0.4,0.21,0,2,0,-3,0.2
"DAL","2018-11-18","2018020303","20182019","NYI","0",4,0,0,0,0,0,0,0,0,5,0,8,0,8,0,0.85,0,-5,-8,-8,-0.85
"DAL","2018-11-19","2018020309","20182019","NYR","0",2.23,0,66.67,66.67,40,54.31,0,0,2,1,2,1,2,3,0.16,0.13,0,1,1,-1,0.02
"DAL","2018-11-21","2018020321","20182019","PIT","0",3.47,0,0,50,25,36.52,0,1,0,1,1,1,1,3,0.06,0.1,-1,-1,0,-2,-0.04
"DAL","2018-11-23","2018020344","20182019","OTT","1",2.33,0,14.29,14.29,14.29,0.35,0,1,1,6,1,6,1,6,0,1.03,-1,-5,-5,-5,-1.03
"DAL","2018-11-24","2018020355","20182019","COL","0",6.2,0,50,50,28.57,24.57,0,0,2,2,2,2,2,5,0.06,0.19,0,0,0,-3,-0.13
"DAL","2018-11-27","2018020375","20182019","EDM","0",4,0,0,20,14.29,25.82,0,0,0,3,1,4,1,6,0.08,0.22,0,-3,-3,-5,-0.14
"DAL","2018-11-28","2018020380","20182019","CGY","0",8.22,0,0,0,0,0,0,1,0,6,0,9,0,15,0,0.76,-1,-6,-9,-15,-0.76
"DAL","2018-12-01","2018020396","20182019","VAN","0",8,0,0,0,7.14,0,0,0,0,4,0,8,1,13,0,0.47,0,-4,-8,-12,-0.47
"DAL","2018-12-03","2018020415","20182019","EDM","1",3.48,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0.18,0,-1,-2,-5,-0.18
"DAL","2018-12-07","2018020440","20182019","S.J","1",4,0,0,0,0,0,0,0,0,4,0,6,0,6,0,0.23,0,-4,-6,-6,-0.23
"DAL","2018-12-09","2018020460","20182019","VGK","0",8.3,0,33.33,27.27,16.67,9.6,0,0,3,6,3,8,3,15,0.07,0.67,0,-3,-5,-12,-0.6
"DAL","2018-12-12","2018020478","20182019","ANA","0",2,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0.45,0,-1,-2,-3,-0.45
"DAL","2018-12-13","2018020486","20182019","S.J","0",2,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0.2,0,-3,-3,-4,-0.2
"DAL","2018-12-15","2018020503","20182019","COL","0",9.97,25,14.29,12.5,10.53,4.21,1,3,2,12,2,14,2,17,0.06,1.46,-2,-10,-12,-15,-1.4
"DAL","2018-12-18","2018020523","20182019","CGY","1",8,0,50,41.67,35.71,25.18,0,0,5,5,5,7,5,9,0.17,0.49,0,0,-2,-4,-0.33
"DAL","2018-12-20","2018020536","20182019","CHI","1",1.1,0,0,0,0,0,0,1,0,2,0,4,0,5,0,0.31,-1,-2,-4,-5,-0.31
"DAL","2018-12-22","2018020556","20182019","MIN","0",6,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0.36,0,-3,-4,-5,-0.36
"DAL","2018-12-23","2018020564","20182019","NYI","1",5.42,0,0,0,0,0,0,1,0,3,0,7,0,10,0,0.97,-1,-3,-7,-10,-0.97
"DAL","2018-12-27","2018020573","20182019","NSH","0",4,0,0,0,0,0,0,0,0,4,0,6,0,6,0,0.38,0,-4,-6,-6,-0.38
"DAL","2018-12-29","2018020594","20182019","DET","1",6.78,0,22.22,22.22,20,11.04,0,1,2,7,2,7,2,8,0.12,0.99,-1,-5,-5,-6,-0.87
"DAL","2018-12-31","2018020608","20182019","MTL","1",3.58,0,50,60,50,78.63,0,0,2,2,3,2,3,3,0.25,0.07,0,0,1,0,0.18
"DAL","2019-01-02","2018020618","20182019","N.J","1",6.65,0,18.18,16.67,11.76,0.84,0,1,2,9,2,10,2,15,0.01,1.17,-1,-7,-8,-13,-1.16
"DAL","2019-01-04","2018020632","20182019","WSH","1",6,0,11.11,9.09,7.69,0.82,0,0,1,8,1,10,1,12,0.01,0.9,0,-7,-9,-11,-0.9
"DAL","2019-01-06","2018020649","20182019","WPG","0",3.78,0,0,0,0,0,0,1,0,6,0,7,0,7,0,0.58,-1,-6,-7,-7,-0.58
"DAL","2019-01-08","2018020664","20182019","STL","0",4,0,0,0,0,0,0,0,0,3,0,7,0,8,0,0.53,0,-3,-7,-8,-0.53
"DAL","2019-01-10","2018020674","20182019","PHI","0",4,0,0,0,0,0,0,0,0,3,0,6,0,10,0,0.54,0,-3,-6,-10,-0.54
"DAL","2019-01-12","2018020695","20182019","STL","1",2.12,0,0,0,0,0,0,1,0,4,0,5,0,6,0,0.71,-1,-4,-5,-6,-0.71
"DAL","2019-01-15","2018020719","20182019","T.B","1",2.23,0,0,0,0,0,0,0,0,3,0,6,0,6,0,0.94,0,-3,-6,-6,-0.94
"DAL","2019-01-17","2018020732","20182019","L.A","1",0.05,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.06,-1,-1,-1,-1,-0.06
"DAL","2019-01-19","2018020746","20182019","WPG","1",8.25,0,16.67,14.29,9.09,20.93,0,0,1,5,1,6,1,10,0.14,0.52,0,-4,-5,-9,-0.38
"DAL","2019-01-30","2018020777","20182019","BUF","1",2,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0.12,0,-1,-2,-3,-0.12
"DAL","2019-02-01","2018020788","20182019","MIN","1",3.6,0,0,33.33,25,11.07,0,1,0,2,1,2,1,3,0.03,0.21,-1,-2,-1,-2,-0.19
"DAL","2019-02-02","2018020798","20182019","NSH","0",6.1,0,16.67,11.11,11.11,14.21,0,0,1,5,1,8,1,8,0.09,0.57,0,-4,-7,-7,-0.47
"DAL","2019-02-04","2018020808","20182019","ARI","1",7.43,0,28.57,22.22,16.67,11.64,0,0,2,5,2,7,2,10,0.07,0.52,0,-3,-5,-8,-0.46
"DAL","2019-02-07","2018020832","20182019","NSH","0",1.27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.06,0,0,-1,-1,-0.06
"DAL","2019-02-09","2018020845","20182019","ARI","0",2.87,0,18.18,16.67,16.67,2.89,0,2,2,9,2,10,2,10,0.02,0.67,-2,-7,-8,-8,-0.65
"DAL","2019-02-12","2018020865","20182019","FLA","0",7.7,0,0,0,0,0,0,0,0,9,0,11,0,16,0,0.72,0,-9,-11,-16,-0.72
"DAL","2019-02-14","2018020880","20182019","T.B","0",6.53,0,22.22,20,18.18,4.84,0,2,2,7,2,8,2,9,0.03,0.63,-2,-5,-6,-7,-0.6
"DAL","2019-02-16","2018020899","20182019","CAR","0",1.42,0,0,0,0,0,0,1,0,4,0,5,0,5,0,0.33,-1,-4,-5,-5,-0.33
"DAL","2019-02-19","2018020923","20182019","NSH","1",4,0,100,75,50,75.43,0,0,2,0,3,1,3,3,0.17,0.05,0,2,2,0,0.11
"DAL","2019-02-21","2018020937","20182019","STL","1",5.37,0,0,0,0,0,0,1,0,3,0,4,0,10,0,0.54,-1,-3,-4,-10,-0.54
"DAL","2019-02-23","2018020950","20182019","CAR","1",5.55,0,0,0,0,0,0,1,0,5,0,8,0,12,0,0.84,-1,-5,-8,-12,-0.84
"DAL","2019-02-24","2018020958","20182019","CHI","0",8.03,0,0,0,0,0,0,1,0,13,0,14,0,21,0,1.01,-1,-13,-14,-21,-1.01
"DAL","2019-02-26","2018020978","20182019","VGK","0",4.02,0,0,0,0,0,0,1,0,10,0,12,0,19,0,1.48,-1,-10,-12,-19,-1.48
"DAL","2019-02-28","2018020990","20182019","L.A","0",4.25,0,33.33,25,20,12.63,0,1,1,2,2,6,2,8,0.08,0.57,-1,-1,-4,-6,-0.48
"DAL","2019-03-02","2018021006","20182019","STL","0",6,0,14.29,14.29,12.5,6.46,0,0,1,6,1,6,1,7,0.04,0.52,0,-5,-5,-6,-0.49
"DAL","2019-03-05","2018021025","20182019","NYR","1",7.33,0,50,44.44,33.33,45.21,0,0,3,3,4,5,6,12,0.31,0.37,0,0,-1,-6,-0.06
"DAL","2019-03-07","2018021039","20182019","COL","1",4,0,50,50,42.86,3.97,0,0,1,1,1,1,3,4,0,0.09,0,0,0,-1,-0.09
"DAL","2019-03-09","2018021057","20182019","CHI","1",4.13,0,0,0,11.11,0,0,0,0,3,0,4,1,8,0,0.37,0,-3,-4,-7,-0.37
"DAL","2019-03-12","2018021072","20182019","BUF","0",5.3,0,66.67,33.33,22.22,13.99,0,0,2,1,2,4,2,7,0.05,0.3,0,1,-2,-5,-0.25
"DAL","2019-03-14","2018021088","20182019","MIN","0",1.1,0,0,0,0,0,0,1,0,3,0,3,0,3,0,0.41,-1,-3,-3,-3,-0.41
"DAL","2019-03-15","2018021095","20182019","VGK","1",4,0,16.67,14.29,11.11,0.61,0,0,1,5,1,6,1,8,0.01,0.95,0,-4,-5,-7,-0.94
"DAL","2019-03-17","2018021114","20182019","VAN","1",4,0,16.67,12.5,12.5,0.69,0,0,1,5,1,7,1,7,0,0.57,0,-4,-6,-6,-0.57
"DAL","2019-03-19","2018021130","20182019","FLA","1",4.67,0,25,25,16.67,9.36,0,1,1,3,1,3,1,5,0.03,0.31,-1,-2,-2,-4,-0.28
"DAL","2019-03-21","2018021143","20182019","COL","1",6,0,0,0,16.67,0,0,0,0,4,0,4,1,5,0,0.48,0,-4,-4,-4,-0.48
"DAL","2019-03-23","2018021160","20182019","PIT","1",0.85,0,0,0,0,0,0,1,0,2,0,2,0,3,0,0.42,-1,-2,-2,-3,-0.42
"DAL","2019-03-25","2018021175","20182019","WPG","0",2.78,0,33.33,25,20,38.93,0,0,1,2,1,3,1,4,0.29,0.45,0,-1,-2,-3,-0.16
"DAL","2019-03-27","2018021187","20182019","CGY","0",4,0,0,0,0,0,0,0,0,4,0,4,0,6,0,0.29,0,-4,-4,-6,-0.29
"DAL","2019-03-28","2018021194","20182019","EDM","0",2,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0.23,0,-3,-3,-5,-0.23
"DAL","2019-03-30","2018021213","20182019","VAN","0",6.88,0,14.29,8.33,7.14,1.08,0,0,1,6,1,11,1,13,0.01,0.63,0,-5,-10,-12,-0.62
"DAL","2019-04-02","2018021235","20182019","PHI","1",5.38,0,10,8.33,6.25,10.63,0,1,1,9,1,11,1,15,0.08,0.68,-1,-8,-10,-14,-0.6
"DAL","2019-04-05","2018021255","20182019","CHI","0",5.63,0,0,0,12.5,0,0,0,0,4,0,5,1,7,0,0.52,0,-4,-5,-6,-0.52
"DAL","2019-04-06","2018021267","20182019","MIN","1",4,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0.05,0,0,-1,-4,-0.05
"DAL","Total","-","20182019","-","-",4.66,7.5,16.01,13.45,11.43,9.75,3,37,65,341,74,476,83,643,4.65,43.04,-34,-276,-402,-560,-38.39
