"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"DAL","2018-10-04","2018020012","20182019","ARI","1",54.48,12,5,29,23,3,3,0,0,0,32,27,5
"DAL","2018-10-06","2018020023","20182019","WPG","1",46.77,11,6,20,24,3,6,1,1,3,30,21,9
"DAL","2018-10-09","2018020041","20182019","TOR","1",55.85,17,5,22,12,3,1,0,0,-2,29,26,3
"DAL","2018-10-13","2018020067","20182019","ANA","1",50.1,7,10,13,16,2,1,0,0,-1,32,23,9
"DAL","2018-10-15","2018020076","20182019","OTT","0",44.8,5,2,17,23,2,1,0,0,-1,23,28,-5
"DAL","2018-10-16","2018020078","20182019","N.J","0",42.77,1,4,10,14,6,2,1,1,-4,26,19,7
"DAL","2018-10-19","2018020100","20182019","MIN","1",50.82,11,5,14,13,1,3,0,0,2,18,15,3
"DAL","2018-10-23","2018020128","20182019","L.A","1",49.93,7,4,21,17,1,3,0,0,2,21,27,-6
"DAL","2018-10-25","2018020140","20182019","ANA","1",51.57,14,4,12,26,6,5,1,1,-1,28,20,8
"DAL","2018-10-28","2018020160","20182019","DET","0",53.4,9,1,18,26,2,0,0,0,-2,18,21,-3
"DAL","2018-10-30","2018020171","20182019","MTL","0",43.5,12,2,26,38,4,5,0,0,1,21,18,3
"DAL","2018-11-01","2018020179","20182019","TOR","0",45.33,7,8,32,16,5,2,0,0,-3,26,11,15
"DAL","2018-11-03","2018020200","20182019","WSH","0",53.6,5,6,19,25,2,2,0,0,0,22,25,-3
"DAL","2018-11-05","2018020210","20182019","BOS","0",59.53,10,13,32,26,1,1,0,0,0,23,28,-5
"DAL","2018-11-06","2018020217","20182019","CBJ","0",47.72,4,4,17,22,3,2,0,0,-1,20,22,-2
"DAL","2018-11-08","2018020234","20182019","S.J","1",50.1,13,5,22,8,2,1,0,0,-1,28,27,1
"DAL","2018-11-10","2018020244","20182019","NSH","1",51.02,8,7,19,13,4,2,0,0,-2,32,26,6
"DAL","2018-11-12","2018020262","20182019","CBJ","1",45.88,19,6,23,12,2,3,1,1,1,28,17,11
"DAL","2018-11-16","2018020286","20182019","BOS","1",50.23,12,7,31,21,6,9,1,1,3,26,19,7
"DAL","2018-11-18","2018020303","20182019","NYI","0",49.85,6,6,16,21,1,3,0,0,2,18,27,-9
"DAL","2018-11-19","2018020309","20182019","NYR","0",49.72,11,11,20,23,1,3,0,0,2,15,20,-5
"DAL","2018-11-21","2018020321","20182019","PIT","0",53.6,4,3,43,36,2,1,0,0,-1,24,20,4
"DAL","2018-11-23","2018020344","20182019","OTT","1",49.58,11,6,18,15,2,3,0,0,1,34,24,10
"DAL","2018-11-24","2018020355","20182019","COL","0",50,1,5,15,12,3,1,0,0,-2,21,29,-8
"DAL","2018-11-27","2018020375","20182019","EDM","0",54.7,10,6,27,36,2,2,0,0,0,25,26,-1
"DAL","2018-11-28","2018020380","20182019","CGY","0",49.05,12,8,10,6,4,0,0,0,-4,26,25,1
"DAL","2018-12-01","2018020396","20182019","VAN","0",45.97,5,3,11,20,5,3,0,0,-2,22,26,-4
"DAL","2018-12-03","2018020415","20182019","EDM","1",51.87,15,10,23,19,4,3,1,1,-1,28,22,6
"DAL","2018-12-07","2018020440","20182019","S.J","1",50.02,17,10,17,11,2,2,0,0,0,20,25,-5
"DAL","2018-12-09","2018020460","20182019","VGK","0",44.63,7,6,28,21,3,3,0,0,0,25,20,5
"DAL","2018-12-12","2018020478","20182019","ANA","0",49.45,15,7,26,24,1,2,0,0,1,25,27,-2
