"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"DAL","2015-10-08","2015020010","20152016","PIT","1",5.32,2,0,0,1,1,0,0,0,-1,3,2,1
"DAL","2015-10-10","2015020027","20152016","COL","0",7.25,3,0,0,1,0,0,0,0,0,3,2,1
"DAL","2015-10-13","2015020043","20152016","EDM","1",8,6,0,0,0,0,0,0,0,0,7,6,1
"DAL","2015-10-15","2015020054","20152016","T.B","0",5.9,0,0,0,1,0,0,0,0,0,1,4,-3
"DAL","2015-10-17","2015020068","20152016","FLA","0",3.2,1,0,1,0,0,0,0,0,0,2,1,1
"DAL","2015-10-20","2015020082","20152016","PHI","0",3.3,0,0,0,1,0,0,0,0,0,2,2,0
"DAL","2015-10-22","2015020093","20152016","PIT","0",2.88,0,0,0,1,1,0,0,0,-1,3,2,1
"DAL","2015-10-24","2015020113","20152016","FLA","1",4.13,0,0,0,0,1,0,0,0,-1,3,2,1
"DAL","2015-10-27","2015020132","20152016","ANA","1",4.67,0,0,0,0,0,0,0,0,0,2,3,-1
"DAL","2015-10-29","2015020143","20152016","VAN","1",6,0,0,1,0,0,0,0,0,0,3,2,1
"DAL","2015-10-31","2015020155","20152016","S.J","1",7.45,6,1,1,2,0,0,0,0,0,5,6,-1
"DAL","2015-11-02","2015020169","20152016","TOR","0",4,0,0,0,0,0,0,0,0,0,5,3,2
"DAL","2015-11-03","2015020172","20152016","BOS","0",3.3,0,0,1,0,0,0,0,0,0,2,3,-1
"DAL","2015-11-06","2015020196","20152016","CAR","0",2,0,0,0,0,0,0,0,0,0,1,3,-2
"DAL","2015-11-08","2015020211","20152016","DET","0",4.3,0,0,0,1,0,0,0,0,0,2,5,-3
"DAL","2015-11-10","2015020225","20152016","TOR","1",2,0,0,0,0,0,0,0,0,0,2,1,1
"DAL","2015-11-12","2015020239","20152016","WPG","1",4.8,1,0,0,0,0,0,0,0,0,4,1,3
"DAL","2015-11-14","2015020257","20152016","MIN","1",6.38,0,0,0,0,0,0,0,0,0,6,4,2
"DAL","2015-11-17","2015020268","20152016","BUF","0",2,1,0,0,0,0,0,0,0,0,2,1,1
"DAL","2015-11-19","2015020281","20152016","WSH","0",4,1,0,0,0,0,0,0,0,0,0,4,-4
"DAL","2015-11-21","2015020301","20152016","BUF","1",8.68,2,1,0,1,0,0,0,0,0,5,3,2
"DAL","2015-11-24","2015020315","20152016","OTT","1",4,0,0,0,0,0,0,0,0,0,3,4,-1
"DAL","2015-11-27","2015020340","20152016","VAN","1",6.23,1,0,0,1,0,0,0,0,0,2,3,-1
"DAL","2015-11-28","2015020349","20152016","MIN","0",4.02,0,0,0,0,0,0,0,0,0,4,0,4
"DAL","2015-12-01","2015020366","20152016","CGY","0",1.45,1,0,0,0,0,0,0,0,0,1,1,0
"DAL","2015-12-03","2015020380","20152016","VAN","0",6,0,0,0,0,0,0,0,0,0,2,4,-2
"DAL","2015-12-04","2015020386","20152016","EDM","0",8,2,0,0,0,0,0,0,0,0,4,5,-1
"DAL","2015-12-08","2015020415","20152016","CAR","1",3.4,0,0,0,0,0,0,0,0,0,2,2,0
"DAL","2015-12-11","2015020431","20152016","PHI","1",11.93,6,2,0,2,0,0,0,0,0,7,8,-1
"DAL","2015-12-12","2015020440","20152016","STL","0",6.7,0,0,1,1,1,2,0,0,1,5,3,2
"DAL","2015-12-15","2015020463","20152016","CBJ","1",4.27,1,0,1,1,0,0,0,0,0,3,2,1
"DAL","2015-12-17","2015020474","20152016","CGY","1",6,1,0,1,0,0,0,0,0,0,1,4,-3
"DAL","2015-12-19","2015020489","20152016","MTL","1",10.57,10,0,0,1,2,1,0,0,-1,4,9,-5
"DAL","2015-12-21","2015020504","20152016","MIN","0",3.92,1,0,0,0,0,0,0,0,0,2,3,-1
"DAL","2015-12-22","2015020513","20152016","CHI","1",7.75,2,1,0,1,0,0,0,0,0,6,4,2
"DAL","2015-12-26","2015020521","20152016","STL","0",2,0,0,0,0,0,0,0,0,0,0,1,-1
"DAL","2015-12-27","2015020529","20152016","STL","1",4.1,0,0,0,3,0,0,0,0,0,0,4,-4
"DAL","2015-12-29","2015020544","20152016","CBJ","0",5.7,1,0,0,2,0,0,0,0,0,3,4,-1
