"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"DAL","2019-10-03","2019020010","20192020","BOS","1",6.8,0,2,1,0,0,1,0,0,1,3,3,0
"DAL","2019-10-05","2019020024","20192020","STL","0",4,0,0,0,1,0,0,0,0,0,2,2,0
"DAL","2019-10-06","2019020032","20192020","DET","0",14.03,2,0,2,0,1,0,0,0,-1,6,7,-1
"DAL","2019-10-08","2019020039","20192020","WSH","0",7.67,0,0,1,2,0,1,0,0,1,5,4,1
"DAL","2019-10-10","2019020055","20192020","CGY","1",3.18,1,1,0,0,0,0,0,0,0,2,2,0
"DAL","2019-10-12","2019020070","20192020","WSH","1",6.48,0,0,0,0,1,0,0,0,-1,4,6,-2
"DAL","2019-10-14","2019020082","20192020","BUF","0",3.37,0,0,0,0,0,0,0,0,0,2,2,0
"DAL","2019-10-16","2019020094","20192020","CBJ","0",6,0,1,0,1,0,0,0,0,0,1,3,-2
"DAL","2019-10-18","2019020108","20192020","PIT","0",4,0,1,2,0,0,0,0,0,0,4,0,4
"DAL","2019-10-19","2019020117","20192020","PHI","0",6.82,3,0,0,0,0,0,0,0,0,1,3,-2
"DAL","2019-10-21","2019020132","20192020","OTT","1",4.03,0,0,0,0,0,0,0,0,0,3,2,1
"DAL","2019-10-24","2019020152","20192020","ANA","1",4,0,0,1,0,0,0,0,0,0,1,3,-2
"DAL","2019-10-26","2019020166","20192020","PIT","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"DAL","2019-10-29","2019020186","20192020","MIN","1",5.42,1,0,1,0,0,0,0,0,0,4,0,4
"DAL","2019-11-01","2019020201","20192020","COL","0",7.48,1,1,0,0,0,0,0,0,0,3,8,-5
"DAL","2019-11-02","2019020212","20192020","MTL","1",8.82,1,5,0,4,0,1,0,0,1,4,7,-3
"DAL","2019-11-05","2019020230","20192020","COL","1",13.98,2,6,5,1,1,1,0,0,0,7,4,3
"DAL","2019-11-10","2019020264","20192020","WPG","0",5.6,1,2,1,2,0,0,0,0,0,5,1,4
"DAL","2019-11-13","2019020284","20192020","CGY","0",7.35,1,2,1,1,0,0,0,0,0,2,7,-5
"DAL","2019-11-14","2019020291","20192020","VAN","0",5.22,0,0,0,0,0,0,0,0,0,1,4,-3
"DAL","2019-11-16","2019020301","20192020","EDM","0",6.58,1,1,1,0,0,1,0,0,1,3,0,3
"DAL","2019-11-19","2019020327","20192020","VAN","1",8.32,1,1,2,0,1,0,0,0,-1,4,7,-3
"DAL","2019-11-21","2019020342","20192020","WPG","1",4,0,0,0,1,0,0,0,0,0,2,1,1
"DAL","2019-11-23","2019020359","20192020","CHI","1",6,0,0,3,0,0,0,0,0,0,2,5,-3
"DAL","2019-11-25","2019020371","20192020","VGK","1",7.7,2,3,1,0,1,0,0,0,-1,2,6,-4
"DAL","2019-11-26","2019020376","20192020","CHI","0",0.88,0,0,0,1,0,0,0,0,0,0,1,-1
