"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"DAL","2015-10-08","2015020010","20152016","PIT","1",47.6,18,13,14,112,24,19,20,8,6
"DAL","2015-10-10","2015020027","20152016","COL","0",46.5,11,18,8,105,13,21,15,6,0
"DAL","2015-10-13","2015020043","20152016","EDM","1",48.73,15,17,4,104,19,17,9,4,4
"DAL","2015-10-15","2015020054","20152016","T.B","0",47.6,5,15,15,83,6,18,22,8,0
"DAL","2015-10-17","2015020068","20152016","FLA","0",53.77,11,15,10,100,17,21,12,2,6
"DAL","2015-10-20","2015020082","20152016","PHI","0",47.87,9,13,9,113,12,19,17,7,1
"DAL","2015-10-22","2015020093","20152016","PIT","0",49.35,13,14,13,106,16,17,22,6,8
"DAL","2015-10-24","2015020113","20152016","FLA","1",53.4,14,19,10,122,19,21,16,5,5
"DAL","2015-10-27","2015020132","20152016","ANA","1",46.05,19,16,3,104,26,18,6,3,11
"DAL","2015-10-29","2015020143","20152016","VAN","1",53.2,12,15,14,117,14,17,19,4,3
"DAL","2015-10-31","2015020155","20152016","S.J","1",45.87,10,17,6,126,12,21,12,5,6
"DAL","2015-11-02","2015020169","20152016","TOR","0",46.62,15,12,8,93,27,19,15,4,4
"DAL","2015-11-03","2015020172","20152016","BOS","0",48.32,6,17,12,110,13,19,18,4,6
"DAL","2015-11-06","2015020196","20152016","CAR","0",56.12,14,17,16,99,19,20,22,5,4
"DAL","2015-11-08","2015020211","20152016","DET","0",46.25,12,13,12,78,15,16,16,4,1
"DAL","2015-11-10","2015020225","20152016","TOR","1",55.13,18,12,13,120,24,15,22,5,5
"DAL","2015-11-12","2015020239","20152016","WPG","1",46.05,13,15,7,106,18,16,13,6,4
"DAL","2015-11-14","2015020257","20152016","MIN","1",48.77,10,15,5,110,12,16,15,5,1
"DAL","2015-11-17","2015020268","20152016","BUF","0",52.32,19,12,10,105,26,19,19,7,8
