"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"DAL","2017-10-06","2017020015","20172018","VGK","1",6.7,4,1,0,10,4,1,0,0,0
"DAL","2017-10-07","2017020024","20172018","STL","0",6.88,7,2,0,5,10,2,0,0,0
"DAL","2017-10-10","2017020043","20172018","DET","1",4.58,5,0,0,2,5,0,0,0,0
"DAL","2017-10-12","2017020053","20172018","NSH","0",0.55,0,0,0,1,0,0,0,0,0
"DAL","2017-10-14","2017020069","20172018","COL","1",9.55,7,2,1,5,10,2,1,0,0
"DAL","2017-10-17","2017020088","20172018","ARI","1",2,1,0,0,2,2,0,0,0,0
"DAL","2017-10-19","2017020103","20172018","ARI","0",2.13,2,1,0,2,3,1,0,0,0
"DAL","2017-10-21","2017020118","20172018","CAR","1",4,3,0,0,4,4,0,0,0,0
"DAL","2017-10-24","2017020134","20172018","COL","0",4.57,2,0,0,9,2,0,0,0,0
"DAL","2017-10-26","2017020147","20172018","EDM","0",8.5,7,0,0,5,13,0,0,0,0
"DAL","2017-10-27","2017020154","20172018","CGY","0",4.48,3,0,1,2,3,0,1,0,0
"DAL","2017-10-30","2017020176","20172018","VAN","0",8.87,5,0,0,22,6,0,2,1,0
"DAL","2017-11-02","2017020193","20172018","WPG","0",0,0,0,0,0,0,0,0,0,0
"DAL","2017-11-04","2017020207","20172018","BUF","1",0.65,1,0,0,0,1,0,0,0,0
"DAL","2017-11-06","2017020221","20172018","WPG","1",4.7,4,2,0,3,6,2,0,0,0
"DAL","2017-11-10","2017020246","20172018","NYI","1",5.82,5,0,0,6,6,0,0,0,0
"DAL","2017-11-13","2017020265","20172018","CAR","0",3.75,2,0,0,6,3,0,0,0,0
"DAL","2017-11-14","2017020269","20172018","FLA","0",4,4,0,1,3,4,0,1,0,0
"DAL","2017-11-16","2017020282","20172018","T.B","0",5.6,3,1,0,8,5,1,0,0,0
"DAL","2017-11-18","2017020294","20172018","EDM","1",11.5,7,2,1,14,8,2,1,0,0
"DAL","2017-11-21","2017020318","20172018","MTL","1",5.78,3,2,0,3,5,2,0,0,0
"DAL","2017-11-22","2017020330","20172018","COL","0",3.53,2,0,0,8,2,0,0,0,0
"DAL","2017-11-24","2017020345","20172018","CGY","1",6.67,8,1,1,2,10,1,1,0,0
"DAL","2017-11-28","2017020376","20172018","VGK","0",4.47,2,1,0,7,4,1,0,0,0
"DAL","2017-11-30","2017020385","20172018","CHI","0",4.78,4,0,0,4,4,0,0,0,0
"DAL","2017-12-02","2017020406","20172018","CHI","1",6.95,6,2,0,7,7,2,0,0,0
"DAL","2017-12-03","2017020410","20172018","COL","0",7.93,6,2,0,6,7,2,0,0,0
"DAL","2017-12-05","2017020421","20172018","NSH","1",4,2,1,0,3,2,2,0,0,0
"DAL","2017-12-07","2017020435","20172018","STL","0",2.38,2,0,0,3,3,0,0,0,0
"DAL","2017-12-09","2017020452","20172018","VGK","1",6,5,2,0,6,6,2,0,0,0
"DAL","2017-12-11","2017020461","20172018","NYR","0",5.17,3,1,0,7,3,1,2,2,0
"DAL","2017-12-13","2017020476","20172018","NYI","0",2,2,0,0,4,3,0,0,0,0
"DAL","2017-12-15","2017020492","20172018","N.J","0",4.82,4,3,0,3,6,3,0,0,0
"DAL","2017-12-16","2017020500","20172018","PHI","0",2,2,0,0,0,3,0,0,0,0
"DAL","2017-12-19","2017020522","20172018","WSH","1",7,5,2,1,5,8,2,1,0,0
"DAL","2017-12-21","2017020535","20172018","CHI","1",4.82,5,0,1,6,5,0,1,0,0
