"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"DET","2015-10-09","2015020014","20152016","TOR","1",50.05,100,51.28,49.09,52.17,50.75,3,0,20,19,27,28,36,33,1.58,1.53,3,1,-1,3,0.05
"DET","2015-10-10","2015020023","20152016","CAR","0",49.5,66.67,36.54,31.65,35.35,40.51,4,2,19,33,25,54,35,64,1.8,2.65,2,-14,-29,-29,-0.85
"DET","2015-10-13","2015020042","20152016","T.B","1",47.92,50,51.43,53.45,55.84,62.29,1,1,18,17,31,27,43,34,1.5,0.91,0,1,4,9,0.59
"DET","2015-10-16","2015020060","20152016","CAR","1",49.28,42.86,37.5,37.88,41.03,33.15,3,4,18,30,25,41,32,46,1.47,2.96,-1,-12,-16,-14,-1.49
"DET","2015-10-17","2015020065","20152016","MTL","0",45.72,50,36.96,40,40.24,31.82,1,1,17,29,24,36,33,49,1.19,2.54,0,-12,-12,-16,-1.36
"DET","2015-10-21","2015020090","20152016","EDM","0",43.23,33.33,45,51.79,54.17,38.47,1,2,18,22,29,27,39,33,1.66,2.66,-1,-4,2,6,-1
"DET","2015-10-23","2015020103","20152016","CGY","0",53.05,0,40.35,40,46.67,34.42,0,2,23,34,30,45,49,56,1.22,2.33,-2,-11,-15,-7,-1.11
"DET","2015-10-24","2015020116","20152016","VAN","0",47.35,100,47.73,39.68,42.11,41.34,2,0,21,23,25,38,32,44,1.26,1.79,2,-2,-13,-12,-0.53
"DET","2015-10-27","2015020127","20152016","CAR","1",50.65,33.33,57.14,57.41,52.94,57.36,1,2,24,18,31,23,36,32,1.68,1.25,-1,6,8,4,0.43
"DET","2015-10-30","2015020149","20152016","OTT","1",41.08,0,42.22,47.37,52.11,42.86,0,2,19,26,27,30,37,34,0.96,1.29,-2,-7,-3,3,-0.32
"DET","2015-10-31","2015020158","20152016","OTT","0",48.83,50,45.65,46.48,43.62,44.45,3,3,21,25,33,38,41,53,1.67,2.09,0,-4,-5,-12,-0.42
"DET","2015-11-03","2015020176","20152016","T.B","1",46.4,100,51.11,50.94,47.06,61,2,0,23,22,27,26,32,36,1.77,1.13,2,1,1,-4,0.64
"DET","2015-11-06","2015020194","20152016","TOR","0",47.6,100,42.11,38.71,41.46,43.01,2,0,16,22,24,38,34,48,1.66,2.2,2,-6,-14,-14,-0.54
"DET","2015-11-08","2015020211","20152016","DAL","1",46.25,0,42.86,50,54.55,47.73,0,1,15,20,26,26,36,30,1.34,1.46,-1,-5,0,6,-0.13
"DET","2015-11-10","2015020220","20152016","WSH","1",50.73,100,48,55.38,55.84,63.72,1,0,24,26,36,29,43,34,1.76,1,1,-2,7,9,0.76
"DET","2015-11-13","2015020244","20152016","S.J","1",52.5,25,64.86,63.46,68.18,46.1,1,3,24,13,33,19,45,21,1.63,1.9,-2,11,14,24,-0.28
"DET","2015-11-14","2015020247","20152016","BOS","0",51.83,0,38.78,48.57,52.81,43.52,0,3,19,30,34,36,47,42,1.56,2.02,-3,-11,-2,5,-0.46
"DET","2015-11-16","2015020264","20152016","OTT","0",54.15,60,57.69,55.26,51.92,57.9,3,2,30,22,42,34,54,50,2.63,1.91,1,8,8,4,0.72
"DET","2015-11-18","2015020276","20152016","WSH","1",45.18,50,55.26,51.79,52.17,48,1,1,21,17,29,27,36,33,1.3,1.4,0,4,2,3,-0.11
"DET","2015-11-20","2015020289","20152016","L.A","1",48.82,66.67,44.64,43.24,43.18,47.02,2,1,25,31,32,42,38,50,2.27,2.55,1,-6,-10,-12,-0.29
"DET","2015-11-21","2015020300","20152016","STL","0",56.98,50,44.44,44,46.15,51.22,3,3,24,30,33,42,48,56,2.46,2.35,0,-6,-9,-8,0.12
"DET","2015-11-25","2015020325","20152016","BOS","1",54.17,40,64.58,65.52,65.79,72.7,2,3,31,17,38,20,50,26,2.77,1.04,-1,14,18,24,1.73
"DET","2015-11-27","2015020338","20152016","EDM","1",54.3,66.67,56,49.32,50.53,57.45,4,2,28,22,36,37,48,47,3.02,2.24,2,6,-1,1,0.78
"DET","2015-11-29","2015020354","20152016","FLA","1",44.78,33.33,51.11,57.89,55.41,54.15,1,2,23,22,33,24,41,33,1.62,1.37,-1,1,9,8,0.25
"DET","2015-12-01","2015020362","20152016","BUF","1",58.07,60,63.24,63.64,60.64,69.68,3,2,43,25,49,28,57,37,3.51,1.53,1,18,21,20,1.98
"DET","2015-12-03","2015020377","20152016","ARI","1",49.63,83.33,58.46,60.81,61.11,72.47,5,1,38,27,45,29,55,35,3.01,1.14,4,11,16,20,1.87
"DET","2015-12-05","2015020391","20152016","NSH","1",49.52,75,51.06,54.84,59.04,64.45,3,1,24,23,34,28,49,34,1.98,1.09,2,1,6,15,0.89
"DET","2015-12-08","2015020409","20152016","WSH","0",55.98,66.67,42.86,45.45,50.53,43.91,2,1,21,28,30,36,48,47,1.1,1.4,1,-7,-6,1,-0.3
"DET","2015-12-10","2015020421","20152016","MTL","1",45.65,50,52.38,56.36,57.53,41.53,2,2,22,20,31,24,42,31,1.28,1.8,0,2,7,11,-0.52
"DET","2015-12-11","2015020428","20152016","N.J","0",51.77,0,41.07,43.08,41.33,42.69,0,2,23,33,28,37,31,44,2.28,3.06,-2,-10,-9,-13,-0.78
"DET","2015-12-14","2015020452","20152016","BUF","1",47.92,33.33,47.17,44.12,47.5,44.9,1,2,25,28,30,38,38,42,2.09,2.56,-1,-3,-8,-4,-0.47
"DET","2015-12-18","2015020481","20152016","VAN","1",54.42,40,35.85,39.34,42.5,43.87,2,3,19,34,24,37,34,46,2.06,2.64,-1,-15,-13,-12,-0.58
"DET","2015-12-20","2015020496","20152016","CGY","1",46.72,100,59.26,60,58.97,70.49,3,0,32,22,39,26,46,32,2.76,1.15,3,10,13,14,1.6
"DET","2015-12-22","2015020509","20152016","N.J","1",46.25,25,58.06,58.7,63.64,45.76,1,3,18,13,27,19,35,20,1.66,1.97,-2,5,8,15,-0.31
"DET","2015-12-26","2015020522","20152016","NSH","0",49.77,50,50,46.55,45.78,57.89,2,2,20,20,27,31,38,45,2.12,1.54,0,0,-4,-7,0.58
"DET","2015-12-28","2015020538","20152016","MIN","0",51.17,0,38.89,40.62,51.72,25.28,0,1,21,33,26,38,45,42,0.98,2.91,-1,-12,-12,3,-1.92
"DET","2015-12-29","2015020547","20152016","WPG","0",46.8,0,55.81,54.84,59.76,58.74,0,2,24,19,34,28,49,33,2.15,1.51,-2,5,6,16,0.64
"DET","2015-12-31","2015020557","20152016","PIT","1",48.33,50,47.37,46.88,50.62,32.64,2,2,27,30,30,34,41,40,1.56,3.22,0,-3,-4,1,-1.66
"DET","2016-01-02","2015020567","20152016","BUF","0",45.02,75,42.86,47.37,55.13,41.54,3,1,18,24,27,30,43,35,1.37,1.93,2,-6,-3,8,-0.56
"DET","2016-01-04","2015020583","20152016","N.J","0",52.7,100,50,44.44,43.04,53.03,1,0,21,21,24,30,34,45,1.69,1.49,1,0,-6,-11,0.19
"DET","2016-01-07","2015020607","20152016","S.J","0",49.47,66.67,41.07,36.36,42.27,35.53,2,1,23,33,28,49,41,56,1.23,2.23,1,-10,-21,-15,-1
