"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"DET","2017-10-05","2017020009","20172018","MIN","1",5.8,100,87.5,90.91,93.33,94.92,2,0,7,1,10,1,14,1,1.18,0.06,2,6,9,13,1.12
"DET","2017-10-07","2017020017","20172018","OTT","0",6.52,0,71.43,77.78,78.57,89.07,0,0,5,2,7,2,11,3,0.6,0.07,0,3,5,8,0.52
"DET","2017-10-10","2017020043","20172018","DAL","0",7.42,100,85.71,88.89,90,66.54,1,0,6,1,8,1,9,1,0.58,0.29,1,5,7,8,0.29
"DET","2017-10-12","2017020056","20172018","ARI","0",3.42,100,100,100,100,100,1,0,1,0,4,0,6,0,0.32,0,1,1,4,6,0.32
"DET","2017-10-13","2017020062","20172018","VGK","0",0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DET","2017-10-16","2017020080","20172018","T.B","1",10.08,0,81.82,84.62,85.71,66.93,0,1,9,2,11,2,12,2,0.79,0.39,-1,7,9,10,0.4
"DET","2017-10-18","2017020092","20172018","TOR","0",4.9,0,100,100,100,100,0,0,1,0,3,0,8,0,0.13,0,0,1,3,8,0.13
"DET","2017-10-20","2017020106","20172018","WSH","1",9.28,50,92.31,93.75,95.83,86.88,1,1,12,1,15,1,23,1,1.34,0.2,0,11,14,22,1.14
"DET","2017-10-22","2017020122","20172018","VAN","1",2,0,50,75,75,60.64,0,0,1,1,3,1,3,1,0.21,0.14,0,0,2,2,0.07
"DET","2017-10-24","2017020125","20172018","BUF","0",1.88,0,100,100,100,100,0,0,1,0,1,0,2,0,0.03,0,0,1,1,2,0.03
"DET","2017-10-26","2017020144","20172018","T.B","0",6,0,100,100,100,100,0,0,2,0,4,0,6,0,0.15,0,0,2,4,6,0.15
"DET","2017-10-28","2017020160","20172018","FLA","0",4.02,0,90,92.31,93.33,99.66,0,0,9,1,12,1,14,1,1.16,0,0,8,11,13,1.16
"DET","2017-10-31","2017020179","20172018","ARI","1",2,0,0,66.67,66.67,66.44,0,0,0,1,2,1,2,1,0.06,0.03,0,-1,1,1,0.03
"DET","2017-11-02","2017020188","20172018","OTT","0",3.03,0,100,100,100,100,0,0,1,0,2,0,3,0,0.06,0,0,1,2,3,0.06
"DET","2017-11-05","2017020213","20172018","EDM","0",1.77,100,100,100,100,100,1,0,3,0,3,0,3,0,0.49,0,1,3,3,3,0.49
"DET","2017-11-06","2017020222","20172018","VAN","0",3.27,100,100,100,100,100,1,0,3,0,3,0,6,0,0.2,0,1,3,3,6,0.2
"DET","2017-11-09","2017020239","20172018","CGY","0",4.65,100,100,100,100,100,1,0,7,0,9,0,12,0,0.79,0,1,7,9,12,0.79
"DET","2017-11-11","2017020253","20172018","CBJ","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DET","2017-11-15","2017020275","20172018","CGY","1",7.53,100,100,100,100,100,4,0,7,0,7,0,9,0,1.31,0,4,7,7,9,1.31
"DET","2017-11-17","2017020291","20172018","BUF","1",9.57,0,81.82,77.78,80.95,71.35,0,0,9,2,14,4,17,4,1.59,0.64,0,7,10,13,0.95
