"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"DET","2016-10-13","2016020009","20162017","T.B","0",48.5,6,2,21,18,5,5,2,2,0,26,35,-9
"DET","2016-10-15","2016020020","20162017","FLA","0",51.37,6,4,11,13,3,3,0,0,0,29,24,5
"DET","2016-10-17","2016020035","20162017","OTT","1",47.6,9,4,16,19,5,5,1,1,0,20,18,2
"DET","2016-10-19","2016020049","20162017","NYR","0",45.35,4,11,14,17,1,3,0,0,2,20,22,-2
"DET","2016-10-21","2016020064","20162017","NSH","1",47.37,5,9,17,23,4,6,1,1,2,20,18,2
"DET","2016-10-22","2016020067","20162017","S.J","1",37.92,6,3,13,12,5,6,0,0,1,23,14,9
"DET","2016-10-25","2016020088","20162017","CAR","1",48.02,5,7,14,18,4,2,0,0,-2,19,20,-1
"DET","2016-10-27","2016020103","20162017","STL","0",48.55,2,6,13,17,2,5,0,0,3,15,20,-5
"DET","2016-10-29","2016020115","20162017","BOS","1",46.67,9,2,31,13,5,5,0,0,0,20,41,-21
"DET","2016-10-30","2016020124","20162017","FLA","1",43.07,6,3,13,25,4,5,0,0,1,26,17,9
"DET","2016-11-02","2016020144","20162017","PHI","0",57.33,10,8,16,21,2,2,1,1,0,24,20,4
"DET","2016-11-04","2016020159","20162017","WPG","1",53.65,6,6,20,26,0,2,0,0,2,31,24,7
"DET","2016-11-06","2016020174","20162017","EDM","1",53.23,7,6,19,23,2,2,0,0,0,33,20,13
"DET","2016-11-08","2016020185","20162017","PHI","0",56.48,7,7,27,28,0,3,1,1,3,17,29,-12
"DET","2016-11-10","2016020200","20162017","VAN","1",47.67,5,5,18,24,1,3,0,0,2,27,22,5
"DET","2016-11-12","2016020212","20162017","MTL","0",46.88,7,5,25,13,3,4,0,0,1,22,16,6
"DET","2016-11-15","2016020235","20162017","T.B","1",48.28,6,2,21,14,2,4,1,1,2,24,17,7
"DET","2016-11-18","2016020256","20162017","WSH","0",46.28,13,5,16,26,0,3,1,0,2,24,18,6
"DET","2016-11-20","2016020274","20162017","CGY","1",52.22,8,4,16,23,2,2,0,0,0,18,23,-5
"DET","2016-11-23","2016020288","20162017","BUF","0",55,9,3,8,32,3,2,0,0,-1,33,21,12
"DET","2016-11-25","2016020310","20162017","N.J","0",47.58,2,3,14,12,4,3,0,0,-1,16,24,-8
"DET","2016-11-26","2016020315","20162017","MTL","1",55.62,7,6,31,26,2,4,0,0,2,27,25,2
"DET","2016-11-29","2016020334","20162017","DAL","1",43.1,2,6,16,20,5,5,0,0,0,24,19,5
"DET","2016-12-01","2016020350","20162017","FLA","1",46.15,7,4,18,22,3,4,0,0,1,18,18,0
"DET","2016-12-03","2016020365","20162017","PIT","0",49.93,1,8,26,24,1,0,0,0,-1,28,19,9
"DET","2016-12-04","2016020372","20162017","NYI","0",59.03,6,7,15,20,2,1,1,1,-1,26,21,5
"DET","2016-12-06","2016020388","20162017","WPG","0",54.78,6,1,16,22,3,1,0,0,-2,24,21,3
"DET","2016-12-09","2016020406","20162017","CBJ","1",51.63,6,4,20,24,0,2,1,1,2,35,19,16
"DET","2016-12-11","2016020422","20162017","PHI","1",44.73,5,4,12,12,4,5,1,1,1,21,20,1
"DET","2016-12-13","2016020436","20162017","ARI","1",49.75,4,1,17,20,1,4,1,1,3,35,24,11
"DET","2016-12-15","2016020448","20162017","L.A","1",45.52,8,5,21,21,4,4,0,0,0,28,21,7
"DET","2016-12-17","2016020464","20162017","ANA","1",52.27,8,6,23,29,2,3,1,1,1,30,26,4
"DET","2017-03-27","2016020477","20162017","CAR","0",50.98,8,7,25,26,2,2,0,0,0,18,27,-9
"DET","2016-12-20","2016020486","20162017","T.B","0",41.37,4,2,21,17,5,4,1,1,-1,21,12,9
"DET","2016-12-23","2016020510","20162017","FLA","0",46.93,15,7,15,15,4,4,0,0,0,35,20,15
"DET","2016-12-27","2016020521","20162017","BUF","1",53.18,4,2,23,27,2,2,2,2,0,42,21,21
"DET","2016-12-29","2016020534","20162017","OTT","0",48.02,7,3,23,31,1,5,0,0,4,21,20,1
"DET","2017-01-01","2016020559","20162017","TOR","0",52.55,4,6,42,28,2,2,1,1,0,32,33,-1
"DET","2017-01-04","2016020577","20162017","ANA","0",48.32,7,3,15,14,3,4,0,0,1,22,16,6
"DET","2017-01-05","2016020583","20162017","L.A","0",55.87,7,1,16,28,1,1,0,0,0,26,26,0
"DET","2017-01-07","2016020602","20162017","S.J","0",54,13,3,17,20,2,1,0,0,-1,30,20,10
"DET","2017-01-10","2016020617","20162017","CHI","0",51.15,4,10,23,13,6,1,0,0,-5,26,33,-7
"DET","2017-01-12","2016020629","20162017","DAL","0",47.5,4,2,7,15,1,2,0,0,1,22,26,-4
