"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"DET","2019-10-05","2019020025","20192020","NSH","0",4,0,0,0,0,0,0,0,0,0,1,4,-3
"DET","2019-10-06","2019020032","20192020","DAL","1",14.03,6,1,0,2,0,1,0,0,1,7,6,1
"DET","2019-10-08","2019020040","20192020","ANA","1",3.87,0,0,0,0,0,0,0,0,0,1,2,-1
"DET","2019-10-10","2019020048","20192020","MTL","0",3.27,0,0,0,0,0,0,0,0,0,3,4,-1
"DET","2019-10-12","2019020066","20192020","TOR","1",2,1,1,0,0,0,0,0,0,0,0,1,-1
"DET","2019-10-15","2019020089","20192020","VAN","0",4.4,0,0,0,0,2,2,0,0,0,2,2,0
"DET","2019-10-17","2019020103","20192020","CGY","0",4.17,0,0,0,1,0,0,0,0,0,5,1,4
"DET","2019-10-18","2019020111","20192020","EDM","0",2.05,0,0,0,0,0,0,0,0,0,0,2,-2
"DET","2019-10-22","2019020137","20192020","VAN","1",9.58,0,0,0,1,1,1,0,0,0,7,7,0
"DET","2019-10-23","2019020143","20192020","OTT","0",10.07,3,0,0,0,0,0,0,0,0,3,11,-8
"DET","2019-10-25","2019020159","20192020","BUF","1",4,2,0,0,3,0,0,0,0,0,0,4,-4
"DET","2019-10-27","2019020171","20192020","STL","1",4.52,1,0,0,0,0,0,0,0,0,2,4,-2
"DET","2019-10-29","2019020184","20192020","EDM","1",4.37,0,0,0,0,0,0,0,0,0,6,2,4
"DET","2019-11-01","2019020199","20192020","CAR","0",7.62,0,0,0,0,0,0,0,0,0,7,0,7
"DET","2019-11-02","2019020208","20192020","FLA","0",6,1,1,1,0,0,0,0,0,0,3,0,3
"DET","2019-11-04","2019020222","20192020","NSH","1",6,2,0,0,1,0,0,0,0,0,6,3,3
"DET","2019-11-06","2019020235","20192020","NYR","0",4,1,0,0,0,0,0,0,0,0,4,1,3
"DET","2019-11-08","2019020248","20192020","BOS","1",5.98,1,0,1,2,1,0,0,0,-1,5,4,1
"DET","2019-11-10","2019020266","20192020","VGK","1",4.75,0,0,0,0,0,0,0,0,0,3,1,2
"DET","2019-11-12","2019020278","20192020","ANA","0",5.45,1,0,1,2,0,0,0,0,0,4,3,1
"DET","2019-11-14","2019020293","20192020","L.A","0",1.98,0,0,0,0,0,0,0,0,0,1,0,1
"DET","2019-11-16","2019020313","20192020","S.J","0",6,2,0,0,1,0,0,0,0,0,3,2,1
"DET","2019-11-19","2019020323","20192020","OTT","1",4.08,1,1,0,0,1,0,0,0,-1,2,3,-1
"DET","2019-11-21","2019020337","20192020","CBJ","0",4.82,2,0,0,1,0,1,0,0,1,4,2,2
"DET","2019-11-23","2019020354","20192020","N.J","0",6.37,0,0,0,5,0,0,0,0,0,1,4,-3
"DET","2019-11-24","2019020363","20192020","CAR","1",0.77,0,0,0,0,0,0,0,0,0,1,1,0
"DET","2019-11-27","2019020379","20192020","TOR","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"DET","2019-11-29","2019020393","20192020","PHI","0",6.22,1,0,1,1,0,0,0,0,0,2,6,-4
"DET","2019-11-30","2019020406","20192020","WSH","1",5.37,1,0,0,0,0,0,0,0,0,1,4,-3
"DET","2019-12-02","2019020421","20192020","NYI","1",10.17,1,0,0,3,0,0,0,0,0,6,5,1
"DET","2019-12-07","2019020455","20192020","PIT","1",2.93,0,0,0,2,0,0,0,0,0,3,0,3
"DET","2019-12-10","2019020477","20192020","WPG","0",4.98,0,0,0,0,2,1,0,0,-1,1,4,-3
"DET","2019-12-12","2019020491","20192020","WPG","1",5.92,3,0,1,3,0,0,0,0,0,4,2,2
"DET","2019-12-14","2019020506","20192020","MTL","0",7,1,1,0,1,2,2,0,0,0,4,6,-2
"DET","2019-12-15","2019020516","20192020","L.A","1",6,0,1,0,1,0,0,0,0,0,4,1,3
"DET","2019-12-17","2019020529","20192020","CBJ","1",4.92,3,0,0,0,0,0,0,0,0,3,2,1
"DET","2019-12-21","2019020556","20192020","TOR","0",2.18,0,0,0,1,0,0,0,0,0,2,2,0
"DET","2019-12-22","2019020566","20192020","ARI","1",6,4,1,2,0,0,0,0,0,0,4,0,4
"DET","2019-12-28","2019020595","20192020","FLA","0",2,1,1,1,0,0,0,0,0,0,1,1,0
"DET","2019-12-29","2019020607","20192020","T.B","0",3.57,1,0,0,0,0,0,0,0,0,2,1,1
"DET","2019-12-31","2019020620","20192020","S.J","1",4,4,0,0,0,0,0,0,0,0,3,0,3
"DET","2020-01-03","2019020640","20192020","DAL","0",9.68,0,0,0,2,0,0,0,0,0,5,4,1
"DET","2020-01-05","2019020657","20192020","CHI","0",4.65,0,0,1,3,0,0,0,0,0,2,1,1
"DET","2020-01-07","2019020669","20192020","MTL","1",8,3,0,0,3,0,0,0,0,0,5,2,3
"DET","2020-01-10","2019020689","20192020","OTT","1",6.42,1,0,1,1,0,0,0,0,0,4,5,-1
"DET","2020-01-12","2019020705","20192020","BUF","1",6.87,3,0,1,1,0,0,0,0,0,8,0,8
"DET","2020-01-14","2019020717","20192020","NYI","0",4,0,0,0,0,0,0,0,0,0,2,2,0
"DET","2020-01-17","2019020740","20192020","PIT","1",5.5,0,0,0,1,0,0,0,0,0,3,1,2
"DET","2020-01-18","2019020749","20192020","FLA","1",12.88,1,0,1,1,1,0,0,0,-1,11,7,4
"DET","2020-01-20","2019020759","20192020","COL","0",4,1,0,1,1,0,0,0,0,0,2,2,0
"DET","2020-01-22","2019020767","20192020","MIN","0",2,0,0,0,0,0,0,0,0,0,1,2,-1
"DET","2020-01-31","2019020785","20192020","NYR","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"DET","2020-02-01","2019020796","20192020","NYR","1",4,3,0,0,0,0,0,0,0,0,2,1,1
"DET","2020-02-03","2019020811","20192020","PHI","1",2.68,0,0,0,0,0,0,0,0,0,1,3,-2
"DET","2020-02-06","2019020827","20192020","BUF","0",5.83,2,0,0,0,0,0,0,0,0,2,0,2
"DET","2020-02-07","2019020841","20192020","CBJ","0",4,1,0,0,2,0,0,0,0,0,1,1,0
"DET","2020-02-09","2019020855","20192020","BOS","1",5.15,1,0,2,1,0,0,0,0,0,1,3,-2
"DET","2020-02-11","2019020866","20192020","BUF","0",5.07,0,0,1,3,0,0,0,0,0,3,2,1
"DET","2020-02-13","2019020884","20192020","N.J","0",7.08,1,0,0,1,1,0,0,0,-1,3,2,1
"DET","2020-02-15","2019020895","20192020","BOS","0",6,1,0,3,2,0,0,0,0,0,2,4,-2
"DET","2020-02-16","2019020906","20192020","PIT","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"DET","2020-02-18","2019020923","20192020","MTL","1",6.02,1,0,0,1,0,0,0,0,0,4,3,1
"DET","2020-02-21","2019020941","20192020","NYI","0",2,0,0,0,0,0,0,0,0,0,2,1,1
"DET","2020-02-23","2019020963","20192020","CGY","1",3.15,1,0,0,0,0,0,0,0,0,1,1,0
"DET","2020-02-25","2019020975","20192020","N.J","1",5.3,1,0,1,0,0,0,0,0,0,1,3,-2
"DET","2020-02-27","2019020989","20192020","MIN","1",6.08,1,1,1,0,0,0,0,0,0,3,2,1
"DET","2020-02-29","2019021005","20192020","OTT","0",2.32,0,0,0,0,0,0,0,0,0,3,0,3
"DET","2020-03-02","2019021017","20192020","COL","1",6.43,1,0,1,1,0,1,0,0,1,2,2,0
"DET","2020-03-06","2019021044","20192020","CHI","1",3.45,0,0,0,0,0,0,0,0,0,2,1,1
"DET","2020-03-08","2019021060","20192020","T.B","1",5.55,1,1,1,2,0,0,0,0,0,2,3,-1
"DET","2020-03-10","2019021074","20192020","CAR","1",9.1,4,1,1,0,2,1,0,0,-1,4,9,-5
"DET","Total","-","20192020","-","-",5.05,72,11,24,57,13,10,0,0,-3,203,175,28
