"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"DET","2015-10-09","2015020014","20152016","TOR","1",50.05,13,19,9,108,16,21,12,3,3
"DET","2015-10-10","2015020023","20152016","CAR","0",49.5,10,17,12,93,11,18,15,2,2
"DET","2015-10-13","2015020042","20152016","T.B","1",47.92,12,12,9,107,14,17,14,4,5
"DET","2015-10-16","2015020060","20152016","CAR","1",49.28,7,20,12,93,12,20,16,4,3
"DET","2015-10-17","2015020065","20152016","MTL","0",45.72,8,13,13,87,10,19,17,3,2
"DET","2015-10-21","2015020090","20152016","EDM","0",43.23,6,18,5,91,7,20,9,4,2
"DET","2015-10-23","2015020103","20152016","CGY","0",53.05,12,16,13,154,17,17,17,6,3
"DET","2015-10-24","2015020116","20152016","VAN","0",47.35,4,16,13,131,6,18,17,4,1
"DET","2015-10-27","2015020127","20152016","CAR","1",50.65,8,16,9,131,9,19,12,1,1
"DET","2015-10-30","2015020149","20152016","OTT","1",41.08,15,8,5,84,16,8,8,3,3
"DET","2015-10-31","2015020158","20152016","OTT","0",48.83,12,22,9,97,13,24,16,5,6
"DET","2015-11-03","2015020176","20152016","T.B","1",46.4,13,12,11,102,14,18,18,3,3
"DET","2015-11-06","2015020194","20152016","TOR","0",47.6,15,12,8,111,17,17,15,6,4
"DET","2015-11-08","2015020211","20152016","DAL","1",46.25,14,15,12,93,16,16,15,1,4
"DET","2015-11-10","2015020220","20152016","WSH","1",50.73,10,8,8,136,13,9,11,2,3
"DET","2015-11-13","2015020244","20152016","S.J","1",52.5,17,16,2,139,23,17,4,2,6
"DET","2015-11-14","2015020247","20152016","BOS","0",51.83,11,16,7,110,16,16,12,3,7
"DET","2015-11-16","2015020264","20152016","OTT","0",54.15,16,20,9,123,21,21,14,5,6
"DET","2015-11-18","2015020276","20152016","WSH","1",45.18,14,13,3,112,17,13,10,5,10
"DET","2015-11-20","2015020289","20152016","L.A","1",48.82,10,13,18,103,14,16,22,3,5
"DET","2015-11-21","2015020300","20152016","STL","0",56.98,16,17,14,127,21,17,19,4,4
"DET","2015-11-25","2015020325","20152016","BOS","1",54.17,15,9,5,157,19,10,8,3,6
"DET","2015-11-27","2015020338","20152016","EDM","1",54.3,18,11,12,141,21,12,19,5,5
"DET","2015-11-29","2015020354","20152016","FLA","1",44.78,12,17,8,90,14,19,10,1,2
"DET","2015-12-01","2015020362","20152016","BUF","1",58.07,13,19,9,124,22,22,12,3,3
"DET","2015-12-03","2015020377","20152016","ARI","1",49.63,14,16,10,114,16,18,15,4,2
"DET","2015-12-05","2015020391","20152016","NSH","1",49.52,16,19,6,109,18,22,13,5,6
"DET","2015-12-08","2015020409","20152016","WSH","0",55.98,13,15,11,126,13,19,14,1,2
"DET","2015-12-10","2015020421","20152016","MTL","1",45.65,16,17,7,80,24,18,13,3,5
"DET","2015-12-11","2015020428","20152016","N.J","0",51.77,13,13,8,114,13,14,12,2,4
"DET","2015-12-14","2015020452","20152016","BUF","1",47.92,12,12,5,126,16,14,10,5,4
"DET","2015-12-18","2015020481","20152016","VAN","1",54.42,9,20,14,123,11,22,19,5,1
"DET","2015-12-20","2015020496","20152016","CGY","1",46.72,8,15,10,113,9,17,15,3,0
"DET","2015-12-22","2015020509","20152016","N.J","1",46.25,8,19,8,107,10,22,14,5,5
"DET","2015-12-26","2015020522","20152016","NSH","0",49.77,12,16,6,114,15,19,15,7,3
"DET","2015-12-28","2015020538","20152016","MIN","0",51.17,12,12,8,114,16,14,10,2,2
"DET","2015-12-29","2015020547","20152016","WPG","0",46.8,10,14,9,94,13,16,11,2,3
"DET","2015-12-31","2015020557","20152016","PIT","1",48.33,10,11,9,116,13,13,16,7,3
"DET","2016-01-02","2015020567","20152016","BUF","0",45.02,12,17,8,87,18,20,11,1,2
"DET","2016-01-04","2015020583","20152016","N.J","0",52.7,13,9,6,116,16,9,15,5,5
"DET","2016-01-07","2015020607","20152016","S.J","0",49.47,7,10,14,139,11,11,17,3,1
"DET","2016-01-10","2015020628","20152016","ANA","0",48.05,13,7,5,105,16,10,9,4,4
"DET","2016-01-11","2015020633","20152016","L.A","0",53.5,10,12,12,115,14,13,19,3,6
"DET","2016-01-14","2015020652","20152016","ARI","0",52.88,12,13,8,137,17,14,12,4,3
"DET","2016-01-17","2015020675","20152016","PHI","1",49.45,18,10,4,138,20,10,5,0,2
"DET","2016-01-20","2015020690","20152016","STL","1",48.95,11,16,2,131,16,18,5,3,4
"DET","2016-01-22","2015020703","20152016","BUF","0",48.7,14,12,14,101,19,16,15,1,3
"DET","2016-01-23","2015020713","20152016","ANA","1",42.62,18,14,9,89,19,14,13,3,5
"DET","2016-01-25","2015020725","20152016","NYI","0",55.17,9,11,9,161,10,13,15,5,2
"DET","2016-02-03","2015020757","20152016","T.B","0",49.47,13,12,4,91,18,16,7,3,1
"DET","2016-02-04","2015020764","20152016","FLA","0",40.75,6,13,9,111,8,16,12,2,1
"DET","2016-02-06","2015020778","20152016","NYI","1",47.43,6,10,15,108,7,10,17,2,3
"DET","2016-02-08","2015020793","20152016","FLA","1",43.75,21,12,8,87,27,18,10,2,9
"DET","2016-02-10","2015020806","20152016","OTT","1",41.73,9,13,7,106,10,15,10,4,3
"DET","2016-02-12","2015020821","20152016","COL","1",51.75,13,14,8,110,14,14,9,1,6
"DET","2016-02-14","2015020837","20152016","BOS","1",49.32,10,19,10,101,13,21,14,4,5
"DET","2016-02-15","2015020840","20152016","NYI","0",45.25,8,10,5,137,11,11,12,6,3
"DET","2016-02-18","2015020859","20152016","PIT","0",54.97,14,18,12,113,17,21,15,2,6
"DET","2016-02-20","2015020876","20152016","OTT","0",56.9,15,17,16,147,17,18,22,6,5
"DET","2016-02-21","2015020885","20152016","NYR","0",45.92,12,8,10,120,14,12,14,4,5
"DET","2016-02-23","2015020896","20152016","CBJ","1",56.65,16,14,6,136,21,14,8,2,9
"DET","2016-02-27","2015020927","20152016","COL","0",43.23,16,14,4,114,22,14,6,2,10
"DET","2016-02-29","2015020941","20152016","DAL","0",50.28,17,16,15,107,18,17,19,4,6
"DET","2016-03-02","2015020952","20152016","CHI","1",51.5,12,18,9,128,16,21,10,1,6
"DET","2016-03-06","2015020983","20152016","CHI","0",46.87,11,13,7,115,14,14,8,0,1
"DET","2016-03-08","2015020996","20152016","CBJ","0",40.83,11,11,11,86,12,13,15,2,6
"DET","2016-03-10","2015021009","20152016","WPG","1",46.25,19,15,5,97,22,15,8,2,5
"DET","2016-03-12","2015021019","20152016","NYR","1",51.82,16,17,11,123,20,19,14,2,4
"DET","2016-03-13","2015021032","20152016","TOR","1",48.63,15,17,9,108,18,21,12,3,2
"DET","2016-03-15","2015021039","20152016","PHI","0",48.52,15,17,13,100,21,23,17,4,5
"DET","2016-03-17","2015021055","20152016","CBJ","0",49.13,8,11,12,115,12,16,19,8,2
"DET","2016-03-19","2015021072","20152016","FLA","0",50.2,14,11,11,136,17,14,16,4,6
"DET","2016-03-22","2015021093","20152016","T.B","0",52.33,11,16,8,82,16,17,13,4,3
"DET","2016-03-24","2015021105","20152016","MTL","1",51.23,25,18,8,113,26,20,12,4,11
"DET","2016-03-26","2015021115","20152016","PIT","1",49.45,10,21,11,96,13,27,13,2,5
"DET","2016-03-28","2015021134","20152016","BUF","1",45.18,9,19,7,116,11,22,9,2,0
"DET","2016-03-29","2015021143","20152016","MTL","0",46.62,17,11,6,118,21,14,12,5,5
"DET","2016-04-01","2015021162","20152016","MIN","1",54.05,11,13,11,129,14,15,19,5,2
"DET","2016-04-02","2015021170","20152016","TOR","0",48.07,10,14,18,116,13,17,23,4,1
"DET","2016-04-06","2015021200","20152016","PHI","1",43.32,12,13,13,105,17,13,23,9,6
"DET","2016-04-07","2015021202","20152016","BOS","0",45.23,10,17,13,105,12,20,13,1,4
"DET","2016-04-09","2015021217","20152016","NYR","0",53.15,16,15,14,139,19,18,18,4,6
"DET","Total","-","20152016","-","-",49.13,1019,1182,763,9328,1273,1356,1104,278,328
