"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"DET","2018-10-04","2018020010","20182019","CBJ","1",2.57,3,0,0,5,3,0,0,0,0
"DET","2018-10-07","2018020031","20182019","L.A","0",5.2,5,0,0,3,5,0,0,0,0
"DET","2018-10-08","2018020035","20182019","ANA","0",2.07,1,0,0,5,1,0,0,0,0
"DET","2018-10-11","2018020052","20182019","TOR","1",6,3,0,0,10,4,1,0,0,0
"DET","2018-10-13","2018020061","20182019","BOS","0",4.07,3,1,0,2,4,1,0,0,0
"DET","2018-10-15","2018020075","20182019","MTL","0",2.87,2,0,0,1,3,1,0,0,0
"DET","2018-10-18","2018020093","20182019","T.B","0",8.02,6,1,0,6,6,2,0,0,0
"DET","2018-10-20","2018020108","20182019","FLA","0",2.48,2,2,0,1,3,3,0,0,0
"DET","2018-10-22","2018020119","20182019","CAR","1",6.27,3,2,0,7,3,2,1,1,0
"DET","2018-10-26","2018020145","20182019","WPG","1",5.45,3,3,0,5,5,3,0,0,0
"DET","2018-10-28","2018020160","20182019","DAL","1",4.7,5,0,0,1,6,0,0,0,0
"DET","2018-10-30","2018020170","20182019","CBJ","0",1.63,1,0,0,2,1,0,0,0,0
"DET","2018-11-01","2018020184","20182019","N.J","1",6.05,4,3,0,5,4,4,0,0,0
"DET","2018-11-03","2018020197","20182019","EDM","1",4,4,1,1,1,5,1,1,0,0
"DET","2018-11-06","2018020219","20182019","VAN","1",2.28,2,0,0,1,2,0,0,0,0
"DET","2018-11-09","2018020238","20182019","NYR","1",4,3,1,0,2,3,1,0,0,0
"DET","2018-11-10","2018020250","20182019","CAR","0",4,2,0,0,4,2,0,0,0,0
"DET","2018-11-13","2018020268","20182019","ARI","1",5.63,5,1,0,4,6,1,0,0,0
"DET","2018-11-15","2018020281","20182019","OTT","0",4,3,1,0,4,3,1,0,0,0
"DET","2018-11-17","2018020292","20182019","N.J","0",4,3,2,0,3,3,2,0,0,0
"DET","2018-11-21","2018020324","20182019","BOS","1",0,0,0,0,0,0,0,0,0,0
"DET","2018-11-23","2018020335","20182019","WSH","0",6,5,1,0,5,5,1,0,0,0
"DET","2018-11-24","2018020350","20182019","BUF","1",6.77,5,0,0,7,6,1,0,0,0
"DET","2018-11-26","2018020366","20182019","CBJ","1",4.2,2,0,1,7,3,0,1,0,0
"DET","2018-11-28","2018020377","20182019","STL","1",2.52,2,0,0,2,3,0,0,0,0
"DET","2018-12-01","2018020397","20182019","BOS","0",5.03,4,1,0,4,5,1,1,0,0
