"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"EDM","2019-10-02","2019020003","20192020","VAN","1",46.23,60,44.19,38.71,39.33,40.56,3,2,19,24,24,38,35,54,1.28,1.87,1,-5,-14,-19,-0.6
"EDM","2019-10-05","2019020029","20192020","L.A","1",45.62,50,48.94,47.46,46.91,47.93,4,4,23,24,28,31,38,43,1.7,1.85,0,-1,-3,-5,-0.15
"EDM","2019-10-08","2019020037","20192020","NYI","0",47.82,75,40.48,45.9,45.45,60.13,3,1,17,25,28,33,40,48,1.72,1.14,2,-8,-5,-8,0.58
"EDM","2019-10-10","2019020049","20192020","N.J","0",57.43,25,35.56,36.21,38.27,31.3,1,3,16,29,21,37,31,50,1.15,2.52,-2,-13,-16,-19,-1.37
"EDM","2019-10-12","2019020061","20192020","NYR","0",48.22,66.67,61.76,70.69,69.86,69.56,2,1,21,13,41,17,51,22,2.32,1.02,1,8,24,29,1.31
"EDM","2019-10-14","2019020084","20192020","CHI","0",48.03,0,50,43.08,43.82,41.98,0,2,26,26,28,37,39,50,2.27,3.14,-2,0,-9,-11,-0.87
"EDM","2019-10-16","2019020095","20192020","PHI","1",48.53,80,32.65,34.38,35.29,29.13,4,1,16,33,22,42,30,55,1.49,3.62,3,-17,-20,-25,-2.13
"EDM","2019-10-18","2019020111","20192020","DET","1",52,66.67,60,56.96,56.31,64.97,2,1,33,22,45,34,58,45,2.46,1.32,1,11,11,13,1.13
"EDM","2019-10-20","2019020127","20192020","WPG","0",53.67,0,66.67,58.33,52.38,56.53,0,0,26,13,35,25,44,40,1.84,1.42,0,13,10,4,0.42
"EDM","2019-10-22","2019020139","20192020","MIN","0",51.75,0,47.83,46.03,40.91,29.69,0,2,22,24,29,34,36,52,0.92,2.17,-2,-2,-5,-16,-1.26
"EDM","2019-10-24","2019020154","20192020","WSH","1",53.43,60,59.02,55,55.86,65.2,3,2,36,25,44,36,62,49,3.38,1.8,1,11,8,13,1.57
"EDM","2019-10-27","2019020170","20192020","FLA","1",51.82,16.67,40.91,48.44,50,51.31,1,5,18,26,31,33,45,45,2.02,1.91,-4,-8,-2,0,0.1
"EDM","2019-10-29","2019020184","20192020","DET","0",48.22,50,55.56,52.73,52.11,55.25,1,1,25,20,29,26,37,34,2.16,1.75,0,5,3,3,0.41
"EDM","2019-10-30","2019020189","20192020","CBJ","0",46.05,100,56.1,56.14,58.75,65.65,3,0,23,18,32,25,47,33,2.21,1.16,3,5,7,14,1.05
"EDM","2019-11-02","2019020204","20192020","PIT","0",50.28,100,35,35.9,35,46.56,2,0,21,39,28,50,35,65,2.18,2.5,2,-18,-22,-30,-0.32
"EDM","2019-11-04","2019020223","20192020","ARI","1",52.78,40,53.49,52.46,51.25,71.48,2,3,23,20,32,29,41,39,2.56,1.02,-1,3,3,2,1.54
"EDM","2019-11-06","2019020236","20192020","STL","1",51.37,50,63.83,59.09,54.74,53.93,1,1,30,17,39,27,52,43,2.78,2.38,0,13,12,9,0.41
"EDM","2019-11-08","2019020251","20192020","N.J","1",46.73,100,51.02,44.29,50,50.59,3,0,25,24,31,39,47,47,2.07,2.02,3,1,-8,0,0.05
"EDM","2019-11-10","2019020269","20192020","ANA","0",48.37,66.67,46.15,50,47.13,49.73,4,2,24,28,35,35,41,46,2.99,3.02,2,-4,0,-5,-0.03
"EDM","2019-11-12","2019020280","20192020","S.J","0",52.33,33.33,48.84,50,50.55,58.8,3,6,21,22,32,32,46,45,2.86,2,-3,-1,0,1,0.86
"EDM","2019-11-14","2019020290","20192020","COL","1",44.47,50,35,37.93,37.97,38.47,2,2,14,26,22,36,30,49,1.25,2,0,-12,-14,-19,-0.75
"EDM","2019-11-16","2019020301","20192020","DAL","1",50.33,37.5,45.76,45.57,47.42,40.58,3,5,27,32,36,43,46,51,1.79,2.61,-2,-5,-7,-5,-0.83
"EDM","2019-11-19","2019020330","20192020","S.J","0",52.9,66.67,46.43,50,46.15,57.76,4,2,26,30,40,40,48,56,3.87,2.83,2,-4,0,-8,1.04
"EDM","2019-11-21","2019020345","20192020","L.A","0",44.3,20,46.81,51.61,50,54.27,1,4,22,25,32,30,40,40,2.13,1.8,-3,-3,2,0,0.34
"EDM","2019-11-23","2019020360","20192020","VGK","0",52.23,60,49.02,51.61,49.46,46.06,3,2,25,26,32,30,46,47,1.51,1.77,1,-1,2,-1,-0.26
"EDM","2019-11-24","2019020364","20192020","ARI","0",60.47,50,60,55.81,55.56,56.99,2,2,36,24,48,38,65,52,2.98,2.25,0,12,10,13,0.73
"EDM","2019-11-27","2019020387","20192020","COL","0",47.6,20,33.33,37.66,39.42,32.7,1,4,20,40,29,48,41,63,1.6,3.29,-3,-20,-19,-22,-1.69
"EDM","2019-11-30","2019020414","20192020","VAN","1",47.68,40,42.86,44.44,50,37.59,2,3,21,28,28,35,43,43,1.39,2.31,-1,-7,-7,0,-0.92
"EDM","2019-12-01","2019020418","20192020","VAN","0",51.78,33.33,48,50.77,43.96,43.96,1,2,24,26,33,32,40,51,1.25,1.59,-1,-2,1,-11,-0.34
"EDM","2019-12-04","2019020436","20192020","OTT","1",46.47,20,44.74,50.79,51.22,38.93,1,4,17,21,32,31,42,40,1.61,2.52,-3,-4,1,2,-0.92
"EDM","2019-12-06","2019020450","20192020","L.A","1",50.8,0,35.71,41.94,39.51,44.28,0,1,15,27,26,36,32,49,1.36,1.71,-1,-12,-10,-17,-0.35
"EDM","2019-12-08","2019020467","20192020","BUF","1",48.68,25,47.37,43.1,41.03,37.97,1,3,18,20,25,33,32,46,1.56,2.54,-2,-2,-8,-14,-0.99
"EDM","2019-12-10","2019020479","20192020","CAR","1",45.87,40,51.92,50.67,47.19,54.13,2,3,27,25,38,37,42,47,2.18,1.85,-1,2,1,-5,0.33
"EDM","2019-12-12","2019020493","20192020","MIN","0",56.02,33.33,54.55,50.62,50.96,41.41,3,6,30,25,41,40,53,51,1.24,1.75,-3,5,1,2,-0.51
"EDM","2019-12-14","2019020511","20192020","TOR","1",56.18,0,52.31,49.44,51.82,43.26,0,3,34,31,44,45,57,53,2.28,2.99,-3,3,-1,4,-0.71
"EDM","2019-12-16","2019020523","20192020","DAL","0",43.72,100,41.86,42.11,36.71,35.18,1,0,18,25,24,33,29,50,1.03,1.89,1,-7,-9,-21,-0.87
"EDM","2019-12-18","2019020537","20192020","STL","0",44.63,0,44.83,45.71,41.98,45.09,0,2,26,32,32,38,34,47,2.12,2.59,-2,-6,-6,-13,-0.46
"EDM","2019-12-20","2019020551","20192020","PIT","1",53.45,25,52.27,56.92,53.57,52.45,1,3,23,21,37,28,45,39,2.51,2.27,-2,2,9,6,0.23
"EDM","2019-12-21","2019020561","20192020","MTL","1",46.7,75,43.59,41.51,39.02,49.87,3,1,17,22,22,31,32,50,1.51,1.51,2,-5,-9,-18,-0.01
"EDM","2019-12-23","2019020579","20192020","VAN","0",51.62,33.33,50,46.27,43.88,41.96,1,2,24,24,31,36,43,55,1.4,1.94,-1,0,-5,-12,-0.54
"EDM","2019-12-27","2019020590","20192020","CGY","1",53.97,20,52,58.46,54.55,55.12,1,4,26,24,38,27,48,40,1.92,1.56,-3,2,11,8,0.36
