"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"EDM","2018-10-06","2018020020","20182019","N.J","0",6.3,100,100,100,85.71,100,1,0,1,0,4,0,6,1,0.3,0,1,1,4,5,0.3
"EDM","2018-10-11","2018020045","20182019","BOS","0",2.57,0,100,83.33,83.33,73.24,0,0,5,0,5,1,5,1,0.49,0.18,0,5,4,4,0.31
"EDM","2018-10-13","2018020057","20182019","NYR","0",7.2,100,100,100,100,100,1,0,3,0,7,0,8,0,0.4,0,1,3,7,8,0.4
"EDM","2018-10-16","2018020084","20182019","WPG","0",1.77,100,100,100,100,100,2,0,4,0,6,0,6,0,0.72,0,2,4,6,6,0.72
"EDM","2018-10-18","2018020096","20182019","BOS","1",3.03,100,100,100,100,100,1,0,4,0,4,0,7,0,0.55,0,1,4,4,7,0.55
"EDM","2018-10-20","2018020111","20182019","NSH","1",8,0,83.33,75,83.33,85.1,0,1,5,1,6,2,10,2,1.11,0.19,-1,4,4,8,0.91
"EDM","2018-10-23","2018020129","20182019","PIT","1",7.15,100,77.78,81.82,71.43,94.45,2,0,7,2,9,2,10,4,0.96,0.06,2,5,7,6,0.9
"EDM","2018-10-25","2018020142","20182019","WSH","1",7.95,100,44.44,54.55,58.33,51.22,1,0,4,5,6,5,7,5,0.28,0.27,1,-1,1,2,0.01
"EDM","2018-10-27","2018020150","20182019","NSH","0",11.35,100,90,83.33,80,85.46,1,0,9,1,15,3,20,5,1.45,0.25,1,8,12,15,1.2
"EDM","2018-10-28","2018020162","20182019","CHI","0",2.38,0,100,100,100,100,0,0,3,0,5,0,6,0,0.25,0,0,3,5,6,0.25
"EDM","2018-10-30","2018020174","20182019","MIN","1",9.58,0,100,100,93.33,100,0,0,8,0,10,0,14,1,1.41,0,0,8,10,13,1.41
"EDM","2018-11-01","2018020188","20182019","CHI","1",8.12,100,57.14,60,75,47.06,1,0,4,3,6,4,12,4,0.53,0.6,1,1,2,8,-0.07
"EDM","2018-11-03","2018020197","20182019","DET","0",2.22,0,100,100,100,100,0,0,3,0,3,0,4,0,0.16,0,0,3,3,4,0.16
"EDM","2018-11-05","2018020213","20182019","WSH","0",5.33,100,100,88.89,90.91,93.92,1,0,6,0,8,1,10,1,0.89,0.06,1,6,7,9,0.83
"EDM","2018-11-06","2018020220","20182019","T.B","0",5.43,100,90,90.91,93.33,95.81,1,0,9,1,10,1,14,1,0.8,0.03,1,8,9,13,0.77
"EDM","2018-11-08","2018020228","20182019","FLA","0",4.43,0,100,100,100,100,0,0,2,0,5,0,8,0,0.44,0,0,2,5,8,0.44
"EDM","2018-11-11","2018020259","20182019","COL","1",6,0,33.33,33.33,60,70.68,0,0,2,4,2,4,6,4,0.22,0.09,0,-2,-2,2,0.13
"EDM","2018-11-13","2018020270","20182019","MTL","1",5.9,0,83.33,85.71,90,84.74,0,0,5,1,6,1,9,1,0.39,0.07,0,4,5,8,0.32
"EDM","2018-11-17","2018020301","20182019","CGY","0",2.02,100,75,75,75,50.9,1,0,3,1,3,1,3,1,0.17,0.16,1,2,2,2,0.01
"EDM","2018-11-18","2018020306","20182019","VGK","1",2.82,50,83.33,85.71,88.89,93.59,1,1,5,1,6,1,8,1,0.9,0.06,0,4,5,7,0.84
"EDM","2018-11-20","2018020317","20182019","S.J","0",0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EDM","2018-11-23","2018020337","20182019","ANA","0",3.53,100,100,100,100,100,1,0,4,0,5,0,10,0,0.46,0,1,4,5,10,0.46
"EDM","2018-11-25","2018020361","20182019","L.A","0",4.45,100,80,83.33,88.89,94.53,1,0,4,1,5,1,8,1,0.62,0.04,1,3,4,7,0.58
"EDM","2018-11-27","2018020375","20182019","DAL","1",4,0,100,80,85.71,74.18,0,0,3,0,4,1,6,1,0.22,0.08,0,3,3,5,0.14
"EDM","2018-11-29","2018020388","20182019","L.A","1",2.82,100,100,100,100,100,2,0,8,0,8,0,9,0,1.14,0,2,8,8,9,1.14
"EDM","2018-12-01","2018020406","20182019","VGK","1",5.1,0,70,70,76.92,90.33,0,0,7,3,7,3,10,3,0.7,0.08,0,4,4,7,0.63
"EDM","2018-12-03","2018020415","20182019","DAL","0",3.48,0,100,100,100,100,0,0,1,0,2,0,5,0,0.18,0,0,1,2,5,0.18
"EDM","2018-12-05","2018020426","20182019","STL","0",10,0,71.43,80,86.67,94.14,0,0,5,2,8,2,13,2,0.63,0.04,0,3,6,11,0.59
"EDM","2018-12-07","2018020442","20182019","MIN","1",2,0,100,100,100,100,0,0,3,0,4,0,5,0,0.44,0,0,3,4,5,0.44
"EDM","2018-12-09","2018020459","20182019","CGY","1",10,0,76.92,78.57,80,92.04,0,0,10,3,11,3,12,3,0.79,0.07,0,7,8,9,0.72
"EDM","2018-12-11","2018020474","20182019","COL","0",4.65,100,100,100,100,100,2,0,5,0,6,0,9,0,0.57,0,2,5,6,9,0.57
"EDM","2018-12-13","2018020485","20182019","WPG","0",2.12,100,100,100,100,100,1,0,3,0,4,0,5,0,0.37,0,1,3,4,5,0.37
"EDM","2018-12-14","2018020494","20182019","PHI","1",4,0,75,80,80,95.86,0,0,3,1,4,1,4,1,0.25,0.01,0,2,3,3,0.24
"EDM","2018-12-16","2018020511","20182019","VAN","0",2,0,0,0,100,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
"EDM","2018-12-18","2018020524","20182019","STL","1",10,0,75,85.71,84.62,94.49,0,0,3,1,6,1,11,2,0.64,0.04,0,2,5,9,0.61
"EDM","2018-12-22","2018020557","20182019","T.B","1",3.75,100,100,100,100,100,2,0,3,0,4,0,5,0,0.57,0,2,3,4,5,0.57
"EDM","2018-12-27","2018020576","20182019","VAN","1",3.02,100,100,100,100,100,2,0,4,0,5,0,7,0,0.37,0,2,4,5,7,0.37
"EDM","2018-12-29","2018020585","20182019","S.J","1",2,0,0,75,75,49.45,0,1,0,1,3,1,3,1,0.15,0.16,-1,-1,2,2,0
"EDM","2018-12-31","2018020610","20182019","WPG","1",0.63,100,100,100,100,100,1,0,1,0,1,0,1,0,0.08,0,1,1,1,1,0.08
"EDM","2019-01-02","2018020620","20182019","ARI","0",4.97,0,100,87.5,90.91,89.36,0,0,4,0,7,1,10,1,0.77,0.09,0,4,6,9,0.67
"EDM","2019-01-05","2018020643","20182019","L.A","0",6,0,80,87.5,81.82,99.05,0,0,4,1,7,1,9,2,0.79,0.01,0,3,6,7,0.78
"EDM","2019-01-06","2018020651","20182019","ANA","0",2,0,0,100,66.67,100,0,0,0,0,1,0,2,1,0.08,0,0,0,1,1,0.08
"EDM","2019-01-08","2018020667","20182019","S.J","0",4.22,100,100,100,100,100,1,0,5,0,9,0,10,0,0.89,0,1,5,9,10,0.89
"EDM","2019-01-10","2018020679","20182019","FLA","1",3.05,0,100,100,100,100,0,0,1,0,1,0,4,0,0.03,0,0,1,1,4,0.03
