"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"EDM","2015-10-08","2015020008","20152016","STL","0",48.53,1,2,13,22,3,4,1,1,1,14,26,-12
"EDM","2015-10-10","2015020024","20152016","NSH","0",43.92,6,4,11,26,2,5,0,0,3,29,27,2
"EDM","2015-10-13","2015020043","20152016","DAL","0",48.73,11,12,20,15,3,1,0,0,-2,15,30,-15
"EDM","2015-10-15","2015020056","20152016","STL","1",45.17,11,5,28,23,1,4,0,0,3,21,22,-1
"EDM","2015-10-17","2015020073","20152016","CGY","0",45.53,5,7,14,20,4,4,1,1,0,34,28,6
"EDM","2015-10-18","2015020078","20152016","VAN","0",56.98,3,9,19,24,1,2,0,0,1,13,29,-16
"EDM","2015-10-21","2015020090","20152016","DET","1",43.23,7,6,12,17,4,1,0,0,-3,17,19,-2
"EDM","2015-10-23","2015020104","20152016","WSH","1",44.7,8,3,22,17,2,4,0,0,2,20,22,-2
"EDM","2015-10-25","2015020120","20152016","L.A","1",51.68,14,10,23,37,2,1,1,1,-1,24,17,7
"EDM","2015-10-27","2015020130","20152016","MIN","0",52.87,3,2,10,16,1,0,0,0,-1,24,21,3
"EDM","2015-10-29","2015020144","20152016","MTL","1",49.85,12,6,17,16,3,5,0,0,2,31,28,3
"EDM","2015-10-31","2015020163","20152016","CGY","1",46.82,14,4,17,31,4,5,0,0,1,27,21,6
"EDM","2015-11-03","2015020179","20152016","PHI","1",47.73,8,10,19,21,2,1,0,0,-1,23,25,-2
"EDM","2015-11-06","2015020198","20152016","PIT","1",50.48,19,9,16,24,3,2,0,0,-1,24,25,-1
"EDM","2015-11-08","2015020214","20152016","CHI","0",51.32,15,4,33,23,4,2,0,0,-2,33,32,1
"EDM","2015-11-11","2015020229","20152016","ANA","0",54.35,5,5,23,31,2,2,1,1,0,23,30,-7
"EDM","2015-11-12","2015020240","20152016","ARI","0",46.75,5,8,24,25,2,4,0,0,2,18,27,-9
"EDM","2015-11-14","2015020258","20152016","L.A","0",44.72,5,4,20,21,2,3,0,0,1,19,24,-5
"EDM","2015-11-18","2015020277","20152016","CHI","1",52.85,13,8,14,15,2,3,0,0,1,27,27,0
"EDM","2015-11-20","2015020292","20152016","N.J","1",42.17,9,5,26,26,1,5,0,0,4,15,16,-1
"EDM","2015-11-23","2015020311","20152016","WSH","0",47.1,6,5,14,26,3,1,0,0,-2,19,25,-6
"EDM","2015-11-25","2015020323","20152016","CAR","0",50.62,7,10,16,19,1,4,0,0,3,21,26,-5
"EDM","2015-11-27","2015020338","20152016","DET","0",54.3,3,1,16,18,2,1,0,0,-1,26,26,0
"EDM","2015-11-28","2015020346","20152016","PIT","0",53.67,2,2,31,33,3,4,0,0,1,31,31,0
"EDM","2015-11-30","2015020357","20152016","TOR","0",47.67,6,5,21,29,2,3,0,0,1,17,18,-1
"EDM","2015-12-02","2015020371","20152016","BOS","1",51.15,21,13,17,14,2,3,0,0,1,31,20,11
"EDM","2015-12-04","2015020386","20152016","DAL","1",46.75,11,7,16,7,4,3,0,0,-1,22,18,4
"EDM","2015-12-06","2015020402","20152016","BUF","1",49.82,8,13,24,25,5,2,0,0,-3,31,25,6
"EDM","2015-12-09","2015020419","20152016","S.J","1",55.98,12,4,35,18,4,2,2,2,-2,34,17,17
"EDM","2015-12-11","2015020432","20152016","NYR","1",51.9,7,4,24,26,2,3,0,0,1,27,31,-4
"EDM","2015-12-14","2015020448","20152016","BOS","0",51.77,12,4,30,36,2,2,1,1,0,33,32,1
"EDM","2015-12-15","2015020455","20152016","NYR","0",40.45,6,4,20,24,2,5,0,0,3,15,17,-2
"EDM","2015-12-17","2015020473","20152016","CHI","0",55.97,4,6,30,22,1,0,0,0,-1,30,25,5
"EDM","2015-12-19","2015020492","20152016","COL","0",54.95,4,3,12,29,1,1,0,0,0,22,30,-8
"EDM","2015-12-21","2015020506","20152016","WPG","1",43.18,11,7,17,21,4,3,0,0,-1,33,14,19
"EDM","2015-12-26","2015020525","20152016","VAN","0",53.77,5,5,9,24,1,3,0,0,2,30,24,6
"EDM","2015-12-27","2015020534","20152016","CGY","0",53.2,6,2,7,18,3,1,0,0,-2,24,28,-4
"EDM","2015-12-29","2015020549","20152016","L.A","1",52.12,10,8,21,24,1,2,0,0,1,23,28,-5
"EDM","2015-12-31","2015020563","20152016","ANA","1",50.82,15,8,29,25,3,3,1,1,0,26,21,5
"EDM","2016-01-02","2015020568","20152016","ARI","1",52.32,13,10,22,18,4,4,0,0,0,28,32,-4
"EDM","2016-01-04","2015020586","20152016","CAR","1",56.78,8,5,25,19,1,2,0,0,1,22,23,-1
"EDM","2016-01-08","2015020612","20152016","T.B","1",48.03,7,8,25,21,2,1,0,0,-1,26,24,2
"EDM","2016-01-10","2015020629","20152016","FLA","1",52.18,14,9,28,37,0,1,3,3,1,15,22,-7
"EDM","2016-01-12","2015020641","20152016","ARI","0",56.83,6,3,27,25,3,3,0,0,0,20,40,-20
"EDM","2016-01-14","2015020653","20152016","S.J","0",54.97,6,5,24,16,4,0,0,0,-4,14,23,-9
"EDM","2016-01-16","2015020668","20152016","CGY","1",53.23,12,5,20,29,4,1,0,0,-3,36,26,10
"EDM","2016-01-18","2015020677","20152016","FLA","0",51.9,6,9,36,32,2,0,1,1,-2,27,26,1
"EDM","2016-01-19","2015020687","20152016","T.B","0",47.1,4,8,22,18,3,5,0,0,2,25,17,8
"EDM","2016-01-21","2015020700","20152016","DAL","0",49.75,6,7,22,18,2,3,0,0,1,21,32,-11
"EDM","2016-01-23","2015020719","20152016","NSH","1",48.6,15,4,20,21,3,3,0,0,0,19,27,-8
"EDM","2016-02-02","2015020753","20152016","CBJ","1",46.58,19,6,21,25,7,4,0,0,-3,37,18,19
"EDM","2016-02-04","2015020763","20152016","OTT","0",51.38,6,6,20,31,4,2,3,3,-2,21,35,-14
"EDM","2016-02-06","2015020777","20152016","MTL","0",48.95,7,3,34,28,4,4,0,0,0,23,27,-4
"EDM","2016-02-07","2015020789","20152016","NYI","0",50.77,10,5,18,21,5,3,1,1,-2,24,31,-7
"EDM","2016-02-09","2015020796","20152016","N.J","0",42.7,0,4,18,22,5,1,1,1,-4,15,12,3
"EDM","2016-02-11","2015020816","20152016","TOR","1",40.12,6,6,15,18,2,4,0,0,2,16,21,-5
"EDM","2016-02-13","2015020833","20152016","WPG","1",43.12,5,2,16,11,4,4,1,1,0,23,24,-1
"EDM","2016-02-16","2015020854","20152016","ANA","1",47.4,9,8,21,30,3,3,0,0,0,23,22,1
"EDM","2016-02-18","2015020866","20152016","MIN","1",46.62,13,2,21,20,2,0,0,0,-2,18,24,-6
"EDM","2016-02-20","2015020882","20152016","COL","1",45.25,12,4,19,18,1,3,1,1,2,18,20,-2
"EDM","2016-02-23","2015020900","20152016","OTT","1",48.17,17,7,28,33,2,4,0,0,2,15,21,-6
"EDM","2016-02-25","2015020915","20152016","L.A","0",54.43,5,4,28,38,1,1,0,0,0,27,33,-6
"EDM","2016-02-26","2015020919","20152016","ANA","0",49.7,13,8,24,29,2,3,0,0,1,20,11,9
"EDM","2016-02-28","2015020936","20152016","NYI","1",46.65,11,6,21,33,2,0,0,0,-2,21,20,1
"EDM","2016-03-01","2015020944","20152016","BUF","0",55.8,8,0,15,26,1,2,0,0,1,32,28,4
"EDM","2016-03-03","2015020956","20152016","PHI","0",43,2,4,22,22,9,3,0,0,-6,13,27,-14
"EDM","2016-03-04","2015020967","20152016","CBJ","0",51.68,2,3,19,18,3,3,2,2,0,31,18,13
"EDM","2016-03-06","2015020984","20152016","WPG","0",50.05,4,2,14,23,1,2,0,0,1,24,18,6
"EDM","2016-03-08","2015021000","20152016","S.J","1",54.83,9,9,19,15,1,2,1,1,1,26,25,1
"EDM","2016-03-10","2015021011","20152016","MIN","0",46.48,2,1,14,9,3,2,0,0,-1,11,27,-16
"EDM","2016-03-12","2015021026","20152016","ARI","1",50.88,12,7,24,24,4,6,0,0,2,17,37,-20
"EDM","2016-03-14","2015021036","20152016","NSH","1",49.85,7,4,28,23,2,2,0,0,0,28,24,4
"EDM","2016-03-16","2015021049","20152016","STL","1",41.7,14,7,20,20,2,6,0,0,4,19,31,-12
"EDM","2016-03-18","2015021065","20152016","VAN","1",49.33,9,8,26,21,6,3,0,0,-3,26,18,8
"EDM","2016-03-20","2015021083","20152016","COL","1",47.5,11,8,29,16,2,4,0,0,2,19,22,-3
"EDM","2016-03-22","2015021097","20152016","ARI","0",50.78,0,1,21,28,1,3,0,0,2,23,33,-10
"EDM","2016-03-24","2015021111","20152016","S.J","0",51.87,13,8,26,25,3,1,1,1,-2,22,28,-6
"EDM","2016-03-26","2015021128","20152016","L.A","0",48.03,9,1,34,25,0,2,1,1,2,28,20,8
"EDM","2016-03-28","2015021137","20152016","ANA","1",45.13,11,7,26,28,2,1,0,0,-1,27,15,12
"EDM","2016-04-02","2015021176","20152016","CGY","1",44.6,7,9,15,22,4,1,0,0,-3,11,20,-9
"EDM","2016-04-06","2015021201","20152016","VAN","1",45.67,16,12,18,23,6,5,0,0,-1,22,28,-6
"EDM","2016-04-09","2015021228","20152016","VAN","0",55.42,5,3,19,14,3,3,0,0,0,24,34,-10
"EDM","Total","-","20152016","-","-",49.39,701,472,1734,1881,219,214,24,24,-5,1903,2016,-113
