"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"EDM","2018-10-06","2018020020","20182019","N.J","0",2.12,0,2,0,0,0,0,0,0,0,0,2,-2
"EDM","2018-10-11","2018020045","20182019","BOS","0",4.42,0,1,0,0,0,0,0,0,0,1,4,-3
"EDM","2018-10-13","2018020057","20182019","NYR","0",4,0,1,1,0,0,0,0,0,0,3,2,1
"EDM","2018-10-16","2018020084","20182019","WPG","0",5.88,4,1,0,0,0,0,0,0,0,5,1,4
"EDM","2018-10-18","2018020096","20182019","BOS","1",6,2,0,0,0,0,0,0,0,0,1,4,-3
"EDM","2018-10-20","2018020111","20182019","NSH","1",8,1,1,0,0,0,0,0,0,0,4,4,0
"EDM","2018-10-23","2018020129","20182019","PIT","1",4.08,1,0,0,1,0,0,0,0,0,1,3,-2
"EDM","2018-10-25","2018020142","20182019","WSH","1",2,1,1,0,0,0,0,0,0,0,0,2,-2
"EDM","2018-10-27","2018020150","20182019","NSH","0",8.35,2,1,0,0,0,0,0,0,0,1,3,-2
"EDM","2018-10-28","2018020162","20182019","CHI","0",8,0,1,1,0,1,0,0,0,-1,3,6,-3
"EDM","2018-10-30","2018020174","20182019","MIN","1",3.6,0,0,0,1,0,0,0,0,0,0,3,-3
"EDM","2018-11-01","2018020188","20182019","CHI","1",6,3,2,0,0,0,0,0,0,0,6,1,5
"EDM","2018-11-03","2018020197","20182019","DET","0",4,1,0,0,0,0,0,0,0,0,4,3,1
"EDM","2018-11-05","2018020213","20182019","WSH","0",2.75,1,1,0,0,0,0,0,0,0,2,2,0
"EDM","2018-11-06","2018020220","20182019","T.B","0",9.02,0,2,3,1,1,0,0,0,-1,3,5,-2
"EDM","2018-11-08","2018020228","20182019","FLA","0",4.87,0,1,1,0,0,1,0,0,1,1,4,-3
"EDM","2018-11-11","2018020259","20182019","COL","1",3.98,0,0,2,0,0,0,0,0,0,1,1,0
"EDM","2018-11-13","2018020270","20182019","MTL","1",6,2,2,0,0,0,0,0,0,0,3,3,0
"EDM","2018-11-17","2018020301","20182019","CGY","0",8.88,2,2,3,0,0,2,1,1,2,4,7,-3
"EDM","2018-11-18","2018020306","20182019","VGK","1",2.28,0,0,0,0,0,0,0,0,0,1,2,-1
"EDM","2018-11-20","2018020317","20182019","S.J","0",4.18,0,0,0,0,0,1,0,0,1,4,3,1
"EDM","2018-11-23","2018020337","20182019","ANA","0",4,0,0,1,0,0,0,0,0,0,2,3,-1
"EDM","2018-11-25","2018020361","20182019","L.A","0",6.58,2,0,1,0,0,0,0,0,0,4,3,1
"EDM","2018-11-27","2018020375","20182019","DAL","1",4,0,0,1,1,0,0,0,0,0,1,2,-1
"EDM","2018-11-29","2018020388","20182019","L.A","1",4.72,2,2,0,1,1,0,0,0,-1,3,4,-1
"EDM","2018-12-01","2018020406","20182019","VGK","1",5.1,2,2,2,1,0,1,0,0,1,2,3,-1
"EDM","2018-12-03","2018020415","20182019","DAL","0",2.67,1,0,4,0,0,0,0,0,0,3,1,2
"EDM","2018-12-05","2018020426","20182019","STL","0",4,1,1,1,0,0,0,0,0,0,1,2,-1
"EDM","2018-12-07","2018020442","20182019","MIN","1",4,1,0,1,1,0,0,0,0,0,5,1,4
"EDM","2018-12-09","2018020459","20182019","CGY","1",4,0,0,1,1,0,0,0,0,0,0,3,-3
"EDM","2018-12-11","2018020474","20182019","COL","0",6.62,0,2,3,0,0,0,0,0,0,4,2,2
"EDM","2018-12-13","2018020485","20182019","WPG","0",5.52,0,2,1,0,0,0,0,0,0,3,4,-1
"EDM","2018-12-14","2018020494","20182019","PHI","1",9.95,1,2,3,1,0,0,0,0,0,3,4,-1
"EDM","2018-12-16","2018020511","20182019","VAN","0",5.82,0,0,0,1,0,0,0,0,0,2,4,-2
"EDM","2018-12-18","2018020524","20182019","STL","1",5,2,0,2,0,0,0,0,0,0,4,3,1
"EDM","2018-12-22","2018020557","20182019","T.B","1",2.92,0,0,1,0,0,0,0,0,0,1,2,-1
"EDM","2018-12-27","2018020576","20182019","VAN","1",2,1,1,1,0,0,0,0,0,0,1,0,1
"EDM","2018-12-29","2018020585","20182019","S.J","1",6,0,2,3,1,0,0,0,0,0,3,3,0
"EDM","2018-12-31","2018020610","20182019","WPG","1",4,1,1,2,0,0,0,0,0,0,2,3,-1
"EDM","2019-01-02","2018020620","20182019","ARI","0",0.97,0,0,0,1,0,1,0,0,1,0,1,-1
"EDM","2019-01-05","2018020643","20182019","L.A","0",6,2,0,0,0,1,1,0,0,0,4,6,-2
"EDM","2019-01-06","2018020651","20182019","ANA","0",6.02,2,1,1,0,0,0,0,0,0,6,6,0
"EDM","2019-01-08","2018020667","20182019","S.J","0",4.88,0,0,0,0,0,0,0,0,0,2,3,-1
"EDM","2019-01-10","2018020679","20182019","FLA","1",4,0,0,1,0,0,0,0,0,0,2,3,-1
"EDM","2019-01-12","2018020696","20182019","ARI","1",1.93,1,0,1,0,0,0,0,0,0,1,1,0
"EDM","2019-01-14","2018020710","20182019","BUF","1",8,3,2,2,0,0,0,0,0,0,3,6,-3
"EDM","2019-01-16","2018020724","20182019","VAN","0",7.88,0,0,0,0,0,0,0,0,0,4,3,1
"EDM","2019-01-19","2018020749","20182019","CGY","1",10.58,4,3,3,0,0,1,0,0,1,5,4,1
"EDM","2019-01-20","2018020755","20182019","CAR","1",0.72,0,0,0,0,0,0,0,0,0,1,0,1
"EDM","2019-01-22","2018020764","20182019","DET","1",5.2,2,0,1,0,0,0,0,0,0,4,2,2
"EDM","2019-02-02","2018020789","20182019","PHI","0",7.15,0,2,2,0,0,0,0,0,0,4,7,-3
"EDM","2019-02-03","2018020803","20182019","MTL","0",6.82,2,3,1,0,1,1,0,0,0,3,6,-3
"EDM","2019-02-05","2018020820","20182019","CHI","1",5.83,1,1,0,0,0,0,0,0,0,5,4,1
"EDM","2019-02-07","2018020833","20182019","MIN","0",4,0,0,0,1,0,0,0,0,0,1,4,-3
"EDM","2019-02-09","2018020849","20182019","S.J","1",8.73,2,2,0,0,1,1,0,0,0,1,8,-7
"EDM","2019-02-13","2018020875","20182019","PIT","0",2,0,0,1,0,0,0,0,0,0,0,2,-2
"EDM","2019-02-15","2018020889","20182019","CAR","0",4,0,0,3,1,0,0,0,0,0,1,3,-2
"EDM","2019-02-16","2018020896","20182019","NYI","0",3.6,1,0,1,0,1,2,1,1,1,3,3,0
"EDM","2019-02-19","2018020924","20182019","ARI","1",7.32,2,1,2,0,0,0,0,0,0,4,2,2
"EDM","2019-02-21","2018020938","20182019","NYI","1",2.18,0,0,1,0,2,1,0,0,-1,3,2,1
"EDM","2019-02-23","2018020954","20182019","ANA","1",1.75,0,0,1,0,0,0,0,0,0,2,0,2
