"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"EDM","2018-10-06","2018020020","20182019","N.J","0",50.83,10,20,16,80,13,21,23,3,4
"EDM","2018-10-11","2018020045","20182019","BOS","0",51.28,12,13,9,112,12,18,11,1,5
"EDM","2018-10-13","2018020057","20182019","NYR","0",47.55,11,13,5,123,14,16,12,5,3
"EDM","2018-10-16","2018020084","20182019","WPG","0",53.38,15,15,9,94,17,18,14,4,3
"EDM","2018-10-18","2018020096","20182019","BOS","1",51.57,5,14,12,116,11,14,17,2,6
"EDM","2018-10-20","2018020111","20182019","NSH","1",41.35,11,11,7,73,16,13,11,3,4
"EDM","2018-10-23","2018020129","20182019","PIT","1",50.8,16,20,8,79,21,21,12,5,7
"EDM","2018-10-25","2018020142","20182019","WSH","1",48.47,12,13,9,88,18,16,13,4,7
"EDM","2018-10-27","2018020150","20182019","NSH","0",35.95,10,10,7,70,14,13,13,4,6
"EDM","2018-10-28","2018020162","20182019","CHI","0",50.2,9,8,12,89,13,13,18,5,2
"EDM","2018-10-30","2018020174","20182019","MIN","1",45.05,12,13,10,68,16,19,13,0,5
"EDM","2018-11-01","2018020188","20182019","CHI","1",45.8,9,14,7,79,11,15,12,3,3
"EDM","2018-11-03","2018020197","20182019","DET","0",51.07,8,14,9,67,22,19,18,4,3
"EDM","2018-11-05","2018020213","20182019","WSH","0",49.67,10,19,6,67,15,23,11,4,3
"EDM","2018-11-06","2018020220","20182019","T.B","0",45.55,9,14,8,89,14,17,16,4,5
"EDM","2018-11-08","2018020228","20182019","FLA","0",48.97,11,15,15,63,15,18,24,3,5
"EDM","2018-11-11","2018020259","20182019","COL","1",49.67,7,9,12,102,9,10,16,3,0
"EDM","2018-11-13","2018020270","20182019","MTL","1",48.1,10,17,12,84,14,17,18,5,6
"EDM","2018-11-17","2018020301","20182019","CGY","0",48.18,17,13,16,73,21,13,24,5,8
"EDM","2018-11-18","2018020306","20182019","VGK","1",54.8,16,16,10,101,23,23,17,3,10
"EDM","2018-11-20","2018020317","20182019","S.J","0",56.08,10,17,12,102,16,21,18,5,7
"EDM","2018-11-23","2018020337","20182019","ANA","0",51.95,9,11,9,65,14,12,12,5,4
"EDM","2018-11-25","2018020361","20182019","L.A","0",46.97,12,22,12,51,16,26,16,1,2
"EDM","2018-11-27","2018020375","20182019","DAL","1",54.7,13,12,13,98,18,14,19,6,7
"EDM","2018-11-29","2018020388","20182019","L.A","1",51.53,17,13,11,102,21,14,13,2,9
"EDM","2018-12-01","2018020406","20182019","VGK","1",47.55,7,11,6,99,13,14,11,3,4
"EDM","2018-12-03","2018020415","20182019","DAL","0",51.87,17,11,8,84,20,14,16,7,8
