"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"FLA","2015-10-10","2015020020","20152016","PHI","1",45.5,100,46,43.33,42.86,45.03,4,0,23,27,26,34,33,44,1.47,1.8,4,-4,-8,-11,-0.32
"FLA","2015-10-12","2015020035","20152016","PHI","0",41.05,0,48.94,56.06,56.82,40.3,0,1,23,24,37,29,50,38,1.75,2.59,-1,-1,8,12,-0.84
"FLA","2015-10-13","2015020041","20152016","CAR","0",44.37,75,64.29,60,51.19,77.67,3,1,27,15,39,26,43,41,2.31,0.67,2,12,13,2,1.65
"FLA","2015-10-15","2015020055","20152016","BUF","1",42.97,50,48.78,52.83,50,45.25,1,1,20,21,28,25,31,31,1.19,1.44,0,-1,3,0,-0.25
"FLA","2015-10-17","2015020068","20152016","DAL","1",53.77,50,41.38,45.33,45.26,42.27,2,2,24,34,34,41,43,52,1.87,2.55,0,-10,-7,-9,-0.68
"FLA","2015-10-20","2015020083","20152016","PIT","0",52.67,66.67,50,52.05,52.17,46.12,2,1,28,28,38,35,48,44,2.01,2.35,1,0,3,4,-0.34
"FLA","2015-10-22","2015020097","20152016","CHI","0",41.97,50,39.39,35.71,35.59,36.94,1,1,13,20,15,27,21,38,0.85,1.45,0,-7,-12,-17,-0.6
"FLA","2015-10-24","2015020113","20152016","DAL","0",53.4,85.71,45.76,52.33,49.15,49.34,6,1,27,32,45,41,58,60,2.74,2.82,5,-5,4,-2,-0.07
"FLA","2015-10-27","2015020128","20152016","COL","1",47.15,0,47.5,52.73,52.11,60.66,0,1,19,21,29,26,37,34,1.64,1.06,-1,-2,3,3,0.58
"FLA","2015-10-30","2015020150","20152016","BOS","1",43.92,0,43.18,46.55,50.7,31.41,0,1,19,25,27,31,36,35,1.29,2.82,-1,-6,-4,1,-1.53
"FLA","2015-10-31","2015020160","20152016","WSH","1",53.77,33.33,43.18,44.83,40.85,52.83,1,2,19,25,26,32,29,42,1.8,1.61,-1,-6,-6,-13,0.19
