"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"FLA","2015-10-10","2015020020","20152016","PHI","1",8.23,100,55.56,63.64,71.43,49.69,3,0,5,4,7,4,10,4,0.71,0.72,3,1,3,6,-0.01
"FLA","2015-10-12","2015020035","20152016","PHI","0",11.9,0,75,76.92,77.78,80.78,0,0,6,2,10,3,14,4,1.04,0.25,0,4,7,10,0.8
"FLA","2015-10-13","2015020041","20152016","CAR","0",6,0,66.67,60,71.43,64.66,0,0,2,1,3,2,5,2,0.3,0.17,0,1,1,3,0.14
"FLA","2015-10-15","2015020055","20152016","BUF","1",6.38,100,100,100,100,100,2,0,9,0,14,0,15,0,2.17,0,2,9,14,15,2.17
"FLA","2015-10-17","2015020068","20152016","DAL","1",2,0,0,100,100,100,0,0,0,0,1,0,1,0,0.03,0,0,0,1,1,0.03
"FLA","2015-10-20","2015020083","20152016","PIT","0",4,0,80,85.71,70,99.09,0,0,4,1,6,1,7,3,0.43,0,0,3,5,4,0.43
"FLA","2015-10-22","2015020097","20152016","CHI","0",5.58,100,100,100,100,100,1,0,5,0,9,0,11,0,1.69,0,1,5,9,11,1.69
"FLA","2015-10-24","2015020113","20152016","DAL","0",2.05,0,100,100,100,100,0,0,3,0,5,0,6,0,0.54,0,0,3,5,6,0.54
"FLA","2015-10-27","2015020128","20152016","COL","1",3.25,100,100,100,100,100,3,0,8,0,8,0,9,0,0.53,0,3,8,8,9,0.53
"FLA","2015-10-30","2015020150","20152016","BOS","1",6.93,100,83.33,87.5,92.86,92.52,1,0,5,1,7,1,13,1,1.07,0.09,1,4,6,12,0.99
"FLA","2015-10-31","2015020160","20152016","WSH","1",5.97,0,100,100,100,100,0,0,8,0,11,0,14,0,0.72,0,0,8,11,14,0.72
"FLA","2015-11-04","2015020184","20152016","ANA","0",6,0,66.67,83.33,88.89,78.35,0,0,2,1,5,1,8,1,0.41,0.11,0,1,4,7,0.3
"FLA","2015-11-05","2015020193","20152016","S.J","0",4.67,100,100,100,100,100,1,0,6,0,8,0,13,0,1.1,0,1,6,8,13,1.1
"FLA","2015-11-07","2015020201","20152016","L.A","0",4.75,0,66.67,85.71,85.71,92.28,0,0,2,1,6,1,6,1,0.47,0.04,0,1,5,5,0.43
