"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"FLA","2017-10-06","2017020014","20172018","T.B","0",5.32,0,0,0,0,0,0,1,0,5,0,6,0,8,0,0.59,-1,-5,-6,-8,-0.59
"FLA","2017-10-07","2017020018","20172018","T.B","1",8.23,0,22.22,16.67,11.11,1.39,0,1,2,7,2,10,2,16,0.01,0.69,-1,-5,-8,-14,-0.69
"FLA","2017-10-12","2017020052","20172018","STL","1",7.32,50,5.56,4.55,8.33,13.49,1,1,1,17,1,21,2,22,0.31,1.96,0,-16,-20,-20,-1.66
"FLA","2017-10-14","2017020067","20172018","PIT","0",5.57,0,0,14.29,10,4.01,0,1,0,6,1,6,1,9,0.02,0.55,-1,-6,-5,-8,-0.52
"FLA","2017-10-17","2017020083","20172018","PHI","0",7.35,0,6.67,5.26,4.76,1.14,0,1,1,14,1,18,1,20,0.02,1.85,-1,-13,-17,-19,-1.83
"FLA","2017-10-20","2017020107","20172018","PIT","1",5.22,0,0,0,6.25,0,0,3,0,10,0,11,1,15,0,1.34,-3,-10,-11,-14,-1.34
"FLA","2017-10-21","2017020116","20172018","WSH","0",2.37,0,33.33,25,20,8.8,0,0,1,2,1,3,1,4,0.02,0.22,0,-1,-2,-3,-0.19
"FLA","2017-10-24","2017020130","20172018","MTL","0",5.7,0,0,0,0,0,0,2,0,9,0,9,0,12,0,0.71,-2,-9,-9,-12,-0.71
"FLA","2017-10-26","2017020145","20172018","ANA","1",6,100,11.11,8.33,6.25,29.48,1,0,1,8,1,11,1,15,0.3,0.73,1,-7,-10,-14,-0.42
"FLA","2017-10-28","2017020160","20172018","DET","1",4.02,0,10,7.69,6.67,0.34,0,0,1,9,1,12,1,14,0,1.16,0,-8,-11,-13,-1.16
"FLA","2017-10-30","2017020174","20172018","T.B","1",8.22,0,0,0,8.33,0,0,2,0,4,0,8,1,11,0,0.62,-2,-4,-8,-10,-0.62
"FLA","2017-11-02","2017020190","20172018","CBJ","1",5.32,33.33,16.67,14.29,14.29,17.52,1,2,1,5,1,6,1,6,0.13,0.6,-1,-4,-5,-5,-0.48
"FLA","2017-11-04","2017020203","20172018","NYR","1",4.95,0,14.29,11.11,10,3.97,0,1,1,6,1,8,1,9,0.03,0.67,-1,-5,-7,-8,-0.64
"FLA","2017-11-07","2017020227","20172018","CAR","0",10,0,21.43,20,14.29,26.44,0,0,3,11,4,16,4,24,0.43,1.2,0,-8,-12,-20,-0.77
"FLA","2017-11-10","2017020242","20172018","BUF","0",3.03,0,0,0,0,0,0,1,0,2,0,2,0,3,0,0.16,-1,-2,-2,-3,-0.16
"FLA","2017-11-11","2017020254","20172018","N.J","0",3.38,0,33.33,25,25,17.13,0,1,1,2,1,3,1,3,0.06,0.29,-1,-1,-2,-2,-0.23
"FLA","2017-11-14","2017020269","20172018","DAL","1",4,0,11.11,11.11,10,14.77,0,0,1,8,1,8,1,9,0.13,0.74,0,-7,-7,-8,-0.61
"FLA","2017-11-16","2017020289","20172018","S.J","0",4,0,14.29,14.29,25,2.33,0,0,1,6,1,6,2,6,0.01,0.27,0,-5,-5,-4,-0.26
"FLA","2017-11-18","2017020296","20172018","L.A","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
