"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"FLA","2019-10-03","2019020005","20192020","T.B","0",46.73,6,6,14,15,2,4,0,0,2,18,30,-12
"FLA","2019-10-05","2019020021","20192020","T.B","1",52.63,10,7,26,23,2,3,0,0,1,20,24,-4
"FLA","2019-10-08","2019020036","20192020","CAR","1",43.28,9,9,13,12,5,5,0,0,0,22,19,3
"FLA","2019-10-11","2019020058","20192020","BUF","0",54.63,7,2,13,14,4,1,0,0,-3,19,31,-12
"FLA","2019-10-12","2019020067","20192020","NYI","0",58.25,18,2,28,23,0,2,1,1,2,28,26,2
"FLA","2019-10-14","2019020080","20192020","N.J","0",46.5,4,5,28,19,2,3,0,0,1,19,22,-3
"FLA","2019-10-18","2019020107","20192020","COL","1",48.87,13,11,16,19,3,2,0,0,-1,22,20,2
"FLA","2019-10-19","2019020121","20192020","NSH","0",55.05,5,8,8,14,4,1,0,0,-3,19,25,-6
"FLA","2019-10-22","2019020135","20192020","PIT","1",55.32,20,7,30,11,1,1,0,0,0,15,23,-8
"FLA","2019-10-24","2019020153","20192020","CGY","0",56.1,9,10,13,15,3,1,1,1,-2,18,31,-13
"FLA","2019-10-27","2019020170","20192020","EDM","0",51.82,11,6,11,21,3,1,0,0,-2,24,21,3
"FLA","2019-10-28","2019020178","20192020","VAN","0",51.95,2,3,16,17,2,2,0,0,0,20,25,-5
"FLA","2019-10-30","2019020191","20192020","COL","0",49.2,3,7,14,14,3,4,1,1,1,23,23,0
"FLA","2019-11-02","2019020208","20192020","DET","1",51.27,15,5,16,13,2,2,0,0,0,28,20,8
"FLA","2019-11-07","2019020238","20192020","WSH","1",45.68,10,13,5,15,3,2,0,0,-1,18,26,-8
"FLA","2019-11-09","2019020252","20192020","NYI","0",44.4,11,7,4,18,2,3,0,0,1,20,21,-1
"FLA","2019-11-10","2019020263","20192020","NYR","0",52.55,18,11,26,24,4,3,1,1,-1,32,10,22
"FLA","2019-11-12","2019020272","20192020","BOS","0",53.6,9,9,25,20,4,6,0,0,2,19,19,0
"FLA","2019-11-14","2019020288","20192020","WPG","1",52,13,15,16,17,0,3,0,0,3,29,17,12
"FLA","2019-11-16","2019020306","20192020","NYR","1",50.03,10,8,15,17,0,3,0,0,3,29,22,7
"FLA","2019-11-19","2019020319","20192020","PHI","1",48.57,11,10,14,14,3,4,0,0,1,21,19,2
"FLA","2019-11-21","2019020334","20192020","ANA","1",58.15,17,15,17,22,1,1,0,0,0,32,29,3
"FLA","2019-11-23","2019020355","20192020","CAR","0",50.78,9,4,22,21,1,1,0,0,0,21,17,4
"FLA","2019-11-24","2019020362","20192020","BUF","1",47.65,6,9,12,18,1,2,0,0,1,21,17,4
"FLA","2019-11-27","2019020383","20192020","WSH","0",50.45,6,6,10,25,2,4,0,0,2,25,14,11
"FLA","2019-11-30","2019020408","20192020","NSH","1",48.12,8,9,19,21,3,3,0,0,0,21,23,-2
"FLA","2019-12-03","2019020426","20192020","MIN","1",50.17,12,8,12,27,1,3,0,0,2,25,20,5
"FLA","2019-12-07","2019020457","20192020","CBJ","1",47.62,12,9,12,16,2,4,1,1,2,22,16,6
"FLA","2019-12-08","2019020464","20192020","S.J","1",50.15,4,7,16,21,2,4,1,1,2,15,16,-1
"FLA","2019-12-10","2019020473","20192020","T.B","1",47.95,20,10,19,23,1,2,0,0,1,24,27,-3
"FLA","2019-12-12","2019020489","20192020","NYI","1",47.48,8,10,15,18,4,3,1,1,-1,22,23,-1
"FLA","2019-12-14","2019020508","20192020","BOS","1",49.75,10,9,20,17,4,2,0,0,-2,22,33,-11
