"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"FLA","2018-10-06","2018020019","20182019","T.B","0",50.23,15,10,8,93,15,12,13,5,4
"FLA","2018-10-11","2018020047","20182019","CBJ","1",51.17,14,19,8,84,18,24,16,4,1
"FLA","2018-10-13","2018020064","20182019","VAN","1",41.57,12,13,9,67,17,14,15,5,3
"FLA","2018-10-16","2018020080","20182019","PHI","0",56.63,14,23,8,103,17,28,11,4,6
"FLA","2018-10-19","2018020099","20182019","WSH","0",50.73,6,17,12,102,9,19,22,11,3
"FLA","2018-10-20","2018020108","20182019","DET","1",50.35,12,16,10,91,16,20,12,1,6
"FLA","2018-10-23","2018020122","20182019","NYR","0",44.32,9,10,11,128,12,12,18,6,2
"FLA","2018-10-24","2018020130","20182019","NYI","0",48.3,21,13,9,92,25,14,15,5,3
"FLA","2018-10-27","2018020148","20182019","N.J","0",41.93,20,14,6,88,26,15,12,4,3
"FLA","2018-11-01","2018020180","20182019","WPG","1",41.6,10,12,8,99,17,13,14,4,3
"FLA","2018-11-02","2018020192","20182019","WPG","0",49.23,5,18,18,109,7,22,25,6,2
"FLA","2018-11-08","2018020228","20182019","EDM","1",48.97,15,15,8,63,24,18,15,5,3
"FLA","2018-11-10","2018020248","20182019","NYI","1",44.35,8,15,12,78,10,17,18,2,5
"FLA","2018-11-11","2018020254","20182019","OTT","1",45.87,13,17,13,62,16,20,19,3,3
"FLA","2018-11-13","2018020267","20182019","PHI","0",52.22,16,13,10,94,19,17,14,2,2
"FLA","2018-11-15","2018020280","20182019","CBJ","0",49.68,9,21,10,86,18,29,15,5,4
"FLA","2018-11-17","2018020296","20182019","NYR","0",48.25,9,17,8,101,13,22,12,3,1
"FLA","2018-11-19","2018020312","20182019","OTT","0",50.73,7,22,11,87,9,27,17,4,2
"FLA","2018-11-21","2018020325","20182019","T.B","0",48.27,10,14,9,69,15,20,11,2,0
"FLA","2018-11-23","2018020342","20182019","CAR","0",52.12,9,14,8,112,15,17,16,5,4
"FLA","2018-11-24","2018020351","20182019","CHI","1",51,10,18,11,90,13,20,18,3,2
"FLA","2018-11-26","2018020363","20182019","N.J","1",49.33,13,19,13,86,17,22,20,5,6
"FLA","2018-11-28","2018020378","20182019","ANA","1",50.53,15,14,14,84,17,15,22,5,5
"FLA","2018-11-30","2018020390","20182019","BUF","1",49.6,21,11,8,78,26,16,8,0,4
"FLA","2018-12-01","2018020399","20182019","T.B","1",51.6,12,16,17,82,15,18,27,9,5
"FLA","2018-12-04","2018020417","20182019","BOS","1",45.33,9,18,16,64,12,24,27,6,1
"FLA","2018-12-06","2018020430","20182019","COL","1",42.82,7,13,6,73,10,16,13,7,2
"FLA","2018-12-08","2018020450","20182019","NYR","1",56.83,10,23,10,83,13,24,13,2,3
"FLA","2018-12-11","2018020470","20182019","STL","0",48.85,10,18,11,85,15,21,20,4,3
"FLA","2018-12-13","2018020484","20182019","MIN","0",55.88,13,19,10,101,20,29,16,5,5
"FLA","2018-12-15","2018020497","20182019","TOR","1",48.37,9,15,11,84,12,17,17,6,3
"FLA","2018-12-18","2018020517","20182019","BUF","0",46.9,10,15,10,107,12,16,14,3,1
"FLA","2018-12-20","2018020531","20182019","TOR","0",52.78,10,16,12,122,15,18,15,2,7
"FLA","2018-12-22","2018020547","20182019","DET","0",48.67,10,9,9,101,13,16,16,7,2
