"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"FLA","2018-10-06","2018020019","20182019","T.B","0",9.38,7,3,0,9,9,4,0,0,0
"FLA","2018-10-11","2018020047","20182019","CBJ","1",4,2,0,0,5,2,0,0,0,0
"FLA","2018-10-13","2018020064","20182019","VAN","1",9.47,6,1,0,4,8,1,0,0,0
"FLA","2018-10-16","2018020080","20182019","PHI","0",4.13,3,0,0,4,4,1,0,0,0
"FLA","2018-10-19","2018020099","20182019","WSH","0",9.7,6,3,0,9,7,3,0,0,0
"FLA","2018-10-20","2018020108","20182019","DET","1",10,5,0,3,11,5,0,3,0,0
"FLA","2018-10-23","2018020122","20182019","NYR","0",5.9,4,2,0,6,4,3,0,0,0
"FLA","2018-10-24","2018020130","20182019","NYI","0",8.48,6,2,0,7,7,3,0,0,0
"FLA","2018-10-27","2018020148","20182019","N.J","0",7.55,5,0,0,8,6,0,0,0,0
"FLA","2018-11-01","2018020180","20182019","WPG","1",8.25,6,0,0,11,8,0,1,0,0
"FLA","2018-11-02","2018020192","20182019","WPG","0",7.32,4,3,1,13,7,3,1,0,0
"FLA","2018-11-08","2018020228","20182019","EDM","1",4.87,4,1,0,2,4,1,0,0,0
"FLA","2018-11-10","2018020248","20182019","NYI","1",6.78,4,1,0,6,5,1,0,0,0
"FLA","2018-11-11","2018020254","20182019","OTT","1",4.43,3,0,0,2,4,1,0,0,0
"FLA","2018-11-13","2018020267","20182019","PHI","0",4.6,4,1,1,4,5,1,1,0,0
"FLA","2018-11-15","2018020280","20182019","CBJ","0",7.45,4,2,0,8,5,3,0,0,0
"FLA","2018-11-17","2018020296","20182019","NYR","0",5.62,4,1,1,1,4,1,1,0,0
"FLA","2018-11-19","2018020312","20182019","OTT","0",0.52,2,0,0,0,2,0,0,0,0
"FLA","2018-11-21","2018020325","20182019","T.B","0",5.05,5,1,0,2,5,1,0,0,0
"FLA","2018-11-23","2018020342","20182019","CAR","0",2,2,0,0,3,2,0,0,0,0
"FLA","2018-11-24","2018020351","20182019","CHI","1",5.6,3,3,0,8,3,3,0,0,0
"FLA","2018-11-26","2018020363","20182019","N.J","1",7.23,3,3,1,6,4,3,1,0,0
"FLA","2018-11-28","2018020378","20182019","ANA","1",4.12,3,1,0,1,3,1,0,0,0
"FLA","2018-11-30","2018020390","20182019","BUF","1",5.98,5,2,0,5,5,2,0,0,0
"FLA","2018-12-01","2018020399","20182019","T.B","1",7.23,6,2,0,5,9,3,0,0,0
"FLA","2018-12-04","2018020417","20182019","BOS","1",8.23,5,1,0,12,8,1,0,0,0
"FLA","2018-12-06","2018020430","20182019","COL","1",9.32,4,2,0,10,5,2,0,0,0
"FLA","2018-12-08","2018020450","20182019","NYR","1",6.17,6,1,0,2,7,1,0,0,0
"FLA","2018-12-11","2018020470","20182019","STL","0",4,2,2,0,1,2,2,0,0,0
"FLA","2018-12-13","2018020484","20182019","MIN","0",4,2,0,0,4,3,0,1,0,0
"FLA","2018-12-15","2018020497","20182019","TOR","1",6.1,4,0,0,7,4,0,0,0,0
"FLA","2018-12-18","2018020517","20182019","BUF","0",5.82,4,1,1,3,5,1,1,0,0
"FLA","2018-12-20","2018020531","20182019","TOR","0",5.53,2,1,0,9,4,1,1,1,0
"FLA","2018-12-22","2018020547","20182019","DET","0",2.15,3,0,1,1,3,0,1,0,0
"FLA","2018-12-23","2018020562","20182019","CHI","0",4.63,2,2,0,4,4,2,0,0,0
"FLA","2018-12-28","2018020580","20182019","MTL","1",4,2,0,0,4,3,0,0,0,0
"FLA","2018-12-29","2018020591","20182019","PHI","1",4.07,2,0,0,4,2,0,0,0,0
"FLA","2018-12-31","2018020606","20182019","DET","0",6,5,0,0,3,5,1,0,0,0
"FLA","2019-01-03","2018020623","20182019","BUF","0",5.7,3,0,0,7,6,0,0,0,0
"FLA","2019-01-05","2018020641","20182019","CBJ","1",2,1,1,0,2,2,1,0,0,0
"FLA","2019-01-08","2018020660","20182019","PIT","0",6.82,5,2,0,6,5,3,0,0,0
"FLA","2019-01-10","2018020679","20182019","EDM","0",4,3,0,0,2,5,0,0,0,0
"FLA","2019-01-11","2018020685","20182019","CGY","0",2.83,2,1,0,4,3,1,0,0,0
"FLA","2019-01-13","2018020703","20182019","VAN","0",3.93,2,0,0,3,3,0,0,0,0
"FLA","2019-01-15","2018020714","20182019","MTL","0",5.38,4,0,0,5,4,0,1,0,0
"FLA","2019-01-18","2018020733","20182019","TOR","1",4.77,3,0,0,3,3,2,0,0,0
"FLA","2019-01-19","2018020747","20182019","NSH","0",5.32,6,0,1,4,6,0,1,0,0
"FLA","2019-01-21","2018020758","20182019","S.J","1",2.8,3,1,0,2,4,1,0,0,0
"FLA","2019-02-01","2018020782","20182019","NSH","1",9.17,6,0,0,4,8,0,0,0,0
"FLA","2019-02-02","2018020793","20182019","VGK","1",2,2,0,0,0,2,0,0,0,0
"FLA","2019-02-05","2018020811","20182019","STL","1",3.73,2,1,0,5,2,1,0,0,0
"FLA","2019-02-07","2018020824","20182019","PIT","1",5.92,5,2,0,4,6,2,0,0,0
"FLA","2019-02-09","2018020848","20182019","WSH","0",7.58,5,1,1,3,8,2,1,0,0
"FLA","2019-02-10","2018020858","20182019","T.B","1",6.45,4,0,0,7,4,0,0,0,0
"FLA","2019-02-12","2018020865","20182019","DAL","1",7.7,7,2,0,4,7,3,0,0,0
"FLA","2019-02-14","2018020877","20182019","CGY","1",2,1,0,0,3,1,0,0,0,0
"FLA","2019-02-17","2018020908","20182019","MTL","1",4.12,5,0,0,3,6,1,0,0,0
"FLA","2019-02-19","2018020916","20182019","BUF","1",8,7,0,2,4,8,0,2,0,0
"FLA","2019-02-21","2018020930","20182019","CAR","1",4.32,4,0,0,3,4,0,0,0,0
"FLA","2019-02-23","2018020948","20182019","L.A","1",8.62,4,3,0,6,6,5,0,0,0
"FLA","2019-02-25","2018020966","20182019","COL","0",3.03,2,0,0,3,4,0,0,0,0
"FLA","2019-02-26","2018020977","20182019","ARI","0",2,1,0,0,3,1,1,0,0,0
"FLA","2019-02-28","2018020989","20182019","VGK","0",2.83,3,0,1,3,3,0,1,0,0
"FLA","2019-03-02","2018021005","20182019","CAR","1",4,3,0,0,3,5,0,1,1,0
