"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"L.A","2018-10-05","2018020016","20182019","S.J","1",50.73,40,34.09,35.06,39.18,42.41,2,3,15,29,27,50,38,59,2.15,2.92,-1,-14,-23,-21,-0.77
"L.A","2018-10-07","2018020031","20182019","DET","1",48.98,100,42,39.71,41.24,37.81,3,0,21,29,27,41,40,57,1.77,2.91,3,-8,-14,-17,-1.14
"L.A","2018-10-09","2018020040","20182019","WPG","0",49.77,50,28.57,35,37.08,38.35,1,1,12,30,21,39,33,56,1.15,1.85,0,-18,-18,-23,-0.7
"L.A","2018-10-11","2018020051","20182019","MTL","0",45.77,100,44.83,41.54,37.78,54.2,3,0,26,32,27,38,34,56,2.03,1.72,3,-6,-11,-22,0.31
"L.A","2018-10-13","2018020059","20182019","OTT","0",48.97,25,63.64,67.24,68.6,45.8,1,3,28,16,39,19,59,27,1.21,1.43,-2,12,20,32,-0.22
"L.A","2018-10-15","2018020074","20182019","TOR","0",50.3,25,60.78,60.56,56.19,52.46,1,3,31,20,43,28,59,46,2.66,2.41,-2,11,15,13,0.25
"L.A","2018-10-18","2018020097","20182019","NYI","1",49.02,0,50.98,53.42,56.38,49.59,0,4,26,25,39,34,53,41,2.22,2.26,-4,1,5,12,-0.04
"L.A","2018-10-20","2018020105","20182019","BUF","1",48.2,0,36.11,46.3,47.95,40.91,0,4,13,23,25,29,35,38,1.2,1.73,-4,-10,-4,-3,-0.53
"L.A","2018-10-23","2018020128","20182019","DAL","0",49.93,40,56.52,59.42,61.7,46.27,2,3,26,20,41,28,58,36,1.59,1.85,-1,6,13,22,-0.26
"L.A","2018-10-25","2018020138","20182019","MIN","0",43.75,33.33,48.65,52.94,54.79,61.3,1,2,18,19,27,24,40,33,1.38,0.87,-1,-1,3,7,0.51
"L.A","2018-10-28","2018020159","20182019","NYR","1",51.52,40,59.26,57.53,58.42,59.37,2,3,32,22,42,31,59,42,1.78,1.22,-1,10,11,17,0.56
"L.A","2018-11-01","2018020190","20182019","PHI","1",50.07,20,43.75,45.83,47.13,46.44,1,4,21,27,33,39,41,46,1.96,2.27,-3,-6,-6,-5,-0.3
"L.A","2018-11-03","2018020205","20182019","CBJ","1",44.15,0,47.73,47.95,47.67,53.58,0,1,21,23,35,38,41,45,1.69,1.47,-1,-2,-3,-4,0.23
"L.A","2018-11-06","2018020222","20182019","ANA","1",51.85,66.67,48,50,45.54,49.63,2,1,24,26,37,37,46,55,2.19,2.22,1,-2,0,-9,-0.03
"L.A","2018-11-08","2018020235","20182019","MIN","1",48.88,50,54.76,56.52,54.84,55.42,1,1,23,19,39,30,51,42,1.53,1.23,0,4,9,9,0.3
"L.A","2018-11-10","2018020252","20182019","CGY","1",51.02,0,35.42,44.87,46.46,44,0,1,17,31,35,43,46,53,1.67,2.12,-1,-14,-8,-7,-0.45
"L.A","2018-11-13","2018020271","20182019","TOR","1",44.88,33.33,48.57,51.79,53.01,53.98,1,2,17,18,29,27,44,39,1.53,1.31,-1,-1,2,5,0.23
"L.A","2018-11-16","2018020288","20182019","CHI","0",57,50,48.21,50.67,51.02,53.18,1,1,27,29,38,37,50,48,1.56,1.37,0,-2,1,2,0.19
"L.A","2018-11-17","2018020299","20182019","NSH","0",46.92,75,37.74,35.82,36.78,40.02,3,1,20,33,24,43,32,55,1.79,2.68,2,-13,-19,-23,-0.89
"L.A","2018-11-19","2018020313","20182019","STL","0",54.48,100,54.17,48.48,50,63.31,1,0,26,22,32,34,46,46,2.41,1.4,1,4,-2,0,1.01
"L.A","2018-11-21","2018020331","20182019","COL","1",48.93,42.86,53.45,55.29,55.79,56.31,3,4,31,27,47,38,53,42,2.38,1.85,-1,4,9,11,0.53
"L.A","2018-11-24","2018020357","20182019","VAN","1",53.25,33.33,41.86,47.83,50.59,45.65,1,2,18,25,33,36,43,42,1.96,2.33,-1,-7,-3,1,-0.37
"L.A","2018-11-25","2018020361","20182019","EDM","1",46.97,66.67,46.15,50,52.83,48.31,2,1,24,28,39,39,56,50,2.14,2.29,1,-4,0,6,-0.15
"L.A","2018-11-27","2018020376","20182019","VAN","0",50.32,66.67,51.02,50,48.94,60.2,2,1,25,24,32,32,46,48,1.94,1.28,1,1,0,-2,0.66
"L.A","2018-11-29","2018020388","20182019","EDM","0",51.53,50,49.02,43.42,46.43,36.47,1,1,25,26,33,43,52,60,1.45,2.53,0,-1,-10,-8,-1.08
"L.A","2018-11-30","2018020394","20182019","CGY","0",55.4,50,31.11,35.94,39.51,31.15,1,1,14,31,23,41,32,49,1.33,2.94,0,-17,-18,-17,-1.61
"L.A","2018-12-02","2018020412","20182019","CAR","1",46.42,100,49.06,40.85,38.78,43.03,1,0,26,27,29,42,38,60,1.84,2.44,1,-1,-13,-22,-0.6
"L.A","2018-12-04","2018020425","20182019","ARI","1",46.7,100,61.76,59.65,57.14,65.55,1,0,21,13,34,23,48,36,2.8,1.47,1,8,11,12,1.33
"L.A","2018-12-06","2018020439","20182019","N.J","1",52.25,42.86,48.21,51.95,49.5,49.78,3,4,27,29,40,37,50,51,2.18,2.19,-1,-2,3,-1,-0.02
"L.A","2018-12-08","2018020445","20182019","VGK","1",53.3,80,46.94,49.28,45.88,42.06,4,1,23,26,34,35,39,46,1.67,2.3,3,-3,-1,-7,-0.63
"L.A","2018-12-10","2018020462","20182019","DET","0",53.4,25,66.67,63.53,64.55,64.44,1,3,38,19,54,31,71,39,2.74,1.51,-2,19,23,32,1.23
"L.A","2018-12-11","2018020466","20182019","BUF","0",44.63,60,42.59,43.94,45.88,53.3,3,2,23,31,29,37,39,46,1.48,1.3,1,-8,-8,-7,0.18
"L.A","2018-12-13","2018020480","20182019","CBJ","0",51.88,25,43.08,49.41,51.89,52.61,1,3,28,37,42,43,55,51,2.58,2.33,-2,-9,-1,4,0.26
"L.A","2018-12-15","2018020499","20182019","PIT","0",53.42,50,58.33,55.71,55.43,54.56,2,2,35,25,39,31,51,41,2.15,1.79,0,10,8,10,0.36
