"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"L.A","2018-10-05","2018020016","20182019","S.J","1",8.08,0,66.67,78.57,83.33,93.41,0,0,6,3,11,3,15,3,1.83,0.13,0,3,8,12,1.7
"L.A","2018-10-07","2018020031","20182019","DET","1",4.12,0,100,100,100,100,0,0,3,0,5,0,6,0,0.29,0,0,3,5,6,0.29
"L.A","2018-10-09","2018020040","20182019","WPG","0",3.38,0,100,100,85.71,100,0,0,3,0,3,0,6,1,0.42,0,0,3,3,5,0.42
"L.A","2018-10-11","2018020051","20182019","MTL","0",5.97,0,40,40,66.67,29.82,0,0,2,3,2,3,6,3,0.07,0.16,0,-1,-1,3,-0.09
"L.A","2018-10-13","2018020059","20182019","OTT","0",8.33,0,81.82,85.71,90.48,99.02,0,0,9,2,12,2,19,2,0.73,0.01,0,7,10,17,0.72
"L.A","2018-10-15","2018020074","20182019","TOR","0",6,0,100,100,92.31,100,0,0,3,0,7,0,12,1,0.59,0,0,3,7,11,0.59
"L.A","2018-10-18","2018020097","20182019","NYI","1",4.7,66.67,87.5,80,72.73,87.03,2,1,7,1,8,2,8,3,0.7,0.1,1,6,6,5,0.6
"L.A","2018-10-20","2018020105","20182019","BUF","1",5.12,100,100,100,100,100,1,0,3,0,6,0,11,0,0.54,0,1,3,6,11,0.54
"L.A","2018-10-23","2018020128","20182019","DAL","0",4,0,100,100,83.33,100,0,0,3,0,4,0,5,1,0.24,0,0,3,4,4,0.24
"L.A","2018-10-25","2018020138","20182019","MIN","0",6.37,0,100,100,100,100,0,0,4,0,4,0,5,0,0.19,0,0,4,4,5,0.19
"L.A","2018-10-28","2018020159","20182019","NYR","1",3.42,100,100,100,100,100,2,0,8,0,9,0,11,0,0.84,0,2,8,9,11,0.84
"L.A","2018-11-01","2018020190","20182019","PHI","1",7.62,100,83.33,90,92.31,91.07,1,0,5,1,9,1,12,1,1.16,0.11,1,4,8,11,1.05
"L.A","2018-11-03","2018020205","20182019","CBJ","1",6.27,100,60,75,80,79.66,1,0,3,2,6,2,8,2,0.37,0.1,1,1,4,6,0.28
"L.A","2018-11-06","2018020222","20182019","ANA","1",0.3,100,100,100,100,100,1,0,2,0,2,0,2,0,0.25,0,1,2,2,2,0.25
"L.A","2018-11-08","2018020235","20182019","MIN","1",4.7,0,100,100,100,100,0,0,3,0,5,0,9,0,0.31,0,0,3,5,9,0.31
"L.A","2018-11-10","2018020252","20182019","CGY","1",6,0,60,71.43,70,81.04,0,0,3,2,5,2,7,3,0.67,0.16,0,1,3,4,0.51
"L.A","2018-11-13","2018020271","20182019","TOR","1",4,0,80,80,80,98.22,0,0,4,1,4,1,4,1,0.43,0.01,0,3,3,3,0.42
"L.A","2018-11-16","2018020288","20182019","CHI","0",2,0,100,100,80,100,0,0,3,0,4,0,4,1,0.16,0,0,3,4,3,0.16
"L.A","2018-11-17","2018020299","20182019","NSH","0",5.7,0,57.14,57.14,57.14,59.61,0,1,4,3,4,3,4,3,0.59,0.4,-1,1,1,1,0.19
"L.A","2018-11-19","2018020313","20182019","STL","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.A","2018-11-21","2018020331","20182019","COL","1",6,0,83.33,85.71,90,98.5,0,0,5,1,6,1,9,1,0.64,0.01,0,4,5,8,0.63
"L.A","2018-11-24","2018020357","20182019","VAN","1",4.15,100,75,85.71,92.31,99.14,1,0,3,1,6,1,12,1,0.52,0,1,2,5,11,0.51
"L.A","2018-11-25","2018020361","20182019","EDM","1",6.58,100,60,42.86,50,54.44,1,0,3,2,3,4,4,4,0.28,0.23,1,1,-1,0,0.05
"L.A","2018-11-27","2018020376","20182019","VAN","0",6,0,0,14.29,33.33,23.14,0,0,0,5,1,6,3,6,0.06,0.19,0,-5,-5,-3,-0.13
"L.A","2018-11-29","2018020388","20182019","EDM","0",4.72,100,100,100,100,100,1,0,4,0,4,0,6,0,0.2,0,1,4,4,6,0.2
"L.A","2018-11-30","2018020394","20182019","CGY","0",0.57,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.09,0,-1,-1,-1,-0.09
"L.A","2018-12-02","2018020412","20182019","CAR","1",8,0,100,100,100,100,0,0,8,0,15,0,16,0,0.99,0,0,8,15,16,0.99
"L.A","2018-12-04","2018020425","20182019","ARI","1",3.75,0,50,60,66.67,31.96,0,1,2,2,3,2,4,2,0.23,0.49,-1,0,1,2,-0.26
"L.A","2018-12-06","2018020439","20182019","N.J","1",2,0,0,0,50,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"L.A","2018-12-08","2018020445","20182019","VGK","1",0.7,100,100,100,100,100,1,0,2,0,2,0,2,0,0.19,0,1,2,2,2,0.19
"L.A","2018-12-10","2018020462","20182019","DET","0",2,0,100,75,80,86.35,0,0,1,0,3,1,4,1,0.15,0.02,0,1,2,3,0.12
"L.A","2018-12-11","2018020466","20182019","BUF","0",5.32,0,83.33,83.33,87.5,78.71,0,0,5,1,5,1,7,1,0.51,0.14,0,4,4,6,0.37
"L.A","2018-12-13","2018020480","20182019","CBJ","0",4.37,0,50,66.67,66.67,89.94,0,0,1,1,2,1,4,2,0.17,0.02,0,0,1,2,0.15
"L.A","2018-12-15","2018020499","20182019","PIT","0",5.93,50,66.67,66.67,72.73,58.61,1,1,6,3,6,3,8,3,0.51,0.36,0,3,3,5,0.15
"L.A","2018-12-18","2018020527","20182019","WPG","1",4.27,0,100,100,100,100,0,0,3,0,5,0,5,0,0.5,0,0,3,5,5,0.5
"L.A","2018-12-22","2018020550","20182019","S.J","0",0.93,100,100,100,100,100,1,0,4,0,4,0,4,0,0.4,0,1,4,4,4,0.4
"L.A","2018-12-23","2018020565","20182019","VGK","0",2.48,100,100,100,100,100,1,0,4,0,5,0,6,0,0.62,0,1,4,5,6,0.62
"L.A","2018-12-27","2018020578","20182019","ARI","1",4,0,100,85.71,87.5,83.44,0,0,4,0,6,1,7,1,0.6,0.12,0,4,5,6,0.48
"L.A","2018-12-29","2018020586","20182019","VGK","1",4,0,0,50,50,57.29,0,0,0,1,2,2,2,2,0.15,0.11,0,-1,0,0,0.04
"L.A","2018-12-31","2018020607","20182019","COL","0",4.43,100,100,100,100,100,1,0,1,0,2,0,3,0,0.06,0,1,1,2,3,0.06
"L.A","2019-01-01","2018020614","20182019","VGK","0",4,0,50,33.33,55.56,16.21,0,0,2,2,2,4,5,4,0.07,0.37,0,0,-2,1,-0.3
"L.A","2019-01-03","2018020628","20182019","T.B","1",8.65,100,85.71,81.82,87.5,90.62,1,0,6,1,9,2,14,2,0.88,0.09,1,5,7,12,0.79
"L.A","2019-01-05","2018020643","20182019","EDM","1",6,0,80,85.71,90.91,95.32,0,0,4,1,6,1,10,1,0.62,0.03,0,3,5,9,0.59
"L.A","2019-01-07","2018020656","20182019","S.J","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.A","2019-01-10","2018020682","20182019","OTT","1",4,0,50,62.5,72.73,57.56,0,0,3,3,5,3,8,3,0.34,0.25,0,0,2,5,0.09
