"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"L.A","2015-10-07","2015020004","20152016","S.J","1",11.23,0,13.33,11.11,14.29,7.55,0,2,2,13,2,16,3,18,0.12,1.5,-2,-11,-14,-15,-1.38
"L.A","2015-10-09","2015020016","20152016","ARI","1",6,50,33.33,28.57,18.18,50.24,1,1,2,4,2,5,2,9,0.39,0.39,0,-2,-3,-7,0
"L.A","2015-10-13","2015020045","20152016","VAN","1",6.67,0,16.67,11.11,8.33,11.1,0,0,1,5,1,8,1,11,0.1,0.81,0,-4,-7,-10,-0.71
"L.A","2015-10-16","2015020064","20152016","MIN","1",9,0,12.5,10,7.14,3.01,0,1,1,7,1,9,1,13,0.03,0.96,-1,-6,-8,-12,-0.93
"L.A","2015-10-18","2015020079","20152016","COL","1",9.25,0,0,0,0,0,0,1,0,7,0,9,0,14,0,0.81,-1,-7,-9,-14,-0.81
"L.A","2015-10-22","2015020099","20152016","S.J","0",7.88,0,0,0,7.69,0,0,0,0,8,0,11,1,12,0,0.82,0,-8,-11,-11,-0.82
"L.A","2015-10-23","2015020105","20152016","CAR","1",8,0,18.18,16.67,20,26.85,0,0,2,9,2,10,3,12,0.23,0.62,0,-7,-8,-9,-0.39
"L.A","2015-10-25","2015020120","20152016","EDM","0",3.82,0,0,0,0,0,0,1,0,4,0,4,0,8,0,0.27,-1,-4,-4,-8,-0.27
"L.A","2015-10-27","2015020131","20152016","WPG","0",2,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0.19,0,-2,-4,-4,-0.19
"L.A","2015-10-31","2015020156","20152016","NSH","1",3.02,0,0,0,11.11,0,0,2,0,5,0,6,1,8,0,0.71,-2,-5,-6,-7,-0.71
"L.A","2015-11-02","2015020170","20152016","CHI","0",2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.04,0,-1,-1,-1,-0.04
"L.A","2015-11-03","2015020177","20152016","STL","0",5.48,0,33.33,37.5,30,41.25,0,0,2,4,3,5,3,7,0.25,0.35,0,-2,-2,-4,-0.11
"L.A","2015-11-05","2015020192","20152016","CBJ","1",6.42,0,20,14.29,18.18,0.67,0,1,1,4,1,6,2,9,0,0.67,-1,-3,-5,-7,-0.67
"L.A","2015-11-07","2015020201","20152016","FLA","1",4.75,0,33.33,14.29,14.29,7.72,0,0,1,2,1,6,1,6,0.04,0.47,0,-1,-5,-5,-0.43
"L.A","2015-11-10","2015020226","20152016","ARI","1",6,0,0,0,0,0,0,0,0,6,0,7,0,12,0,0.74,0,-6,-7,-12,-0.74
"L.A","2015-11-12","2015020241","20152016","NYI","1",5.27,0,0,0,0,0,0,0,0,5,0,9,0,10,0,0.71,0,-5,-9,-10,-0.71
"L.A","2015-11-14","2015020258","20152016","EDM","1",6,0,0,0,0,0,0,0,0,4,0,8,0,8,0,0.46,0,-4,-8,-8,-0.46
"L.A","2015-11-17","2015020269","20152016","PHI","0",8.32,0,0,0,5.56,0,0,1,0,10,0,14,1,17,0,1.45,-1,-10,-14,-16,-1.45
"L.A","2015-11-20","2015020289","20152016","DET","0",5.87,50,20,25,25,28.93,1,1,1,4,2,6,2,6,0.21,0.52,0,-3,-4,-4,-0.31
"L.A","2015-11-22","2015020304","20152016","CAR","0",6.17,0,0,0,0,0,0,2,0,4,0,10,0,14,0,0.92,-2,-4,-10,-14,-0.92
"L.A","2015-11-23","2015020313","20152016","FLA","0",7.02,0,20,16.67,14.29,17.37,0,1,1,4,1,5,1,6,0.13,0.6,-1,-3,-4,-5,-0.47
"L.A","2015-11-25","2015020326","20152016","T.B","0",6,0,33.33,20,14.29,12.75,0,0,1,2,1,4,1,6,0.03,0.24,0,-1,-3,-5,-0.2
"L.A","2015-11-28","2015020353","20152016","CHI","1",0.88,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0.49,-1,-1,-2,-2,-0.49
"L.A","2015-12-01","2015020367","20152016","VAN","1",4.97,0,0,0,14.29,0,0,1,0,4,0,5,1,6,0,0.36,-1,-4,-5,-5,-0.36
"L.A","2015-12-05","2015020389","20152016","PIT","1",4,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0.21,0,-2,-2,-3,-0.21
"L.A","2015-12-06","2015020404","20152016","T.B","1",8.85,0,42.86,42.86,27.27,16.76,0,0,3,4,3,4,3,8,0.09,0.44,0,-1,-1,-5,-0.35
"L.A","2015-12-08","2015020410","20152016","CBJ","0",1.82,0,50,50,50,29.97,0,1,1,1,1,1,1,1,0.06,0.15,-1,0,0,0,-0.09
"L.A","2015-12-11","2015020429","20152016","PIT","0",5.23,0,20,11.11,16.67,3.02,0,0,1,4,1,8,2,10,0.02,0.66,0,-3,-7,-8,-0.64
"L.A","2015-12-12","2015020436","20152016","BUF","0",2.23,0,0,0,0,0,0,1,0,3,0,4,0,6,0,0.45,-1,-3,-4,-6,-0.45
"L.A","2015-12-14","2015020451","20152016","OTT","0",6.92,0,0,12.5,9.09,17.26,0,0,0,4,1,7,1,10,0.14,0.67,0,-4,-6,-9,-0.53
"L.A","2015-12-17","2015020470","20152016","MTL","0",3.5,0,0,8.33,7.14,3.95,0,0,0,9,1,11,1,13,0.04,0.85,0,-9,-10,-12,-0.82
"L.A","2015-12-19","2015020485","20152016","TOR","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.A","2015-12-22","2015020516","20152016","S.J","1",5.02,0,0,25,50,2.08,0,2,0,3,1,3,3,3,0.01,0.56,-2,-3,-2,0,-0.55
"L.A","2015-12-26","2015020524","20152016","ARI","0",9.7,0,9.09,6.25,8.7,0.19,0,3,1,10,1,15,2,21,0,1.52,-3,-9,-14,-19,-1.51
"L.A","2015-12-28","2015020539","20152016","VAN","0",6.18,0,0,0,0,0,0,0,0,6,0,7,0,11,0,0.46,0,-6,-7,-11,-0.46
"L.A","2015-12-29","2015020549","20152016","EDM","0",4,0,0,0,0,0,0,0,0,7,0,9,0,13,0,1.26,0,-7,-9,-13,-1.26
"L.A","2015-12-31","2015020562","20152016","CGY","0",8,0,14.29,8.33,6.25,0.58,0,0,1,6,1,11,1,15,0,0.69,0,-5,-10,-14,-0.69
"L.A","2016-01-02","2015020569","20152016","PHI","1",5.73,0,9.09,7.69,7.69,0.37,0,1,1,10,1,12,1,12,0,0.87,-1,-9,-11,-11,-0.86
"L.A","2016-01-04","2015020585","20152016","COL","0",7.97,0,0,8.33,8.33,0.33,0,3,0,9,1,11,1,11,0,1.15,-3,-9,-10,-10,-1.14
"L.A","2016-01-07","2015020606","20152016","TOR","1",4.7,0,0,0,0,0,0,1,0,4,0,10,0,13,0,0.91,-1,-4,-10,-13,-0.91
"L.A","2016-01-09","2015020623","20152016","STL","1",7,0,16.67,11.11,9.09,28.48,0,0,1,5,1,8,1,10,0.16,0.41,0,-4,-7,-9,-0.24
"L.A","2016-01-11","2015020633","20152016","DET","1",3,0,0,0,0,0,0,0,0,5,0,5,0,6,0,0.5,0,-5,-5,-6,-0.5
"L.A","2016-01-16","2015020661","20152016","OTT","1",6.6,0,0,0,8.33,0,0,1,0,3,0,7,1,11,0,0.55,-1,-3,-7,-10,-0.55
"L.A","2016-01-17","2015020676","20152016","ANA","0",5.98,0,0,0,0,0,0,0,0,9,0,12,0,15,0,1.15,0,-9,-12,-15,-1.15
"L.A","2016-01-19","2015020689","20152016","DAL","1",2.82,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.05,0,0,-1,-1,-0.05
"L.A","2016-01-21","2015020702","20152016","MIN","1",3.57,0,0,0,0,0,0,1,0,1,0,2,0,5,0,0.19,-1,-1,-2,-5,-0.19
"L.A","2016-01-23","2015020718","20152016","ARI","0",7.5,0,0,0,0,0,0,1,0,6,0,9,0,12,0,0.61,-1,-6,-9,-12,-0.61
"L.A","2016-01-24","2015020724","20152016","S.J","0",7.18,0,50,37.5,25,28.77,0,0,3,3,3,5,3,9,0.17,0.42,0,0,-2,-6,-0.25
"L.A","2016-01-27","2015020743","20152016","COL","1",10.27,0,0,0,6.67,0,0,1,0,6,0,10,1,14,0,0.93,-1,-6,-10,-13,-0.93
"L.A","2016-02-02","2015020754","20152016","ARI","0",7.83,0,14.29,11.11,6.67,2.47,0,0,1,6,1,8,1,14,0.03,1.2,0,-5,-7,-13,-1.17
"L.A","2016-02-04","2015020770","20152016","ANA","1",8.68,0,0,0,0,0,0,1,0,7,0,17,0,20,0,1.22,-1,-7,-17,-20,-1.22
"L.A","2016-02-09","2015020794","20152016","BOS","0",4.62,0,0,0,0,0,0,1,0,4,0,7,0,12,0,0.7,-1,-4,-7,-12,-0.7
"L.A","2016-02-11","2015020809","20152016","NYI","0",6.43,0,75,60,37.5,43.06,0,1,3,1,3,2,3,5,0.18,0.23,-1,2,1,-2,-0.06
"L.A","2016-02-12","2015020819","20152016","NYR","0",1.73,0,0,50,20,36.1,0,1,0,1,1,1,1,4,0.09,0.15,-1,-1,0,-3,-0.07
"L.A","2016-02-14","2015020836","20152016","N.J","0",4.07,0,0,0,0,0,0,1,0,3,0,5,0,6,0,0.69,-1,-3,-5,-6,-0.69
"L.A","2016-02-16","2015020848","20152016","WSH","0",10,100,50,27.78,27.27,31.75,1,0,5,5,5,13,6,16,0.42,0.91,1,0,-8,-10,-0.49
"L.A","2016-02-18","2015020864","20152016","STL","0",8.78,0,22.22,13.33,11.76,9.57,0,1,2,7,2,13,2,15,0.13,1.24,-1,-5,-11,-13,-1.11
"L.A","2016-02-20","2015020879","20152016","NSH","0",11.27,0,8.33,6.67,6.25,2.32,0,1,1,11,1,14,1,15,0.03,1.29,-1,-10,-13,-14,-1.26
"L.A","2016-02-23","2015020901","20152016","CGY","1",2.13,0,0,0,0,0,0,1,0,1,0,3,0,4,0,0.39,-1,-1,-3,-4,-0.39
"L.A","2016-02-25","2015020915","20152016","EDM","1",2,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0.14,0,-2,-2,-3,-0.14
"L.A","2016-02-27","2015020929","20152016","BUF","1",6,0,40,33.33,28.57,26.76,0,0,2,3,2,4,2,5,0.07,0.2,0,-1,-2,-3,-0.13
"L.A","2016-02-28","2015020935","20152016","ANA","0",5.12,0,0,9.09,5.56,6.13,0,3,0,8,1,10,1,17,0.07,1.09,-3,-8,-9,-16,-1.02
"L.A","2016-03-03","2015020965","20152016","MTL","1",4,0,0,20,20,9.82,0,0,0,2,1,4,1,4,0.03,0.26,0,-2,-3,-3,-0.23
"L.A","2016-03-05","2015020972","20152016","ANA","1",1.68,0,0,0,0,0,0,2,0,4,0,5,0,6,0,0.63,-2,-4,-5,-6,-0.63
"L.A","2016-03-07","2015020992","20152016","VAN","1",9.1,0,0,0,0,0,0,0,0,8,0,11,0,13,0,0.71,0,-8,-11,-13,-0.71
"L.A","2016-03-09","2015021006","20152016","WSH","1",0.75,0,0,0,0,0,0,1,0,2,0,2,0,3,0,0.58,-1,-2,-2,-3,-0.58
"L.A","2016-03-12","2015021028","20152016","N.J","1",2,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0.32,0,-3,-4,-5,-0.32
"L.A","2016-03-14","2015021034","20152016","CHI","0",10.75,0,0,0,0,0,0,0,0,16,0,17,0,22,0,1.73,0,-16,-17,-22,-1.73
"L.A","2016-03-15","2015021045","20152016","DAL","0",5.53,0,0,0,0,0,0,1,0,5,0,6,0,7,0,0.82,-1,-5,-6,-7,-0.82
"L.A","2016-03-17","2015021060","20152016","NYR","1",2,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0.28,0,-2,-3,-3,-0.28
"L.A","2016-03-19","2015021077","20152016","BOS","1",8,0,0,0,0,0,0,0,0,11,0,14,0,17,0,1.32,0,-11,-14,-17,-1.32
"L.A","2016-03-21","2015021088","20152016","NSH","0",3.47,0,0,0,0,0,0,1,0,4,0,4,0,4,0,0.64,-1,-4,-4,-4,-0.64
"L.A","2016-03-22","2015021094","20152016","MIN","0",7.18,0,0,0,0,0,0,1,0,5,0,7,0,7,0,0.68,-1,-5,-7,-7,-0.68
"L.A","2016-03-24","2015021108","20152016","WPG","0",8,0,25,20,9.09,24.9,0,0,1,3,1,4,1,10,0.18,0.55,0,-2,-3,-9,-0.36
