"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"L.A","2016-10-12","2016020004","20162017","S.J","0",53.13,13,7,40,24,2,0,0,0,-2,24,25,-1
"L.A","2016-10-14","2016020016","20162017","PHI","1",50.47,9,1,30,28,2,2,0,0,0,35,18,17
"L.A","2016-10-18","2016020044","20162017","MIN","0",44.13,5,3,17,14,4,2,0,0,-2,32,24,8
"L.A","2016-10-20","2016020058","20162017","DAL","0",41.65,5,4,17,7,4,7,1,1,3,15,28,-13
"L.A","2016-10-22","2016020076","20162017","VAN","1",51.2,8,6,30,20,6,3,1,1,-3,28,22,6
"L.A","2016-10-25","2016020092","20162017","CBJ","1",58.9,12,3,33,32,1,1,0,0,0,27,23,4
"L.A","2016-10-27","2016020105","20162017","NSH","1",52.72,6,3,30,33,3,4,1,1,1,26,26,0
"L.A","2016-10-29","2016020118","20162017","STL","0",41.88,2,2,25,20,1,4,0,0,3,14,20,-6
"L.A","2016-10-30","2016020128","20162017","CHI","0",44.72,3,2,33,11,6,1,0,0,-5,22,21,1
"L.A","2016-11-01","2016020142","20162017","ANA","1",52.17,9,2,29,37,7,4,4,4,-3,19,31,-12
"L.A","2016-11-03","2016020156","20162017","PIT","1",50.53,8,1,37,22,3,2,0,0,-1,37,26,11
"L.A","2016-11-05","2016020172","20162017","CGY","1",48.3,7,0,23,26,3,2,0,0,-1,17,28,-11
"L.A","2016-11-08","2016020188","20162017","TOR","0",49.72,12,6,38,37,0,3,0,0,3,24,21,3
"L.A","2016-11-10","2016020199","20162017","MTL","0",47.75,12,3,54,20,2,3,0,0,1,25,25,0
"L.A","2016-11-11","2016020208","20162017","OTT","0",50.02,6,3,16,21,2,1,0,0,-1,25,32,-7
"L.A","2016-11-13","2016020223","20162017","WPG","0",47.1,8,2,21,21,2,3,2,1,0,21,17,4
"L.A","2016-11-15","2016020240","20162017","COL","0",45.4,2,3,23,27,4,3,0,0,-1,21,30,-9
"L.A","2016-11-17","2016020254","20162017","EDM","1",51.68,6,2,27,32,1,1,1,1,0,32,21,11
"L.A","2016-11-19","2016020261","20162017","N.J","1",52.38,4,3,37,34,1,1,0,0,0,20,21,-1
"L.A","2016-11-20","2016020275","20162017","ANA","0",44,4,0,21,26,6,2,1,1,-4,15,28,-13
"L.A","2016-11-23","2016020298","20162017","NYI","1",50.13,9,2,27,34,1,2,0,0,1,24,26,-2
"L.A","2016-11-26","2016020320","20162017","CHI","1",48.88,9,3,20,10,2,2,0,0,0,30,14,16
"L.A","2016-11-30","2016020344","20162017","S.J","1",53.83,11,1,37,27,1,1,0,0,0,31,18,13
"L.A","2016-12-01","2016020355","20162017","ARI","0",42.97,2,1,20,25,4,5,0,0,1,27,20,7
"L.A","2016-12-04","2016020377","20162017","MTL","1",50.87,9,4,35,24,5,4,0,0,-1,31,22,9
"L.A","2016-12-08","2016020404","20162017","CAR","1",52.07,4,1,23,10,0,1,0,0,1,25,13,12
"L.A","2016-12-10","2016020412","20162017","OTT","1",45.08,8,4,23,27,4,0,2,3,-3,30,24,6
"L.A","2016-12-13","2016020431","20162017","BUF","0",57.08,6,1,35,35,3,2,1,1,-1,28,26,2
"L.A","2016-12-15","2016020448","20162017","DET","0",45.52,1,2,21,21,4,4,0,0,0,21,28,-7
"L.A","2016-12-16","2016020454","20162017","PIT","0",51.5,4,5,63,42,3,1,0,0,-2,23,28,-5
"L.A","2016-12-18","2016020470","20162017","BOS","0",43.02,7,9,21,25,4,3,1,1,-1,22,17,5
"L.A","2016-12-20","2016020484","20162017","CBJ","0",58.37,2,2,16,21,2,2,1,1,0,28,28,0
"L.A","2016-12-22","2016020502","20162017","NSH","0",50,5,2,24,33,3,2,1,1,-1,19,16,3
"L.A","2016-12-23","2016020513","20162017","DAL","0",54.77,6,3,24,13,3,2,0,0,-1,18,31,-13
"L.A","2016-12-28","2016020531","20162017","VAN","0",48.97,5,6,25,16,3,1,0,0,-2,18,20,-2
"L.A","2016-12-29","2016020542","20162017","EDM","0",54.43,17,8,37,32,0,2,0,0,2,20,30,-10
"L.A","2016-12-31","2016020558","20162017","S.J","1",45,7,0,22,21,2,4,1,1,2,22,20,2
"L.A","2017-01-03","2016020571","20162017","S.J","0",49.58,11,3,30,26,2,2,0,0,0,23,30,-7
"L.A","2017-01-05","2016020583","20162017","DET","1",55.87,5,3,28,16,1,1,0,0,0,26,26,0
"L.A","2017-01-07","2016020593","20162017","MIN","1",53.67,8,3,25,20,1,1,0,0,0,27,25,2
"L.A","2017-01-09","2016020612","20162017","DAL","1",56.28,10,4,29,29,0,2,0,0,2,32,32,0
"L.A","2017-01-12","2016020632","20162017","STL","1",44.8,5,2,25,20,3,2,0,0,-1,22,23,-1
"L.A","2017-01-14","2016020650","20162017","WPG","1",46.6,15,6,26,24,1,2,0,0,1,27,25,2
"L.A","2017-01-16","2016020659","20162017","T.B","1",48.93,16,4,33,38,2,3,1,1,1,21,24,-3
"L.A","2017-01-18","2016020676","20162017","S.J","1",45.27,7,3,22,25,5,5,0,0,0,25,25,0
"L.A","2017-01-21","2016020695","20162017","NYI","0",53.37,17,9,23,28,2,2,0,0,0,37,29,8
"L.A","2017-01-23","2016020708","20162017","NYR","0",51.97,6,2,30,20,3,3,1,1,0,26,22,4
"L.A","2017-01-24","2016020715","20162017","N.J","0",49.23,1,4,11,16,3,2,0,0,-1,23,17,6
"L.A","2017-01-26","2016020732","20162017","CAR","0",49.17,7,5,32,29,5,1,0,0,-4,24,22,2
"L.A","2017-01-31","2016020752","20162017","ARI","0",50.55,4,1,32,30,1,2,0,0,1,25,23,2
"L.A","2017-02-01","2016020757","20162017","COL","1",47.92,5,1,25,26,3,3,1,1,0,23,24,-1
"L.A","2017-02-04","2016020772","20162017","PHI","0",56.6,10,7,35,34,2,0,0,0,-2,25,25,0
"L.A","2017-02-05","2016020784","20162017","WSH","0",47.35,3,4,19,22,2,3,0,0,1,25,15,10
"L.A","2017-02-07","2016020797","20162017","T.B","0",51.93,2,3,29,23,4,2,0,0,-2,29,20,9
"L.A","2017-02-09","2016020810","20162017","FLA","0",46.43,3,6,15,25,4,2,0,0,-2,22,27,-5
"L.A","2017-02-16","2016020854","20162017","ARI","1",49.85,9,2,26,21,4,3,0,0,-1,35,24,11
"L.A","2017-02-18","2016020868","20162017","FLA","1",48.57,8,3,22,26,1,3,0,0,2,21,18,3
"L.A","2017-02-19","2016020878","20162017","ANA","0",50.43,9,2,20,36,2,1,1,1,-1,17,11,6
"L.A","2017-02-21","2016020890","20162017","COL","0",49.65,2,7,22,23,2,1,0,0,-1,14,19,-5
"L.A","2017-02-23","2016020899","20162017","BOS","1",52.82,9,1,36,33,2,4,0,0,2,32,26,6
"L.A","2017-02-25","2016020904","20162017","ANA","1",42.88,10,0,25,34,3,4,2,2,1,24,23,1
"L.A","2017-02-27","2016020921","20162017","MIN","0",54.2,3,3,16,26,2,1,0,0,-1,31,30,1
"L.A","2017-02-28","2016020931","20162017","CGY","0",57.18,6,2,12,23,1,1,1,1,0,31,33,-2
"L.A","2017-03-02","2016020944","20162017","TOR","1",57.63,12,2,35,25,1,2,0,0,1,27,33,-6
