"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"L.A","2018-10-05","2018020016","20182019","S.J","1",50.73,6,12,15,86,7,13,21,5,1
"L.A","2018-10-07","2018020031","20182019","DET","1",48.98,9,21,12,96,14,27,24,7,3
"L.A","2018-10-09","2018020040","20182019","WPG","0",49.77,6,13,12,109,8,16,20,5,4
"L.A","2018-10-11","2018020051","20182019","MTL","0",45.77,4,14,13,95,8,16,20,4,1
"L.A","2018-10-13","2018020059","20182019","OTT","0",48.97,17,17,7,97,21,18,7,0,4
"L.A","2018-10-15","2018020074","20182019","TOR","0",50.3,12,17,6,113,15,18,17,9,3
"L.A","2018-10-18","2018020097","20182019","NYI","1",49.02,13,14,6,77,21,18,12,3,7
"L.A","2018-10-20","2018020105","20182019","BUF","1",48.2,13,19,8,98,18,24,12,5,5
"L.A","2018-10-23","2018020128","20182019","DAL","0",49.93,16,17,8,103,19,19,10,2,5
"L.A","2018-10-25","2018020138","20182019","MIN","0",43.75,12,13,10,93,14,16,16,5,5
"L.A","2018-10-28","2018020159","20182019","NYR","1",51.52,15,13,8,83,20,16,15,5,7
"L.A","2018-11-01","2018020190","20182019","PHI","1",50.07,8,13,14,84,12,14,23,5,5
"L.A","2018-11-03","2018020205","20182019","CBJ","1",44.15,13,7,11,76,15,9,21,6,3
"L.A","2018-11-06","2018020222","20182019","ANA","1",51.85,17,15,13,82,21,20,27,8,5
"L.A","2018-11-08","2018020235","20182019","MIN","1",48.88,10,13,9,96,12,19,15,5,6
"L.A","2018-11-10","2018020252","20182019","CGY","1",51.02,11,8,13,96,14,9,22,7,5
"L.A","2018-11-13","2018020271","20182019","TOR","1",44.88,7,15,9,85,11,19,10,1,7
"L.A","2018-11-16","2018020288","20182019","CHI","0",57,16,11,13,110,18,13,19,5,4
"L.A","2018-11-17","2018020299","20182019","NSH","0",46.92,8,17,14,76,10,21,22,6,4
"L.A","2018-11-19","2018020313","20182019","STL","0",54.48,14,14,8,117,18,17,12,3,4
"L.A","2018-11-21","2018020331","20182019","COL","1",48.93,10,23,11,94,17,27,16,3,7
"L.A","2018-11-24","2018020357","20182019","VAN","1",53.25,13,13,10,87,14,13,12,2,5
"L.A","2018-11-25","2018020361","20182019","EDM","1",46.97,10,21,9,85,16,26,16,2,1
"L.A","2018-11-27","2018020376","20182019","VAN","0",50.32,16,8,6,138,17,9,16,5,4
"L.A","2018-11-29","2018020388","20182019","EDM","0",51.53,11,14,12,115,13,14,21,9,2
