"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"L.A","2018-10-05","2018020016","20182019","S.J","1",8.08,5,2,0,9,6,2,1,0,0
"L.A","2018-10-07","2018020031","20182019","DET","1",4.12,2,2,0,10,4,2,0,0,0
"L.A","2018-10-09","2018020040","20182019","WPG","0",3.38,3,1,0,2,3,1,0,0,0
"L.A","2018-10-11","2018020051","20182019","MTL","0",5.97,3,0,0,9,4,0,1,0,0
"L.A","2018-10-13","2018020059","20182019","OTT","0",8.33,6,0,0,7,7,0,0,0,0
"L.A","2018-10-15","2018020074","20182019","TOR","0",6,5,0,0,4,6,0,0,0,0
"L.A","2018-10-18","2018020097","20182019","NYI","1",4.7,3,1,0,3,6,2,1,0,0
"L.A","2018-10-20","2018020105","20182019","BUF","1",5.12,4,1,0,5,4,1,0,0,0
"L.A","2018-10-23","2018020128","20182019","DAL","0",4,3,0,0,4,3,0,0,0,0
"L.A","2018-10-25","2018020138","20182019","MIN","0",6.37,5,1,0,9,6,1,0,0,0
"L.A","2018-10-28","2018020159","20182019","NYR","1",3.42,3,0,1,5,4,0,1,0,0
"L.A","2018-11-01","2018020190","20182019","PHI","1",7.62,6,0,0,4,8,0,0,0,0
"L.A","2018-11-03","2018020205","20182019","CBJ","1",6.27,4,1,1,6,4,1,3,2,0
"L.A","2018-11-06","2018020222","20182019","ANA","1",0.3,1,0,0,0,2,0,0,0,0
"L.A","2018-11-08","2018020235","20182019","MIN","1",4.7,3,1,0,5,5,1,0,0,0
"L.A","2018-11-10","2018020252","20182019","CGY","1",6,3,4,0,5,3,4,0,0,0
"L.A","2018-11-13","2018020271","20182019","TOR","1",4,4,0,0,7,4,0,0,0,0
"L.A","2018-11-16","2018020288","20182019","CHI","0",2,2,2,0,0,3,2,0,0,0
"L.A","2018-11-17","2018020299","20182019","NSH","0",5.7,2,1,0,11,2,4,0,0,0
"L.A","2018-11-19","2018020313","20182019","STL","0",0,0,0,0,0,0,0,0,0,0
"L.A","2018-11-21","2018020331","20182019","COL","1",6,3,1,0,6,4,1,0,0,0
"L.A","2018-11-24","2018020357","20182019","VAN","1",4.15,3,2,0,2,3,3,0,0,0
"L.A","2018-11-25","2018020361","20182019","EDM","1",6.58,5,1,0,10,5,2,0,0,0
"L.A","2018-11-27","2018020376","20182019","VAN","0",6,5,1,1,3,6,1,1,0,0
"L.A","2018-11-29","2018020388","20182019","EDM","0",4.72,3,3,0,5,4,3,0,0,0
"L.A","2018-11-30","2018020394","20182019","CGY","0",0.57,1,0,0,0,1,0,0,0,0
"L.A","2018-12-02","2018020412","20182019","CAR","1",8,5,0,0,10,6,0,0,0,0
"L.A","2018-12-04","2018020425","20182019","ARI","1",3.75,5,1,0,0,5,1,0,0,0
"L.A","2018-12-06","2018020439","20182019","N.J","1",2,1,0,0,3,1,0,0,0,0
"L.A","2018-12-08","2018020445","20182019","VGK","1",0.7,1,0,0,0,1,0,0,0,0
"L.A","2018-12-10","2018020462","20182019","DET","0",2,1,0,0,3,1,0,0,0,0
"L.A","2018-12-11","2018020466","20182019","BUF","0",5.32,5,0,0,9,7,0,0,0,0
"L.A","2018-12-13","2018020480","20182019","CBJ","0",4.37,4,0,0,2,4,0,1,1,0
"L.A","2018-12-15","2018020499","20182019","PIT","0",5.93,3,1,0,6,4,1,1,0,0
"L.A","2018-12-18","2018020527","20182019","WPG","1",4.27,2,1,0,8,2,2,0,0,0
"L.A","2018-12-22","2018020550","20182019","S.J","0",0.93,1,0,0,0,1,0,0,0,0
"L.A","2018-12-23","2018020565","20182019","VGK","0",2.48,2,0,0,1,3,0,0,0,0
"L.A","2018-12-27","2018020578","20182019","ARI","1",4,4,0,0,4,5,0,0,0,0
"L.A","2018-12-29","2018020586","20182019","VGK","1",4,2,0,1,2,3,0,1,0,0
"L.A","2018-12-31","2018020607","20182019","COL","0",4.43,3,1,0,10,3,1,1,0,0
"L.A","2019-01-01","2018020614","20182019","VGK","0",4,2,0,1,1,2,0,1,0,0
"L.A","2019-01-03","2018020628","20182019","T.B","1",8.65,8,2,0,7,9,2,1,1,0
"L.A","2019-01-05","2018020643","20182019","EDM","1",6,4,3,0,7,6,4,0,0,0
"L.A","2019-01-07","2018020656","20182019","S.J","0",0,0,0,0,0,0,0,0,0,0
"L.A","2019-01-10","2018020682","20182019","OTT","1",4,3,1,0,5,4,1,0,0,0
"L.A","2019-01-12","2018020698","20182019","PIT","1",6,3,1,0,8,3,2,0,0,0
"L.A","2019-01-15","2018020717","20182019","MIN","0",2,1,0,0,2,1,0,0,0,0
"L.A","2019-01-17","2018020732","20182019","DAL","0",0.05,1,0,0,0,1,0,0,0,0
"L.A","2019-01-19","2018020741","20182019","COL","0",7.07,3,2,0,10,3,3,1,0,0
"L.A","2019-01-21","2018020759","20182019","STL","1",6.93,3,1,0,7,5,2,0,0,0
"L.A","2019-02-02","2018020794","20182019","NYI","0",6,5,0,0,6,6,0,0,0,0
"L.A","2019-02-04","2018020806","20182019","NYR","0",3.87,2,0,0,8,2,1,0,0,0
"L.A","2019-02-05","2018020812","20182019","N.J","0",3.88,2,1,0,5,2,1,0,0,0
"L.A","2019-02-07","2018020826","20182019","PHI","0",0,0,0,0,0,0,0,0,0,0
"L.A","2019-02-09","2018020838","20182019","BOS","0",8.48,6,3,1,7,8,3,1,0,0
"L.A","2019-02-11","2018020861","20182019","WSH","0",5.73,4,1,0,4,4,2,0,0,0
"L.A","2019-02-14","2018020886","20182019","VAN","1",6,4,1,0,6,7,1,0,0,0
"L.A","2019-02-16","2018020903","20182019","BOS","1",9.7,7,0,1,7,9,0,1,0,0
"L.A","2019-02-18","2018020914","20182019","WSH","1",5.45,2,0,0,9,4,0,0,0,0
"L.A","2019-02-21","2018020936","20182019","NSH","0",6,6,0,0,3,7,1,0,0,0
"L.A","2019-02-23","2018020948","20182019","FLA","0",2,1,0,0,3,1,1,0,0,0
"L.A","2019-02-25","2018020964","20182019","T.B","0",8,6,0,0,19,6,1,0,0,0
"L.A","2019-02-26","2018020972","20182019","CAR","0",2,1,0,0,2,2,0,0,0,0
"L.A","2019-02-28","2018020990","20182019","DAL","1",4.25,2,0,1,4,2,1,1,0,0
"L.A","2019-03-02","2018021000","20182019","CHI","1",2.3,2,0,0,1,2,0,0,0,0
"L.A","2019-03-05","2018021028","20182019","MTL","1",4,2,0,0,5,3,1,0,0,0
"L.A","2019-03-07","2018021042","20182019","STL","1",3.75,3,0,0,1,5,0,0,0,0
"L.A","2019-03-09","2018021058","20182019","ARI","0",2,2,1,0,0,4,1,0,0,0
"L.A","2019-03-10","2018021064","20182019","ANA","0",6,4,1,0,9,5,2,0,0,0
"L.A","2019-03-14","2018021091","20182019","NSH","1",4,2,0,0,7,2,1,0,0,0
"L.A","2019-03-16","2018021101","20182019","FLA","1",2.73,2,0,0,2,4,0,1,1,0
"L.A","2019-03-18","2018021120","20182019","WPG","1",2.98,2,0,0,2,3,0,0,0,0
"L.A","2019-03-21","2018021147","20182019","S.J","1",0,0,0,0,0,0,0,0,0,0
"L.A","2019-03-23","2018021163","20182019","ANA","1",4.27,4,1,1,1,5,2,1,0,0
"L.A","2019-03-25","2018021176","20182019","CGY","0",4.3,2,1,0,2,3,2,0,0,0
"L.A","2019-03-26","2018021182","20182019","EDM","0",5.68,5,1,0,2,6,2,0,0,0
"L.A","2019-03-28","2018021195","20182019","VAN","0",7.6,5,0,0,12,6,1,0,0,0
"L.A","2019-03-30","2018021214","20182019","CHI","1",4.32,3,1,0,5,3,1,0,0,0
"L.A","2019-04-01","2018021228","20182019","CGY","1",6,4,0,0,4,5,0,1,0,0
"L.A","2019-04-02","2018021238","20182019","ARI","0",1.47,0,0,1,3,0,0,1,0,0
"L.A","2019-04-05","2018021256","20182019","ANA","0",8.8,3,2,0,11,4,2,0,0,0
"L.A","2019-04-06","2018021270","20182019","VGK","1",5.4,5,1,0,2,6,2,0,0,0
"L.A","Total","-","20182019","-","-",4.49,252,54,10,388,313,79,22,5,0
