"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"L.A","2016-10-12","2016020004","20162017","S.J","0",4.88,0,1,5,7,0,1,5,0,0
"L.A","2016-10-14","2016020016","20162017","PHI","1",4,0,2,2,5,0,4,2,0,0
"L.A","2016-10-18","2016020044","20162017","MIN","0",6.62,0,1,9,6,0,1,9,0,0
"L.A","2016-10-20","2016020058","20162017","DAL","0",7.85,0,0,6,12,0,0,6,0,0
"L.A","2016-10-22","2016020076","20162017","VAN","1",9.95,0,2,6,17,0,2,9,0,0
"L.A","2016-10-25","2016020092","20162017","CBJ","1",0.33,0,0,1,0,0,0,1,0,0
"L.A","2016-10-27","2016020105","20162017","NSH","1",6,1,1,7,2,1,1,9,0,0
"L.A","2016-10-29","2016020118","20162017","STL","0",8,2,1,5,14,2,1,6,0,0
"L.A","2016-10-30","2016020128","20162017","CHI","0",11.65,0,0,5,14,0,2,6,0,0
"L.A","2016-11-01","2016020142","20162017","ANA","1",5.83,0,1,4,8,0,1,6,0,0
"L.A","2016-11-03","2016020156","20162017","PIT","1",5.97,0,0,3,10,0,0,3,0,0
"L.A","2016-11-05","2016020172","20162017","CGY","1",6,0,1,5,6,0,2,5,0,0
"L.A","2016-11-08","2016020188","20162017","TOR","0",2,1,0,1,2,1,0,1,0,0
"L.A","2016-11-10","2016020199","20162017","MTL","0",3.73,0,0,2,7,0,0,2,0,0
"L.A","2016-11-11","2016020208","20162017","OTT","0",5.63,1,0,5,11,1,0,5,0,1
"L.A","2016-11-13","2016020223","20162017","WPG","0",9,1,3,5,14,1,3,5,0,0
"L.A","2016-11-15","2016020240","20162017","COL","0",7.13,0,0,4,14,0,0,4,0,0
"L.A","2016-11-17","2016020254","20162017","EDM","1",2,0,1,1,1,0,2,1,0,0
"L.A","2016-11-19","2016020261","20162017","N.J","1",4,0,0,2,9,0,0,2,0,0
"L.A","2016-11-20","2016020275","20162017","ANA","0",11.52,0,2,7,27,0,4,8,0,0
"L.A","2016-11-23","2016020298","20162017","NYI","1",4,1,0,3,8,1,0,3,0,1
"L.A","2016-11-26","2016020320","20162017","CHI","1",6,0,0,6,6,0,0,6,0,0
"L.A","2016-11-30","2016020344","20162017","S.J","1",2,0,1,1,2,0,1,1,0,0
"L.A","2016-12-01","2016020355","20162017","ARI","0",7.15,0,0,6,12,0,0,7,0,0
"L.A","2016-12-04","2016020377","20162017","MTL","1",8.23,0,0,5,14,0,0,6,0,0
"L.A","2016-12-08","2016020404","20162017","CAR","1",0,0,0,0,0,0,0,0,0,0
"L.A","2016-12-10","2016020412","20162017","OTT","1",8,0,0,5,14,0,0,5,0,0
"L.A","2016-12-13","2016020431","20162017","BUF","0",2,0,0,2,4,0,0,2,0,0
"L.A","2016-12-15","2016020448","20162017","DET","0",6.53,0,1,4,9,0,1,4,0,0
"L.A","2016-12-16","2016020454","20162017","PIT","0",7.5,0,1,6,8,0,1,7,0,0
