"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MIN","2019-10-03","2019020009","20192020","NSH","0",50.48,20,47.83,42.25,42.11,35.58,1,4,22,24,30,41,40,55,1.25,2.26,-3,-2,-11,-15,-1.01
"MIN","2019-10-05","2019020026","20192020","COL","0",40.8,33.33,48.89,49.12,48,49.97,1,2,22,23,28,29,36,39,1.42,1.42,-1,-1,-1,-3,0
"MIN","2019-10-10","2019020053","20192020","WPG","0",51.25,33.33,57.63,58.33,61.86,54.86,2,4,34,25,42,30,60,37,2.08,1.71,-2,9,12,23,0.37
"MIN","2019-10-12","2019020071","20192020","PIT","1",54.02,50,48.28,47.06,51.09,62.25,3,3,28,30,32,36,47,45,2.17,1.32,0,-2,-4,2,0.85
"MIN","2019-10-14","2019020079","20192020","OTT","0",39.72,100,58.54,53.7,52.63,65.03,1,0,24,17,29,25,40,36,2.35,1.27,1,7,4,4,1.09
"MIN","2019-10-15","2019020085","20192020","TOR","0",50.63,50,40.82,41.18,39.56,39.58,2,2,20,29,28,40,36,55,1.51,2.31,0,-9,-12,-19,-0.8
"MIN","2019-10-17","2019020099","20192020","MTL","0",42.6,0,30.56,36.84,45.78,20.94,0,3,11,25,21,36,38,45,0.46,1.73,-3,-14,-15,-7,-1.27
"MIN","2019-10-20","2019020125","20192020","MTL","1",48.25,50,46.43,44.58,43.24,43.17,2,2,26,30,37,46,48,63,2.16,2.84,0,-4,-9,-15,-0.68
"MIN","2019-10-22","2019020139","20192020","EDM","1",51.75,100,52.17,53.97,59.09,70.31,2,0,24,22,34,29,52,36,2.17,0.92,2,2,5,16,1.26
"MIN","2019-10-24","2019020150","20192020","NSH","0",53.92,0,56.1,57.14,55.43,57.47,0,3,23,18,36,27,51,41,1.76,1.3,-3,5,9,10,0.46
"MIN","2019-10-26","2019020167","20192020","L.A","1",48.95,83.33,50,47.69,44.32,65.83,5,1,23,23,31,34,39,49,2.01,1.04,4,0,-3,-10,0.96
"MIN","2019-10-29","2019020186","20192020","DAL","0",47.87,20,34.15,37.1,42.68,36.47,1,4,14,27,23,39,35,47,1.1,1.91,-3,-13,-16,-12,-0.81
"MIN","2019-10-30","2019020190","20192020","STL","0",48.33,33.33,60.87,59.32,58.11,69.3,1,2,28,18,35,24,43,31,2.42,1.07,-1,10,11,12,1.35
