"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MIN","2016-10-13","2016020011","20162017","STL","0",10,0,100,100,100,100,0,0,4,0,8,0,12,0,0.61,0,0,4,8,12,0.61
"MIN","2016-10-15","2016020024","20162017","WPG","1",6.07,100,100,100,100,100,1,0,4,0,7,0,12,0,0.43,0,1,4,7,12,0.43
"MIN","2016-10-18","2016020044","20162017","L.A","1",6.62,100,100,87.5,90,98.83,1,0,7,0,7,1,9,1,0.89,0.01,1,7,6,8,0.88
"MIN","2016-10-20","2016020057","20162017","TOR","1",5.98,0,100,100,100,100,0,0,5,0,6,0,15,0,0.44,0,0,5,6,15,0.44
"MIN","2016-10-22","2016020069","20162017","N.J","0",6,0,80,83.33,87.5,95.93,0,0,4,1,5,1,7,1,0.51,0.02,0,3,4,6,0.49
"MIN","2016-10-23","2016020078","20162017","NYI","0",6,0,100,100,100,100,0,0,5,0,9,0,13,0,0.66,0,0,5,9,13,0.66
"MIN","2016-10-25","2016020083","20162017","BOS","0",6.08,100,100,90.91,92.86,91.63,1,0,6,0,10,1,13,1,0.53,0.05,1,6,9,12,0.48
"MIN","2016-10-27","2016020098","20162017","BUF","0",4,0,100,100,100,100,0,0,3,0,8,0,8,0,0.6,0,0,3,8,8,0.6
"MIN","2016-10-29","2016020119","20162017","DAL","1",3.07,100,100,100,100,100,1,0,2,0,4,0,5,0,0.37,0,1,2,4,5,0.37
"MIN","2016-11-01","2016020137","20162017","BUF","1",1.12,100,100,100,100,100,1,0,2,0,2,0,2,0,0.27,0,1,2,2,2,0.27
"MIN","2016-11-05","2016020161","20162017","COL","0",5.82,0,83.33,85.71,87.5,98.04,0,0,5,1,6,1,7,1,0.52,0.01,0,4,5,6,0.51
"MIN","2016-11-10","2016020197","20162017","PIT","0",4.17,100,100,100,100,100,1,0,7,0,10,0,16,0,1.19,0,1,7,10,16,1.19
"MIN","2016-11-12","2016020216","20162017","PHI","0",4,0,100,100,100,100,0,0,2,0,3,0,7,0,0.2,0,0,2,3,7,0.2
"MIN","2016-11-13","2016020225","20162017","OTT","0",6,0,71.43,71.43,77.78,81.12,0,0,5,2,5,2,7,2,0.41,0.09,0,3,3,5,0.31
"MIN","2016-11-15","2016020237","20162017","CGY","1",3.95,0,50,60,66.67,82.22,0,0,2,2,3,2,4,2,0.18,0.04,0,0,1,2,0.14
"MIN","2016-11-17","2016020250","20162017","BOS","1",5.92,0,100,100,100,100,0,0,2,0,3,0,6,0,0.32,0,0,2,3,6,0.32
"MIN","2016-11-19","2016020268","20162017","COL","1",6.65,100,90,87.5,90.48,86.77,1,0,9,1,14,2,19,2,0.96,0.15,1,8,12,17,0.81
"MIN","2016-11-21","2016020280","20162017","DAL","0",4.92,100,100,100,100,100,1,0,4,0,5,0,7,0,0.64,0,1,4,5,7,0.64
"MIN","2016-11-23","2016020293","20162017","WPG","1",4.22,100,75,80,75,85.56,1,0,3,1,4,1,6,2,0.2,0.03,1,2,3,4,0.16
"MIN","2016-11-25","2016020303","20162017","PIT","1",5.97,100,90,81.82,80,95.57,3,0,9,1,9,2,12,3,0.58,0.03,3,8,7,9,0.55
"MIN","2016-11-26","2016020318","20162017","STL","0",4,0,100,100,90.91,100,0,0,6,0,8,0,10,1,0.66,0,0,6,8,9,0.66
