"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MIN","2015-10-08","2015020011","20152016","COL","0",1.12,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0.12,-2,-2,-2,-2,-0.12
"MIN","2015-10-10","2015020025","20152016","STL","1",5.45,0,0,0,0,0,0,1,0,7,0,9,0,12,0,0.95,-1,-7,-9,-12,-0.95
"MIN","2015-10-15","2015020057","20152016","ARI","0",12.02,100,30,18.75,12.5,16.89,1,0,3,7,3,13,3,21,0.17,0.82,1,-4,-10,-18,-0.65
"MIN","2015-10-16","2015020064","20152016","L.A","0",7.82,0,0,0,0,0,0,1,0,11,0,18,0,22,0,1.75,-1,-11,-18,-22,-1.75
"MIN","2015-10-18","2015020077","20152016","ANA","0",4,0,50,50,40,23.17,0,0,1,1,2,2,2,3,0.04,0.14,0,0,0,-1,-0.1
"MIN","2015-10-22","2015020096","20152016","CBJ","1",3.12,0,0,0,0,0,0,1,0,3,0,6,0,6,0,0.68,-1,-3,-6,-6,-0.68
"MIN","2015-10-24","2015020106","20152016","ANA","1",2,100,50,33.33,25,64.12,1,0,1,1,1,2,1,3,0.12,0.07,1,0,-1,-2,0.05
"MIN","2015-10-25","2015020118","20152016","WPG","0",2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.1,0,0,-1,-2,-0.1
"MIN","2015-10-27","2015020130","20152016","EDM","1",2,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0.09,0,-1,-2,-3,-0.09
"MIN","2015-10-30","2015020151","20152016","CHI","1",0.73,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0.05,-1,-1,-1,-2,-0.05
"MIN","2015-10-31","2015020162","20152016","STL","0",2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.04,0,-1,-1,-1,-0.04
"MIN","2015-11-05","2015020189","20152016","NSH","1",2,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0.24,0,-1,-2,-4,-0.24
"MIN","2015-11-07","2015020207","20152016","T.B","1",4,0,0,0,0,0,0,0,0,6,0,7,0,9,0,0.51,0,-6,-7,-9,-0.51
"MIN","2015-11-10","2015020224","20152016","WPG","1",3.85,50,14.29,14.29,18.18,19.81,1,1,1,6,1,6,2,9,0.15,0.61,0,-5,-5,-7,-0.46
"MIN","2015-11-12","2015020233","20152016","CAR","0",4.08,0,0,0,0,0,0,1,0,5,0,8,0,10,0,1.09,-1,-5,-8,-10,-1.09
"MIN","2015-11-14","2015020257","20152016","DAL","0",6.38,0,33.33,30,25,23.16,0,1,3,6,3,7,3,9,0.14,0.47,-1,-3,-4,-6,-0.33
"MIN","2015-11-17","2015020270","20152016","PIT","0",8.77,0,7.69,7.14,6.25,1.05,0,2,1,12,1,13,1,15,0.01,1.32,-2,-11,-12,-14,-1.3
"MIN","2015-11-19","2015020278","20152016","BOS","0",4.17,0,10,8.33,8.33,1.04,0,1,1,9,1,11,1,11,0.01,1.27,-1,-8,-10,-10,-1.26
"MIN","2015-11-21","2015020302","20152016","NSH","1",4,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0.51,0,-3,-4,-4,-0.51
"MIN","2015-11-25","2015020324","20152016","VAN","1",1.53,0,50,50,50,59.47,0,1,1,1,1,1,1,1,0.13,0.09,-1,0,0,0,0.04
"MIN","2015-11-27","2015020332","20152016","WPG","1",2.92,0,0,0,0,0,0,1,0,4,0,5,0,7,0,0.41,-1,-4,-5,-7,-0.41
"MIN","2015-11-28","2015020349","20152016","DAL","1",4.02,0,0,0,0,0,0,0,0,5,0,6,0,9,0,0.32,0,-5,-6,-9,-0.32
