"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"MIN","2017-10-05","2017020009","20172018","DET","0",46.13,5,3,19,13,3,2,0,0,-1,21,18,3
"MIN","2017-10-07","2017020023","20172018","CAR","0",51.7,5,12,26,12,4,3,0,0,-1,30,19,11
"MIN","2017-10-12","2017020054","20172018","CHI","0",45.65,7,8,29,22,3,5,1,1,2,22,28,-6
"MIN","2017-10-14","2017020070","20172018","CBJ","1",50.6,7,4,18,8,2,1,0,0,-1,40,21,19
"MIN","2017-10-20","2017020108","20172018","WPG","0",54.05,13,3,16,21,3,1,0,0,-2,26,23,3
"MIN","2017-10-21","2017020120","20172018","CGY","0",43.78,1,3,11,15,5,1,0,0,-4,22,24,-2
"MIN","2017-10-24","2017020133","20172018","VAN","1",50.87,4,2,17,15,2,2,0,0,0,25,27,-2
"MIN","2017-10-26","2017020146","20172018","NYI","1",44.62,2,3,11,10,3,2,0,0,-1,20,27,-7
"MIN","2017-10-28","2017020164","20172018","PIT","1",47.02,5,7,10,9,1,4,0,0,3,18,24,-6
"MIN","2017-10-31","2017020180","20172018","WPG","1",44.65,2,5,13,9,3,3,0,0,0,14,19,-5
"MIN","2017-11-02","2017020192","20172018","MTL","1",50.95,2,6,16,14,1,4,0,0,3,20,33,-13
"MIN","2017-11-04","2017020208","20172018","CHI","1",48.28,3,7,18,8,4,1,0,0,-3,24,28,-4
"MIN","2017-11-06","2017020217","20172018","BOS","0",48.28,7,12,35,22,4,1,1,1,-3,28,23,5
"MIN","2017-11-08","2017020232","20172018","TOR","0",48.9,11,6,26,14,1,4,0,0,3,23,19,4
"MIN","2017-11-09","2017020237","20172018","MTL","0",46.17,10,5,22,16,4,4,0,0,0,23,33,-10
"MIN","2017-11-11","2017020255","20172018","PHI","0",46.53,5,3,13,15,3,3,0,0,0,17,19,-2
"MIN","2017-11-14","2017020271","20172018","PHI","1",53,2,4,10,8,0,1,0,0,1,15,25,-10
"MIN","2017-11-16","2017020283","20172018","NSH","1",44.72,3,4,14,11,3,2,0,0,-1,34,34,0
"MIN","2017-11-18","2017020301","20172018","WSH","0",43.97,11,3,16,26,5,3,0,0,-2,17,23,-6
"MIN","2017-11-20","2017020314","20172018","N.J","1",49.68,5,6,19,20,4,6,0,0,2,32,25,7
"MIN","2017-11-22","2017020319","20172018","BUF","0",49.33,6,3,11,18,3,3,0,0,0,28,17,11
"MIN","2017-11-24","2017020336","20172018","COL","1",55.55,4,6,16,17,3,1,0,0,-2,25,17,8
"MIN","2017-11-25","2017020354","20172018","STL","0",44.87,4,8,14,15,6,3,1,1,-3,20,22,-2
"MIN","2017-11-27","2017020365","20172018","WPG","0",51.73,12,4,16,21,7,2,1,1,-5,21,28,-7
"MIN","2017-11-30","2017020384","20172018","VGK","1",48.65,7,6,7,6,3,2,0,0,-1,24,19,5
"MIN","2017-12-02","2017020397","20172018","STL","1",44.85,2,3,23,17,5,3,0,0,-2,14,23,-9
"MIN","2017-12-05","2017020425","20172018","L.A","0",52.68,2,1,26,21,2,1,1,1,-1,21,32,-11
"MIN","2017-12-08","2017020443","20172018","ANA","0",53.75,8,7,23,19,4,3,0,0,-1,17,18,-1
"MIN","2017-12-10","2017020459","20172018","S.J","0",48.53,6,4,20,22,5,3,0,0,-2,24,20,4
"MIN","2017-12-12","2017020472","20172018","CGY","1",55,6,6,9,11,3,2,0,0,-1,25,21,4
"MIN","2017-12-14","2017020484","20172018","TOR","1",45.98,1,4,11,15,2,1,0,0,-1,23,26,-3
"MIN","2017-12-16","2017020496","20172018","EDM","1",42.07,4,4,6,13,4,3,0,0,-1,21,22,-1
"MIN","2017-12-17","2017020508","20172018","CHI","0",43.18,10,6,24,17,4,2,0,0,-2,27,17,10
"MIN","2017-12-19","2017020520","20172018","OTT","0",47.2,5,3,19,25,2,3,0,0,1,20,22,-2
"MIN","2017-12-22","2017020540","20172018","FLA","0",42.52,8,8,6,23,2,4,1,1,2,35,15,20
"MIN","2017-12-23","2017020545","20172018","T.B","0",37.07,3,2,13,16,1,6,0,0,5,19,19,0
"MIN","2017-12-27","2017020565","20172018","DAL","1",49.27,1,3,14,14,3,1,0,0,-2,31,22,9
"MIN","2017-12-29","2017020581","20172018","NSH","1",45.83,3,2,13,22,2,2,1,1,0,22,31,-9
"MIN","2017-12-30","2017020591","20172018","NSH","0",46.32,5,3,10,15,3,2,0,0,-1,22,20,2
"MIN","2018-01-02","2017020608","20172018","FLA","1",53.68,2,5,7,11,2,1,1,1,-1,27,24,3
"MIN","2018-01-04","2017020622","20172018","BUF","1",47,2,5,9,20,3,1,0,1,-1,18,18,0
"MIN","2018-01-06","2017020635","20172018","COL","0",51.75,0,8,13,27,7,8,0,0,1,31,26,5
"MIN","2018-01-09","2017020659","20172018","CGY","1",46.95,6,2,16,12,3,5,0,0,2,27,26,1
"MIN","2018-01-10","2017020661","20172018","CHI","0",49.08,4,6,31,7,2,2,0,0,0,24,29,-5
"MIN","2018-01-13","2017020674","20172018","WPG","1",50.85,3,4,9,19,2,2,0,0,0,21,27,-6
"MIN","2018-01-14","2017020682","20172018","VAN","1",60.23,6,2,17,16,1,0,0,0,-1,28,22,6
"MIN","2018-01-20","2017020719","20172018","T.B","1",51.17,4,8,23,24,5,4,0,0,-1,24,21,3
"MIN","2018-01-22","2017020728","20172018","OTT","1",50.63,3,9,17,15,2,1,0,0,-1,24,27,-3
"MIN","2018-01-25","2017020748","20172018","PIT","0",50.45,3,3,17,18,1,5,0,0,4,23,25,-2
"MIN","2018-01-30","2017020766","20172018","CBJ","0",56.75,4,4,14,18,3,2,0,0,-1,27,25,2
