"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"MIN","2019-10-03","2019020009","20192020","NSH","0",50.48,13,11,9,81,14,15,14,3,4
"MIN","2019-10-05","2019020026","20192020","COL","0",40.8,11,10,8,78,15,12,14,2,3
"MIN","2019-10-10","2019020053","20192020","WPG","0",51.25,11,18,4,103,16,21,10,3,5
"MIN","2019-10-12","2019020071","20192020","PIT","1",54.02,13,15,8,116,19,18,16,3,8
"MIN","2019-10-14","2019020079","20192020","OTT","0",39.72,10,8,10,84,18,10,17,4,8
"MIN","2019-10-15","2019020085","20192020","TOR","0",50.63,12,10,7,122,14,11,16,5,3
"MIN","2019-10-17","2019020099","20192020","MTL","0",42.6,11,10,9,81,15,10,23,8,5
"MIN","2019-10-20","2019020125","20192020","MTL","1",48.25,11,15,13,98,13,18,20,2,3
"MIN","2019-10-22","2019020139","20192020","EDM","1",51.75,8,10,10,112,13,12,15,4,5
"MIN","2019-10-24","2019020150","20192020","NSH","0",53.92,10,11,10,96,15,12,20,5,2
"MIN","2019-10-26","2019020167","20192020","L.A","1",48.95,12,17,4,115,14,19,9,3,4
"MIN","2019-10-29","2019020186","20192020","DAL","0",47.87,8,16,9,70,10,20,14,2,2
"MIN","2019-10-30","2019020190","20192020","STL","0",48.33,7,12,7,113,13,12,15,6,2
"MIN","2019-11-02","2019020213","20192020","STL","1",52.97,12,16,10,91,19,20,13,1,7
"MIN","2019-11-05","2019020233","20192020","ANA","0",50.53,9,13,6,63,14,13,12,4,8
"MIN","2019-11-07","2019020247","20192020","S.J","0",47.35,7,19,8,91,11,22,12,1,4
"MIN","2019-11-09","2019020259","20192020","ARI","0",52.88,8,15,10,114,11,16,15,3,4
"MIN","2019-11-12","2019020279","20192020","L.A","0",49.98,10,8,13,85,16,12,20,4,5
"MIN","2019-11-14","2019020289","20192020","ARI","1",47.33,10,14,12,106,13,19,21,5,3
"MIN","2019-11-16","2019020299","20192020","CAR","1",51.12,12,19,5,124,19,25,9,3,6
"MIN","2019-11-19","2019020318","20192020","BUF","0",42.37,8,13,10,84,9,13,14,2,2
"MIN","2019-11-21","2019020340","20192020","COL","1",45.73,5,9,14,95,13,12,21,5,5
"MIN","2019-11-23","2019020351","20192020","BOS","0",44.85,7,17,13,71,12,18,22,6,4
"MIN","2019-11-25","2019020366","20192020","NYR","0",52.87,10,17,11,94,15,19,20,5,4
"MIN","2019-11-26","2019020375","20192020","N.J","0",50.08,11,13,9,96,19,15,19,5,3
"MIN","2019-11-29","2019020395","20192020","OTT","1",53.43,12,16,15,101,18,19,32,10,8
"MIN","2019-12-01","2019020416","20192020","DAL","1",55.72,8,9,9,135,13,11,17,4,2
"MIN","2019-12-03","2019020426","20192020","FLA","0",50.17,11,11,10,104,11,14,20,5,1
