"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"MIN","2019-10-03","2019020009","20192020","NSH","0",4.78,2,1,0,3,3,1,0,0,0
"MIN","2019-10-05","2019020026","20192020","COL","0",7.25,4,1,0,10,5,1,0,0,0
"MIN","2019-10-10","2019020053","20192020","WPG","0",4,3,1,0,2,4,1,1,0,0
"MIN","2019-10-12","2019020071","20192020","PIT","1",0.82,1,0,1,3,1,0,1,0,0
"MIN","2019-10-14","2019020079","20192020","OTT","0",10.2,6,1,1,14,10,2,1,0,0
"MIN","2019-10-15","2019020085","20192020","TOR","0",6,5,1,0,2,6,2,0,0,0
"MIN","2019-10-17","2019020099","20192020","MTL","0",9.07,5,0,0,12,8,0,2,2,0
"MIN","2019-10-20","2019020125","20192020","MTL","1",6.88,5,2,0,7,5,3,1,1,0
"MIN","2019-10-22","2019020139","20192020","EDM","1",4.25,3,0,1,2,4,0,1,0,0
"MIN","2019-10-24","2019020150","20192020","NSH","0",4,2,1,0,3,3,1,0,0,0
"MIN","2019-10-26","2019020167","20192020","L.A","1",5.62,3,0,0,5,3,1,0,0,0
"MIN","2019-10-29","2019020186","20192020","DAL","0",5.42,3,0,0,8,4,0,0,0,0
"MIN","2019-10-30","2019020190","20192020","STL","0",4,3,0,1,4,3,0,1,0,0
"MIN","2019-11-02","2019020213","20192020","STL","1",3.48,2,0,0,4,2,1,0,0,0
"MIN","2019-11-05","2019020233","20192020","ANA","0",4,4,0,0,1,5,1,0,0,0
"MIN","2019-11-07","2019020247","20192020","S.J","0",6,3,1,0,3,3,2,0,0,0
"MIN","2019-11-09","2019020259","20192020","ARI","0",1.43,1,0,0,0,1,0,0,0,0
"MIN","2019-11-12","2019020279","20192020","L.A","0",6,3,2,0,9,3,3,1,0,0
"MIN","2019-11-14","2019020289","20192020","ARI","1",4.17,5,0,0,6,6,0,0,0,0
"MIN","2019-11-16","2019020299","20192020","CAR","1",6,3,1,0,8,4,2,0,0,0
"MIN","2019-11-19","2019020318","20192020","BUF","0",10.8,7,1,2,9,10,2,2,0,0
"MIN","2019-11-21","2019020340","20192020","COL","1",7.8,5,2,0,5,5,2,1,0,0
"MIN","2019-11-23","2019020351","20192020","BOS","0",11.92,8,2,0,9,10,2,0,0,0
"MIN","2019-11-25","2019020366","20192020","NYR","0",2.58,1,0,0,4,2,1,0,0,0
"MIN","2019-11-26","2019020375","20192020","N.J","0",6.07,4,0,0,6,5,0,0,0,0
"MIN","2019-11-29","2019020395","20192020","OTT","1",4.47,3,0,0,7,3,0,0,0,0
"MIN","2019-12-01","2019020416","20192020","DAL","1",2.88,4,0,0,1,4,0,0,0,0
"MIN","2019-12-03","2019020426","20192020","FLA","0",2,1,0,0,2,1,0,0,0,0
"MIN","2019-12-05","2019020440","20192020","T.B","0",4,1,1,0,2,2,1,0,0,0
"MIN","2019-12-07","2019020458","20192020","CAR","0",6.5,3,1,0,6,4,2,1,0,0
"MIN","2019-12-10","2019020476","20192020","ANA","1",10.28,5,2,0,8,5,2,0,0,0
"MIN","2019-12-12","2019020493","20192020","EDM","1",0.43,0,0,0,4,0,0,0,0,0
"MIN","2019-12-14","2019020510","20192020","PHI","1",8.97,4,1,0,15,5,1,0,0,0
"MIN","2019-12-15","2019020517","20192020","CHI","0",0.88,1,0,0,0,1,0,0,0,0
"MIN","2019-12-17","2019020533","20192020","VGK","0",8.52,4,2,0,6,6,2,3,2,0
"MIN","2019-12-19","2019020546","20192020","ARI","0",3.65,2,0,0,6,2,0,0,0,0
"MIN","2019-12-21","2019020554","20192020","WPG","1",4.25,3,1,0,4,5,1,0,0,0
"MIN","2019-12-23","2019020570","20192020","CGY","1",0,0,0,0,0,0,0,0,0,0
"MIN","2019-12-27","2019020588","20192020","COL","0",3.65,1,0,0,7,2,0,0,0,0
"MIN","2019-12-29","2019020605","20192020","NYI","1",5.48,2,1,0,5,2,1,0,0,0
"MIN","2019-12-31","2019020616","20192020","TOR","1",4.37,4,0,0,4,7,0,0,0,0
