"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"MIN","2015-10-08","2015020011","20152016","COL","0",1.12,0,0,2,2,0,0,2,0,0
"MIN","2015-10-10","2015020025","20152016","STL","1",5.45,0,0,4,11,0,0,4,0,0
"MIN","2015-10-15","2015020057","20152016","ARI","0",12.02,1,3,7,15,1,3,7,0,0
"MIN","2015-10-16","2015020064","20152016","L.A","0",7.82,0,3,6,13,0,4,7,0,0
"MIN","2015-10-18","2015020077","20152016","ANA","0",4,1,1,2,7,1,1,2,0,0
"MIN","2015-10-22","2015020096","20152016","CBJ","1",3.12,0,0,4,5,0,0,4,0,0
"MIN","2015-10-24","2015020106","20152016","ANA","1",2,0,1,3,4,0,1,3,0,0
"MIN","2015-10-25","2015020118","20152016","WPG","0",2,0,0,1,6,0,0,1,0,0
"MIN","2015-10-27","2015020130","20152016","EDM","1",2,0,1,1,1,0,1,1,0,0
"MIN","2015-10-30","2015020151","20152016","CHI","1",0.73,0,0,1,0,0,0,1,0,0
"MIN","2015-10-31","2015020162","20152016","STL","0",2,0,0,3,3,0,0,3,0,0
"MIN","2015-11-05","2015020189","20152016","NSH","1",2,0,0,2,5,0,0,2,0,0
"MIN","2015-11-07","2015020207","20152016","T.B","1",4,0,1,3,9,0,1,4,0,0
"MIN","2015-11-10","2015020224","20152016","WPG","1",3.85,1,1,2,4,1,1,2,0,0
"MIN","2015-11-12","2015020233","20152016","CAR","0",4.08,0,0,4,7,0,0,4,0,0
"MIN","2015-11-14","2015020257","20152016","DAL","0",6.38,0,2,8,16,0,2,8,0,0
"MIN","2015-11-17","2015020270","20152016","PIT","0",8.77,0,1,7,12,0,1,7,0,0
"MIN","2015-11-19","2015020278","20152016","BOS","0",4.17,0,0,4,6,0,0,4,0,0
"MIN","2015-11-21","2015020302","20152016","NSH","1",4,0,0,2,11,0,0,2,0,0
"MIN","2015-11-25","2015020324","20152016","VAN","1",1.53,0,0,1,3,0,1,1,0,0
"MIN","2015-11-27","2015020332","20152016","WPG","1",2.92,0,0,5,2,0,0,6,0,0
"MIN","2015-11-28","2015020349","20152016","DAL","1",4.02,0,0,3,7,0,1,3,0,0
"MIN","2015-12-01","2015020365","20152016","CHI","0",5.08,0,0,6,11,0,0,6,0,0
"MIN","2015-12-03","2015020379","20152016","TOR","1",4,0,0,4,10,0,0,4,0,0
"MIN","2015-12-05","2015020395","20152016","COL","1",2.1,0,1,3,1,0,1,3,0,0
"MIN","2015-12-07","2015020406","20152016","COL","0",0,0,0,0,0,0,0,0,0,0
"MIN","2015-12-11","2015020433","20152016","ARI","0",10.3,0,2,7,23,0,3,9,0,0
"MIN","2015-12-12","2015020444","20152016","S.J","0",4,1,1,3,10,1,1,3,0,1
"MIN","2015-12-15","2015020460","20152016","VAN","1",0,0,0,0,0,0,0,0,0,0
