"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MTL","2019-10-03","2019020008","20192020","CAR","0",54.43,50,45.45,46.32,46.22,38.59,2,2,30,36,44,51,55,64,2.44,3.89,0,-6,-7,-9,-1.44
"MTL","2019-10-05","2019020019","20192020","TOR","0",51.53,57.14,58.73,58.43,57.39,60.59,4,3,37,26,52,37,66,49,3.84,2.5,1,11,15,17,1.34
"MTL","2019-10-09","2019020044","20192020","BUF","0",47.43,40,40.48,44.07,46.84,51.76,2,3,17,25,26,33,37,42,1.53,1.43,-1,-8,-7,-5,0.1
"MTL","2019-10-10","2019020048","20192020","DET","1",51.43,33.33,48.08,40.85,47.06,25.19,1,2,25,27,29,42,48,54,0.96,2.86,-1,-2,-13,-6,-1.9
"MTL","2019-10-12","2019020065","20192020","STL","1",48.8,71.43,56.36,59.15,61.11,75.3,5,2,31,24,42,29,55,35,2.94,0.97,3,7,13,20,1.98
"MTL","2019-10-15","2019020086","20192020","T.B","1",47.73,0,56.52,52.46,55.68,50.74,0,2,26,20,32,29,49,39,1.61,1.56,-2,6,3,10,0.05
"MTL","2019-10-17","2019020099","20192020","MIN","1",42.6,100,69.44,63.16,54.22,79.06,3,0,25,11,36,21,45,38,1.73,0.46,3,14,15,7,1.27
"MTL","2019-10-19","2019020114","20192020","STL","0",41.02,66.67,39.47,36.96,33.96,35.06,2,1,15,23,17,29,18,35,0.84,1.55,1,-8,-12,-17,-0.71
"MTL","2019-10-20","2019020125","20192020","MIN","0",48.25,50,53.57,55.42,56.76,56.83,2,2,30,26,46,37,63,48,2.84,2.16,0,4,9,15,0.68
"MTL","2019-10-24","2019020145","20192020","S.J","1",49.95,50,61.36,62.3,62.79,69.95,2,2,27,17,38,23,54,32,2.59,1.11,0,10,15,22,1.48
"MTL","2019-10-26","2019020163","20192020","TOR","1",54.15,66.67,51.61,53.75,51.82,53.28,4,2,32,30,43,37,57,53,2.67,2.34,2,2,6,4,0.33
"MTL","2019-10-30","2019020192","20192020","ARI","0",49.97,80,51.72,53.66,49.09,47.94,4,1,30,28,44,38,54,56,2.5,2.72,3,2,6,-2,-0.22
"MTL","2019-10-31","2019020195","20192020","VGK","0",52.08,50,46.43,47.73,48.62,58.42,4,4,26,30,42,46,53,56,3.61,2.57,0,-4,-4,-3,1.04
"MTL","2019-11-02","2019020212","20192020","DAL","0",44.85,100,46.67,47.44,50.45,38.47,1,0,28,32,37,41,56,55,2.04,3.27,1,-4,-4,1,-1.22
"MTL","2019-11-05","2019020224","20192020","BOS","1",52.85,62.5,56.86,58.33,50.98,51.55,5,3,29,22,42,30,52,50,2.09,1.96,2,7,12,2,0.13
"MTL","2019-11-07","2019020240","20192020","PHI","0",49.03,40,41.82,43.24,46.32,41.37,2,3,23,32,32,42,44,51,2.05,2.91,-1,-9,-10,-7,-0.86
"MTL","2019-11-09","2019020254","20192020","L.A","1",43.65,50,54.35,56.9,55.13,63.25,1,1,25,21,33,25,43,35,1.44,0.84,0,4,8,8,0.6
"MTL","2019-11-12","2019020273","20192020","CBJ","1",53.95,33.33,56,57.35,60.42,53.17,1,2,28,22,39,29,58,38,1.65,1.46,-1,6,10,20,0.2
"MTL","2019-11-15","2019020296","20192020","WSH","0",55.57,80,60,56.79,58.62,63.74,4,1,36,24,46,35,68,48,2.39,1.36,3,12,11,20,1.03
"MTL","2019-11-16","2019020305","20192020","N.J","1",52.05,66.67,43.94,41.77,49.04,37.32,2,1,29,37,33,46,51,53,1.15,1.94,1,-8,-13,-2,-0.78
"MTL","2019-11-19","2019020322","20192020","CBJ","0",53.67,33.33,54.9,58.82,63.74,54.16,2,4,28,23,40,28,58,33,1.67,1.41,-2,5,12,25,0.26
"MTL","2019-11-20","2019020331","20192020","OTT","1",52.65,0,58.49,61.73,61.47,62.27,0,2,31,22,50,31,67,42,2.8,1.7,-2,9,19,25,1.1
