"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MTL","2018-10-03","2018020001","20182019","TOR","0",6.43,100,100,90.91,92.86,95.69,1,0,6,0,10,1,13,1,0.85,0.04,1,6,9,12,0.81
"MTL","2018-10-06","2018020022","20182019","PIT","0",5.25,0,66.67,75,80,70.66,0,0,2,1,3,1,4,1,0.22,0.09,0,1,2,3,0.13
"MTL","2018-10-11","2018020051","20182019","L.A","1",8,0,80,90,92.31,99.51,0,0,4,1,9,1,12,1,0.77,0,0,3,8,11,0.77
"MTL","2018-10-13","2018020062","20182019","PIT","1",8.57,100,85.71,84.62,90,96.22,1,0,6,1,11,2,18,2,1.27,0.05,1,5,9,16,1.22
"MTL","2018-10-15","2018020075","20182019","DET","1",8.97,100,100,100,100,100,1,0,7,0,10,0,14,0,1.09,0,1,7,10,14,1.09
"MTL","2018-10-17","2018020086","20182019","STL","1",7.3,100,83.33,75,83.33,94.52,2,0,5,1,6,2,10,2,0.9,0.05,2,4,4,8,0.85
"MTL","2018-10-20","2018020107","20182019","OTT","0",4.73,100,80,75,83.33,70.52,1,0,4,1,6,2,10,2,0.39,0.16,1,3,4,8,0.23
"MTL","2018-10-23","2018020124","20182019","CGY","1",6.33,100,90.91,88.24,90,91.45,2,0,10,1,15,2,18,2,1.12,0.1,2,9,13,16,1.02
"MTL","2018-10-25","2018020135","20182019","BUF","0",4,0,100,100,100,100,0,0,4,0,6,0,8,0,0.55,0,0,4,6,8,0.55
"MTL","2018-10-27","2018020152","20182019","BOS","0",4.83,0,100,100,100,100,0,0,2,0,6,0,7,0,0.27,0,0,2,6,7,0.27
"MTL","2018-10-30","2018020171","20182019","DAL","1",6.37,0,50,71.43,71.43,50.19,0,1,1,1,5,2,5,2,0.29,0.29,-1,0,3,3,0
"MTL","2018-11-01","2018020182","20182019","WSH","1",4,0,33.33,42.86,58.33,45.1,0,0,2,4,3,4,7,5,0.41,0.49,0,-2,-1,2,-0.09
"MTL","2018-11-03","2018020196","20182019","T.B","1",8,0,83.33,88.89,92.86,92.03,0,0,5,1,8,1,13,1,0.66,0.06,0,4,7,12,0.6
"MTL","2018-11-05","2018020211","20182019","NYI","0",4.33,100,100,100,100,100,1,0,4,0,7,0,11,0,0.59,0,1,4,7,11,0.59
