"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MTL","2016-10-13","2016020005","20162017","BUF","0",6.2,0,28.57,18.18,15.38,7.35,0,1,2,5,2,9,2,11,0.05,0.69,-1,-3,-7,-9,-0.64
"MTL","2016-10-15","2016020018","20162017","OTT","0",6.18,0,0,0,0,0,0,0,0,4,0,9,0,13,0,0.88,0,-4,-9,-13,-0.88
"MTL","2016-10-18","2016020040","20162017","PIT","1",8.28,0,40,25,30,30.6,0,0,2,3,2,6,3,7,0.2,0.45,0,-1,-4,-4,-0.25
"MTL","2016-10-20","2016020054","20162017","ARI","1",2.37,0,50,50,50,9.92,0,0,1,1,1,1,1,1,0.01,0.05,0,0,0,0,-0.05
"MTL","2016-10-22","2016020065","20162017","BOS","0",5.07,50,20,25,18.18,33.04,1,1,1,4,2,6,2,9,0.38,0.77,0,-3,-4,-7,-0.39
"MTL","2016-10-24","2016020081","20162017","PHI","1",2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.03,0,-1,-1,-1,-0.03
"MTL","2016-10-26","2016020094","20162017","NYI","0",0.58,0,33.33,33.33,33.33,22.99,0,1,1,2,1,2,1,2,0.13,0.42,-1,-1,-1,-1,-0.3
"MTL","2016-10-27","2016020102","20162017","T.B","1",3.82,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0.37,0,-3,-4,-4,-0.37
"MTL","2016-10-29","2016020114","20162017","TOR","1",6.22,0,12.5,10,6.67,0.35,0,1,1,7,1,9,1,14,0,1.18,-1,-6,-8,-13,-1.18
"MTL","2016-11-02","2016020143","20162017","VAN","1",9.27,0,20,16.67,12.5,13,0,0,1,4,1,5,1,7,0.06,0.41,0,-3,-4,-6,-0.35
"MTL","2016-11-04","2016020158","20162017","CBJ","0",8.08,0,9.09,7.69,7.69,1.79,0,4,1,10,1,12,1,12,0.04,2.02,-4,-9,-11,-11,-1.98
"MTL","2016-11-05","2016020164","20162017","PHI","1",8.48,33.33,9.09,8.33,5.88,7.71,1,2,1,10,1,11,1,16,0.07,0.86,-1,-9,-10,-15,-0.79
"MTL","2016-11-08","2016020189","20162017","BOS","1",3.98,0,0,0,0,0,0,1,0,6,0,6,0,10,0,0.52,-1,-6,-6,-10,-0.52
"MTL","2016-11-10","2016020199","20162017","L.A","1",8.4,0,0,0,5.56,0,0,1,0,9,0,10,1,17,0,0.81,-1,-9,-10,-16,-0.81
"MTL","2016-11-12","2016020212","20162017","DET","1",9.9,0,11.11,13.33,12,5.11,0,0,1,8,2,13,3,22,0.08,1.48,0,-7,-11,-19,-1.4
"MTL","2016-11-13","2016020226","20162017","CHI","0",4,0,40,33.33,33.33,46.26,0,0,2,3,2,4,2,4,0.14,0.17,0,-1,-2,-2,-0.02
"MTL","2016-11-15","2016020234","20162017","FLA","1",5.97,0,25,33.33,42.86,37.53,0,0,1,3,2,4,3,4,0.11,0.19,0,-2,-2,-1,-0.07
"MTL","2016-11-18","2016020258","20162017","CAR","0",2.2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0.16,0,-2,-2,-2,-0.16
"MTL","2016-11-19","2016020264","20162017","TOR","1",7.6,0,0,0,0,0,0,1,0,7,0,8,0,14,0,0.6,-1,-7,-8,-14,-0.6
"MTL","2016-11-22","2016020285","20162017","OTT","1",5.5,0,0,0,14.29,0,0,1,0,5,0,5,1,6,0,0.29,-1,-5,-5,-5,-0.29
"MTL","2016-11-24","2016020300","20162017","CAR","1",6,0,0,0,0,0,0,0,0,1,0,6,0,7,0,0.24,0,-1,-6,-7,-0.24
"MTL","2016-11-26","2016020315","20162017","DET","0",6,0,0,0,0,0,0,0,0,4,0,6,0,9,0,0.6,0,-4,-6,-9,-0.6
"MTL","2016-11-29","2016020340","20162017","ANA","0",4.47,0,0,0,0,0,0,1,0,10,0,11,0,12,0,1.55,-1,-10,-11,-12,-1.55
"MTL","2016-12-02","2016020358","20162017","S.J","0",4,0,0,0,0,0,0,1,0,6,0,8,0,11,0,0.5,-1,-6,-8,-11,-0.5
"MTL","2016-12-04","2016020377","20162017","L.A","0",5.72,0,16.67,22.22,20,7.44,0,2,1,5,2,7,2,8,0.04,0.53,-2,-4,-5,-6,-0.49
"MTL","2016-12-06","2016020386","20162017","STL","0",6.43,0,0,0,0,0,0,0,0,8,0,9,0,9,0,0.95,0,-8,-9,-9,-0.95
"MTL","2016-12-08","2016020398","20162017","N.J","1",3.05,0,25,25,25,5.98,0,1,1,3,1,3,1,3,0.03,0.4,-1,-2,-2,-2,-0.38
"MTL","2016-12-10","2016020414","20162017","COL","1",6,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0.1,0,-1,-2,-3,-0.1
"MTL","2016-12-12","2016020430","20162017","BOS","1",2,0,0,0,0,0,0,0,0,3,0,6,0,6,0,0.35,0,-3,-6,-6,-0.35
"MTL","2016-12-16","2016020455","20162017","S.J","1",8.7,0,0,11.11,7.69,0.49,0,2,0,7,1,8,1,12,0,0.65,-2,-7,-7,-11,-0.65
"MTL","2016-12-17","2016020465","20162017","WSH","0",6.53,0,40,33.33,20,34.55,0,1,2,3,2,4,2,8,0.23,0.44,-1,-1,-2,-6,-0.21
"MTL","2016-12-20","2016020485","20162017","ANA","1",4.58,0,25,40,33.33,26.84,0,0,1,3,2,3,2,4,0.07,0.19,0,-2,-1,-2,-0.12
"MTL","2016-12-22","2016020498","20162017","MIN","1",8,100,50,37.5,25,34.7,1,0,3,3,3,5,3,9,0.31,0.58,1,0,-2,-6,-0.27
"MTL","2016-12-23","2016020509","20162017","CBJ","0",6.27,0,30,27.27,23.08,26.6,0,1,3,7,3,8,3,10,0.4,1.1,-1,-4,-5,-7,-0.7
"MTL","2016-12-28","2016020529","20162017","T.B","0",5.18,0,0,0,0,0,0,1,0,4,0,5,0,6,0,0.22,-1,-4,-5,-6,-0.22
"MTL","2016-12-29","2016020536","20162017","FLA","0",5.87,0,0,0,0,0,0,1,0,8,0,12,0,18,0,0.88,-1,-8,-12,-18,-0.88
"MTL","2016-12-31","2016020552","20162017","PIT","0",8.73,0,15.38,17.65,15.79,15.36,0,1,2,11,3,14,3,16,0.31,1.71,-1,-9,-11,-13,-1.4
"MTL","2017-01-03","2016020570","20162017","NSH","0",4,0,0,0,0,0,0,0,0,2,0,5,0,8,0,0.47,0,-2,-5,-8,-0.47
"MTL","2017-01-04","2016020574","20162017","DAL","0",2.22,0,0,0,0,0,0,1,0,4,0,5,0,5,0,0.27,-1,-4,-5,-5,-0.27
"MTL","2017-01-07","2016020594","20162017","TOR","0",1.95,0,0,0,0,0,0,2,0,3,0,4,0,5,0,0.69,-2,-3,-4,-5,-0.69
"MTL","2017-01-09","2016020610","20162017","WSH","1",2.53,0,0,0,0,0,0,1,0,6,0,9,0,11,0,0.86,-1,-6,-9,-11,-0.86
"MTL","2017-01-11","2016020621","20162017","WPG","0",5.32,0,0,0,0,0,0,1,0,2,0,2,0,7,0,0.19,-1,-2,-2,-7,-0.19
"MTL","2017-01-12","2016020628","20162017","MIN","0",7.23,0,14.29,20,16.67,20.4,0,2,1,6,2,8,2,10,0.12,0.47,-2,-5,-6,-8,-0.35
"MTL","2017-01-14","2016020642","20162017","NYR","1",7.07,0,0,0,0,0,0,1,0,6,0,7,0,8,0,0.58,-1,-6,-7,-8,-0.58
"MTL","2017-01-16","2016020658","20162017","DET","0",8,0,0,0,10,0,0,0,0,2,0,8,1,9,0,0.81,0,-2,-8,-8,-0.81
"MTL","2017-01-18","2016020672","20162017","PIT","1",3.75,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0.06,0,-2,-2,-2,-0.06
"MTL","2017-01-20","2016020688","20162017","N.J","0",4,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0.16,0,0,-2,-3,-0.16
"MTL","2017-01-21","2016020694","20162017","BUF","1",6,0,0,0,0,0,0,0,0,4,0,5,0,10,0,0.66,0,-4,-5,-10,-0.66
"MTL","2017-01-24","2016020718","20162017","CGY","1",8.07,50,16.67,15.38,11.76,9.31,1,1,2,10,2,11,2,15,0.13,1.3,0,-8,-9,-13,-1.16
"MTL","2017-01-26","2016020730","20162017","NYI","0",6.07,0,11.11,10,8.33,0.64,0,1,1,8,1,9,1,11,0,0.68,-1,-7,-8,-10,-0.68
"MTL","2017-01-31","2016020745","20162017","BUF","1",3.47,0,12.5,10,8.33,20.31,0,1,1,7,1,9,1,11,0.24,0.93,-1,-6,-8,-10,-0.69
"MTL","2017-02-02","2016020759","20162017","PHI","0",5.07,0,0,12.5,10,11.02,0,1,0,6,1,7,1,9,0.06,0.48,-1,-6,-6,-8,-0.42
"MTL","2017-02-04","2016020771","20162017","WSH","1",7.07,0,33.33,28.57,36.36,46.85,0,1,2,4,2,5,4,7,0.3,0.34,-1,-2,-3,-3,-0.04
"MTL","2017-02-05","2016020785","20162017","EDM","1",7.72,0,16.67,20,14.29,26.97,0,0,1,5,2,8,2,12,0.18,0.48,0,-4,-6,-10,-0.3
"MTL","2017-02-07","2016020800","20162017","COL","0",3.32,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.21,-1,-2,-2,-2,-0.21
"MTL","2017-02-09","2016020812","20162017","ARI","0",2.87,0,0,0,0,0,0,1,0,3,0,5,0,7,0,0.5,-1,-3,-5,-7,-0.5
"MTL","2017-02-11","2016020822","20162017","STL","1",2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.02,0,0,-1,-2,-0.02
"MTL","2017-02-12","2016020832","20162017","BOS","0",12.15,0,10,16.67,13.33,13.11,0,1,1,9,2,10,2,13,0.13,0.88,-1,-8,-8,-11,-0.75
"MTL","2017-02-18","2016020859","20162017","WPG","1",2.8,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0.28,0,-2,-3,-3,-0.28
"MTL","2017-02-21","2016020883","20162017","NYR","0",7.22,0,0,0,0,0,0,0,0,4,0,7,0,9,0,0.58,0,-4,-7,-9,-0.58
"MTL","2017-02-23","2016020895","20162017","NYI","1",4,0,0,0,14.29,0,0,0,0,0,0,1,1,6,0,0.12,0,0,-1,-5,-0.12
