"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"MTL","2016-10-13","2016020005","20162017","BUF","0",6.2,4,0,0,0,0,0,0,0,0,2,8,-6
"MTL","2016-10-15","2016020018","20162017","OTT","0",6.18,0,0,1,1,1,0,0,0,-1,0,6,-6
"MTL","2016-10-18","2016020040","20162017","PIT","1",8.28,4,0,0,2,0,2,0,0,2,7,5,2
"MTL","2016-10-20","2016020054","20162017","ARI","1",2.37,0,1,1,1,0,0,0,0,0,2,3,-1
"MTL","2016-10-22","2016020065","20162017","BOS","0",5.07,0,0,0,0,0,1,0,0,1,5,3,2
"MTL","2016-10-24","2016020081","20162017","PHI","1",2,0,0,2,0,0,0,0,0,0,1,0,1
"MTL","2016-10-26","2016020094","20162017","NYI","0",0.58,1,0,0,0,0,0,0,0,0,1,0,1
"MTL","2016-10-27","2016020102","20162017","T.B","1",3.82,1,0,0,0,1,0,0,0,-1,3,2,1
"MTL","2016-10-29","2016020114","20162017","TOR","1",6.22,0,1,1,1,0,0,0,0,0,3,3,0
"MTL","2016-11-02","2016020143","20162017","VAN","1",9.27,4,0,1,1,0,0,0,0,0,3,3,0
"MTL","2016-11-04","2016020158","20162017","CBJ","0",8.08,0,1,1,1,0,0,0,0,0,5,2,3
"MTL","2016-11-05","2016020164","20162017","PHI","1",8.48,4,0,0,0,0,0,0,0,0,6,3,3
"MTL","2016-11-08","2016020189","20162017","BOS","1",3.98,0,1,3,0,0,0,0,0,0,1,3,-2
"MTL","2016-11-10","2016020199","20162017","L.A","1",8.4,2,3,1,0,0,0,0,0,0,4,7,-3
"MTL","2016-11-12","2016020212","20162017","DET","1",9.9,4,2,1,1,0,0,0,0,0,3,7,-4
"MTL","2016-11-13","2016020226","20162017","CHI","0",4,1,1,2,0,0,0,0,0,0,4,2,2
"MTL","2016-11-15","2016020234","20162017","FLA","1",5.97,1,2,2,1,0,0,0,0,0,4,5,-1
"MTL","2016-11-18","2016020258","20162017","CAR","0",2.2,0,0,1,0,0,0,0,0,0,2,0,2
"MTL","2016-11-19","2016020264","20162017","TOR","1",7.6,2,1,1,0,0,0,0,0,0,3,4,-1
"MTL","2016-11-22","2016020285","20162017","OTT","1",5.5,2,1,2,0,0,0,0,0,0,4,1,3
"MTL","2016-11-24","2016020300","20162017","CAR","1",6,2,1,1,0,0,0,0,0,0,2,2,0
"MTL","2016-11-26","2016020315","20162017","DET","0",6,0,0,0,0,0,0,0,0,0,2,6,-4
"MTL","2016-11-29","2016020340","20162017","ANA","0",4.47,1,0,0,0,1,1,0,0,0,3,6,-3
"MTL","2016-12-02","2016020358","20162017","S.J","0",4,1,0,0,0,0,0,0,0,0,2,4,-2
"MTL","2016-12-04","2016020377","20162017","L.A","0",5.72,0,0,3,1,0,0,0,0,0,4,4,0
"MTL","2016-12-06","2016020386","20162017","STL","0",6.43,1,1,1,0,0,1,0,0,1,5,5,0
"MTL","2016-12-08","2016020398","20162017","N.J","1",3.05,2,0,0,0,0,1,0,0,1,1,3,-2
"MTL","2016-12-10","2016020414","20162017","COL","1",6,0,3,1,0,0,0,0,0,0,2,1,1
"MTL","2016-12-12","2016020430","20162017","BOS","1",2,1,1,1,0,0,0,0,0,0,1,2,-1
"MTL","2016-12-16","2016020455","20162017","S.J","1",8.7,5,1,1,0,0,0,0,0,0,6,4,2
"MTL","2016-12-17","2016020465","20162017","WSH","0",6.53,0,4,0,2,2,1,0,0,-1,7,4,3
"MTL","2016-12-20","2016020485","20162017","ANA","1",4.58,1,0,0,0,0,1,0,0,1,1,3,-2
"MTL","2016-12-22","2016020498","20162017","MIN","1",8,2,2,2,1,0,0,0,0,0,2,4,-2
"MTL","2016-12-23","2016020509","20162017","CBJ","0",6.27,0,1,0,1,0,0,0,0,0,4,5,-1
"MTL","2016-12-28","2016020529","20162017","T.B","0",5.18,0,0,0,1,0,0,0,0,0,1,2,-1
"MTL","2016-12-29","2016020536","20162017","FLA","0",5.87,0,0,0,1,0,0,0,0,0,4,4,0
"MTL","2016-12-31","2016020552","20162017","PIT","0",8.73,0,0,1,1,0,0,0,0,0,4,5,-1
"MTL","2017-01-03","2016020570","20162017","NSH","0",4,0,0,2,0,0,0,0,0,0,2,2,0
"MTL","2017-01-04","2016020574","20162017","DAL","0",2.22,0,1,0,0,0,0,0,0,0,2,2,0
"MTL","2017-01-07","2016020594","20162017","TOR","0",1.95,1,1,1,0,0,0,0,0,0,2,0,2
"MTL","2017-01-09","2016020610","20162017","WSH","1",2.53,0,0,1,0,0,0,0,0,0,0,4,-4
"MTL","2017-01-11","2016020621","20162017","WPG","0",5.32,4,0,0,0,1,0,0,0,-1,4,3,1
"MTL","2017-01-12","2016020628","20162017","MIN","0",7.23,0,1,2,1,0,0,0,0,0,4,4,0
"MTL","2017-01-14","2016020642","20162017","NYR","1",7.07,4,1,1,0,0,0,0,0,0,4,2,2
"MTL","2017-01-16","2016020658","20162017","DET","0",8,0,1,0,0,0,0,0,0,0,3,6,-3
"MTL","2017-01-18","2016020672","20162017","PIT","1",3.75,1,0,1,0,0,1,0,0,1,2,2,0
"MTL","2017-01-20","2016020688","20162017","N.J","0",4,0,0,1,0,0,0,0,0,0,1,3,-2
"MTL","2017-01-21","2016020694","20162017","BUF","1",6,2,0,0,0,0,0,0,0,0,2,3,-1
"MTL","2017-01-24","2016020718","20162017","CGY","1",8.07,1,0,2,2,1,0,0,0,-1,3,3,0
"MTL","2017-01-26","2016020730","20162017","NYI","0",6.07,0,0,0,0,0,0,0,0,0,0,5,-5
"MTL","2017-01-31","2016020745","20162017","BUF","1",3.47,1,0,0,0,0,0,0,0,0,2,3,-1
"MTL","2017-02-02","2016020759","20162017","PHI","0",5.07,0,0,1,2,0,0,0,0,0,5,3,2
"MTL","2017-02-04","2016020771","20162017","WSH","1",7.07,2,5,4,2,0,0,0,0,0,5,2,3
"MTL","2017-02-05","2016020785","20162017","EDM","1",7.72,1,1,0,2,0,1,0,0,1,4,2,2
"MTL","2017-02-07","2016020800","20162017","COL","0",3.32,0,0,0,0,1,0,0,0,-1,1,4,-3
"MTL","2017-02-09","2016020812","20162017","ARI","0",2.87,0,0,0,0,0,1,0,0,1,0,4,-4
"MTL","2017-02-11","2016020822","20162017","STL","1",2,1,0,1,0,0,0,0,0,0,0,1,-1
"MTL","2017-02-12","2016020832","20162017","BOS","0",12.15,1,3,5,0,0,1,0,0,1,3,8,-5
"MTL","2017-02-18","2016020859","20162017","WPG","1",2.8,1,0,3,0,0,1,0,0,1,2,0,2
"MTL","2017-02-21","2016020883","20162017","NYR","0",7.22,0,1,1,0,0,0,0,0,0,4,7,-3
"MTL","2017-02-23","2016020895","20162017","NYI","1",4,0,1,1,0,0,0,0,0,0,2,3,-1
"MTL","2017-02-25","2016020907","20162017","TOR","0",4,1,1,3,0,0,0,0,0,0,1,4,-3
"MTL","2017-02-27","2016020919","20162017","N.J","0",2.1,0,0,0,0,0,0,0,0,0,3,3,0
"MTL","2017-02-28","2016020926","20162017","CBJ","1",4,2,0,2,0,0,0,0,0,0,2,3,-1
"MTL","2017-03-02","2016020941","20162017","NSH","1",2.58,1,1,1,0,0,0,0,0,0,1,2,-1
"MTL","2017-03-04","2016020956","20162017","NYR","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"MTL","2017-03-07","2016020980","20162017","VAN","0",2,0,1,0,0,0,0,0,0,0,2,1,1
"MTL","2017-03-09","2016020990","20162017","CGY","0",2,0,0,0,0,0,0,0,0,0,0,1,-1
"MTL","2017-03-12","2016021013","20162017","EDM","0",5.78,0,1,1,1,0,0,0,0,0,2,2,0
"MTL","2017-03-14","2016021027","20162017","CHI","1",2,0,0,3,0,0,0,0,0,0,1,1,0
"MTL","2017-03-18","2016021056","20162017","OTT","0",5.17,0,0,0,0,0,0,0,0,0,0,4,-4
"MTL","2017-03-19","2016021068","20162017","OTT","1",4,0,1,2,0,0,0,0,0,0,3,1,2
"MTL","2017-03-21","2016021079","20162017","DET","1",0.23,0,0,0,0,0,0,0,0,0,0,2,-2
"MTL","2017-03-23","2016021092","20162017","CAR","1",2.78,2,0,1,1,0,0,0,0,0,1,4,-3
"MTL","2017-03-25","2016021108","20162017","OTT","1",5.95,1,4,2,0,0,1,0,0,1,3,3,0
"MTL","2017-03-28","2016021132","20162017","DAL","1",1.97,1,1,1,0,0,0,0,0,0,1,0,1
