"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"MTL","2018-10-03","2018020001","20182019","TOR","0",49.62,12,14,8,102,20,19,11,2,2
"MTL","2018-10-06","2018020022","20182019","PIT","0",48.05,10,11,13,83,18,15,19,4,3
"MTL","2018-10-11","2018020051","20182019","L.A","1",45.77,10,12,5,100,20,16,8,1,4
"MTL","2018-10-13","2018020062","20182019","PIT","1",53.37,16,22,9,116,21,27,16,6,6
"MTL","2018-10-15","2018020075","20182019","DET","1",48.17,12,20,16,81,15,24,21,4,8
"MTL","2018-10-17","2018020086","20182019","STL","1",44.07,8,14,3,92,9,18,5,2,2
"MTL","2018-10-20","2018020107","20182019","OTT","0",49.83,9,19,10,89,14,22,17,3,5
"MTL","2018-10-23","2018020124","20182019","CGY","1",44.33,6,13,8,107,11,16,12,3,3
"MTL","2018-10-25","2018020135","20182019","BUF","0",49.67,9,15,13,101,10,22,19,3,4
"MTL","2018-10-27","2018020152","20182019","BOS","0",47.72,7,16,13,104,13,20,23,8,1
"MTL","2018-10-30","2018020171","20182019","DAL","1",43.5,9,11,7,94,15,14,10,2,3
"MTL","2018-11-01","2018020182","20182019","WSH","1",53.97,12,16,6,118,21,18,9,2,7
"MTL","2018-11-03","2018020196","20182019","T.B","1",46,15,10,11,83,24,14,18,4,7
"MTL","2018-11-05","2018020211","20182019","NYI","0",52.5,14,12,6,125,19,14,9,3,5
"MTL","2018-11-06","2018020216","20182019","NYR","0",40.73,6,14,4,109,14,14,9,2,3
"MTL","2018-11-08","2018020230","20182019","BUF","1",46.8,10,14,12,96,14,19,17,2,4
"MTL","2018-11-10","2018020246","20182019","VGK","1",50.37,14,17,9,93,20,22,15,2,8
"MTL","2018-11-13","2018020270","20182019","EDM","0",48.1,13,14,9,93,18,17,14,6,5
"MTL","2018-11-15","2018020283","20182019","CGY","0",52.05,7,13,13,160,11,18,26,10,1
"MTL","2018-11-17","2018020298","20182019","VAN","0",47.03,12,14,7,128,19,22,13,3,3
"MTL","2018-11-19","2018020311","20182019","WSH","1",53.6,20,13,11,103,24,20,16,4,5
"MTL","2018-11-21","2018020319","20182019","N.J","0",54.08,7,14,5,109,17,19,13,5,4
"MTL","2018-11-23","2018020333","20182019","BUF","0",53.3,13,10,15,115,19,16,17,1,5
"MTL","2018-11-24","2018020349","20182019","BOS","1",43.28,15,10,8,100,19,12,15,6,3
"MTL","2018-11-27","2018020369","20182019","CAR","1",49.13,14,12,9,109,23,14,14,5,4
"MTL","2018-12-01","2018020398","20182019","NYR","1",53.67,10,15,8,117,17,18,15,6,6
"MTL","2018-12-02","2018020409","20182019","S.J","1",47.37,9,9,3,112,18,10,11,5,4
"MTL","2018-12-04","2018020421","20182019","OTT","1",49.67,10,18,6,102,16,19,9,3,1
"MTL","2018-12-06","2018020433","20182019","OTT","0",53.48,11,17,5,120,17,21,9,2,7
"MTL","2018-12-09","2018020457","20182019","CHI","0",37.13,9,10,5,87,13,11,7,0,5
"MTL","2018-12-11","2018020472","20182019","MIN","0",54.27,10,12,9,122,15,14,14,3,4
"MTL","2018-12-13","2018020481","20182019","CAR","1",45.5,12,19,6,82,19,22,11,6,5
"MTL","2018-12-15","2018020496","20182019","OTT","1",49.1,13,17,11,95,19,21,14,3,0
"MTL","2018-12-17","2018020514","20182019","BOS","1",48.8,7,11,12,108,9,16,14,2,3
"MTL","2018-12-19","2018020529","20182019","COL","0",47.75,16,9,9,127,26,12,14,4,6
"MTL","2018-12-20","2018020538","20182019","ARI","0",48.45,6,8,13,104,14,10,21,5,3
"MTL","2018-12-22","2018020549","20182019","VGK","0",53.28,12,13,12,126,16,16,17,3,3
"MTL","2018-12-28","2018020580","20182019","FLA","0",49.65,6,14,7,127,9,17,18,5,1
"MTL","2018-12-29","2018020590","20182019","T.B","0",49.23,9,23,7,72,14,30,18,8,4
"MTL","2018-12-31","2018020608","20182019","DAL","0",54.13,9,18,12,108,10,23,16,2,2
"MTL","2019-01-03","2018020626","20182019","VAN","1",43.27,12,13,16,88,14,17,22,3,2
"MTL","2019-01-05","2018020640","20182019","NSH","1",51.3,11,17,15,113,15,22,19,3,3
"MTL","2019-01-07","2018020654","20182019","MIN","1",45.8,13,6,8,104,17,7,13,4,2
"MTL","2019-01-08","2018020662","20182019","DET","0",45.48,7,9,10,86,12,11,19,4,4
"MTL","2019-01-10","2018020677","20182019","STL","0",44.57,10,11,4,105,14,13,12,4,1
"MTL","2019-01-12","2018020691","20182019","COL","1",45.95,5,11,7,103,9,13,11,2,5
"MTL","2019-01-14","2018020705","20182019","BOS","0",54.8,13,17,10,115,19,21,18,7,6
"MTL","2019-01-15","2018020714","20182019","FLA","1",49.08,9,12,12,120,17,15,15,1,6
"MTL","2019-01-18","2018020734","20182019","CBJ","0",51.78,13,13,11,107,16,18,17,3,1
"MTL","2019-01-19","2018020743","20182019","PHI","1",52.02,12,14,5,108,16,15,13,5,3
"MTL","2019-01-23","2018020766","20182019","ARI","1",50.88,3,14,13,125,9,15,15,2,3
"MTL","2019-02-02","2018020790","20182019","N.J","1",51.4,9,17,3,114,16,19,5,1,3
"MTL","2019-02-03","2018020803","20182019","EDM","1",48.02,12,11,10,91,12,11,15,3,1
"MTL","2019-02-05","2018020815","20182019","ANA","1",51.63,9,13,10,107,13,17,16,4,2
"MTL","2019-02-07","2018020828","20182019","WPG","1",53.72,8,20,15,100,12,25,19,2,0
"MTL","2019-02-09","2018020846","20182019","TOR","1",46.37,8,15,9,93,14,16,12,2,2
"MTL","2019-02-14","2018020881","20182019","NSH","0",46.18,15,14,13,82,18,15,20,2,1
"MTL","2019-02-16","2018020895","20182019","T.B","0",50.17,8,13,16,124,12,15,16,0,4
"MTL","2019-02-17","2018020908","20182019","FLA","0",49.53,11,19,9,101,21,21,11,1,7
"MTL","2019-02-19","2018020920","20182019","CBJ","1",48.23,14,10,12,95,17,12,15,1,3
"MTL","2019-02-21","2018020934","20182019","PHI","1",54,16,14,10,109,23,18,18,4,4
"MTL","2019-02-23","2018020952","20182019","TOR","0",49.12,8,20,12,110,17,24,18,4,7
"MTL","2019-02-25","2018020963","20182019","N.J","0",42.33,6,11,8,101,14,13,15,6,2
"MTL","2019-02-26","2018020974","20182019","DET","0",49.77,8,15,10,91,16,18,17,3,3
"MTL","2019-03-01","2018020994","20182019","NYR","0",54.08,9,15,9,136,14,17,15,4,4
"MTL","2019-03-02","2018021003","20182019","PIT","1",46.53,14,14,7,112,18,19,14,6,4
