"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"N.J","2016-10-13","2016020010","20162017","FLA","0",52.38,33.33,44.44,44,39.36,38.87,1,2,24,30,33,42,37,57,1.45,2.28,-1,-6,-9,-20,-0.83
"N.J","2016-10-15","2016020019","20162017","T.B","0",45.73,40,47.06,44.62,45.68,39.71,2,3,24,27,29,36,37,44,1.27,1.93,-1,-3,-7,-7,-0.66
"N.J","2016-10-18","2016020037","20162017","ANA","1",39.52,0,55.17,55.26,52.94,48.45,0,0,16,13,21,17,27,24,0.9,0.96,0,3,4,3,-0.06
"N.J","2016-10-20","2016020051","20162017","BOS","0",48.6,0,43.64,42.11,45.63,40.71,0,2,24,31,32,44,47,56,1.39,2.02,-2,-7,-12,-9,-0.63
"N.J","2016-10-22","2016020069","20162017","MIN","1",48.48,66.67,52.83,51.67,50,54.44,2,1,28,25,31,29,34,34,1.81,1.52,1,3,2,0,0.3
"N.J","2016-10-25","2016020084","20162017","ARI","1",50.8,50,55.36,55.22,54.22,51.09,2,2,31,25,37,30,45,38,1.88,1.8,0,6,7,7,0.08
"N.J","2016-10-28","2016020107","20162017","CHI","1",44.7,50,56.25,50.82,45.45,50.32,1,1,27,21,31,30,35,42,1.97,1.94,0,6,1,-7,0.03
"N.J","2016-10-29","2016020116","20162017","T.B","1",46.33,75,47.62,45,42.42,47.59,3,1,20,22,27,33,28,38,1.45,1.6,2,-2,-6,-10,-0.15
"N.J","2016-11-03","2016020152","20162017","FLA","0",51.32,50,50.98,49.3,46.99,43.27,2,2,26,25,35,36,39,44,1.75,2.3,0,1,-1,-5,-0.55
"N.J","2016-11-05","2016020166","20162017","T.B","0",45.88,25,53.45,53.95,51.55,59.75,1,3,31,27,41,35,50,47,2.15,1.45,-2,4,6,3,0.7
"N.J","2016-11-06","2016020176","20162017","CAR","0",46.22,75,37.5,39.06,39.78,35.51,3,1,15,25,25,39,37,56,1.23,2.23,2,-10,-14,-19,-1
"N.J","2016-11-08","2016020183","20162017","CAR","1",57.28,66.67,55.88,54.55,57.28,55.41,2,1,38,30,48,40,59,44,3.05,2.46,1,8,8,15,0.6
"N.J","2016-11-11","2016020206","20162017","BUF","0",48.23,100,54,51.56,52.44,53.59,1,0,27,23,33,31,43,39,1.51,1.31,1,4,2,4,0.2
"N.J","2016-11-12","2016020215","20162017","BUF","1",52.98,66.67,50,51.85,49.32,51.46,4,2,22,22,28,26,36,37,1.17,1.11,2,0,2,-1,0.07
"N.J","2016-11-15","2016020239","20162017","DAL","0",54.73,66.67,61.54,56.41,57.63,58.96,2,1,32,20,44,34,68,50,2.35,1.64,1,12,10,18,0.71
"N.J","2016-11-17","2016020253","20162017","ANA","0",48.5,40,54.55,57.97,56.67,47.86,2,3,24,20,40,29,51,39,2.05,2.24,-1,4,11,12,-0.18
"N.J","2016-11-19","2016020261","20162017","L.A","0",52.38,25,43.59,42.86,46.48,41.45,1,3,17,22,24,32,33,38,1.68,2.37,-2,-5,-8,-5,-0.69
"N.J","2016-11-21","2016020282","20162017","S.J","0",46.37,0,40.74,42.47,40.74,41.21,0,2,22,32,31,42,44,64,1.6,2.28,-2,-10,-11,-20,-0.68
"N.J","2016-11-23","2016020289","20162017","TOR","1",52.77,50,50,53.97,53.16,46.53,3,3,24,24,34,29,42,37,1.83,2.1,0,0,5,5,-0.27
"N.J","2016-11-25","2016020310","20162017","DET","1",47.58,33.33,27.5,35.19,36.36,32.87,2,4,11,29,19,35,24,42,1.31,2.67,-2,-18,-16,-18,-1.36
"N.J","2016-11-26","2016020317","20162017","PIT","0",51.85,33.33,41.27,40,42.86,27.94,1,2,26,37,32,48,48,64,1.42,3.66,-1,-11,-16,-16,-2.24
"N.J","2016-11-29","2016020335","20162017","WPG","0",44.1,40,44.44,50,54.88,33.33,2,3,16,20,32,32,45,37,1.67,3.33,-1,-4,0,8,-1.67
"N.J","2016-12-01","2016020353","20162017","CHI","0",50.45,33.33,50,53.85,51.43,51.77,2,4,28,28,42,36,54,51,2.92,2.72,-2,0,6,3,0.2
"N.J","2016-12-03","2016020362","20162017","NSH","0",56.33,50,30.51,31.25,31.43,36.66,4,4,18,41,25,55,33,72,1.95,3.38,0,-23,-30,-39,-1.42
"N.J","2016-12-06","2016020383","20162017","VAN","1",51.52,66.67,50,53.85,54.1,61.88,2,1,18,18,28,24,33,28,1.47,0.9,1,0,4,5,0.56
"N.J","2016-12-08","2016020398","20162017","MTL","0",54.25,16.67,27.27,27.91,34.45,20.48,1,5,18,48,24,62,41,78,0.96,3.73,-4,-30,-38,-37,-2.77
"N.J","2016-12-09","2016020407","20162017","STL","1",49.08,25,41.46,46.67,48.57,54.73,1,3,17,24,28,32,34,36,1.71,1.41,-2,-7,-4,-2,0.3
"N.J","2016-12-11","2016020426","20162017","NYR","0",41.53,0,43.75,42.22,44.12,48.13,0,2,14,18,19,26,30,38,1.08,1.16,-2,-4,-7,-8,-0.08
"N.J","2016-12-15","2016020449","20162017","STL","0",47.12,25,46.51,44.44,44.32,44.86,1,3,20,23,28,35,39,49,1.45,1.78,-2,-3,-7,-10,-0.33
"N.J","2016-12-17","2016020463","20162017","OTT","0",54.37,33.33,49.12,46.48,50.52,54.91,1,2,28,29,33,38,49,48,1.68,1.38,-1,-1,-5,1,0.3
"N.J","2016-12-18","2016020475","20162017","NYR","0",53.33,50,53.33,55.56,52.43,64.97,1,1,24,21,40,32,54,49,3.29,1.78,0,3,8,5,1.52
