"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"N.J","2017-10-07","2017020019","20172018","COL","1",7.5,100,90,92.86,94.44,95.81,3,0,9,1,13,1,17,1,1.63,0.07,3,8,12,16,1.56
"N.J","2017-10-09","2017020034","20172018","BUF","0",7.62,0,100,87.5,87.5,85.68,0,0,5,0,7,1,7,1,0.57,0.1,0,5,6,6,0.48
"N.J","2017-10-11","2017020046","20172018","TOR","0",8.92,100,81.82,83.33,81.25,84.11,1,0,9,2,10,2,13,3,0.79,0.15,1,7,8,10,0.64
"N.J","2017-10-13","2017020058","20172018","WSH","1",6.78,100,100,100,100,100,1,0,5,0,8,0,9,0,0.57,0,1,5,8,9,0.57
"N.J","2017-10-14","2017020065","20172018","NYR","0",8.33,100,80,71.43,70,68.19,1,0,4,1,5,2,7,3,0.44,0.2,1,3,3,4,0.23
"N.J","2017-10-17","2017020081","20172018","T.B","1",6.85,100,83.33,90,92.86,95.6,2,0,5,1,9,1,13,1,0.97,0.04,2,4,8,12,0.92
"N.J","2017-10-19","2017020099","20172018","OTT","0",6.78,0,88.89,90.91,91.67,94.85,0,0,8,1,10,1,11,1,0.41,0.02,0,7,9,10,0.38
"N.J","2017-10-20","2017020105","20172018","S.J","1",10,0,90,91.67,93.33,99.38,0,0,9,1,11,1,14,1,0.72,0,0,8,10,13,0.72
"N.J","2017-10-27","2017020150","20172018","OTT","1",5.03,100,100,87.5,90.91,84.3,1,0,5,0,7,1,10,1,0.79,0.15,1,5,6,9,0.64
"N.J","2017-10-28","2017020161","20172018","ARI","1",0.53,100,100,100,100,100,2,0,2,0,2,0,2,0,0.19,0,2,2,2,2,0.19
"N.J","2017-11-01","2017020183","20172018","VAN","0",2,0,75,75,75,89.89,0,0,3,1,3,1,3,1,0.17,0.02,0,2,2,2,0.15
"N.J","2017-11-03","2017020198","20172018","EDM","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.J","2017-11-05","2017020216","20172018","CGY","0",2.87,0,80,80,80,80.81,0,1,4,1,4,1,4,1,0.29,0.07,-1,3,3,3,0.22
"N.J","2017-11-07","2017020224","20172018","STL","1",7.95,0,71.43,75,69.23,79.38,0,0,5,2,9,3,9,4,0.93,0.24,0,3,6,5,0.69
"N.J","2017-11-09","2017020235","20172018","EDM","1",8,0,83.33,90.91,92.31,99.48,0,0,5,1,10,1,12,1,1.08,0.01,0,4,9,11,1.08
"N.J","2017-11-11","2017020254","20172018","FLA","1",3.38,100,66.67,75,75,82.87,1,0,2,1,3,1,3,1,0.29,0.06,1,1,2,2,0.23
"N.J","2017-11-12","2017020262","20172018","CHI","0",4.8,100,85.71,90.91,91.67,95.94,2,0,6,1,10,1,11,1,1.23,0.05,2,5,9,10,1.18
"N.J","2017-11-16","2017020278","20172018","TOR","0",6,0,100,100,100,100,0,0,9,0,12,0,16,0,1.09,0,0,9,12,16,1.09
"N.J","2017-11-18","2017020295","20172018","WPG","0",4,0,100,100,100,100,0,0,7,0,9,0,9,0,0.4,0,0,7,9,9,0.4
"N.J","2017-11-20","2017020314","20172018","MIN","0",4,0,80,83.33,90,98.69,0,0,4,1,5,1,9,1,0.3,0,0,3,4,8,0.3
"N.J","2017-11-22","2017020322","20172018","BOS","1",4.38,100,87.5,90,90,90.48,1,0,7,1,9,1,9,1,0.82,0.09,1,6,8,8,0.73
"N.J","2017-11-24","2017020340","20172018","VAN","1",4.38,100,66.67,80,83.33,82.58,1,0,2,1,4,1,5,1,0.4,0.08,1,1,3,4,0.32
"N.J","2017-11-25","2017020351","20172018","DET","0",4.62,100,66.67,66.67,62.5,96.38,1,0,4,2,4,2,5,3,0.49,0.02,1,2,2,2,0.48
"N.J","2017-11-27","2017020362","20172018","FLA","1",3.6,0,25,25,20,16.55,0,1,1,3,1,3,1,4,0.07,0.37,-1,-2,-2,-3,-0.3
"N.J","2017-12-01","2017020395","20172018","COL","0",8.72,100,100,100,92.86,100,1,0,6,0,10,0,13,1,0.74,0,1,6,10,12,0.74
"N.J","2017-12-02","2017020405","20172018","ARI","0",6,0,100,100,100,100,0,0,4,0,6,0,9,0,0.47,0,0,4,6,9,0.47
"N.J","2017-12-05","2017020417","20172018","CBJ","0",2,0,100,100,100,100,0,0,2,0,2,0,4,0,0.19,0,0,2,2,4,0.19
"N.J","2017-12-08","2017020439","20172018","CBJ","1",7.83,0,28.57,37.5,54.55,56.06,0,0,2,5,3,5,6,5,0.28,0.22,0,-3,-2,1,0.06
"N.J","2017-12-09","2017020449","20172018","NYR","0",5.2,0,66.67,62.5,70,76.38,0,0,4,2,5,3,7,3,0.71,0.22,0,2,2,4,0.49
"N.J","2017-12-12","2017020467","20172018","L.A","1",1.23,100,50,50,50,40.99,1,0,1,1,1,1,1,1,0.09,0.13,1,0,0,0,-0.04
"N.J","2017-12-14","2017020482","20172018","MTL","0",4.92,0,100,100,100,100,0,0,5,0,8,0,18,0,0.82,0,0,5,8,18,0.82
"N.J","2017-12-15","2017020492","20172018","DAL","1",9.72,100,100,100,94.12,100,1,0,11,0,14,0,16,1,1.25,0,1,11,14,15,1.25
"N.J","2017-12-18","2017020512","20172018","ANA","1",3.7,100,75,83.33,85.71,85.99,1,0,3,1,5,1,6,1,0.59,0.1,1,2,4,5,0.49
"N.J","2017-12-21","2017020530","20172018","NYR","1",5.9,100,85.71,88.89,90,89.86,1,0,6,1,8,1,9,1,0.69,0.08,1,5,7,8,0.61
"N.J","2017-12-23","2017020547","20172018","CHI","1",0.2,100,100,50,50,39.65,1,0,1,0,1,1,1,1,0.1,0.15,1,1,0,0,-0.05
"N.J","2017-12-27","2017020559","20172018","DET","1",4,0,80,85.71,85.71,87.18,0,0,4,1,6,1,6,1,0.26,0.04,0,3,5,5,0.23
"N.J","2017-12-29","2017020576","20172018","BUF","1",0.95,100,100,100,100,100,1,0,1,0,1,0,1,0,0.07,0,1,1,1,1,0.07
"N.J","2017-12-30","2017020589","20172018","WSH","0",4,0,100,66.67,66.67,72.1,0,0,2,0,2,1,4,2,0.08,0.03,0,2,1,2,0.05
"N.J","2018-01-02","2017020607","20172018","STL","0",2.15,100,100,100,100,100,1,0,3,0,6,0,6,0,0.96,0,1,3,6,6,0.96
"N.J","2018-01-04","2017020623","20172018","DAL","0",6,66.67,62.5,64.71,68.42,60.53,2,1,10,6,11,6,13,6,0.97,0.63,1,4,5,7,0.34
"N.J","2018-01-07","2017020642","20172018","NYI","0",10,0,100,100,95.65,100,0,0,11,0,15,0,22,1,1.06,0,0,11,15,21,1.06
"N.J","2018-01-13","2017020673","20172018","PHI","1",10.55,100,87.5,90.91,92.31,98.28,2,0,7,1,10,1,12,1,0.89,0.02,2,6,9,11,0.87
"N.J","2018-01-16","2017020688","20172018","NYI","0",5.03,100,71.43,75,66.67,92.28,1,0,5,2,6,2,6,3,0.45,0.04,1,3,4,3,0.41
"N.J","2018-01-18","2017020695","20172018","WSH","1",6,0,75,57.14,63.64,86.47,0,0,3,1,4,3,7,4,0.57,0.09,0,2,1,3,0.48
"N.J","2018-01-20","2017020709","20172018","PHI","0",7.2,100,80,77.78,85.71,92.95,1,0,4,1,7,2,12,2,0.44,0.03,1,3,5,10,0.41
"N.J","2018-01-22","2017020727","20172018","DET","1",10,0,100,100,100,100,0,0,11,0,17,0,20,0,1.33,0,0,11,17,20,1.33
