"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"N.J","2019-10-04","2019020013","20192020","WPG","1",4,0,100,50,40,75.29,0,0,1,0,2,2,2,3,0.31,0.1,0,1,0,-1,0.21
"N.J","2019-10-05","2019020018","20192020","BUF","0",5.03,0,0,0,0,0,0,3,0,9,0,12,0,14,0,1.17,-3,-9,-12,-14,-1.17
"N.J","2019-10-09","2019020045","20192020","PHI","0",6.1,0,20,15.38,18.75,0.74,0,2,2,8,2,11,3,13,0.01,1.06,-2,-6,-9,-10,-1.06
"N.J","2019-10-10","2019020049","20192020","EDM","1",3.18,0,0,0,0,0,0,1,0,3,0,5,0,7,0,0.55,-1,-3,-5,-7,-0.55
"N.J","2019-10-12","2019020064","20192020","BOS","0",4.38,0,20,20,27.27,8.35,0,1,1,4,2,8,3,8,0.07,0.76,-1,-3,-6,-5,-0.69
"N.J","2019-10-14","2019020080","20192020","FLA","1",7.23,0,16.67,12.5,8.33,0.58,0,1,1,5,1,7,1,11,0,0.74,-1,-4,-6,-10,-0.74
"N.J","2019-10-17","2019020100","20192020","NYR","1",8.98,0,22.22,25,23.08,21.49,0,0,2,7,3,9,3,10,0.18,0.66,0,-5,-6,-7,-0.48
"N.J","2019-10-19","2019020113","20192020","VAN","1",12,0,25,16.67,12.5,28.48,0,0,3,9,3,15,3,21,0.43,1.07,0,-6,-12,-18,-0.64
"N.J","2019-10-25","2019020157","20192020","ARI","1",2.57,0,100,100,100,100,0,0,1,0,1,0,1,0,0.01,0,0,1,1,1,0.01
"N.J","2019-10-30","2019020188","20192020","T.B","1",1.78,0,50,50,33.33,7.54,0,1,1,1,1,1,1,2,0,0.06,-1,0,0,-1,-0.05
"N.J","2019-11-01","2019020196","20192020","PHI","1",6,0,33.33,33.33,28.57,57.12,0,0,2,4,2,4,2,5,0.33,0.25,0,-2,-2,-3,0.08
"N.J","2019-11-02","2019020210","20192020","CAR","0",4.85,0,0,0,0,0,0,1,0,4,0,4,0,5,0,0.55,-1,-4,-4,-5,-0.55
"N.J","2019-11-05","2019020229","20192020","WPG","0",2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0.11,0,-2,-2,-2,-0.11
"N.J","2019-11-07","2019020245","20192020","CGY","0",9.6,0,18.18,15.38,16.67,0.82,0,2,2,9,2,11,3,15,0.01,0.73,-2,-7,-9,-12,-0.73
"N.J","2019-11-08","2019020251","20192020","EDM","0",5.18,0,14.29,12.5,8.33,0.41,0,1,1,6,1,7,1,11,0,0.78,-1,-5,-6,-10,-0.78
"N.J","2019-11-10","2019020265","20192020","VAN","0",4.45,0,0,0,0,0,0,1,0,6,0,6,0,10,0,0.41,-1,-6,-6,-10,-0.41
"N.J","2019-11-13","2019020281","20192020","OTT","1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.J","2019-11-15","2019020295","20192020","PIT","1",5.4,0,33.33,42.86,33.33,21.99,0,0,2,4,3,4,3,6,0.15,0.53,0,-2,-1,-3,-0.38
"N.J","2019-11-16","2019020305","20192020","MTL","0",3.53,50,33.33,37.5,36.36,29.92,1,1,2,4,3,5,4,7,0.24,0.57,0,-2,-2,-3,-0.33
"N.J","2019-11-19","2019020320","20192020","BOS","1",2.62,0,0,50,50,65.31,0,1,0,1,1,1,1,1,0.11,0.06,-1,-1,0,0,0.05
"N.J","2019-11-22","2019020346","20192020","PIT","0",4.53,0,40,33.33,25,28.49,0,0,2,3,2,4,2,6,0.13,0.33,0,-1,-2,-4,-0.2
"N.J","2019-11-23","2019020354","20192020","DET","1",6.37,0,0,0,0,0,0,0,0,3,0,8,0,11,0,0.49,0,-3,-8,-11,-0.49
"N.J","2019-11-26","2019020375","20192020","MIN","1",6.07,0,0,0,20,0,0,1,0,3,0,4,1,4,0,0.54,-1,-3,-4,-3,-0.54
"N.J","2019-11-28","2019020390","20192020","MTL","0",4,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0.35,0,-3,-4,-6,-0.35
"N.J","2019-11-30","2019020403","20192020","NYR","1",3.8,0,0,0,0,0,0,1,0,4,0,4,0,4,0,0.3,-1,-4,-4,-4,-0.3
"N.J","2019-12-02","2019020419","20192020","BUF","0",3.03,0,0,0,0,0,0,1,0,2,0,2,0,3,0,0.15,-1,-2,-2,-3,-0.15
"N.J","2019-12-03","2019020427","20192020","VGK","1",4.68,0,20,18.18,25,23.01,0,1,2,8,2,9,3,9,0.28,0.92,-1,-6,-7,-6,-0.65
"N.J","2019-12-06","2019020447","20192020","CHI","1",3.27,0,0,0,0,0,0,1,0,2,0,2,0,4,0,0.42,-1,-2,-2,-4,-0.42
"N.J","2019-12-07","2019020460","20192020","NSH","0",6.87,0,20,14.29,12.5,9.05,0,0,1,4,1,6,1,7,0.04,0.37,0,-3,-5,-6,-0.33
"N.J","2019-12-10","2019020478","20192020","DAL","0",9.23,0,54.55,46.15,30,25.01,0,0,6,5,6,7,6,14,0.2,0.59,0,1,-1,-8,-0.39
"N.J","2019-12-13","2019020500","20192020","COL","0",9.1,0,50,55.56,50,60.52,0,1,4,4,5,4,6,6,0.64,0.41,-1,0,1,0,0.22
"N.J","2019-12-14","2019020513","20192020","ARI","0",6.22,0,20,16.67,11.11,1.36,0,1,1,4,1,5,1,8,0,0.36,-1,-3,-4,-7,-0.35
"N.J","2019-12-18","2019020535","20192020","ANA","1",0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.J","2019-12-20","2019020549","20192020","WSH","1",2.35,0,33.33,33.33,33.33,2.64,0,0,1,2,1,2,1,2,0,0.15,0,-1,-1,-1,-0.15
"N.J","2019-12-21","2019020560","20192020","CBJ","0",8.22,0,30,25,23.08,26.68,0,0,3,7,3,9,3,10,0.32,0.87,0,-4,-6,-7,-0.56
"N.J","2019-12-23","2019020578","20192020","CHI","0",13.18,100,38.46,37.5,33.33,55.99,1,0,5,8,6,10,6,12,0.83,0.65,1,-3,-4,-6,0.18
"N.J","2019-12-27","2019020583","20192020","TOR","1",6.32,0,0,14.29,10,9.38,0,2,0,6,1,6,1,9,0.08,0.78,-2,-6,-5,-8,-0.7
"N.J","2019-12-29","2019020603","20192020","OTT","0",6,0,33.33,30,27.27,26.3,0,0,2,4,3,7,3,8,0.29,0.8,0,-2,-4,-5,-0.51
"N.J","2019-12-31","2019020613","20192020","BOS","1",1.18,0,0,0,0,0,0,1,0,3,0,4,0,4,0,0.58,-1,-3,-4,-4,-0.58
"N.J","2020-01-02","2019020630","20192020","NYI","0",4,0,0,0,0,0,0,0,0,2,0,4,0,6,0,0.24,0,-2,-4,-6,-0.24
"N.J","2020-01-04","2019020649","20192020","COL","1",5.2,100,40,37.5,33.33,19.75,1,0,2,3,3,5,3,6,0.11,0.44,1,-1,-2,-3,-0.34
