"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"N.J","2018-10-06","2018020020","20182019","EDM","1",50.83,7,7,23,26,4,2,0,0,-2,26,31,-5
"N.J","2018-10-11","2018020048","20182019","WSH","1",48.47,7,19,16,27,3,3,0,0,0,31,18,13
"N.J","2018-10-14","2018020071","20182019","S.J","1",39.3,6,10,14,9,1,6,0,0,5,29,21,8
"N.J","2018-10-16","2018020078","20182019","DAL","1",42.77,8,8,14,10,2,6,1,1,4,19,26,-7
"N.J","2018-10-18","2018020091","20182019","COL","1",43.23,13,6,16,14,5,5,1,1,0,28,19,9
"N.J","2018-10-20","2018020102","20182019","PHI","0",45.47,11,4,26,18,4,2,0,0,-2,14,28,-14
"N.J","2018-10-25","2018020136","20182019","NSH","1",51.18,6,15,15,14,4,3,0,0,-1,23,30,-7
"N.J","2018-10-27","2018020148","20182019","FLA","1",41.93,10,4,15,19,3,3,0,0,0,23,30,-7
"N.J","2018-10-30","2018020172","20182019","T.B","0",50.45,4,5,27,32,0,3,1,1,3,22,33,-11
"N.J","2018-11-01","2018020184","20182019","DET","0",44.83,10,1,20,24,4,3,1,1,-1,20,31,-11
"N.J","2018-11-03","2018020198","20182019","NYI","0",44.22,4,3,19,18,4,1,0,0,-3,25,15,10
"N.J","2018-11-05","2018020212","20182019","PIT","0",49.68,5,6,42,47,4,5,0,0,1,26,30,-4
"N.J","2018-11-06","2018020218","20182019","OTT","0",47.92,6,4,25,13,4,1,0,0,-3,31,35,-4
"N.J","2018-11-09","2018020236","20182019","TOR","0",48.23,9,3,36,19,3,3,0,0,0,19,29,-10
"N.J","2018-11-11","2018020257","20182019","WPG","0",54.38,9,6,22,19,2,3,0,0,1,24,33,-9
"N.J","2018-11-13","2018020265","20182019","PIT","1",49.88,3,9,15,31,4,3,0,0,-1,28,31,-3
"N.J","2018-11-15","2018020278","20182019","PHI","0",47.28,6,7,30,25,4,3,0,0,-1,19,20,-1
"N.J","2018-11-17","2018020292","20182019","DET","1",60.15,5,11,14,21,4,2,0,0,-2,22,32,-10
"N.J","2018-11-18","2018020304","20182019","CAR","0",50.38,10,8,23,35,2,3,0,0,1,27,26,1
"N.J","2018-11-21","2018020319","20182019","MTL","1",54.08,9,17,13,19,1,1,0,0,0,20,29,-9
"N.J","2018-11-23","2018020334","20182019","NYI","1",51.93,9,12,21,25,3,2,0,0,-1,22,24,-2
"N.J","2018-11-25","2018020359","20182019","T.B","0",50.78,3,4,21,17,2,2,0,0,0,27,30,-3
"N.J","2018-11-26","2018020363","20182019","FLA","0",49.33,12,8,14,22,2,2,0,0,0,30,29,1
"N.J","2018-11-30","2018020391","20182019","WSH","0",42.17,8,3,12,5,3,4,0,0,1,23,18,5
"N.J","2018-12-01","2018020400","20182019","WPG","1",56.82,8,9,21,23,2,4,0,0,2,28,35,-7
"N.J","2018-12-03","2018020413","20182019","T.B","1",48.67,2,4,20,18,3,3,0,0,0,23,24,-1
"N.J","2018-12-06","2018020439","20182019","L.A","0",52.25,8,1,22,16,3,4,0,0,1,40,30,10
"N.J","2018-12-09","2018020458","20182019","ANA","0",55.77,13,7,25,28,1,2,0,0,1,19,36,-17
"N.J","2018-12-10","2018020464","20182019","S.J","0",53.85,9,12,14,12,2,2,0,0,0,20,36,-16
"N.J","2018-12-14","2018020487","20182019","VGK","1",47.53,6,3,12,14,3,4,0,0,1,26,21,5
"N.J","2018-12-15","2018020502","20182019","NSH","0",51.92,10,3,12,30,1,3,0,0,2,26,35,-9
"N.J","2018-12-18","2018020518","20182019","TOR","1",49,10,3,13,5,3,3,0,0,0,26,28,-2
"N.J","2018-12-20","2018020535","20182019","CBJ","0",45.73,3,5,22,13,3,2,0,0,-1,22,18,4
"N.J","2018-12-21","2018020542","20182019","OTT","1",47.08,4,4,22,10,6,4,0,0,-2,25,32,-7
"N.J","2018-12-23","2018020559","20182019","CBJ","1",46.85,8,2,16,13,3,3,0,0,0,25,22,3
"N.J","2018-12-27","2018020567","20182019","BOS","0",49.78,8,16,27,20,2,3,0,0,1,19,25,-6
