"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"N.J","2016-10-13","2016020010","20162017","FLA","0",6,0,1,3,0,0,0,0,0,0,4,4,0
"N.J","2016-10-15","2016020019","20162017","T.B","0",6,0,1,0,2,0,0,0,0,0,0,6,-6
"N.J","2016-10-18","2016020037","20162017","ANA","1",7.52,0,4,2,0,0,0,0,0,0,3,6,-3
"N.J","2016-10-20","2016020051","20162017","BOS","0",7.78,1,3,0,3,1,0,0,0,-1,2,6,-4
"N.J","2016-10-22","2016020069","20162017","MIN","1",6,1,0,0,0,0,0,0,0,0,2,3,-1
"N.J","2016-10-25","2016020084","20162017","ARI","1",4.8,0,0,0,0,0,0,0,0,0,5,1,4
"N.J","2016-10-28","2016020107","20162017","CHI","1",7.43,1,0,1,0,0,0,0,0,0,4,4,0
"N.J","2016-10-29","2016020116","20162017","T.B","1",8,0,1,3,1,0,0,0,0,0,5,5,0
"N.J","2016-11-03","2016020152","20162017","FLA","0",5,1,1,1,0,0,0,0,0,0,2,2,0
"N.J","2016-11-05","2016020166","20162017","T.B","0",6.07,0,0,2,2,0,0,0,0,0,3,5,-2
"N.J","2016-11-06","2016020176","20162017","CAR","0",6.43,0,0,2,0,0,1,0,0,1,4,3,1
"N.J","2016-11-08","2016020183","20162017","CAR","1",1.72,2,0,1,0,0,0,0,0,0,3,0,3
"N.J","2016-11-11","2016020206","20162017","BUF","0",2.18,1,0,0,0,0,1,0,0,1,1,1,0
"N.J","2016-11-12","2016020215","20162017","BUF","1",0.5,0,0,0,0,0,1,0,0,1,0,1,-1
"N.J","2016-11-15","2016020239","20162017","DAL","0",4,0,0,0,0,0,0,0,0,0,3,0,3
"N.J","2016-11-17","2016020253","20162017","ANA","0",4,2,0,0,0,0,0,0,0,0,1,2,-1
"N.J","2016-11-19","2016020261","20162017","L.A","0",2,0,0,0,0,0,0,0,0,0,2,4,-2
"N.J","2016-11-21","2016020282","20162017","S.J","0",7.57,1,0,0,0,1,0,0,0,-1,5,4,1
"N.J","2016-11-23","2016020289","20162017","TOR","1",5.92,0,1,0,1,0,0,0,0,0,3,1,2
"N.J","2016-11-25","2016020310","20162017","DET","1",6,1,2,1,0,0,0,0,0,0,4,2,2
"N.J","2016-11-26","2016020317","20162017","PIT","0",9.58,0,1,5,0,0,1,0,0,1,7,10,-3
"N.J","2016-11-29","2016020335","20162017","WPG","0",7.2,2,0,0,0,1,1,0,0,0,3,9,-6
"N.J","2016-12-01","2016020353","20162017","CHI","0",8,1,0,1,0,0,0,0,0,0,4,2,2
"N.J","2016-12-03","2016020362","20162017","NSH","0",3.83,0,0,0,0,0,0,0,0,0,0,2,-2
"N.J","2016-12-06","2016020383","20162017","VAN","1",4,2,0,0,0,0,0,0,0,0,3,4,-1
"N.J","2016-12-08","2016020398","20162017","MTL","0",2.7,0,0,0,1,0,0,0,0,0,1,1,0
"N.J","2016-12-09","2016020407","20162017","STL","1",4.68,0,2,0,0,1,0,0,0,-1,1,5,-4
"N.J","2016-12-11","2016020426","20162017","NYR","0",8.87,1,1,0,0,0,1,0,0,1,9,3,6
"N.J","2016-12-15","2016020449","20162017","STL","0",7.45,0,2,3,0,0,0,0,0,0,3,1,2
"N.J","2016-12-17","2016020463","20162017","OTT","0",2,0,0,0,0,0,0,0,0,0,1,1,0
"N.J","2016-12-18","2016020475","20162017","NYR","0",4,0,1,0,0,0,0,0,0,0,1,3,-2
"N.J","2016-12-20","2016020482","20162017","NSH","1",1.63,0,0,0,0,0,0,0,0,0,0,1,-1
"N.J","2016-12-22","2016020496","20162017","PHI","1",2.73,0,0,0,0,0,0,0,0,0,1,1,0
"N.J","2016-12-23","2016020507","20162017","PIT","0",2.2,0,0,1,0,0,0,0,0,0,1,1,0
"N.J","2016-12-27","2016020517","20162017","PIT","1",4.78,0,1,0,1,0,0,0,0,0,3,3,0
"N.J","2016-12-29","2016020533","20162017","WSH","0",8,1,1,0,0,0,0,0,0,0,5,2,3
"N.J","2016-12-31","2016020549","20162017","WSH","1",1.7,0,1,1,0,0,0,0,0,0,1,1,0
"N.J","2017-01-02","2016020563","20162017","BOS","1",4,0,0,0,1,0,0,0,0,0,3,1,2
"N.J","2017-01-03","2016020567","20162017","CAR","0",8,0,0,3,0,0,0,0,0,0,5,6,-1
"N.J","2017-01-06","2016020586","20162017","TOR","1",3.92,0,0,0,0,0,0,0,0,0,4,1,3
