"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"N.J","2017-10-07","2017020019","20172018","COL","1",39.92,10,10,9,92,13,11,10,0,0
"N.J","2017-10-09","2017020034","20172018","BUF","0",45.28,6,12,9,108,11,17,14,4,6
"N.J","2017-10-11","2017020046","20172018","TOR","0",38.67,12,13,10,78,16,18,18,6,5
"N.J","2017-10-13","2017020058","20172018","WSH","1",45.83,10,16,10,76,15,22,14,2,7
"N.J","2017-10-14","2017020065","20172018","NYR","0",42.95,3,11,15,89,6,12,22,5,2
"N.J","2017-10-17","2017020081","20172018","T.B","1",49.72,11,16,12,92,13,16,19,6,3
"N.J","2017-10-19","2017020099","20172018","OTT","0",46.13,14,19,13,71,14,22,23,7,1
"N.J","2017-10-20","2017020105","20172018","S.J","1",39.72,7,11,13,67,10,14,15,1,3
"N.J","2017-10-27","2017020150","20172018","OTT","1",54.07,7,22,8,98,10,28,20,8,2
"N.J","2017-10-28","2017020161","20172018","ARI","1",47.32,13,13,8,89,18,17,22,9,4
"N.J","2017-11-01","2017020183","20172018","VAN","0",48.8,8,13,15,110,9,15,21,6,3
"N.J","2017-11-03","2017020198","20172018","EDM","0",59.12,14,19,12,110,21,21,22,8,3
"N.J","2017-11-05","2017020216","20172018","CGY","0",57.27,12,21,10,116,18,25,19,5,4
"N.J","2017-11-07","2017020224","20172018","STL","1",42.57,14,10,11,78,19,12,14,2,7
"N.J","2017-11-09","2017020235","20172018","EDM","1",52.72,13,15,12,100,15,18,26,7,3
"N.J","2017-11-11","2017020254","20172018","FLA","1",48.43,9,14,4,101,10,17,7,2,1
"N.J","2017-11-12","2017020262","20172018","CHI","0",47.7,9,19,21,74,13,26,23,3,5
"N.J","2017-11-16","2017020278","20172018","TOR","0",54.58,19,10,11,113,25,17,16,4,9
"N.J","2017-11-18","2017020295","20172018","WPG","0",56,8,15,12,104,14,16,18,3,4
"N.J","2017-11-20","2017020314","20172018","MIN","0",49.68,11,19,14,114,14,23,20,3,4
"N.J","2017-11-22","2017020322","20172018","BOS","1",52.62,14,15,8,117,16,17,12,3,4
"N.J","2017-11-24","2017020340","20172018","VAN","1",49.73,3,17,6,91,7,19,10,3,1
"N.J","2017-11-25","2017020351","20172018","DET","0",53.92,11,17,11,98,15,20,21,8,4
"N.J","2017-11-27","2017020362","20172018","FLA","1",49.02,13,14,12,103,17,18,17,3,5
"N.J","2017-12-01","2017020395","20172018","COL","0",42,10,7,12,90,14,10,19,4,6
"N.J","2017-12-02","2017020405","20172018","ARI","0",49.72,12,18,5,110,19,19,12,5,7
"N.J","2017-12-05","2017020417","20172018","CBJ","0",47.87,12,15,9,79,18,17,17,4,6
"N.J","2017-12-08","2017020439","20172018","CBJ","1",48.25,15,22,9,77,18,27,17,7,6
"N.J","2017-12-09","2017020449","20172018","NYR","0",49.2,12,12,12,100,15,17,15,1,6
"N.J","2017-12-12","2017020467","20172018","L.A","1",54.08,11,19,5,110,13,24,8,2,3
"N.J","2017-12-14","2017020482","20172018","MTL","0",50.53,6,9,16,107,11,14,19,3,2
"N.J","2017-12-15","2017020492","20172018","DAL","1",43.63,7,17,6,90,11,24,15,6,5
"N.J","2017-12-18","2017020512","20172018","ANA","1",50.5,12,16,9,130,19,16,18,8,2
"N.J","2017-12-21","2017020530","20172018","NYR","1",55.05,11,15,8,142,16,16,9,1,4
"N.J","2017-12-23","2017020547","20172018","CHI","1",56.8,8,17,17,101,17,18,25,3,4
"N.J","2017-12-27","2017020559","20172018","DET","1",45,9,12,8,74,17,14,16,2,7
"N.J","2017-12-29","2017020576","20172018","BUF","1",57.72,9,21,10,122,19,24,12,0,7
"N.J","2017-12-30","2017020589","20172018","WSH","0",51.75,10,15,5,87,18,16,10,3,8
"N.J","2018-01-02","2017020607","20172018","STL","0",54.85,13,15,10,139,21,22,15,2,6
"N.J","2018-01-04","2017020623","20172018","DAL","0",48.15,10,12,6,103,14,15,11,3,3
"N.J","2018-01-07","2017020642","20172018","NYI","0",48.77,11,18,10,103,19,19,14,2,6
"N.J","2018-01-13","2017020673","20172018","PHI","1",46.67,13,13,8,85,17,15,14,6,6
"N.J","2018-01-16","2017020688","20172018","NYI","0",50.72,6,14,8,129,14,17,14,5,3
"N.J","2018-01-18","2017020695","20172018","WSH","1",44.38,8,14,9,92,11,19,14,4,3
"N.J","2018-01-20","2017020709","20172018","PHI","0",43.18,5,9,7,99,11,10,10,2,2
"N.J","2018-01-22","2017020727","20172018","DET","1",45.97,11,13,8,83,14,14,17,5,4
"N.J","2018-01-23","2017020732","20172018","BOS","0",49.68,8,10,11,120,10,16,13,3,1
"N.J","2018-01-25","2017020746","20172018","NSH","1",51.72,14,9,11,117,19,12,13,2,8
"N.J","2018-01-30","2017020762","20172018","BUF","0",51.42,9,8,12,127,15,9,16,4,4
"N.J","2018-02-01","2017020778","20172018","PHI","1",49.12,14,10,11,101,17,13,13,1,3
"N.J","2018-02-03","2017020797","20172018","PIT","1",50.07,10,14,7,93,19,16,11,3,5
"N.J","2018-02-06","2017020816","20172018","OTT","0",46.68,9,17,8,107,13,21,18,8,5
"N.J","2018-02-08","2017020827","20172018","CGY","1",56.22,13,15,9,98,18,16,20,8,7
"N.J","2018-02-10","2017020848","20172018","CBJ","0",47.98,10,17,12,76,21,18,19,1,5
"N.J","2018-02-11","2017020857","20172018","BOS","1",40.4,13,13,6,83,16,14,7,2,4
"N.J","2018-02-13","2017020867","20172018","PHI","0",52.65,12,19,14,95,19,20,19,1,4
"N.J","2018-02-15","2017020879","20172018","CAR","1",51.8,11,11,8,107,14,12,12,3,8
"N.J","2018-02-17","2017020898","20172018","T.B","0",41.77,6,17,11,95,8,17,15,1,4
"N.J","2018-02-18","2017020907","20172018","CAR","0",55.35,10,9,13,132,11,13,21,6,3
"N.J","2018-02-20","2017020919","20172018","CBJ","1",48.53,9,14,7,107,11,14,12,6,2
"N.J","2018-02-22","2017020931","20172018","MIN","1",50.82,10,10,9,115,15,14,16,6,2
"N.J","2018-02-24","2017020952","20172018","NYI","1",52.32,19,10,6,101,23,12,12,2,6
"N.J","2018-02-27","2017020970","20172018","PIT","0",52.83,11,13,13,98,15,17,28,12,5
