"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"N.J","2015-10-09","2015020012","20152016","WPG","1",3.6,3,1,1,2,4,1,1,0,0
"N.J","2015-10-10","2015020022","20152016","WSH","0",5.1,4,2,0,5,4,2,0,0,0
"N.J","2015-10-13","2015020037","20152016","NSH","1",2.28,2,0,0,4,2,1,0,0,0
"N.J","2015-10-16","2015020058","20152016","S.J","1",8.12,6,2,0,9,7,2,1,0,0
"N.J","2015-10-18","2015020075","20152016","NYR","0",4.42,3,1,0,10,3,1,0,0,0
"N.J","2015-10-20","2015020081","20152016","ARI","1",6,3,1,0,5,4,1,0,0,0
"N.J","2015-10-22","2015020094","20152016","OTT","0",4.98,5,2,1,4,5,2,1,0,0
"N.J","2015-10-24","2015020107","20152016","BUF","0",2.92,1,0,1,4,1,0,1,0,0
"N.J","2015-10-27","2015020125","20152016","CBJ","1",6.93,4,1,0,6,4,1,0,0,0
"N.J","2015-10-29","2015020138","20152016","PHI","0",6.92,6,1,0,8,8,1,1,0,0
"N.J","2015-10-31","2015020154","20152016","NYI","1",6,4,2,0,5,4,2,0,0,0
"N.J","2015-11-03","2015020173","20152016","NYI","0",6.05,3,0,1,12,4,0,1,0,0
"N.J","2015-11-06","2015020195","20152016","CHI","1",2.17,1,0,0,4,1,0,0,0,0
"N.J","2015-11-08","2015020212","20152016","VAN","1",7.78,7,1,0,7,9,1,0,0,0
"N.J","2015-11-10","2015020216","20152016","STL","1",2,1,0,0,2,2,0,0,0,0
"N.J","2015-11-12","2015020238","20152016","CHI","0",4.13,3,0,0,4,4,1,0,0,0
"N.J","2015-11-14","2015020252","20152016","PIT","1",7.58,5,0,0,12,9,1,0,0,0
"N.J","2015-11-17","2015020274","20152016","CGY","0",4.37,3,1,0,6,3,1,0,0,0
"N.J","2015-11-20","2015020292","20152016","EDM","0",5.47,5,0,0,2,5,1,0,0,0
"N.J","2015-11-22","2015020307","20152016","VAN","0",8.73,7,3,1,9,9,3,1,0,0
"N.J","2015-11-25","2015020318","20152016","CBJ","1",10,4,4,0,14,5,5,0,0,0
"N.J","2015-11-27","2015020336","20152016","MTL","1",5.48,3,0,0,4,4,0,0,0,0
"N.J","2015-11-28","2015020344","20152016","MTL","0",4,2,0,0,8,2,0,0,0,0
"N.J","2015-12-01","2015020359","20152016","COL","1",2.78,3,0,0,2,4,0,1,1,0
"N.J","2015-12-03","2015020374","20152016","CAR","0",8,5,2,1,7,7,3,3,1,0
"N.J","2015-12-04","2015020382","20152016","PHI","1",7.12,5,1,0,4,6,1,0,0,0
"N.J","2015-12-06","2015020400","20152016","FLA","1",4,3,1,0,1,4,2,0,0,0
"N.J","2015-12-08","2015020411","20152016","TOR","0",8.4,6,0,1,12,6,1,3,0,0
"N.J","2015-12-11","2015020428","20152016","DET","1",7.68,5,1,0,6,5,1,0,0,0
"N.J","2015-12-13","2015020445","20152016","NYI","0",4.55,3,0,0,8,3,0,1,1,0
"N.J","2015-12-15","2015020453","20152016","BUF","0",2,1,1,0,2,2,1,0,0,0
"N.J","2015-12-17","2015020467","20152016","FLA","1",5.45,3,1,0,6,3,1,0,0,0
"N.J","2015-12-19","2015020486","20152016","ANA","1",4,2,1,0,4,3,1,0,0,0
"N.J","2015-12-20","2015020494","20152016","BOS","0",4,2,1,0,5,2,2,0,0,0
"N.J","2015-12-22","2015020509","20152016","DET","0",6.22,4,1,1,6,6,2,1,0,0
"N.J","2015-12-26","2015020520","20152016","CAR","0",2,1,0,0,4,1,0,0,0,0
"N.J","2015-12-29","2015020543","20152016","CAR","1",4,3,2,0,3,7,2,0,0,0
"N.J","2015-12-30","2015020553","20152016","OTT","0",7.87,4,1,0,10,5,2,2,2,0
"N.J","2016-01-02","2015020573","20152016","DAL","1",6.67,4,0,0,8,7,0,0,0,0
"N.J","2016-01-04","2015020583","20152016","DET","1",4,2,1,0,4,2,1,0,0,0
"N.J","2016-01-06","2015020596","20152016","MTL","0",5,4,1,0,6,4,2,0,0,0
