"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NSH","2016-10-14","2016020014","20162017","CHI","1",46.62,0,55.26,51.72,44.16,46.67,0,2,21,17,30,28,34,43,1.36,1.55,-2,4,2,-9,-0.19
"NSH","2016-10-15","2016020026","20162017","CHI","0",52.25,40,63.27,57.35,56.67,59.58,2,3,31,18,39,29,51,39,2.4,1.63,-1,13,10,12,0.77
"NSH","2016-10-18","2016020043","20162017","DAL","1",49.48,0,43.14,37.68,42.16,42.03,0,2,22,29,26,43,43,59,1.34,1.85,-2,-7,-17,-16,-0.51
"NSH","2016-10-21","2016020064","20162017","DET","0",47.37,0,41.94,38.16,40.91,44.5,0,3,26,36,29,47,36,52,1.99,2.48,-3,-10,-18,-16,-0.49
"NSH","2016-10-22","2016020073","20162017","PIT","1",48.78,80,48.08,41.1,41.58,53.29,4,1,25,27,30,43,42,59,2.1,1.84,3,-2,-13,-17,0.26
"NSH","2016-10-26","2016020097","20162017","ANA","0",46.57,0,60,56.45,58.02,54.13,0,1,21,14,35,27,47,34,1.41,1.2,-1,7,8,13,0.22
"NSH","2016-10-27","2016020105","20162017","L.A","0",52.72,50,38.89,44.87,43.52,44.34,1,1,21,33,35,43,47,61,1.74,2.18,0,-12,-8,-14,-0.44
"NSH","2016-10-29","2016020122","20162017","S.J","0",54.73,33.33,50,52.56,57.02,54.73,1,2,23,23,41,37,65,49,2.79,2.31,-1,0,4,16,0.48
"NSH","2016-11-01","2016020140","20162017","COL","0",42.6,80,58.7,55.17,55.17,56.21,4,1,27,19,32,26,48,39,1.83,1.43,3,8,6,9,0.41
"NSH","2016-11-03","2016020155","20162017","ARI","0",45.68,33.33,48.94,50,53.49,58.11,1,2,23,24,32,32,46,40,1.45,1.04,-1,-1,0,6,0.4
"NSH","2016-11-05","2016020170","20162017","CAR","1",55,66.67,54.55,50,46.81,59,2,1,24,20,34,34,44,50,2.29,1.59,1,4,0,-6,0.7
"NSH","2016-11-08","2016020190","20162017","OTT","1",51.13,66.67,46.55,52.05,54.84,60.81,2,1,27,31,38,35,51,42,2.83,1.82,1,-4,3,9,1.01
