"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NSH","2016-10-14","2016020014","20162017","CHI","1",7.45,100,100,100,100,100,3,0,6,0,7,0,10,0,0.87,0,3,6,7,10,0.87
"NSH","2016-10-15","2016020026","20162017","CHI","0",2.1,100,100,100,100,100,1,0,4,0,4,0,8,0,0.53,0,1,4,4,8,0.53
"NSH","2016-10-18","2016020043","20162017","DAL","1",4.53,100,83.33,88.89,90,77.26,1,0,5,1,8,1,9,1,0.57,0.17,1,4,7,8,0.4
"NSH","2016-10-21","2016020064","20162017","DET","0",4.47,100,87.5,77.78,83.33,77.86,3,0,7,1,7,2,10,2,0.95,0.27,3,6,5,8,0.68
"NSH","2016-10-22","2016020073","20162017","PIT","1",6.58,100,66.67,71.43,77.78,97.33,1,0,4,2,5,2,7,2,0.74,0.02,1,2,3,5,0.72
"NSH","2016-10-26","2016020097","20162017","ANA","0",8.27,33.33,66.67,61.9,68,54.91,1,2,8,4,13,8,17,8,0.99,0.81,-1,4,5,9,0.18
"NSH","2016-10-27","2016020105","20162017","L.A","0",6,0,80,83.33,86.67,96.42,0,0,4,1,5,1,13,2,0.42,0.02,0,3,4,11,0.41
"NSH","2016-10-29","2016020122","20162017","S.J","0",2,0,100,100,100,100,0,0,2,0,2,0,4,0,0.17,0,0,2,2,4,0.17
"NSH","2016-11-01","2016020140","20162017","COL","0",8.9,100,75,76.92,77.78,89.32,1,0,9,3,10,3,14,4,0.98,0.12,1,6,7,10,0.87
"NSH","2016-11-03","2016020155","20162017","ARI","0",13.05,100,93.33,94.44,95.65,94.19,1,0,14,1,17,1,22,1,1.42,0.09,1,13,16,21,1.33
"NSH","2016-11-05","2016020170","20162017","CAR","1",4,0,60,71.43,75,45.65,0,1,3,2,5,2,6,2,0.29,0.35,-1,1,3,4,-0.06
"NSH","2016-11-08","2016020190","20162017","OTT","1",4.55,0,100,100,100,100,0,0,2,0,4,0,6,0,0.25,0,0,2,4,6,0.25
"NSH","2016-11-10","2016020203","20162017","STL","1",8.72,0,100,100,100,100,0,0,8,0,8,0,15,0,0.77,0,0,8,8,15,0.77
"NSH","2016-11-12","2016020220","20162017","ANA","1",6.27,100,100,100,100,100,1,0,5,0,6,0,8,0,0.65,0,1,5,6,8,0.65
"NSH","2016-11-15","2016020233","20162017","TOR","0",1.02,0,100,100,100,100,0,0,2,0,2,0,2,0,0.14,0,0,2,2,2,0.14
"NSH","2016-11-17","2016020248","20162017","OTT","0",6.13,0,100,100,75,100,0,0,3,0,3,0,3,1,0.15,0,0,3,3,2,0.15
"NSH","2016-11-19","2016020267","20162017","STL","0",5.12,100,100,100,100,100,1,0,8,0,9,0,11,0,1.04,0,1,8,9,11,1.04
"NSH","2016-11-21","2016020279","20162017","T.B","1",5.15,100,100,100,100,100,1,0,6,0,9,0,11,0,0.73,0,1,6,9,11,0.73
"NSH","2016-11-23","2016020295","20162017","DAL","1",7.8,50,83.33,83.33,88.89,78.6,1,1,5,1,5,1,8,1,0.62,0.17,0,4,4,7,0.45
"NSH","2016-11-25","2016020307","20162017","WPG","1",9.55,100,66.67,75,76.92,90.36,3,0,6,3,9,3,10,3,0.9,0.1,3,3,6,7,0.8
"NSH","2016-11-27","2016020325","20162017","WPG","0",8.98,0,92.86,93.33,96.3,84.99,0,0,13,1,14,1,26,1,1.44,0.25,0,12,13,25,1.18
"NSH","2016-11-29","2016020337","20162017","COL","0",4,0,33.33,33.33,33.33,41.06,0,0,1,2,1,2,1,2,0.12,0.17,0,-1,-1,-1,-0.05
"NSH","2016-12-03","2016020362","20162017","N.J","1",3.83,0,0,100,100,100,0,0,0,0,3,0,4,0,0.15,0,0,0,3,4,0.15
"NSH","2016-12-04","2016020373","20162017","PHI","1",4,0,100,80,83.33,95.48,0,0,3,0,4,1,5,1,0.26,0.01,0,3,3,4,0.24
"NSH","2016-12-06","2016020387","20162017","COL","1",7.83,100,100,100,100,100,1,0,6,0,7,0,8,0,1.07,0,1,6,7,8,1.07
"NSH","2016-12-08","2016020402","20162017","DAL","0",6.07,0,75,80,83.33,92.2,0,0,3,1,8,2,10,2,0.55,0.05,0,2,6,8,0.51
"NSH","2016-12-10","2016020418","20162017","ARI","0",8,0,72.73,85.71,84,98.67,0,0,8,3,18,3,21,4,1.41,0.02,0,5,15,17,1.39
"NSH","2016-12-13","2016020437","20162017","STL","1",4,0,100,100,100,100,0,0,4,0,7,0,10,0,0.48,0,0,4,7,10,0.48
"NSH","2016-12-15","2016020450","20162017","MIN","1",4.5,100,100,100,100,100,1,0,8,0,10,0,11,0,0.73,0,1,8,10,11,0.73
"NSH","2016-12-17","2016020468","20162017","NYR","1",6,0,100,100,100,100,0,0,3,0,5,0,7,0,0.44,0,0,3,5,7,0.44
"NSH","2016-12-19","2016020476","20162017","PHI","0",4,0,100,83.33,88.89,92.91,0,0,4,0,5,1,8,1,0.43,0.03,0,4,4,7,0.39
"NSH","2016-12-20","2016020482","20162017","N.J","0",1.63,100,100,100,100,100,1,0,1,0,1,0,2,0,0.08,0,1,1,1,2,0.08
"NSH","2016-12-22","2016020502","20162017","L.A","1",6,0,75,80,90,88.96,0,0,3,1,4,1,9,1,0.36,0.05,0,2,3,8,0.32
"NSH","2016-12-27","2016020522","20162017","MIN","1",2,0,100,100,100,100,0,0,1,0,2,0,3,0,0.17,0,0,1,2,3,0.17
"NSH","2016-12-29","2016020537","20162017","CHI","1",7.12,100,88.89,90.91,92.31,96.98,1,0,8,1,10,1,12,1,0.82,0.03,1,7,9,11,0.8
"NSH","2016-12-30","2016020545","20162017","STL","0",9.53,100,60,84.62,88.24,93.6,2,0,3,2,11,2,15,2,1.18,0.08,2,1,9,13,1.1
"NSH","2017-01-03","2016020570","20162017","MTL","1",4,0,100,100,100,100,0,0,2,0,5,0,8,0,0.47,0,0,2,5,8,0.47
"NSH","2017-01-05","2016020580","20162017","T.B","0",4.8,100,75,85.71,77.78,96.09,1,0,3,1,6,1,7,2,0.36,0.01,1,2,5,5,0.35
"NSH","2017-01-06","2016020585","20162017","FLA","0",9.98,0,66.67,70,72.73,73.37,0,0,6,3,7,3,8,3,0.32,0.12,0,3,4,5,0.2
"NSH","2017-01-08","2016020607","20162017","CHI","0",5.13,0,100,100,100,100,0,0,2,0,4,0,6,0,0.21,0,0,2,4,6,0.21
