"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NSH","2017-10-05","2017020005","20172018","BOS","0",7.12,0,11.11,10,7.69,25.5,0,1,1,8,1,9,1,12,0.24,0.71,-1,-7,-8,-11,-0.47
"NSH","2017-10-07","2017020021","20172018","PIT","0",5.73,0,33.33,20,16.67,2.18,0,0,1,2,1,4,1,5,0.01,0.38,0,-1,-3,-4,-0.37
"NSH","2017-10-10","2017020042","20172018","PHI","1",6.95,0,0,0,0,0,0,2,0,6,0,8,0,13,0,0.88,-2,-6,-8,-13,-0.88
"NSH","2017-10-12","2017020053","20172018","DAL","1",0.55,0,0,0,0,0,0,1,0,4,0,4,0,5,0,0.53,-1,-4,-4,-5,-0.53
"NSH","2017-10-14","2017020071","20172018","CHI","0",11.15,0,27.27,28.57,20,27.84,0,0,3,8,4,10,4,16,0.28,0.73,0,-5,-6,-12,-0.45
"NSH","2017-10-17","2017020086","20172018","COL","1",7.25,0,14.29,11.11,9.09,16.64,0,1,1,6,1,8,1,10,0.14,0.71,-1,-5,-7,-9,-0.57
"NSH","2017-10-19","2017020097","20172018","PHI","0",6.5,0,0,0,0,0,0,0,0,7,0,10,0,15,0,0.77,0,-7,-10,-15,-0.77
"NSH","2017-10-21","2017020110","20172018","NYR","0",9.53,0,16.67,20,13.33,10.82,0,1,1,5,2,8,2,13,0.13,1.06,-1,-4,-6,-11,-0.93
"NSH","2017-10-24","2017020132","20172018","CGY","1",8,0,0,0,0,0,0,0,0,2,0,8,0,13,0,0.72,0,-2,-8,-13,-0.72
"NSH","2017-10-27","2017020153","20172018","CHI","0",10.18,0,15.38,11.11,9.52,14.13,0,0,2,11,2,16,2,19,0.16,0.97,0,-9,-14,-17,-0.81
"NSH","2017-10-28","2017020163","20172018","NYI","1",5.1,0,16.67,14.29,12.5,2.45,0,3,1,5,1,6,1,7,0.01,0.41,-3,-4,-5,-6,-0.4
"NSH","2017-11-01","2017020185","20172018","S.J","0",12.77,0,28.57,31.25,31.58,14.79,0,1,4,10,5,11,6,13,0.17,0.99,-1,-6,-6,-7,-0.82
"NSH","2017-11-03","2017020199","20172018","ANA","0",5.27,0,25,20,20,1.63,0,1,1,3,1,4,2,8,0.01,0.33,-1,-2,-3,-6,-0.33
"NSH","2017-11-04","2017020211","20172018","L.A","0",6.43,0,11.11,10,8.33,0.56,0,1,1,8,1,9,1,11,0,0.63,-1,-7,-8,-10,-0.63
"NSH","2017-11-07","2017020228","20172018","CBJ","0",8,0,25,16.67,14.29,1.49,0,0,2,6,2,10,2,12,0.01,0.55,0,-4,-8,-10,-0.54
"NSH","2017-11-11","2017020258","20172018","PIT","1",6.6,0,30,25,18.75,17.83,0,0,3,7,3,9,3,13,0.19,0.87,0,-4,-6,-10,-0.68
"NSH","2017-11-14","2017020270","20172018","WSH","1",3.42,0,0,16.67,14.29,1.17,0,1,0,3,1,5,1,6,0,0.33,-1,-3,-4,-5,-0.33
"NSH","2017-11-16","2017020283","20172018","MIN","0",8.33,33.33,22.22,30.77,26.67,33.59,1,2,2,7,4,9,4,11,0.3,0.59,-1,-5,-5,-7,-0.29
"NSH","2017-11-18","2017020302","20172018","COL","1",16.9,0,21.43,27.78,23.81,14.44,0,0,3,11,5,13,5,16,0.17,1.03,0,-8,-8,-11,-0.86
"NSH","2017-11-20","2017020313","20172018","WPG","1",2.7,0,16.67,16.67,16.67,10.08,0,1,1,5,1,5,1,5,0.04,0.34,-1,-4,-4,-4,-0.3
"NSH","2017-11-22","2017020329","20172018","MTL","1",6.92,0,0,0,0,0,0,0,0,7,0,8,0,14,0,1.22,0,-7,-8,-14,-1.22
"NSH","2017-11-24","2017020344","20172018","STL","0",6,0,50,37.5,37.5,27.77,0,0,2,2,3,5,3,5,0.18,0.48,0,0,-2,-2,-0.29
