"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"NSH","2019-10-03","2019020009","20192020","MIN","1",50.48,10,7,15,18,2,2,0,0,0,25,18,7
"NSH","2019-10-05","2019020025","20192020","DET","1",51.43,7,5,18,13,1,2,0,0,1,28,25,3
"NSH","2019-10-08","2019020041","20192020","S.J","1",47.77,12,11,12,9,1,5,1,1,4,27,24,3
"NSH","2019-10-10","2019020052","20192020","WSH","1",48.72,6,10,8,12,3,4,0,0,1,28,28,0
"NSH","2019-10-12","2019020063","20192020","L.A","0",52.18,9,3,18,24,2,3,0,0,1,29,21,8
"NSH","2019-10-15","2019020090","20192020","VGK","0",45.82,3,11,26,36,4,3,2,2,-1,24,29,-5
"NSH","2019-10-17","2019020104","20192020","ARI","0",43.63,10,3,14,10,6,4,0,0,-2,23,29,-6
"NSH","2019-10-19","2019020121","20192020","FLA","1",55.05,6,5,14,8,1,4,0,0,3,25,19,6
"NSH","2019-10-22","2019020138","20192020","ANA","1",42.22,7,9,6,15,4,2,0,0,-2,16,24,-8
"NSH","2019-10-24","2019020150","20192020","MIN","1",53.92,16,7,14,12,1,1,0,0,0,26,21,5
"NSH","2019-10-26","2019020164","20192020","T.B","0",49.82,4,7,18,18,3,3,0,0,0,21,25,-4
"NSH","2019-10-29","2019020185","20192020","CHI","1",47.8,16,6,9,15,1,4,0,0,3,26,22,4
"NSH","2019-10-31","2019020194","20192020","CGY","1",53.57,12,16,6,10,1,2,0,0,1,24,27,-3
"NSH","2019-11-02","2019020205","20192020","NYR","1",42.73,10,6,20,13,2,5,1,1,3,12,16,-4
"NSH","2019-11-04","2019020222","20192020","DET","0",47.43,5,4,16,17,3,3,1,1,0,23,25,-2
"NSH","2019-11-07","2019020244","20192020","COL","0",46.25,1,7,18,14,3,3,0,0,0,27,23,4
"NSH","2019-11-09","2019020262","20192020","S.J","0",48.65,7,9,22,23,2,3,0,0,1,21,19,2
"NSH","2019-11-12","2019020277","20192020","VAN","0",49.05,1,3,18,24,1,0,0,0,-1,21,25,-4
"NSH","2019-11-16","2019020310","20192020","CHI","1",55.67,6,8,15,11,0,1,0,0,1,24,25,-1
"NSH","2019-11-19","2019020325","20192020","WPG","1",50.9,9,4,17,10,4,3,0,0,-1,18,22,-4
"NSH","2019-11-21","2019020339","20192020","VAN","1",42.13,9,2,15,4,6,5,0,0,-1,30,26,4
"NSH","2019-11-23","2019020358","20192020","STL","0",47.6,3,8,18,24,2,2,0,0,0,28,21,7
"NSH","2019-11-25","2019020370","20192020","STL","1",53.32,8,2,22,15,2,3,1,1,1,32,17,15
"NSH","2019-11-27","2019020385","20192020","VGK","1",55.25,10,10,14,18,2,1,0,0,-1,25,27,-2
"NSH","2019-11-29","2019020401","20192020","CAR","0",45.37,12,9,22,13,2,3,0,0,1,26,14,12
"NSH","2019-11-30","2019020408","20192020","FLA","0",48.12,8,10,21,19,3,3,0,0,0,23,21,2
"NSH","2019-12-03","2019020430","20192020","T.B","1",44.25,6,6,13,16,3,4,2,1,0,25,25,0
"NSH","2019-12-07","2019020460","20192020","N.J","1",47.75,7,8,9,9,3,2,0,0,-1,28,22,6
"NSH","2019-12-10","2019020475","20192020","S.J","1",43.17,3,10,7,21,6,6,0,0,0,21,12,9
"NSH","2019-12-12","2019020487","20192020","BUF","0",52.97,8,3,12,14,1,1,0,0,0,28,25,3
"NSH","2019-12-14","2019020505","20192020","DAL","1",49.38,7,3,22,15,2,2,0,0,0,31,23,8
"NSH","2019-12-16","2019020520","20192020","NYR","0",47.2,8,10,14,28,5,3,0,0,-2,33,16,17
"NSH","2019-12-17","2019020527","20192020","NYI","0",49.07,13,2,21,32,3,5,0,0,2,24,29,-5
"NSH","2019-12-19","2019020542","20192020","OTT","0",57.32,10,9,18,26,2,1,0,0,-1,37,31,6
"NSH","2019-12-21","2019020555","20192020","BOS","0",51.03,7,12,22,27,2,2,0,0,0,23,21,2
"NSH","2019-12-23","2019020576","20192020","ARI","1",52.57,5,5,10,16,1,1,0,0,0,26,20,6
"NSH","2019-12-27","2019020586","20192020","PIT","1",50.45,8,8,20,8,4,5,0,0,1,27,21,6
