"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"NSH","2019-10-03","2019020009","20192020","MIN","1",4,2,0,2,1,0,0,0,0,0,3,1,2
"NSH","2019-10-05","2019020025","20192020","DET","1",2.17,1,0,0,0,0,0,0,0,0,4,0,4
"NSH","2019-10-08","2019020041","20192020","S.J","1",7.62,1,0,0,0,1,0,0,0,-1,4,4,0
"NSH","2019-10-10","2019020052","20192020","WSH","1",6.8,2,0,0,0,0,0,0,0,0,5,3,2
"NSH","2019-10-12","2019020063","20192020","L.A","0",5.18,0,0,0,2,0,0,0,0,0,6,0,6
"NSH","2019-10-15","2019020090","20192020","VGK","0",8.2,0,1,0,2,0,0,0,0,0,7,5,2
"NSH","2019-10-17","2019020104","20192020","ARI","0",6,1,0,0,2,0,0,0,0,0,4,1,3
"NSH","2019-10-19","2019020121","20192020","FLA","1",5.93,2,0,0,0,0,0,0,0,0,5,3,2
"NSH","2019-10-22","2019020138","20192020","ANA","1",10.93,5,0,0,1,0,1,0,0,1,4,9,-5
"NSH","2019-10-24","2019020150","20192020","MIN","1",2,0,0,0,1,0,0,0,0,0,1,1,0
"NSH","2019-10-26","2019020164","20192020","T.B","0",6.77,1,0,0,0,0,0,0,0,0,5,5,0
"NSH","2019-10-29","2019020185","20192020","CHI","1",8,0,0,1,4,1,0,0,0,-1,4,3,1
"NSH","2019-10-31","2019020194","20192020","CGY","1",5.3,2,1,0,1,0,0,0,0,0,3,1,2
"NSH","2019-11-02","2019020205","20192020","NYR","1",7.33,3,0,0,1,0,0,0,0,0,2,5,-3
"NSH","2019-11-04","2019020222","20192020","DET","0",6.17,1,0,0,0,0,0,0,0,0,1,2,-1
"NSH","2019-11-07","2019020244","20192020","COL","0",5.82,1,0,1,2,0,0,0,0,0,4,4,0
"NSH","2019-11-09","2019020262","20192020","S.J","0",7.6,0,1,0,1,0,0,0,0,0,5,3,2
"NSH","2019-11-12","2019020277","20192020","VAN","0",3.7,0,1,0,0,0,0,0,0,0,6,2,4
"NSH","2019-11-16","2019020310","20192020","CHI","1",2,1,0,0,0,0,0,0,0,0,3,0,3
"NSH","2019-11-19","2019020325","20192020","WPG","1",3.45,1,0,0,0,0,0,0,0,0,3,1,2
"NSH","2019-11-21","2019020339","20192020","VAN","1",10.67,4,0,1,0,0,0,0,0,0,5,6,-1
"NSH","2019-11-23","2019020358","20192020","STL","0",4.8,0,0,0,2,0,1,0,0,1,4,2,2
"NSH","2019-11-25","2019020370","20192020","STL","1",6,0,0,0,0,0,0,0,0,0,4,5,-1
"NSH","2019-11-27","2019020385","20192020","VGK","1",2.73,2,0,0,0,0,0,0,0,0,2,0,2
"NSH","2019-11-29","2019020401","20192020","CAR","0",8,1,1,0,0,0,0,0,0,0,4,4,0
"NSH","2019-11-30","2019020408","20192020","FLA","0",5.48,0,1,1,0,1,1,0,0,0,3,3,0
"NSH","2019-12-03","2019020430","20192020","T.B","1",7.87,1,0,1,0,0,0,0,0,0,3,2,1
"NSH","2019-12-07","2019020460","20192020","N.J","1",6.87,2,1,0,0,1,0,0,0,-1,3,3,0
"NSH","2019-12-10","2019020475","20192020","S.J","1",9.25,3,0,0,0,2,1,0,0,-1,6,4,2
"NSH","2019-12-12","2019020487","20192020","BUF","0",3.3,0,0,0,1,0,1,0,0,1,1,2,-1
"NSH","2019-12-14","2019020505","20192020","DAL","1",5.05,0,1,1,0,0,0,0,0,0,3,3,0
"NSH","2019-12-16","2019020520","20192020","NYR","0",3.43,0,0,0,0,0,0,0,0,0,2,1,1
