"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"NSH","2018-10-04","2018020006","20182019","NYR","0",2,1,2,0,0,0,0,0,0,0,0,1,-1
"NSH","2018-10-06","2018020021","20182019","NYI","0",6.58,0,0,1,0,0,0,0,0,0,3,3,0
"NSH","2018-10-09","2018020039","20182019","CGY","1",5.63,0,0,1,0,0,0,0,0,0,5,3,2
"NSH","2018-10-11","2018020055","20182019","WPG","1",5.03,2,1,0,1,0,0,0,0,0,3,4,-1
"NSH","2018-10-13","2018020066","20182019","NYI","1",2,0,0,0,0,0,0,0,0,0,2,1,1
"NSH","2018-10-15","2018020077","20182019","MIN","1",4.2,1,0,0,1,0,0,0,0,0,1,5,-4
"NSH","2018-10-19","2018020101","20182019","CGY","0",3.23,0,1,0,0,0,0,0,0,0,2,1,1
"NSH","2018-10-20","2018020111","20182019","EDM","0",8,2,2,0,0,0,0,0,0,0,4,4,0
"NSH","2018-10-23","2018020126","20182019","S.J","1",7.45,0,0,1,0,0,0,0,0,0,3,5,-2
"NSH","2018-10-25","2018020136","20182019","N.J","0",5.1,0,1,1,0,0,0,0,0,0,1,3,-2
"NSH","2018-10-27","2018020150","20182019","EDM","1",11.35,2,3,1,1,0,2,0,0,2,8,4,4
"NSH","2018-10-30","2018020173","20182019","VGK","1",5.08,0,1,1,0,0,0,0,0,0,4,4,0
"NSH","2018-11-01","2018020185","20182019","T.B","0",4,1,0,0,0,0,0,0,0,0,5,1,4
"NSH","2018-11-03","2018020202","20182019","BOS","1",8,1,3,0,1,0,0,0,0,0,2,3,-1
"NSH","2018-11-07","2018020225","20182019","COL","0",4.85,0,1,1,1,0,0,0,0,0,0,3,-3
"NSH","2018-11-10","2018020244","20182019","DAL","0",3.72,0,0,0,0,0,0,0,0,0,2,2,0
"NSH","2018-11-12","2018020263","20182019","ANA","0",3.55,1,0,0,0,0,1,0,0,1,1,1,0
"NSH","2018-11-13","2018020272","20182019","S.J","0",6.88,0,0,0,0,0,1,0,0,1,5,2,3
"NSH","2018-11-15","2018020284","20182019","ARI","0",4,0,0,1,0,0,0,0,0,0,2,2,0
"NSH","2018-11-17","2018020299","20182019","L.A","1",5.7,1,2,0,0,0,0,0,0,0,2,4,-2
"NSH","2018-11-19","2018020314","20182019","T.B","1",4,0,2,1,0,0,0,0,0,0,2,0,2
"NSH","2018-11-21","2018020326","20182019","STL","1",5.83,2,2,0,0,0,1,0,0,1,3,3,0
"NSH","2018-11-23","2018020343","20182019","STL","0",4,1,0,1,0,0,0,0,0,0,0,4,-4
"NSH","2018-11-25","2018020360","20182019","ANA","1",8.2,2,2,0,0,0,0,0,0,0,7,4,3
"NSH","2018-11-27","2018020371","20182019","COL","1",2.83,1,0,0,0,0,0,0,0,0,0,2,-2
"NSH","2018-11-29","2018020386","20182019","ARI","1",8.83,1,1,2,1,0,0,0,0,0,2,6,-4
"NSH","2018-12-01","2018020404","20182019","CHI","1",2,0,1,0,0,0,0,0,0,0,1,0,1
"NSH","2018-12-03","2018020414","20182019","BUF","1",6.87,0,4,0,0,0,1,0,0,1,6,3,3
"NSH","2018-12-06","2018020437","20182019","VAN","0",4.32,1,0,0,0,0,0,0,0,0,1,4,-3
"NSH","2018-12-08","2018020453","20182019","CGY","0",4,2,0,2,0,0,0,0,0,0,2,0,2
"NSH","2018-12-11","2018020471","20182019","OTT","1",6,0,5,1,0,0,0,0,0,0,4,3,1
"NSH","2018-12-13","2018020483","20182019","VAN","1",6.62,0,1,1,0,1,0,0,0,-1,3,4,-1
"NSH","2018-12-15","2018020502","20182019","N.J","1",8,0,0,1,0,0,0,0,0,0,2,7,-5
"NSH","2018-12-17","2018020515","20182019","OTT","0",5.37,0,2,0,0,0,0,0,0,0,3,4,-1
"NSH","2018-12-18","2018020522","20182019","CHI","0",4.28,1,1,0,0,0,0,0,0,0,2,2,0
"NSH","2018-12-20","2018020532","20182019","PHI","0",7.55,2,0,0,0,0,1,0,0,1,2,6,-4
"NSH","2018-12-22","2018020545","20182019","BOS","0",2.05,0,0,0,0,1,0,0,0,-1,1,3,-2
"NSH","2018-12-27","2018020573","20182019","DAL","1",4,3,0,0,0,0,0,0,0,0,2,2,0
"NSH","2018-12-29","2018020593","20182019","NYR","1",2.12,0,1,0,0,0,0,0,0,0,0,3,-3
"NSH","2018-12-31","2018020599","20182019","WSH","0",2,0,0,0,1,0,0,0,0,0,1,0,1
"NSH","2019-01-01","2018020613","20182019","PHI","1",4,0,2,0,1,0,0,0,0,0,1,3,-2
"NSH","2019-01-04","2018020630","20182019","DET","0",3.8,0,0,0,0,0,1,0,0,1,1,2,-1
"NSH","2019-01-05","2018020640","20182019","MTL","0",2.03,1,0,0,1,0,0,0,0,0,1,1,0
"NSH","2019-01-07","2018020652","20182019","TOR","0",6,0,1,3,0,0,0,0,0,0,1,3,-2
"NSH","2019-01-09","2018020668","20182019","CHI","0",2.8,0,0,1,0,0,0,0,0,0,0,2,-2
"NSH","2019-01-10","2018020675","20182019","CBJ","0",0.57,0,0,0,0,0,0,0,0,0,1,1,0
"NSH","2019-01-13","2018020699","20182019","CAR","0",6.17,1,3,1,0,0,0,0,0,0,5,2,3
"NSH","2019-01-15","2018020716","20182019","WSH","1",3.1,1,1,0,1,0,0,0,0,0,2,2,0
"NSH","2019-01-17","2018020730","20182019","WPG","1",5.22,1,1,1,0,0,1,0,0,1,3,2,1
"NSH","2019-01-19","2018020747","20182019","FLA","1",5.32,3,1,1,0,0,0,0,0,0,3,4,-1
"NSH","2019-01-21","2018020756","20182019","COL","0",8,0,1,1,0,0,0,0,0,0,6,6,0
"NSH","2019-01-23","2018020768","20182019","VGK","0",8,0,1,1,0,0,1,0,0,1,4,3,1
"NSH","2019-02-01","2018020782","20182019","FLA","0",9.17,2,2,3,0,0,1,0,0,1,2,6,-4
"NSH","2019-02-02","2018020798","20182019","DAL","1",2.1,0,0,0,0,0,1,0,0,1,1,3,-2
"NSH","2019-02-05","2018020817","20182019","ARI","1",4.25,0,0,0,1,1,0,0,0,-1,0,3,-3
"NSH","2019-02-07","2018020832","20182019","DAL","1",3.27,0,1,0,0,0,0,0,0,0,3,1,2
"NSH","2019-02-09","2018020844","20182019","STL","0",6,0,1,1,2,0,0,0,0,0,2,3,-1
"NSH","2019-02-10","2018020852","20182019","STL","1",5.27,0,1,0,0,0,1,0,0,1,2,3,-1
"NSH","2019-02-12","2018020870","20182019","DET","1",4.23,0,1,0,1,0,0,0,0,0,2,3,-1
"NSH","2019-02-14","2018020881","20182019","MTL","1",6,1,0,1,1,0,0,0,0,0,2,4,-2
"NSH","2019-02-16","2018020901","20182019","VGK","0",3.82,0,0,0,0,0,1,0,0,1,2,4,-2
"NSH","2019-02-19","2018020923","20182019","DAL","0",3.75,0,0,0,1,0,0,0,0,0,1,4,-3
"NSH","2019-02-21","2018020936","20182019","L.A","1",6,2,2,1,3,0,0,0,0,0,4,4,0
"NSH","2019-02-23","2018020951","20182019","COL","1",7.57,0,1,1,2,1,1,0,0,0,5,3,2
"NSH","2019-02-25","2018020965","20182019","EDM","1",2.9,1,0,2,0,0,1,0,0,1,1,2,-1
"NSH","2019-02-26","2018020975","20182019","STL","0",4.98,0,1,0,1,0,0,0,0,0,1,3,-2
"NSH","2019-03-01","2018020996","20182019","WPG","0",7.17,2,0,1,0,0,0,0,0,0,5,3,2
"NSH","2019-03-03","2018021015","20182019","MIN","0",3.85,0,0,1,0,0,1,0,0,1,2,1,1
"NSH","2019-03-05","2018021024","20182019","MIN","1",8,1,1,0,0,0,0,0,0,0,4,6,-2
"NSH","2019-03-09","2018021056","20182019","CAR","1",6.72,2,1,0,0,0,0,0,0,0,6,3,3
"NSH","2019-03-12","2018021079","20182019","ANA","0",2,0,0,0,1,0,0,0,0,0,1,2,-1
"NSH","2019-03-14","2018021091","20182019","L.A","0",4,1,1,0,0,0,0,0,0,0,1,2,-1
"NSH","2019-03-16","2018021110","20182019","S.J","0",4.28,1,0,0,0,0,0,0,0,0,2,1,1
"NSH","2019-03-19","2018021128","20182019","TOR","1",6,1,0,0,1,0,0,0,0,0,4,2,2
"NSH","2019-03-21","2018021141","20182019","PIT","1",4,1,1,0,1,0,0,0,0,0,2,2,0
"NSH","2019-03-23","2018021158","20182019","WPG","0",4,0,1,0,0,0,0,0,0,0,1,3,-2
"NSH","2019-03-25","2018021174","20182019","MIN","0",6,0,1,1,0,0,0,0,0,0,4,0,4
"NSH","2019-03-29","2018021198","20182019","PIT","0",8,1,0,0,1,0,0,0,0,0,4,6,-2
"NSH","2019-03-30","2018021210","20182019","CBJ","1",8.42,0,2,0,0,0,1,0,0,1,6,4,2
"NSH","2019-04-02","2018021229","20182019","BUF","0",6,1,1,0,0,0,0,0,0,0,3,2,1
"NSH","2019-04-04","2018021249","20182019","VAN","1",3.8,1,2,0,0,0,0,0,0,0,1,2,-1
"NSH","2019-04-06","2018021266","20182019","CHI","1",4,0,0,0,0,0,0,0,0,0,2,1,1
"NSH","Total","-","20182019","-","-",5.07,53,71,38,26,4,18,0,0,14,203,233,-30
